fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-09-30,USD,9351000000,4086000000,945000000,945000000,758000000,None,5913000000,1410000000,3104000000,2535000000,371000000,2164000000,338000000,338000000,None,487000000,974000000,7217000000,3678000000,2552000000,None,9000000,1000000,3139000000,None,2404000000,8000000,None,2405000000,759000000,638000000,2134000000,None,-885000000,0,84866763,ADNT
2024-06-30,USD,9095000000,3999000000,890000000,890000000,775000000,None,5344000000,1365000000,None,2454000000,369000000,2085000000,328000000,328000000,None,509000000,941000000,7168000000,3686000000,2462000000,None,142000000,3000000,3124000000,None,2395000000,139000000,None,-26000000,730000000,639000000,1927000000,None,-964000000,0,87189933,ADNT
2024-03-31,USD,9278000000,4125000000,905000000,905000000,791000000,None,5408000000,1371000000,None,2481000000,382000000,2099000000,330000000,330000000,None,533000000,963000000,7203000000,3658000000,2512000000,None,134000000,0,3160000000,None,2401000000,134000000,None,-31000000,668000000,666000000,2075000000,None,-953000000,0,89823637,ADNT
2023-12-31,USD,9297000000,4074000000,990000000,990000000,833000000,None,5468000000,1401000000,None,2539000000,401000000,2138000000,322000000,322000000,None,590000000,954000000,7012000000,3548000000,2422000000,None,144000000,7000000,3076000000,None,2403000000,137000000,None,-22000000,599000000,578000000,2285000000,None,-883000000,0,91245859,ADNT
2023-09-30,USD,9424000000,4316000000,1110000000,1110000000,841000000,None,5602000000,1382000000,2937000000,2502000000,408000000,2094000000,303000000,303000000,None,491000000,914000000,7196000000,3738000000,2526000000,None,134000000,2000000,3083000000,None,2533000000,132000000,None,2535000000,678000000,590000000,2228000000,None,-903000000,0,93697704,ADNT
2023-06-30,USD,9482000000,4406000000,908000000,908000000,877000000,None,5335000000,1397000000,None,2536000000,421000000,2115000000,296000000,296000000,None,547000000,840000000,7308000000,3720000000,2646000000,None,2000000,1000000,3220000000,None,2532000000,1000000,None,-32000000,639000000,597000000,2174000000,None,-1038000000,0,93656684,ADNT
2023-03-31,USD,9479000000,4269000000,826000000,826000000,919000000,None,5480000000,1416000000,None,2590000000,455000000,2135000000,311000000,311000000,None,493000000,888000000,7282000000,3671000000,2677000000,None,2000000,1000000,3221000000,None,2531000000,1000000,None,-33000000,589000000,599000000,2197000000,None,-1111000000,0,94701693,ADNT
2022-12-31,USD,9273000000,4087000000,901000000,901000000,972000000,None,5454000000,1419000000,None,2591000000,463000000,2128000000,306000000,306000000,22153653,459000000,865000000,7081000000,3418000000,2422000000,None,13000000,2000000,3301000000,None,2817188388.08,11000000,None,-21000000,624000000,584000000,2192000000,None,-1175347724.91,0,95385075,ADNT
2022-09-30,USD,9158000000,4163000000,947000000,947000000,953000000,None,5372000000,1377000000,2793000000,2524000000,467000000,2057000000,286000000,286000000,None,411000000,797000000,7085000000,3501000000,2478000000,None,14000000,3000000,3237000000,None,1637000000,11000000,None,1640000000,609000000,585000000,2073000000,None,-1108000000,0,94858156,ADNT
2022-06-30,USD,9315000000,4062000000,892000000,892000000,953000000,None,5546000000,1443000000,None,2626000000,504000000,2122000000,348000000,348000000,None,456000000,829000000,7192000000,3387000000,2361000000,None,20000000,9000000,3430000000,None,2707000000,11000000,None,-11000000,600000000,613000000,2123000000,None,-1153000000,0,94813661,ADNT
