fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-12-31,None,30221625000,25163851000,1693597000,1693597000,None,None,5057774000,None,None,4069637000,4069637000,None,None,None,21621992000,425456000,None,5020975000,4529794000,None,None,None,None,491181000,None,None,None,None,23103000,4529794000,None,23951737000,None,None,23951737000,121860900,ATHM
2024-09-30,CNY,29921891000,24811111000,2529304000,2529304000,None,None,5110780000,None,None,4088213000,4088213000,None,None,416636000,20531286000,481875000,None,3886891000,3379025000,None,None,None,None,507866000,None,None,None,None,None,2594584000,39394000,24794511000,None,None,None,487409000,ATHM
2024-06-30,CNY,30563391000,25387138000,3881952000,3881952000,1,None,5176253000,None,None,4106799000,4106799000,None,None,403848000,19593011000,531375000,None,4881880001,4350777000,None,None,None,None,531103001,None,None,None,None,58622000,2753688000,58622000,24443437000,None,None,24443437000,486591692,ATHM
2024-03-31,CNY,30856381000,25640956000,2870271000,2870271000,152730000,None,5215425000,None,None,4125383000,4125383000,3941820000,None,399208000,20775926000,590656000,None,5249489000,4676418000,None,None,None,106953000,573071000,None,None,None,None,77363000,3092533000,77363000,24363089000,None,16601468000,24363089000,485253760,ATHM
2023-12-31,CNY,30835731000,25524988000,4996353000,4996353000,None,None,5310743000,None,None,4143968000,4143968000,3941820000,None,448341000,18552354000,487353000,None,5662493000,5075351000,None,None,None,None,587142000,196140000,None,None,None,89187000,5075351000,None,23928187000,None,16601468000,23928187000,121425284,ATHM
2023-09-30,CNY,30835731000,25524988000,4996353000,4996353000,-41421000,None,5310743000,195517000,None,202148000,202148000,3941820000,None,440980000,18552354000,487353000,None,5662493000,5075351000,None,None,None,106953000,587142000,None,None,None,None,196140000,3725285000,80753000,23928187000,None,16601468000,8599000,485701136,ATHM
2023-06-30,CNY,30627266000,25378773000,2939867000,2939867000,787000,None,5248493000,None,None,4181109000,4181109000,None,None,386083000,20395204000,517270000,None,5028806000,4427656000,None,None,None,None,601150000,None,None,None,None,98209000,2530967000,98209000,24373717000,None,None,24373717000,122746636,ATHM
2023-03-31,CNY,29715819000,3541384804,406161954,406161954,-1995001291,None,726392488,None,None,40377700,40377700,571526750,None,387772000,2795359141,357522000,None,588469769,588469769,None,None,None,59798000,568517000,None,None,None,None,110389000,-714506231,115169000,2349608959,None,2348369290,1239669,123544696,ATHM
2022-12-31,CNY,29715819000,3541384804,406161954,406161954,-1995001291,None,726392488,255298000,None,40377700,40377700,571526750,None,419208000,2795359141,357522000,None,588469769,588469769,None,None,None,59798000,568517000,110389000,None,None,None,110389000,-714506231,50591000,2349608959,None,2348369290,1239669,123544696,ATHM
2022-09-30,CNY,28775906000,3276742096,688759750,688759750,-1698905457,None,714285773,278578000,None,614279449,614279449,None,None,432937000,2310142802,402052000,None,472054900,472054900,None,None,None,None,607884000,None,None,None,None,60006000,-407701100,60006000,3320409292,None,None,3320409292,124868404,ATHM
