fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-09-30,USD,6023500000,2348000000,284100000,284900000,1464700000,500800000,6057500000,1278300000,1199400000,1999600000,939900000,1059700000,33700000,32900000,800000,97600000,2397200000,3989200000,1194100000,369100000,201400000,199200000,195000000,2795100000,144100000,2602300000,199200000,2372700000,2571900000,648700000,217300000,2034300000,2137800000,3724900000,76900000,66101000,BC
2024-06-30,USD,6395700000,2728100000,494500000,577000000,1524200000,530000000,6017600000,1300300000,1176900000,1972200000,948100000,1024100000,120000000,37500000,82500000,96900000,2367300000,4382100000,1608100000,447900000,198200000,454700000,454700000,2774000000,135800000,2858300000,454700000,2372400000,2827100000,730100000,204800000,2013600000,2118000000,3708100000,76900000,66352000,BC
2024-03-31,USD,6508700000,2807200000,548400000,549200000,1555000000,616800000,6077900000,1309000000,1153800000,1990600000,964300000,1026300000,42200000,41400000,800000,86200000,2392500000,4459100000,1673800000,513800000,198400000,455400000,455400000,2785300000,140700000,2859100000,455400000,2371900000,2827300000,704400001,210900000,2049600000,2010800000,3636300000,76900000,67689000,BC
2023-12-31,USD,6230500000,2509700000,467800000,479700000,1476800000,493200000,6084000000,1315800000,1135500000,2008700000,978000000,1030700000,16300000,15500000,11900000,71100000,2405000000,4143100000,1752100000,558000000,73700000,454700000,0,2391000000,162200000,2462900000,454700000,1975700000,2430400000,627200000,216500000,2087400000,1952700000,3596900000,76900000,68227000,BC
2023-09-30,USD,6100900000,2441300000,330900000,331700000,1445000000,568200000,5989700000,1311600000,1111000000,2007400000,999800000,1007600000,36400000,35600000,800000,85300000,2348000000,4015100000,1659200000,493400000,193600000,455300000,455300000,2355900000,117800000,2460500000,455300000,1975700000,2431000000,696500000,204400000,2085800000,1897600000,3563400000,76900000,68939000,BC
2023-06-30,USD,6290100000,2672800000,477500000,478300000,1484200000,614500000,5902200000,1314100000,1094600000,1954000000,979400000,974600000,60800000,60000000,800000,84800000,2303200000,4188700000,1394000000,549400000,194600000,88300000,88300000,2794700000,105400000,2540500000,88300000,2422000000,2510300000,756300000,207500000,2101400000,1809200000,3478700000,76900000,70005000,BC
2023-03-31,USD,6288600000,2678400000,387800000,388600000,1506000000,698000000,5909000000,1293500000,1074200000,1966400000,992400000,974000000,62300000,61500000,800000,74700000,2316700000,4226100000,1438600000,594000000,None,89800000,89800000,2787500000,106300000,2541200000,89800000,2420500000,2510300000,752300000,200000000,2062500000,1736800000,3372300000,76900000,70891000,BC
2022-12-31,USD,6321300000,2695200000,595600000,613000000,1471400000,543000000,5963200000,1270800000,1051400000,1965000000,997400000,967600000,58500000,54000000,17400000,67800000,2355300000,4279000000,1489900000,662600000,70300000,89000000,3700000,2789100000,125600000,2544700000,89000000,2420000000,2509000000,668000000,161100000,2042300000,1684900000,3288500000,76900000,71365000,BC
2022-09-30,USD,6124900000,2595000000,457400000,491900000,1429800000,557700000,5794300000,1221100000,1031000000,1967600000,1005400000,962200000,82200000,47700000,34500000,103900000,2308800000,4123900000,1379300000,631600000,None,84900000,84900000,2744600000,95700000,2536200000,84900000,2419100000,2504000000,658800000,164500000,2001000000,1595200000,3173000000,76900000,72612000,BC
2022-06-30,USD,6166500000,2685400000,566700000,603700000,1372400000,611000000,5765600000,1164400000,1016100000,2004900000,1038200000,966700000,85000000,48000000,37000000,98299999,2316700000,4161900000,1347700000,644000000,None,3000000,3000000,2814200000,86100000,2534900000,3000000,2499000000,2502000000,700700000,162400000,2004600000,1455400000,3036200000,76900000,74472000,BC
