fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-12-31,USD,13848000000,4211000000,918000000,918000000,1440000000,1656000000,9961000000,4927000000,3645000000,3998000000,1044000000,2954000000,22000000,22000000,None,197000000,511000000,11092000000,3465000000,2425000000,None,147000000,66000000,7537000000,3000000,6138000000,80000000,6058000000,6204000000,655000000,670000000,2756000000,None,3624000000,594000000,118503631,CCK
2024-09-30,USD,15095000000,5110000000,1738000000,1738000000,1565000000,1577000000,9985000000,5021000000,None,4169000000,1108000000,3061000000,58000000,None,95000000,230000000,589000000,12563000000,4236000000,2479000000,None,838000000,89000000,7814000000,216000000,7421000000,749000000,6672000000,7510000000,873000000,675000000,2532000000,None,3390000000,599000000,119300000,CCK
2024-06-30,USD,14858000000,4932000000,1414000000,1414000000,1526000000,1771000000,9926000000,4980000000,None,4171000000,1140000000,3031000000,93000000,None,None,300000000,566000000,12351000000,4688000000,2303000000,None,1461000000,94000000,7193000000,219000000,7316000000,1367000000,5949000000,7410000000,904000000,671000000,2507000000,None,3657000000,605000000,119600000,CCK
2024-03-31,USD,14691000000,4581000000,1123000000,1123000000,1610000000,1637000000,10110000000,5049000000,None,4290000000,1201000000,3089000000,79000000,None,None,292000000,558000000,12221000000,3864000000,2154000000,None,830000000,87000000,7895000000,222000000,7366000000,743000000,6623000000,7453000000,832000000,687000000,2470000000,None,3513000000,605000000,119600000,CCK
2023-12-31,USD,15034000000,4833000000,1310000000,1310000000,1613000000,1719000000,10492000000,5062000000,3837000000,4375000000,1258000000,3117000000,87000000,87000000,None,471000000,553000000,12624000000,4201000000,2459000000,None,776000000,16000000,8361000000,5000000,7458000000,759000000,6699000000,7474000000,802000000,681000000,2410000000,None,3476000000,604000000,120644313,CCK
2023-09-30,USD,14321000000,4452000000,807000000,807000000,1664000000,1751000000,9869000000,4876000000,None,4242000000,1248000000,2994000000,93000000,None,None,230000000,537000000,11980000000,3957000000,2215000000,None,825000000,51000000,7536000000,222000000,7014000000,774000000,6240000000,7065000000,3132000000,726000000,2341000000,None,3473000000,604000000,119500000,CCK
2023-06-30,USD,14569000000,4612000000,547000000,547000000,1908000000,1897000000,9957000000,4890000000,None,4360000000,1310000000,3050000000,78000000,None,None,260000000,484000000,12334000000,3554000000,2325000000,None,246000000,106000000,8300000000,230000000,7126000000,140000000,6986000000,7232000000,3328000000,737000000,2235000000,None,3343000000,601000000,119400000,CCK
2023-03-31,USD,14412000000,4662000000,403000000,403000000,2058000000,1957000000,9750000000,4704000000,None,4339000000,1337000000,3002000000,79000000,None,None,244000000,483000000,12382000000,3576000000,2373000000,None,287000000,163000000,8354000000,231000000,7170000000,124000000,7046000000,7333000000,916000000,723000000,2030000000,None,3272000000,601000000,119200000,CCK
2022-12-31,USD,14301000000,4659000000,550000000,550000000,2014000000,1843000000,9957000000,4540000000,3515000000,4309000000,1358000000,2951000000,158000000,158000000,None,252000000,572000000,12452000000,3932000000,2773000000,None,187000000,76000000,8511000000,5000000,6901000000,109000000,6792000000,6977000000,974000000,712000000,1849000000,None,3141000000,600000000,119945302,CCK
2022-09-30,USD,14224000000,4967000000,368000000,368000000,2184000000,2124000000,9257000000,4265000000,None,4186000000,1345000000,2841000000,178000000,None,None,291000000,599000000,12558000000,4010000000,2888000000,None,177000000,83000000,8079000000,213000000,6803000000,94000000,6709000000,6886000000,945000000,754000000,1666000000,None,3070000000,929000000,119700000,CCK
2022-06-30,USD,14399000000,5101000000,438000000,438000000,2197000000,2151000000,9298000000,4133000000,None,4349000000,1406000000,2943000000,126000000,None,None,315000000,597000000,12660000000,5356000000,3175000000,None,1164000000,76000000,6853000000,225000000,6554000000,1088000000,5466000000,6630000000,1040000000,732000000,1739000000,None,3079000000,929000000,121000000,CCK
2022-03-31,USD,14430000000,5062000000,389000000,389000000,2063000000,2170000000,9368000000,4083000000,None,4483000000,1477000000,3006000000,141000000,None,None,440000000,606000000,12610000000,5106000000,2889000000,None,1233000000,96000000,7064000000,200000000,6791000000,1137000000,5654000000,6887000000,984000000,757000000,1820000000,None,3043000000,929000000,123600000,CCK
2021-12-31,USD,13858000000,4495000000,531000000,531000000,1735000000,1889000000,9747000000,4036000000,3382000000,4532000000,1525000000,3007000000,161000000,161000000,None,340000000,604000000,11946000000,4133000000,2901000000,None,212000000,75000000,7787000000,8000000,6187000000,135000000,6052000000,6262000000,14000000,696000000,1912000000,299000000,3180000000,630000000,126131799,CCK
2021-09-30,USD,16006000000,6105000000,2261000000,2261000000,1670000000,1840000000,9902000000,3838000000,None,4671000000,1591000000,3080000000,112000000,None,None,334000000,1194000000,13562000000,5535000000,2532000000,None,1941000000,79000000,7584000000,197000000,7896000000,1862000000,6034000000,7975000000,1020000000,745000000,2444000000,-289000000,4396000000,929000000,128700000,CCK
2021-06-30,USD,16695000000,7105000000,566000000,566000000,1492000000,1766000000,9592000000,3783000000,None,4770000000,1651000000,3119000000,119000000,None,None,3281000000,858000000,14433000000,4514000000,2236000000,None,170000000,76000000,9457000000,183000000,7973000000,94000000,7879000000,8049000000,1120000000,776000000,2262000000,-268000000,4824000000,929000000,133100000,CCK
2021-03-31,USD,16180000000,4603000000,588000000,588000000,1817000000,1868000000,11578000000,4190000000,None,6280000000,1793000000,4487000000,113000000,None,None,330000000,904000000,13803000000,3756000000,2500000000,None,162000000,80000000,9616000000,207000000,7957000000,82000000,7875000000,8037000000,1040000000,845000000,2377000000,-255000000,4722000000,929000000,133600000,CCK
2020-12-31,USD,16691000000,4903000000,1173000000,1173000000,1263000000,1522000000,12599000000,3652000000,3156000000,4901000000,1755000000,3146000000,24000000,25000000,None,254000000,885000000,14493000000,4282000000,2141000000,None,190000000,104000000,10296000000,10000000,8090000000,67000000,8023000000,8194000000,29000000,766000000,2198000000,255000000,4538000000,929000000,134801030,CCK
2020-09-30,USD,15629000000,4330000000,613000000,613000000,1642000000,1821000000,11301000000,3889000000,None,6280000000,1864000000,4416000000,84000000,None,None,254000000,921000000,13720000000,3624000000,2320000000,1000000,204000000,132000000,9687000000,213000000,8111000000,72000000,8039000000,8243000000,1047000000,836000000,1909000000,-255000000,4387000000,929000000,133300000,CCK
2020-06-30,USD,15265000000,3973000000,366000000,366000000,1747000000,1604000000,11293000000,3817000000,None,6174000000,1872000000,4302000000,128000000,None,None,256000000,1097000000,13450000000,3447000000,2183000000,3000000,203000000,131000000,9597000000,209000000,8071000000,72000000,7999000000,8202000000,1007000000,797000000,1815000000,-255000000,4173000000,929000000,133300000,CCK
2020-03-31,USD,15533000000,4250000000,765000000,765000000,1668000000,1554000000,11284000000,3752000000,None,6142000000,1893000000,4249000000,179000000,None,None,263000000,1182000000,13869000000,3238000000,2077000000,4000000,231000000,100000000,10242000000,210000000,8709000000,78000000,8631000000,8809000000,930000000,796000000,1664000000,-255000000,4047000000,929000000,134100000,CCK
2019-12-31,USD,12718000000,4002000000,607000000,607000000,1626000000,1528000000,12358000000,3887000000,3925000000,5107000000,2015000000,3092000000,20000000,20000000,None,241000000,967000000,13792000000,3899000000,2646000000,5000000,190000000,75000000,9996000000,11000000,7880000000,62000000,7818000000,7955000000,44000000,857000000,1713000000,251000000,3959000000,929000000,135577878,CCK
2019-09-30,USD,15337000000,4082000000,339000000,339000000,1740000000,1795000000,11286000000,3739000000,None,6367000000,2025000000,4342000000,89000000,None,None,208000000,949000000,13718000000,3632000000,2409000000,6000000,269000000,134000000,9696000000,11000000,8129000000,87000000,8042000000,8263000000,956000000,864000000,1619000000,-251000000,3872000000,929000000,133900000,CCK
2019-06-30,USD,15565000000,4214000000,342000000,342000000,1837000000,1830000000,11384000000,3761000000,None,6554000000,2106000000,4448000000,50000000,None,None,205000000,827000000,14271000000,3608000000,2355000000,7000000,272000000,135000000,10273000000,13000000,8637000000,88000000,8549000000,8772000000,983000000,880000000,1294000000,-252000000,3689000000,929000000,133900000,CCK
2019-03-31,USD,15357000000,4024000000,301000000,301000000,1851000000,1686000000,11127000000,3734000000,None,6554000000,2136000000,4418000000,49000000,None,None,186000000,832000000,14223000000,3342000000,2223000000,None,208000000,125000000,10350000000,13000000,8897000000,83000000,8814000000,9022000000,864000000,861000000,1134000000,-252000000,3552000000,929000000,133800000,CCK
2018-12-31,USD,15262000000,4079000000,607000000,607000000,1690000000,1602000000,11570000000,3745000000,3772000000,6635000000,2193000000,4442000000,19000000,19000000,None,180000000,803000000,14325000000,3913000000,2732000000,8000000,175000000,89000000,10551000000,None,8574000000,81000000,8493000000,8663000000,52000000,887000000,937000000,253000000,3449000000,929000000,135173948,CCK
2018-09-30,USD,15335000000,4098000000,298000000,298000000,1639000000,1968000000,11245000000,3722000000,None,6753000000,2258000000,4495000000,21000000,None,48000000,193000000,762000000,14394000000,3601000000,2507000000,None,142000000,53000000,10461000000,None,9017000000,89000000,8928000000,9070000000,952000000,880000000,941000000,-253000000,3396000000,929000000,133700000,CCK
2018-06-30,USD,15360000000,4155000000,298000000,298000000,1737000000,1790000000,11214000000,3688000000,None,6741000000,2298000000,4443000000,36000000,None,None,330000000,776000000,14576000000,3529000000,2452000000,None,115000000,31000000,10731000000,None,9320000000,84000000,9236000000,9351000000,962000000,844000000,784000000,-253000000,3232000000,929000000,133600000,CCK
2018-03-31,USD,13079000000,5261000000,2201000000,2201000000,1431000000,1386000000,7827000000,3322000000,None,3621000000,487000000,3134000000,11000000,None,1000000,243000000,875000000,12314000000,2861000000,2009000000,None,93000000,32000000,9135000000,None,7839000000,61000000,7778000000,7871000000,759000000,744000000,765000000,-258000000,3100000000,929000000,133500000,CCK
2017-12-31,USD,10663000000,3074000000,424000000,424000000,1385000000,None,7902000000,3239000000,3679000000,3518000000,472000000,3046000000,9000000,9000000,None,224000000,None,9740000000,3250000000,2367000000,8000000,126000000,62000000,6767000000,None,5281000000,64000000,5217000000,5343000000,23000000,1273000000,601000000,258000000,3004000000,929000000,134275609,CCK
2017-09-30,USD,10496000000,3153000000,374000000,374000000,1430000000,1098000000,7343000000,3066000000,None,3562000000,3562000000,3562000000,37000000,None,None,251000000,715000000,9698000000,3037000000,None,None,118000000,50000000,6369000000,None,5182000000,68000000,5114000000,5232000000,2987000000,714000000,798000000,-259000000,3093000000,929000000,134000000,CCK
2017-06-30,USD,10266000000,3020000000,301000000,301000000,1490000000,1005000000,7246000000,3020000000,None,3512000000,3512000000,3512000000,39000000,None,None,224000000,714000000,9644000000,2794000000,None,None,97000000,39000000,6551000000,None,5320000000,58000000,5262000000,5359000000,2755000000,703000000,622000000,-254000000,2916000000,929000000,135300000,CCK
2017-03-31,USD,9870000000,2888000000,338000000,338000000,1417000000,899000000,6982000000,2898000000,None,3357000000,3357000000,3357000000,69000000,None,None,234000000,727000000,9327000000,2496000000,None,None,94000000,37000000,6515000000,None,5263000000,57000000,5206000000,5300000000,2459000000,713000000,543000000,-241000000,2788000000,929000000,138500000,CCK
2016-12-31,USD,9599000000,2841000000,559000000,559000000,1245000000,865000000,6772000000,2820000000,3383000000,3263000000,472000000,2791000000,4000000,4000000,None,172000000,675000000,9233000000,2896000000,1951000000,None,194000000,33000000,6287000000,None,4878000000,161000000,4717000000,4911000000,36000000,698000000,366000000,230000000,2621000000,929000000,139840228,CCK
