fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-09-30,USD,981779000,3148000,2836000,2836000,2294000,None,151392000,146118000,None,2126000,2126000,None,913208000,None,None,8645000,None,504627000,145302000,None,None,None,125000000,359325000,4031000,473716000,125000000,None,473716000,139422000,6102000,477152000,None,83843000,282000,28242000,CHCT
2024-03-31,USD,982701000,4223000,3805000,3805000,-21489999,None,147872000,142120000,None,2560000,2560000,None,901122000,None,21490000,10036000,None,471055000,106217000,None,None,None,89147000,364838000,4045000,442320000,89000000,None,442320000,-147000,7473000,511646000,None,-200612000,277000,27701000,CHCT
2023-12-31,USD,945412000,3962000,3491000,3491000,71373000,None,142392000,136532000,None,2645000,2645000,None,865854000,None,16417000,9811000,None,432156000,67410000,None,None,None,197000,364746000,4052000,403256000,50000000,None,403256000,-5378000,7438000,513256000,None,88856000,276000,27613000,CHCT
2023-09-30,USD,955126000,4409000,3885000,3885000,-29037999,None,141898000,135809000,None,2853000,2853000,None,880969000,None,29038000,-61562000,None,432832000,68193000,None,None,None,48000000,364639000,4054000,401192000,48000000,None,401192000,20193000,7393000,522294000,None,-183733000,273000,27265000,CHCT
2023-06-30,USD,900466000,3204000,2627000,2627000,-23085000,None,133467000,127433000,None,2554000,2554000,None,828264000,None,23085000,-59942000,None,395141000,31240000,None,None,None,15000000,363901000,4058000,368127000,15000000,None,368127000,16240000,16409000,505325000,None,-175082000,265000,26541000,CHCT
2023-03-31,USD,886294000,4296000,3666000,3666000,-16397000,None,128695000,122702000,None,2441000,2441000,None,813077000,None,16397000,-62637000,None,391779000,10478000,None,None,None,12000000,381301000,4061000,365061000,12000000,None,365061000,-12000000,16240000,494515000,None,-169816000,263000,26274000,CHCT
2022-12-31,USD,876425000,11916000,11233000,11233000,-22667000,None,123666000,117657000,None,2399000,2399000,None,800493000,None,22667000,-65916000,None,379611000,11377000,None,None,None,141000,368234000,4065000,352997000,None,None,352997000,183000,7319000,496814000,None,-151248000,259000,25897000,CHCT
2022-09-30,USD,811929000,3393000,2656000,2656000,-21468000,None,107635000,103413000,None,568000,568000,None,751386000,None,21468000,1821000,None,333443000,68892000,None,None,None,57000000,264551000,4066000,310781000,57000000,None,310781000,11892000,14519000,478486000,None,-145203000,253000,25299000,CHCT
2022-06-30,USD,786034000,2489000,1699000,1699000,-12761000,None,105393000,101909000,None,517000,517000,None,730193000,None,12761000,1387000,None,313072000,49186000,None,None,None,38000000,263886000,3762000,291726000,38000000,None,291726000,11186000,14127000,472962000,None,-139681000,251000,25099000,CHCT
2022-03-31,USD,761230000,2021000,1178000,1178000,-7645000,None,102121000,98561000,None,557000,557000,None,707415000,None,7645000,1270000,None,290116000,26754000,None,None,None,16000000,263362000,3765000,269670000,16000000,None,269670000,10754000,13552000,471114000,None,-134227000,251000,25072000,CHCT
