fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-12-31,USD,8511903000,370635000,17198000,17198000,14572000,197406000,10959664000,7384111000,5653837000,387199000,63885000,323314000,266488000,18380000,None,141459000,757157000,4413873000,1122578000,123249000,20696000,332002000,383476000,3321086000,21040000,2166000000,327766000,1838234000,2166000000,585941000,137644000,4098030000,None,1753293000,1490000,148879640,CNX
2024-09-30,USD,8538049000,332939000,1310000,1310000,12965000,152385000,11310747000,7373367000,5533957000,388838000,65524000,323314000,394272000,18369000,None,166279000,831743000,4281334000,892737000,120125000,15967000,329812000,378845000,3388597000,10270000,2284891000,327236000,1957655000,2284891000,369798000,142954000,4256715000,None,1914218000,1494000,149256306,CNX
2024-06-30,USD,8602954000,368547000,3923000,3923000,14505000,146495000,11322083000,7383540000,5415933000,390476000,67162000,323314000,443207000,15394000,None,203624000,850867000,4352309000,893353000,126192000,18959000,329244000,434436000,3458956000,10710000,2282143000,326710000,1955433000,2282143000,304128000,142675000,4250645000,None,1893215000,1516000,151545126,CNX
2024-03-31,USD,8656642000,460442000,1988000,1988000,14368000,134697000,11239867000,7361560000,5301316000,392114000,68800000,323314000,527743000,13631000,974000,309389000,834640000,4347322000,874102000,163016000,16475000,328084000,380070000,3473220000,5419000,2268695000,326187000,1942508000,2268695000,301802000,142372000,4309320000,None,1941892000,1534000,153275909,CNX
2023-12-31,USD,8626657000,421788000,443000,443000,19846000,133991000,10262829000,7342633000,5194485000,393752000,70438000,323314000,533054000,13682000,5449000,267508000,862236000,4265640000,822998000,147361000,15831000,327530000,436974000,3474297000,5500000,2214374000,325668000,1888706000,2214374000,213489000,97582000,4361017000,None,1981860000,1548000,154382880,CNX
2023-09-30,USD,8492637000,300592000,8653000,8653000,20007000,91355000,11264261000,7308648000,5091172000,395390000,72076000,323314000,465923000,12408000,9948000,180577000,883397000,4535323000,991018000,185951000,15676000,326944000,382392000,3544305000,5384000,2168932000,325152000,1843780000,2168932000,406999000,98644000,3957314000,None,1538136000,1600000,159644764,CNX
2023-06-30,USD,8531855000,399823000,22765000,22765000,26470000,109072000,11187209000,7239832000,5008026000,397028000,73714000,323314000,546061000,13162000,14065000,241516000,892200000,4548668000,692013000,164177000,20856000,1379000,54545000,3856655000,3732000,2166994000,None,2154093000,2166994000,452435000,73968000,3983187000,None,1547036000,1625000,162071479,CNX
2023-03-31,USD,8340145000,351598000,2799000,2799000,29339000,144223000,10912492000,7185944000,4913268000,398666000,75352000,323314000,380555000,11828000,14347000,175237000,802603000,4772849000,704908000,195867000,18596000,1423000,52267000,4067941000,4023000,2216629000,None,2203108000,2216629000,438178000,73925000,3567296000,None,1103995000,1663000,165936491,CNX
2022-12-31,USD,8515773000,573804000,21321000,21321000,27156000,354642000,10024824000,7096509000,4811189000,400304000,76990000,323314000,399405000,None,14600000,170685000,845460000,5565312000,1312804000,191343000,22095000,881000,48317000,4282853000,1970000,2205735000,0,2205735000,2205735000,1051049000,74318000,2950461000,None,448993000,1712000,170841164,CNX
2022-09-30,USD,8633126000,723739000,1594000,1594000,19650000,484524000,10851853000,7033643000,4704665000,401942000,78628000,323314000,472469000,13332000,12577000,217971000,875744000,6656138000,2258028000,169406000,22543000,323808000,372518000,4398110000,1375000,2243562000,323122000,1920440000,2243562000,1693561000,86814000,1976988000,None,-613426000,1835000,183072552,CNX
2022-06-30,USD,8695890000,618197000,238000,238000,14490000,453474000,11180828000,7012724000,4593364000,403580000,80266000,323314000,572761000,14978000,7864000,149995000,1064969000,6158866000,2031973000,154449000,15724000,323259000,364210000,4126893000,1342000,2229696000,322622000,1907074000,2229696000,1497590000,90850000,2537024000,None,-116081000,1918000,191400910,CNX
2022-03-31,USD,8223524000,416876000,8570000,8570000,6469000,268260000,10645766000,6996124000,4488326000,405218000,81904000,323314000,416653000,15602000,4768000,697059000,810524000,5654012000,2127342000,120513000,15577000,336686000,346689000,3526670000,1304000,2226873000,336083000,1890790000,2226873000,1644563000,91460000,2569512000,None,-110005000,1955000,195139160,CNX
2021-12-31,USD,8100751000,459807000,3565000,3565000,6147000,339118000,9685823000,6989483000,4372619000,406857000,83543000,323314000,226996000,None,228000,110977000,56588000,4400478000,954576000,121751000,18984000,555000,23495000,3487050000,1218000,2214121000,0,2214121000,2214121000,790346000,92077000,3700273000,None,877894000,2039000,203531320,CNX
2021-09-30,USD,8228153000,583824000,365000,365000,5486000,260640000,10334092000,6960317000,4246423000,408495000,85181000,323314000,280066000,17020000,29000,317333000,684012000,5041637000,1767346000,107266000,17472000,232170000,267631000,3274291000,1097000,2435406000,231675000,2203731000,2435406000,1374977000,43143000,3186516000,None,299438000,2124000,211982785,CNX
2021-06-30,USD,8072110000,333976000,39365000,39365000,5698000,168394000,10472496000,7008640000,4119856000,410133000,86819000,323314000,328810000,16726000,128000,120519000,729494000,3935179000,809195000,118574000,10980000,23504000,70702000,3125984000,854000,2289068000,23098000,2265970000,2289068000,608939000,43443000,4136931000,None,1199570000,2191000,218664158,CNX
2021-03-31,USD,8069237000,277446000,29610000,29610000,7249000,157433000,10561650000,7019764000,4064594000,411771000,88457000,323314000,322118000,16172000,138000,441171000,772027000,3558827000,457907000,114535000,10889000,27194000,79694000,3100920000,956000,2368260000,22055000,2346205000,2368260000,252789000,43747000,4510410000,None,1563318000,2207000,220263606,CNX
2020-12-31,USD,8041764000,273332000,15617000,15617000,9657000,150255000,9752376000,7025545000,3938451000,413409000,90095000,323314000,288916000,16022000,141000,97803000,27311000,3619327000,441312000,118185000,10986000,29450000,82025000,3220304000,1057000,2424001000,22574000,2401427000,2424001000,230116000,44041000,4422437000,None,1476056000,2208000,220440993,CNX
