fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-12-31,USD,538777000,383161000,162944000,162944000,None,149670000,155616000,91256000,None,37319000,505000,36814000,None,None,None,114039000,462000,237927000,216738000,14585000,30733000,None,None,21189000,29541000,None,None,None,21189000,200108000,None,300850000,822514000,876666000,5000,51367173,CRVL
2024-09-30,USD,518553000,363333000,138349000,138349000,13481000,144519000,155220000,89115000,None,37425000,611000,36814000,None,None,None,122591000,679000,235781000,212859000,13700000,29958000,None,8779000,22922000,31701000,None,None,None,31701000,189906000,None,282772000,813020000,852895000,3000,17135160,CRVL
2024-06-30,USD,486172000,333258000,131908000,131908000,1,140558000,152914000,86865000,None,37530000,716000,36814000,None,None,None,103601001,1465000,222299000,200585000,12369000,30217000,None,8734000,21714000,30448000,None,None,None,30448000,173170000,None,263873000,803000000,829497000,3000,17123561,CRVL
2024-03-31,USD,454679000,302231000,105563000,105563000,None,139525000,152448000,85892000,222994000,37635000,821000,36814000,None,None,None,9249000,1318000,207032000,184499000,16410000,29961000,None,8864000,22533000,31397000,None,None,None,31397000,40901000,None,247647000,793905000,807920000,3000,17128896,CRVL
2023-12-31,USD,444995000,294392000,106994000,106994000,None,131171000,150603000,85216000,None,37741000,927000,36814000,None,None,None,94741000,1416000,211465000,188387000,14925000,29823000,None,9316000,23078000,32394000,None,None,None,32394000,53277000,None,233530000,784724000,788466000,3000,17099318,CRVL
2023-09-30,USD,434117000,281875000,91749000,91749000,None,118345000,152242000,84939000,None,37847000,1033000,36814000,None,None,None,103189000,1405000,211548000,186499000,15148000,29171000,None,9547000,25049000,25049000,None,None,None,25049000,27150000,None,222569000,775400000,771371000,3000,17119483,CRVL
2023-06-30,USD,417573000,267950000,86593000,86593000,1,111775000,149623000,84276000,None,37953000,1139000,36814000,None,None,None,97181000,723000,210593000,187731000,14653000,27738000,None,9303000,22862000,22862000,None,None,None,22862000,30863000,None,206980000,766000000,751473000,3000,17113915,CRVL
2023-03-31,USD,393923000,243770000,71329000,71329000,-91326978000,107673000,150153000,82770000,216954000,38058000,1244000,36814000,None,None,None,9569000,1380000,191747000,167887000,15058000,26978000,None,9900000,23860000,33760000,None,None,None,33760000,35678000,23860000,202176000,748195000,731668000,3000,17169500,CRVL
2022-12-31,USD,407687000,256743000,78031000,78031000,1,111668000,150944000,82066000,None,38164000,1350000,36814000,None,None,None,95921000,778000,212882000,186426000,14702000,26340000,None,10687000,25773000,25773000,None,None,None,36460000,49926000,25773000,194805000,729601000,713499000,3000,17180180,CRVL
2022-09-30,USD,399886000,248383000,75625000,75625000,None,112990000,151503000,82506000,None,38270000,1456000,36814000,None,None,None,87971000,797000,202053000,175510000,16744000,27051000,None,11495000,25436000,25436000,None,None,None,36931000,44166000,25436000,197833000,707000000,696650000,3000,17314186,CRVL
