fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-11-30,USD,775351000,349770000,130733000,130733000,81198000,100654000,425581000,45821000,120188000,321984000,34482000,287502000,None,None,None,37185000,57776000,377342000,119942000,46931000,2690000,5000000,5000000,257400000,None,193750000,5000000,188294000,193750000,43835000,53928000,398009000,None,279239000,10880000,54242000,EPAC
2024-08-31,USD,777328000,372258000,167094000,167094000,72887000,104335000,438031000,40285000,119989000,305655000,36058000,269597000,None,None,None,23411000,59130000,385349000,129393000,43368000,2329000,5000000,14464000,277414000,None,195000000,5000000,189503000,195000000,49848000,52684000,391979000,0,261870000,10847000,54312000,EPAC
2024-05-31,USD,749464000,347798000,132362000,132362000,79107000,107617000,401666000,36237000,118138000,303057000,36243000,266814000,None,None,None,22879000,62372000,383693000,121991000,41664000,2396000,5000000,5000000,261702000,None,196250000,5000000,190711000,196250000,43799000,57462000,365771000,0,245256000,10858000,54292000,EPAC
2024-02-29,USD,769286000,367305000,153693000,153693000,82872000,97590000,401981000,36963000,115878000,302969000,36856000,266113000,None,None,None,28658000,62049000,432360000,118149000,44016000,3652000,5000000,5000000,314211000,None,245500000,5000000,239920000,245500000,44621000,57581000,336926000,0,222047000,10851000,54213000,EPAC
2023-11-30,USD,765567000,359959000,147956000,147956000,80081000,94925000,405608000,37963000,114020000,304264000,37726000,266538000,None,None,None,36997000,63381000,443891000,126984000,45505000,3469000,4375000,4375000,316907000,None,245125000,4375000,240128000,245125000,50557000,60580000,321676000,826622000,1028871000,16793000,54527000,EPAC
2023-08-31,USD,762597000,355640000,154415000,154415000,74765000,97649000,444671000,38968000,111668000,303832000,37338000,266494000,None,None,None,28811000,64157000,435977000,148120000,50483000,2927000,3750000,0,311435000,None,214750000,3750000,210337000,214750000,56922000,61606000,326620000,800506000,1011112000,16752000,55741000,EPAC
2023-05-31,USD,793074000,373441000,142001000,142001000,93037000,103565000,419633000,41783000,122811000,303770000,39084000,264686000,None,None,None,34838000,74080000,456455000,140223000,47151000,2795000,3125000,0,316232000,None,235375000,3125000,231545000,235375000,55398000,64969000,336619000,763675000,991081000,16750000,57052000,EPAC
2023-02-28,USD,773187000,355290000,124663000,124663000,94206000,100339000,417897000,41248000,119957000,301859000,39716000,262143000,None,None,None,36082000,74790000,432399000,143419000,54291000,3173000,2500000,0,288980000,None,210000000,2500000,206754000,210000000,55839000,62047000,340788000,742844000,978701000,16746000,57042000,EPAC
2022-11-30,USD,774401000,352673000,129243000,129243000,90664000,97707000,421728000,41784000,117630000,302690000,41031000,261659000,None,None,None,35059000,77254000,440078000,154146000,74673000,3156000,1875000,0,285932000,None,203000000,1875000,200359000,203000000,49165000,65784000,334323000,742844000,974204000,16706000,56886000,EPAC
2022-08-31,USD,757312000,342380000,120699000,120699000,83672000,106747000,458205000,41372000,114320000,299456000,41507000,257949000,None,None,None,31884000,74104000,438701000,153188000,72524000,2804000,4000000,4000000,311635000,None,204000000,0,200000000,204000000,50680000,66217000,318611000,742844000,966751000,16679000,57276000,EPAC
2022-05-31,USD,797299000,366288000,123705000,123705000,86897000,117029000,431011000,44400000,115251000,312362000,45163000,267199000,None,None,None,38657000,74249000,431027000,134526000,65741000,3348000,None,None,296501000,None,205000000,None,205000000,205000000,43666000,68736000,366272000,704027000,958991000,16670000,60227000,EPAC
2022-02-28,USD,821462000,374063000,133430000,133430000,89479000,113460000,447399000,46480000,115741000,322045000,48608000,273437000,None,None,None,37694000,78874000,408439000,140316000,66422000,3653000,None,3653000,268123000,None,175000000,None,175000000,178653000,46772000,70778000,413023000,667732000,957348000,16669000,60387000,EPAC
2021-11-30,USD,812468000,361089000,126533000,126533000,83614000,112293000,451379000,47732000,114214000,324697000,51400000,273297000,None,None,None,38649000,78950000,402662000,131636000,63474000,3939000,None,3939000,271026000,None,175000000,None,175000000,178939000,45072000,74316000,409806000,667732000,956127000,16622000,60261000,EPAC
2021-08-31,USD,820247000,357435000,140352000,140352000,75347000,103233000,514401000,48590000,113568000,332138000,54545000,277593000,None,None,None,38503000,82084000,408049000,134764000,61958000,3410000,0,0,309456000,None,175000000,None,175000000,175000000,45535000,76105000,412198000,667732000,953339000,16604000,60204000,EPAC
2021-05-31,USD,842702000,371817000,136279000,136279000,74743000,112590000,470885000,50147000,113005000,344559000,57626000,286933000,None,None,None,48205000,76179000,425791000,134443000,59898000,3506000,None,3506000,291348000,None,195000000,0,195000000,198506000,44753000,74634000,416911000,667732000,950482000,16598000,60144000,EPAC
2021-02-28,USD,809001000,325443000,115254000,115254000,71774000,94984000,483558000,61258000,117477000,343711000,58980000,284731000,None,None,None,43431000,78589000,427608000,115255000,49736000,3014000,None,None,312353000,None,210000000,0,210000000,210000000,39805000,81458000,381393000,667732000,925451000,16576000,59938000,EPAC
2020-11-30,USD,838575000,357815000,158568000,158568000,70701000,90531000,480760000,60219000,108899000,341074000,60097000,280977000,None,None,None,38015000,79467000,470629000,109704000,46954000,3193000,None,7500000,360925000,None,255000000,0,255000000,262500000,41971000,84711000,367946000,667732000,922269000,16525000,59811000,EPAC
2020-08-31,USD,824294000,341132000,152170000,152170000,69171000,84170000,531895000,61405000,106679000,343536000,62382000,281154000,None,None,None,35621000,78221000,465068000,105522000,45069000,2145000,None,18022000,357838000,None,255000000,0,255000000,255000000,40723000,82648000,359226000,667732000,917671000,16519000,59772000,EPAC
2020-05-31,USD,851535000,379828000,163603000,163603000,78914000,93796000,522618000,60671000,108554000,334002000,62833000,271169000,None,None,None,43515000,77034000,515253000,122539000,52091000,2233000,None,None,432653000,None,287559000,0,286497000,287559000,49525000,84102000,336282000,667732000,918623000,16513000,59826000,EPAC
2020-02-29,USD,879342000,398163000,163437000,163437000,78046000,113294000,534734000,63065000,108907000,338329000,66501000,271828000,None,None,None,43386000,79785000,524977000,129561000,62291000,1334000,13131000,None,435739000,None,287559000,0,286367000,287559000,43687000,87525000,354365000,658017000,923622000,16508000,60130000,EPAC
2019-11-30,USD,908512000,452732000,206780000,206780000,79508000,122027000,511370000,56094000,110205000,315204000,51235000,263969000,0,0,None,42720000,84482000,555259000,157270000,68790000,1775000,13174000,None,440019000,None,287559000,0,286236000,287559000,54649000,90380000,353253000,658017000,921460000,16450000,60081000,EPAC
2019-08-31,USD,1124274000,730325000,211151000,211151000,77187000,125883000,393949000,56729000,113015000,312790000,52375000,260415000,0,0,None,30526000,24430000,823095000,300401000,76914000,3707000,7500000,7500000,522694000,None,462559000,7500000,452945000,462559000,40965000,47972000,301179000,640212000,915466000,16384000,60908000,EPAC
2019-05-31,USD,1393156000,616209000,201334000,201334000,167592000,202808000,776947000,89973000,188792000,649681000,158182000,491499000,0,0,None,44475000,37293000,785732000,233563000,126145000,None,6250000,6250000,552169000,None,477559000,6250000,468984000,477559000,52477000,47809000,607424000,617731000,1184749000,16374000,61422000,EPAC
