fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-09-30,USD,95945000,66282000,6587000,6587000,None,69934000,28408000,362000,None,22666000,22666000,0,None,None,None,7060000,3364000,75966000,70407000,7902000,428000,32582000,34804000,5559000,2374000,37942000,32582000,5360000,37942000,27273000,47000,19979000,11407000,-407365000,46000,16876773,FLNT
2024-06-30,USD,98495000,67145000,4973000,4973000,None,75545000,29886000,431000,None,23770000,23770000,0,None,None,None,7109000,3183000,71042000,69544000,7814000,717000,32538000,37060000,1498000,2934000,33288000,32538000,750000,33288000,21692000,75000,27453000,11407000,-399421000,44000,13911651,FLNT
2024-03-31,USD,103577000,71416000,11658000,11658000,None,72044000,32161000,502000,None,27402000,26141000,1261000,None,None,None,6337000,1305000,74831000,73528000,8829000,561000,30981000,33260000,1303000,3467000,30981000,30981000,0,30981000,30878000,115000,28746000,11407000,-387794000,43000,13660598,FLNT
2023-12-31,USD,111867000,78406000,15804000,15804000,None,78019000,33461000,591000,3049000,28070000,26809000,1261000,None,None,None,6071000,1405000,77463000,49214000,10954000,430000,5000000,32784000,28249000,3995000,30488000,5000000,25488000,30488000,30534000,1062000,34404000,11407000,-381518000,43000,81306322,FLNT
2023-09-30,USD,112090000,77097000,20513000,20513000,None,71889000,34993000,687000,None,28971000,27710000,1261000,None,None,None,8069000,1502000,76600000,72173000,11841000,492000,31799000,36389000,4427000,4515000,31799000,31799000,0,31799000,21156000,2207000,35490000,11407000,-379619000,43000,81192158,FLNT
2023-06-30,USD,155082000,89044000,20983000,20983000,None,79646000,66038000,783000,None,59491000,28525000,30966000,None,None,None,5920000,1486000,86947000,53976000,13303000,895000,10000000,7309000,32971000,5043000,37989000,10000000,27989000,37989000,26525000,2248000,68135000,11407000,-349070000,43000,81139657,FLNT
2023-03-31,USD,157170000,88914000,26567000,26567000,None,79536000,68256000,861000,None,61004000,27650000,33354000,None,None,None,5588000,1648000,94246000,54472000,12929000,1005000,5000000,7349000,39774000,5591000,39404000,5000000,34404000,39404000,33189000,2128000,62924000,11407000,-350243000,43000,80933828,FLNT
2022-12-31,USD,183969000,92217000,25547000,25547000,None,90042000,91752000,964000,2651000,83856000,28745000,55111000,None,None,None,3506000,1730000,90014000,50219000,6190000,1014000,5000000,77500000,39795000,6132000,40594000,5000000,35594000,118094000,35626000,458000,93955000,11171000,-318300000,42000,80085306,FLNT
2022-09-30,USD,253018000,102968000,33106000,33106000,None,95934000,150050000,1063000,None,141494000,30714000,110780000,None,None,None,2312000,1840000,92969000,51228000,14918000,1331000,5000000,7402000,41741000,6640000,120530000,5000000,36780000,120530000,27577000,723000,160049000,11171000,-250812000,42000,79942810,FLNT
2022-06-30,USD,259140000,106483000,26396000,26396000,None,109790000,152657000,1162000,None,143652000,32872000,110780000,None,None,None,2101000,1917000,103022000,59591000,17043000,698000,5000000,7227000,43431000,6955000,37964000,5000000,37964000,37964000,69246000,739000,156118000,11171000,-253925000,42000,79845930,FLNT
2022-03-31,USD,306795000,96105000,28944000,28944000,None,94981000,210690000,1298000,None,201118000,34938000,166180000,None,None,None,2138000,1905000,94620000,49534000,12782000,701000,5000000,7228000,45086000,7441000,39147000,5000000,39147000,39147000,28823000,726000,212175000,11171000,-196981000,42000,79683435,FLNT
2021-12-31,USD,318182000,107200000,34467000,34467000,None,102070000,210982000,1457000,2246000,200835000,35747000,165088000,None,None,None,2505000,1885000,104772000,57940000,16130000,651000,5000000,5000000,46832000,7919000,40329000,5000000,40329000,45329000,33932000,811000,213410000,10723000,-194968000,42000,78965260,FLNT
2021-09-30,USD,309543000,94391000,15615000,15615000,None,104260000,213672000,1641000,None,203141000,38053000,165088000,None,None,None,2208000,1857000,101165000,52993000,16185000,722000,5000000,7202000,48172000,8194000,46507000,5000000,41507000,46507000,28884000,673000,208378000,10718000,-198798000,42000,78928638,FLNT
2021-06-30,USD,310870000,92716000,25139000,25139000,None,91486000,216674000,1831000,None,205566000,40478000,165088000,None,None,None,1672000,1817000,102516000,48320000,16364000,1222000,6250000,8511000,54196000,8666000,48933000,6250000,42683000,48933000,22223000,5108000,208354000,10666000,-196346000,41000,78371427,FLNT
2021-03-31,USD,318182000,93967000,32660000,32660000,None,79441000,219840000,2025000,None,208185000,43097000,165088000,None,None,None,3303000,1755000,103078000,48122000,13484000,1935000,6250000,8528000,54956000,9127000,50098000,6250000,43848000,50098000,24175000,4259000,212209000,10623000,-191167000,41000,78173812,FLNT
2020-12-31,USD,310220000,86191000,21087000,21087000,None,91006000,222549000,2201000,1465000,210505000,45417000,165088000,None,None,None,2435000,1559000,93335000,50217000,7692000,1373000,7293000,9584000,43118000,9581000,40576000,7293000,33283000,40576000,31568000,2545000,216885000,9999000,-184909000,40000,76349274,FLNT
2020-09-30,USD,305313000,77683000,15394000,15394000,None,86929000,226150000,2396000,None,213237000,48149000,165088000,None,None,None,2878000,1852000,89169000,43180000,7478000,2440000,4750000,7033000,45989000,10019000,41138000,4750000,36388000,41138000,26229000,1865000,216144000,9974000,-185087000,40000,76323720,FLNT
2020-06-30,USD,308401000,77518000,20218000,20218000,None,78446000,229403000,2566000,None,216182000,51094000,165088000,None,None,None,1996000,1592000,94586000,47052000,11601000,2468000,9677000,11956000,47534000,10455000,47792000,9677000,38115000,47792000,21027000,1243000,213815000,9930000,-186256000,40000,76292587,FLNT
2020-03-31,USD,308254000,76042000,13086000,13086000,None,81617000,230732000,2684000,None,217494000,52720000,164774000,None,None,None,1944000,1106000,96189000,43258000,15854000,1526000,4750000,7021000,52931000,10878000,48329000,4750000,43579000,48329000,18857000,745000,212065000,9900000,-186708000,40000,76207613,FLNT
2019-12-31,USD,317093000,81515000,18679000,18679000,None,89976000,234098000,2863000,695000,220377000,55603000,165905000,None,None,None,1921000,993000,106156000,52227000,21574000,1140000,9155000,9155000,53929000,11338000,50971000,6873000,44098000,50971000,20358000,775000,210937000,8184000,-187116000,39000,75873679,FLNT
2019-09-30,USD,310668000,71988000,24228000,24228000,None,64826000,237598000,3037000,None,223650000,58876000,164774000,None,None,None,2015000,579000,101215000,44043000,17396000,1178000,8400000,8400000,57172000,11849000,52987000,6058000,46929000,52987000,17069000,736000,209453000,6368000,-188072000,39000,76783296,FLNT
2019-06-30,USD,301619000,70034000,21836000,21836000,None,69445000,219834000,3025000,None,216374000,56583000,159791000,None,None,None,2493000,435000,89348000,31290000,6426000,None,5380000,7564000,48411000,11831000,158465000,5380000,47645000,158465000,16654000,766000,212271000,6351000,-183609000,39000,76749285,FLNT
