fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-12-31,USD,11091454,11091454,10700000,10700000,None,136580,None,None,None,None,None,None,None,None,None,234696,None,5777892,5777892,329304,None,None,66844,None,66844,None,None,None,66844,5381744,None,5313562,None,-494364370,64484,64483958,GLYC
2024-09-30,USD,15698141,15645821,14400000,14400000,None,50255,52320,None,None,None,None,None,None,None,14377272336,1203902,None,4321856,4321856,581794,None,None,262133,None,262133,None,None,None,262133,3477929,None,11376285,None,-487141618,64484,64483958,GLYC
2024-06-30,USD,24418819,23857505,22386052,22386052,None,76710,424209,None,None,None,None,None,None,None,None,1394743,None,4356316,4356316,950763,None,None,448775,None,448775,None,None,None,448775,2956778,None,20062503,None,-477317285,64484,64483958,GLYC
2024-03-31,USD,34204913,33267393,31281460,31281460,None,109946,790525,None,None,None,None,None,None,None,None,1875987,None,5294201,5294201,755534,None,None,630827,None,630827,None,None,None,630827,3907840,None,28910712,None,-467221879,64451,64450835,GLYC
2023-12-31,USD,45316475,43790734,41792830,41792830,None,175820,1371565,None,None,None,None,None,None,None,None,1822084,None,6902074,6835230,868115,None,None,741558,66844,808402,None,None,None,808402,5225557,None,38414401,None,-456485212,64394,64393744,GLYC
2023-09-30,USD,53200684,52010075,49407629,49407629,49358032051,188949,1138289,132979,2510136,None,None,None,None,None,None,2602446000,None,6653013,6390880,329885,None,None,749618000,262133,1011751,None,None,None,1011751000,4981492000,None,46547671,None,-447406572000,64369,64368843,GLYC
2023-06-30,USD,61821513,60368834,58037072,58037072,-2329645606,215368,1400359,167859,2467389,None,None,None,None,None,None,2331762000,None,7020777,6572002,241487,None,None,820243,448775,1269018,None,None,None,1269018,5510272000,448775,54800736,None,-438204054,64313,64313333,GLYC
2023-03-31,USD,68921654,68086531,65002342,65002342,-3081338925,234114,782803,200747,2430454,None,None,None,None,None,None,3084189000,None,6740208,6740208,480151,None,None,651734,1131885000,651734,None,None,None,651734,5608323,None,62181446,None,-429945142,64245,64245224,GLYC
2022-12-31,USD,51810589,50714705,47870619,47870619,-144397,144016,1043564,242390,2386615,None,None,None,None,None,None,2844086,None,8880752,8880752,970191,None,None,918555,1888746,918555,None,None,None,918555,6992006,None,42929837,None,-419585792,54378,54377798,GLYC
2022-09-30,USD,55961447,53848198,51624781,51624781,None,90331,2060929,288107,2340897,None,None,None,None,None,None,2133086,None,7843864,7748251,852125,None,None,1084491,95613,1180104,None,None,None,1180104,5811635,95613,48117583,None,-409341437,52424,52423944,GLYC
2022-06-30,USD,65044021,61263617,60244377,60244377,None,120866,3728084,332971,2298105,None,None,None,None,None,None,898374,None,9316578,8937786,1270945,None,None,1056176,378792,1434968,None,None,None,1434968,6610665,None,55727443,None,-400817598,52424,52423944,GLYC
2022-03-31,USD,81464771,77463618,76516226,76516226,None,4775,3948833,350055,2382203,None,None,None,None,None,None,942617,None,13433519,12781733,2276173,None,None,1028534,651786,1680320,None,None,None,1680320,9477026,None,68031252,None,-387550031,52392,51738894,GLYC
2021-12-31,USD,94346648,90788694,90254890,90254890,-535151,1347,3505634,368842,2322895,None,None,None,None,None,None,533804,None,12742997,11824390,2107615,None,None,1001407,918607,1920014,None,None,None,1920014,7796761,None,81603651,None,-372896990,52314,52313894,GLYC
2021-09-30,USD,107944903,104133675,101924284,101924284,None,1443,3758908,428038,2261253,None,None,None,None,None,None,2207948,None,11379155,9660412,1390431,None,None,974816,1718743,2154972,None,None,None,2154972,7295165,None,96565748,None,-355475194,51739,51738894,GLYC
2021-06-30,USD,124378679,120314961,118854094,118854094,None,1656,4011398,491088,2193868,None,None,None,None,None,None,1459211,None,12092259,10248917,1174589,None,None,948787,1843342,2383806,None,None,None,2383806,8125541,1843342,112286420,None,-338142873,51539,51539010,GLYC
2021-03-31,USD,138019903,133708867,132470624,132470624,None,444568,4258716,553471,2126383,None,None,None,None,None,None,793675,None,12896383,10842151,2140800,None,None,923433,2054232,2603754,None,None,None,2603754,7777918,2054232,125123520,None,-323743612,51539,51539010,GLYC
2020-12-31,USD,142832169,138273345,137035017,137035017,17,2149,4506504,620673,2132299,None,None,None,None,None,None,1236179,None,14612713,12428369,2089939,None,None,898549,2184344,2818564,None,None,None,2818564,9439881,2184344,128219456,None,-309469553,49018,49017622,GLYC
2020-09-30,USD,150419173,145643140,142870347,142870347,None,1672,4723713,661541,2063944,None,None,None,None,None,None,2771121,None,12153445,9818355,1073610,None,None,874158,2335090,3029131,None,None,None,3029131,7870587,2335090,138265728,None,-293906818,47829,47828831,GLYC
2020-06-30,USD,158352737,153357995,149844590,149844590,None,49362,4942422,708159,1997417,None,None,None,None,None,None,3464043,None,12600241,9701289,1371308,None,850188,850188,2898952,3233996,None,850188,None,3233996,7479793,2898952,145752496,None,-280184283,46713,46714698,GLYC
2020-03-31,USD,162099418,156881819,154823138,154823138,None,91637,5165279,762865,1929737,None,None,None,None,None,None,1967044,None,13609315,10612336,3134282,None,826942,826942,2996979,3430648,None,826942,None,3430648,6651112,2996979,148490103,None,-266105254,43581,43582979,GLYC
2019-12-31,USD,167969679,162527763,158201441,158201441,441,185953,5389596,822920,1861545,None,None,None,None,None,None,4140369,None,13769092,10950576,1435660,None,804126,804126,2818516,3622642,None,804126,None,3622642,8710790,2818516,154200587,None,-258442650,43465,43466933,GLYC
2019-09-30,USD,180454643,174796771,170886792,170886792,None,578581,5605552,878406,1793703,None,None,None,None,None,None,3331398,None,13373666,10436339,1407548,None,783925,783925,2937327,3721252,None,783925,None,3721252,8244866,2937327,167080977,None,-243716333,43358,43359949,GLYC
2019-06-30,USD,192334843,186468724,184167114,184167114,None,313112,5813799,929898,1724251,None,None,None,None,None,None,1988498,None,13775900,10632887,3026746,None,761311,761311,3143013,3904324,None,761311,None,3904324,6844830,3143013,178558943,None,-230464451,43192,43193190,GLYC
2019-03-31,USD,204441505,198389885,195560926,195560926,None,354101,2522848,962241,1654083,None,None,None,None,None,None,2474858,None,11647910,8306854,1866937,None,None,739930,3341056,4080986,3341056,739930,None,4080986,739930,3341056,192793595,None,-214634636,43179,43180169,GLYC
