fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-09-30,USD,8763000000,3572895000,181225000,181225000,101158000,1453600000,4443299000,1065778000,None,2853913000,718230000,2135683000,319000000,319000000,None,101128000,418222000,5934260000,2887751000,1040976000,708164000,185085000,None,3046509000,149800000,None,46085000,None,-15900000,147340000,261961000,2809666000,659913000,2233841000,9903000,78044000,MTZ
2024-06-30,USD,8679000000,3477064000,297586000,297586000,107883000,1341983000,4452762000,1077160000,None,2843125000,717232000,2125893000,328000000,328000000,None,94867000,425244000,5944879000,2747909000,993982000,620676000,201458000,None,3196933000,152400000,None,62658000,None,-17200000,188818000,227967000,2714364000,659913000,2138601000,9904000,78038000,MTZ
2024-03-31,USD,8745353000,3445470000,249326000,249326000,112323000,1310483000,4720976000,1129200000,None,2877008000,751008000,2126000000,327000000,327000000,None,86265000,425493000,6055329000,2633371000,965308000,548641000,180638000,None,3421958000,171300000,None,38738000,None,-12500000,180357000,245736000,2674264000,659913000,2104613000,9927000,77942000,MTZ
2023-12-31,USD,9373500000,3974253000,529561000,529561000,108146000,1370074000,4778830000,1178162000,None,2910660000,784300000,2126366000,319000000,319000000,None,104211000,418485000,6652250000,2837219000,1242602000,480967000,177200000,None,3847731000,197600000,3065300000,33000000,None,3065300000,184621000,243701000,2706152000,659913000,2145793000,9909000,77886000,MTZ
2023-09-30,USD,9529727000,4038533000,214174000,214174000,129146000,1542900000,4778725000,1246340000,None,2940166000,821300000,2118866000,325000000,325000000,None,102910000,418089000,6816006000,2811293000,1213859000,506500000,175340000,None,4004713000,219500000,None,28740000,None,-14500000,204002000,240463000,2703344000,659913000,2145040000,9864000,77640000,MTZ
2023-06-30,USD,9287800000,3829004000,119905000,119905000,152845000,1485199000,4730549000,1252167000,None,2942297000,862775000,2079522000,321000000,321000000,None,119204000,415792000,6599400000,2440835000,930270000,487198000,169253000,None,4158589000,222600000,None,24353000,None,-15600000,205360000,247192000,2679052000,659913000,2130744000,9867000,77635000,MTZ
2023-03-31,USD,9055336000,3656663000,141560000,141560000,164917000,1372046000,4689857000,1218200000,None,2970000000,904400000,2065600000,307000000,307000000,None,85131000,421826000,6407704000,2378535000,925609000,438645000,166676000,None,4029169000,216100000,None,17876000,None,-16600000,221246000,257980000,2646304000,659913000,2115202000,9867000,76984000,MTZ
2022-12-31,USD,9293259000,3859127000,370592000,370592000,117969000,1399732000,4729232000,1218801000,None,2991300000,946299000,2045000000,306000000,306000000,None,118640000,409157000,6552072000,2496037000,1109867000,406232000,171900000,None,4082142000,230900000,3224100000,13716000,None,3224100000,163647000,238391000,2737329000,663910000,2195742000,9862000,76510000,MTZ
2022-09-30,USD,7475700000,3114275000,95676000,95676000,127546000,1057450000,3715386000,1129559000,None,2132118000,638318000,1493800000,300000000,300000000,None,129262000,397081000,4929150000,1986483000,934542000,249700000,156756000,None,2942619000,199200000,None,10556000,None,-16500000,108118000,235588000,2542073000,663910000,2192518000,9547000,73936000,MTZ
2022-06-30,USD,7404700000,3057222000,138929000,138929000,123766000,1014600000,3698042000,1119528000,None,2149600000,665000000,1484600000,288000000,288000000,None,154108000,371234000,4919744000,1897690000,799905000,298620000,151987000,None,3022054000,189600000,None,4887000,None,-16800000,124599000,256635000,2480828000,663910000,2143622000,9549000,74445000,MTZ
