fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2024-09-30,USD,7078053,3508469,2600000,2600000,None,None,3569584,1639526,None,None,None,None,None,1776746,None,901967,95322,3940817,3940817,1644361,250698,None,104806,None,52403,None,None,None,52403,1940952,None,3137236,None,-132090951,3538,3538248,TFFP
2024-06-30,USD,9495456,5880175,4387198,4387198,None,None,3615281,1759611,None,None,None,None,None,1776746,None,1092096,None,3618140,3618140,1358876,25000,None,148248,None,74124,None,None,None,74124,2086016,None,5877316,None,-128546018,3246,3245610,TFFP
2024-03-31,USD,9186550,4862516,3211930,3211930,None,None,1979127,1879696,None,None,None,None,None,None,None,1362989,None,3882126,3871270,1663544,140000,None,84300,10856,95156,None,None,None,95156,1983426,None,5304424,None,-124066797,2519,2519220,TFFP
2023-12-31,USD,12027316,7590318,5478113,5478113,None,None,2126998,1999781,None,None,None,None,None,None,None,1678353,7688,2460282,2428540,958442,101000,None,167024,31742,115254,None,None,None,115254,1687251,None,9567034,None,-118331653,2370,2370000,TFFP
2023-09-30,USD,14885171,10892899,9725755,9725755,None,None,2211272,2064354,None,None,None,None,None,None,None,805659,7688,1194242,1142012,983287,76000,None,165450,52230,134955,None,None,None,134955,-82725,None,13690929,None,-113569239,59134,59133574,TFFP
2023-06-30,USD,13569309,9415568,7662968,7662968,None,None,2323741,2157512,None,None,None,None,None,None,None,1468431,7688,1287267,1214939,1007001,None,None,81938,72328,154266,None,None,None,154266,126000,None,12282042,None,-109159995,36193,36193085,TFFP
2023-03-31,USD,18211691,13960439,12216359,12216359,None,None,2411560,2226399,None,None,None,None,None,None,None,1555309,7688,1668367,1576843,1344431,None,91524,81412,91524,172936,None,91524,None,172936,151000,None,16543324,None,-104139789,36193,36193085,TFFP
2022-12-31,USD,24120215,19025166,16612315,16612315,None,None,3282074,3078342,None,None,None,None,None,None,None,2226344,7688,1240756,1130662,919607,126000,110094,80625,110094,190719,None,110094,None,190719,126000,None,22879459,None,-97088422,1448,36193085,TFFP
2022-09-30,USD,20227412,16978994,13147090,13147090,None,None,3248418,3026466,None,None,None,None,None,None,None,1069761,7688,2204886,2076572,1634024,None,128314,79838,128314,208152,None,128314,None,208152,362710,None,18022526,None,-89715188,25518,25518084,TFFP
2022-06-30,USD,27913199,25181730,20890253,20890253,None,None,2731469,2332254,None,None,None,None,None,None,None,1483953,167077,3973699,3827511,3480461,None,146188,79050,146188,225238,None,146188,None,225238,268000,146188,23939500,None,-82440687,25374,25373818,TFFP
