fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-09-30,USD,52931000,None,None,-21811000,-252000,17568000,12103000,325000,None,35363000,-12103000,-24402000,None,None,7474000,None,None,None,None,None,None,None,-7474000,None,None,None,35161000,ANGI
2024-06-30,USD,28412000,None,None,15524000,11382000,24324000,12646000,18579000,None,4088000,-12646000,-13068000,None,None,11341000,None,None,None,None,None,None,None,-11341000,None,None,None,3760000,ANGI
2024-03-31,USD,22677000,None,None,-19491000,12441000,23849000,12798000,25761000,20109000,-1317000,-12792000,-10074000,None,None,6860000,None,None,None,None,None,None,None,-6860000,None,None,None,-1631000,ANGI
2023-12-31,USD,12046000,None,None,-34071000,15283000,23394000,11675000,7499000,20109000,-5545000,-10601000,-8749000,None,None,7535000,None,None,None,None,None,None,None,-7535000,None,None,None,-5560000,ANGI
2023-09-30,USD,11019000,None,None,-3327000,31174000,25229000,13790000,19485000,-16151000,-5287000,-13710000,-656000,None,None,0,None,None,None,None,None,0,None,0,None,None,None,-16610000,ANGI
2023-06-30,USD,58719000,None,None,23203000,4116000,24842000,10453000,7997000,-3958000,-14479000,2235000,-6199000,None,None,3397000,None,None,None,None,None,0,None,-3397000,None,54755000,None,-31228000,ANGI
2023-03-31,USD,19060000,None,None,-14725000,21447000,28097000,11862000,23187000,None,-15000000,-24156000,-1379000,None,None,0,None,None,None,None,None,0,None,0,None,-6475000,None,-27013000,ANGI
2022-12-31,USD,15711000,None,None,-16938000,3443000,36186000,20831000,13954000,None,-53259000,-20789000,-3496000,None,None,0,None,None,None,None,None,0,None,0,None,-8574000,None,-113166000,ANGI
2022-09-30,USD,4279000,None,None,-37086000,17202000,21564000,33383000,18328000,None,49593000,-33323000,-2074000,None,None,0,None,None,None,None,None,0,None,0,None,-31118000,None,-35863000,ANGI
2022-06-30,USD,7814000,None,None,29303000,59547000,17158000,35235000,46477000,None,-51659000,-35158000,-2191000,None,None,0,None,None,None,None,None,0,None,0,None,-29535000,None,-51894000,ANGI
2022-03-31,USD,-735000,None,None,19448000,35827000,17803000,26903000,37757000,None,-72657000,-26816000,-9466000,None,None,8144000,None,None,None,None,None,0,None,-8144000,None,-74034000,None,-72760000,ANGI
2021-12-31,USD,-19679000,None,None,-32546000,4880000,17332000,18159000,9145000,-12582000,-1200000,-18409000,-10122000,None,None,0,None,None,None,None,None,0,None,0,None,-1200000,None,-1200000,ANGI
2021-09-30,USD,-33365000,None,None,-20485000,54760000,18555000,16343000,43042000,-11718000,-38177000,-41700000,-31875000,None,None,29766000,None,None,None,None,None,0,None,-29766000,None,-23476000,None,-38479000,ANGI
2021-06-30,USD,43908000,None,None,40345000,20751000,18746000,16970000,28554000,7803000,-69233000,-16220000,-220274000,None,None,721000,None,None,None,None,None,0,None,-721000,None,-54175000,None,-69474000,ANGI
2021-03-31,USD,15345000,None,None,8470000,34065000,21043000,18743000,34638000,573000,-3187000,31257000,-82897000,None,None,4916000,None,None,None,None,None,0,None,-4916000,None,-36295000,None,-3270000,ANGI
2020-12-31,USD,15234000,None,None,-34089000,8338000,18063000,14851000,9125000,787000,-13390000,-17060000,-41397000,None,None,9274000,None,None,None,None,None,0,None,-9274000,None,-13390000,None,-13390000,ANGI
2020-09-30,USD,45388000,None,None,10963000,30115000,26809000,12972000,22483000,-1932000,5203000,-62960000,451313000,None,None,0,None,None,None,None,None,0,None,0,None,3473000,None,2742000,ANGI
2020-06-30,USD,71891000,None,None,15398000,22907000,25533000,11429000,26996000,4089000,13211000,-11465000,-24526000,None,None,15888000,None,None,None,None,None,0,None,-15888000,None,42438000,None,41894000,ANGI
2020-03-31,USD,55906000,200000,None,19905000,12483000,25118000,13236000,21226000,3043000,-9184000,-12469000,-48337000,None,None,38512000,None,None,None,None,None,0,None,-38512000,None,-4900000,None,-17867000,ANGI
2019-12-31,USD,32077000,28217000,None,-23619000,14677000,25937000,14003000,12358000,-2319000,-95000,-14003000,-31608000,None,None,22926000,None,11355000,11355000,None,None,0,None,-22926000,None,-95000,None,-95000,ANGI
2019-09-30,USD,79060000,4139000,None,1912000,-438000,25413000,15688000,4707000,5145000,18324000,-15672000,-41282000,None,None,33979000,None,None,None,None,None,0,None,-33979000,None,32276000,None,36090000,ANGI
2019-06-30,USD,76322000,3768000,None,19925000,12763000,22509000,23936000,22160000,9397000,7234000,-23992000,-16870000,None,None,0,None,None,None,None,None,0,None,0,None,10540000,None,14042000,ANGI
2019-03-31,USD,26702000,4753000,None,13316000,38570000,21538000,15177000,39729000,1159000,9851000,13034000,-31772000,None,None,0,None,11355000,11355000,None,None,0,None,573000,None,7964000,None,19929000,ANGI
2018-12-31,USD,69989000,None,None,-17963000,-10416000,20657000,14090000,-4335000,6081000,36812000,-301000,-11224000,None,None,None,None,None,None,None,None,0,None,1817000,None,36812000,None,36812000,ANGI
2018-09-30,USD,80145000,None,None,10700000,19893000,21711000,11438000,15070000,-4823000,26786000,-46252000,-9454000,None,None,None,None,None,None,None,None,0,None,751000,None,26786000,None,26617000,ANGI
2018-06-30,USD,62465000,None,None,6359000,19770000,21664000,12562000,19301000,-469000,23023000,-12562000,-22919000,None,None,None,None,None,None,None,None,0,None,373000,None,23023000,None,22899000,ANGI
2018-03-31,USD,11101000,None,None,-976000,31398000,22490000,8886000,17650000,-13748000,-9114000,1524000,-5424000,None,None,None,None,None,None,None,None,0,None,1752000,None,7201000,None,-17888000,ANGI
2017-12-31,USD,-14030000,None,None,None,None,21214000,10559000,None,10473000,-58231000,-10521000,186629000,None,None,None,None,274986000,274986000,None,None,None,None,-10113000,None,-58231000,None,-58231000,ANGI
2017-09-30,USD,24867000,None,None,None,None,8379000,13155000,None,-9477000,-72158000,-26599000,15438000,None,None,None,None,None,None,None,None,None,None,1653000,None,None,None,-40214000,ANGI
2017-06-30,USD,22886000,None,None,None,None,4210000,1052000,None,8271000,-25000,55000,-20285000,None,None,None,None,None,None,None,None,None,None,1653000,None,None,None,-8062000,ANGI
2017-03-31,USD,8100000,None,None,None,None,4001000,2071000,None,-4744000,25887000,-56112000,42951000,None,None,None,None,None,None,None,None,None,None,-15000,None,None,None,1980000,ANGI
2016-12-31,USD,2900000,None,None,None,None,4040000,2674000,None,-2760000,2056000,-32309000,884000,None,None,None,None,None,None,None,None,None,None,1653000,None,None,None,8948000,ANGI
2016-09-30,USD,-15551000,None,None,None,None,3854000,3812000,None,-2693000,4468000,-4072000,-1291000,None,None,None,None,None,None,None,None,None,None,856000,None,None,None,-17598000,ANGI
2016-06-30,USD,5085000,None,None,None,None,3579000,5795000,None,-1244000,5351000,-5998000,136000,None,None,None,None,None,None,None,None,None,None,498000,None,None,None,4797000,ANGI
2016-03-31,USD,9201000,None,None,None,None,1675000,6515000,None,11529000,-1244000,None,-182000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-4004000,ANGI
