fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-09-30,USD,610000000,None,None,None,None,150000000,117000000,None,None,199000000,-23000000,-502000000,-48000000,396000000,396000000,None,60000000,60000000,None,None,0,None,-396000000,None,None,None,197000000,BALL
2024-06-30,USD,252000000,None,None,None,None,152000000,106000000,None,None,159000000,-88000000,-518000000,22000000,483000000,483000000,None,62000000,62000000,None,None,0,None,-483000000,None,None,None,158000000,BALL
2024-03-31,USD,-1247000000,None,None,None,None,158000000,154000000,None,None,3686000000,5292000000,-2978000000,77000000,182000000,182000000,None,63000000,63000000,None,None,450000000,None,-182000000,None,None,None,3685000000,BALL
2023-12-31,USD,736000000,None,None,None,None,177000000,215000000,None,None,154000000,-227000000,-1152000000,-75000000,0,0,None,63000000,63000000,None,None,351000000,None,0,None,None,None,154000000,BALL
2023-09-30,USD,766000000,None,None,None,None,173000000,222000000,None,None,204000000,-222000000,-154000000,-93000000,0,0,None,63000000,63000000,None,0,0,None,0,None,None,None,203000000,BALL
2023-06-30,USD,636000000,None,None,None,None,170000000,265000000,None,None,173000000,-268000000,-5000000,-143000000,0,0,None,63000000,63000000,None,0,0,None,0,None,None,None,173000000,BALL
2023-03-31,USD,-275000000,None,None,None,None,166000000,343000000,None,None,180000000,-336000000,649000000,101000000,3000000,3000000,None,63000000,63000000,None,0,0,None,-3000000,None,None,None,177000000,BALL
2022-12-31,USD,525000000,None,None,None,None,162000000,389000000,None,None,56000000,-334000000,-138000000,-69000000,1000000,1000000,None,63000000,63000000,None,0,1450000000,None,-1000000,None,None,None,55000000,BALL
2022-09-30,USD,174000000,None,None,None,None,157000000,443000000,None,None,394000000,44000000,-211000000,243000000,39000000,39000000,None,63000000,63000000,None,0,185000000,None,-39000000,None,None,None,392000000,BALL
2022-06-30,USD,406000000,None,None,None,None,168000000,457000000,None,None,-165000000,-450000000,119000000,-57000000,480000000,480000000,None,63000000,63000000,None,0,2615000000,None,-480000000,None,None,None,-174000000,BALL
