fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-12-31,USD,12475662302,None,None,None,None,2953773880,2125090832,None,176112209,None,None,-6512906690,None,None,None,None,527987756,527987756,None,None,None,None,-98294359,None,None,None,3288521596,BUD
2024-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2071000000,BUD
2024-06-30,USD,2568000000,None,None,None,None,2588000000,1735000000,None,-325000000,None,None,-2899000000,None,None,None,None,2142000000,2142000000,None,None,None,None,-838000000,None,None,None,1473000000,BUD
2024-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1091000000,BUD
2023-12-31,USD,12354560719,None,None,None,None,2903589814,2528748557,None,944651943,None,None,-6442837889,None,None,None,None,1088537387,1088537387,None,None,None,None,-361824272,None,None,None,1091000000,BUD
2023-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1472000000,BUD
2023-06-30,USD,903999999,None,None,None,None,2486000000,2107000000,None,-228000000,None,-2061000000,-2127000000,None,None,None,None,1923000000,1923000000,None,None,None,None,None,None,None,None,1977000000,BUD
2023-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1639000000,BUD
2022-12-31,USD,11549287128,None,None,None,None,2888712832,3350157349,None,-771609964,None,-4620000000,-5592814157,None,None,None,None,1256939582,1256939582,None,None,None,None,None,None,None,None,4436274609,BUD
2022-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1433000000,BUD
2022-06-30,USD,1856000000,None,None,None,None,2289000000,2002000000,None,-833000000,None,-1917000000,-5014000000,None,None,None,None,1276000000,1276000000,None,None,None,None,None,None,None,None,1692000000,BUD
2022-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,95000000,BUD
2021-12-31,USD,11399158965,None,None,None,None,2360713115,3570945075,None,-360701707,None,-5878000000,-1979175063,None,None,None,None,1025560744,1025560744,None,None,None,None,None,None,None,None,2252759884,BUD
2021-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,250000000,BUD
2021-06-30,USD,3477000000,None,None,None,None,2284000000,2174000000,None,-894000000,None,-2209000000,-9637000000,None,None,None,None,1382000000,1382000000,None,None,None,None,None,None,None,None,250000000,BUD
2021-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,595000000,BUD
