fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-07-31,USD,76800000,None,None,-26300000,25000000,67100000,45300000,16100000,8900000,93600000,-41200000,-43200000,-17300000,0,0,None,32900000,30100000,None,None,415100000,None,0,None,None,None,87100000,GEF
2024-04-30,USD,87500000,None,None,54800000,96900000,65900000,42300000,87400000,9500000,52000000,-609000000,548800000,-6300000,0,0,None,40100000,30000000,None,None,1042500000,None,0,None,None,None,44400000,GEF
2024-01-31,USD,4500000,None,None,-24200000,6500000,60400000,57400000,-21500000,28000000,74300000,-53600000,36100000,12700000,0,0,None,29700000,29700000,None,None,529100000,None,0,None,None,None,67200000,GEF
2023-10-31,USD,203500000,129100000,None,-14100000,-71900000,61200000,78800000,-20800000,-51100000,73300000,-173500000,7700000,3900000,0,0,None,37900000,29800000,None,None,370500000,None,0,None,None,None,67800000,GEF
2023-07-31,USD,202300000,17000000,None,-6200000,-54800000,57700000,46500000,-43500000,-11300000,96700000,-45700000,-153600000,-600000,4300000,4300000,None,30000000,28800000,None,None,663100000,None,-4300000,None,None,None,90300000,GEF
2023-04-30,USD,210800000,16100000,None,28700000,4800000,56600000,42700000,46000000,-41200000,116000000,-181900000,-23900000,-2400000,41800000,41800000,None,33900000,29000000,None,None,415700000,None,-41800000,None,5000000,None,111200000,GEF
2023-01-31,USD,32900000,15000000,None,-110700000,-109400000,55100000,51600000,-112000000,2600000,93100000,-269100000,239500000,-1600000,17800000,17800000,None,28900000,28900000,None,None,836300000,None,-17800000,None,3300000,None,89900000,GEF
2022-10-31,USD,286600000,84100000,None,-82900000,-177200000,51200000,66200000,-107800000,-69400000,102600000,-62900000,-187200000,-15100000,11100000,11100000,None,35900000,29300000,None,None,423600000,None,-11100000,None,36500000,None,99500000,GEF
2022-07-31,USD,209300000,15300000,None,13400000,2400000,51400000,36700000,-4700000,7100000,146100000,-28000000,-146700000,-5100000,60000000,60000000,None,28600000,27400000,None,None,465700000,None,0,None,34600000,None,141800000,GEF
2022-04-30,USD,139200000,17000000,None,200000,75900000,54600000,30800000,82600000,-6700000,126700000,108500000,-251100000,-11900000,0,0,None,34000000,27400000,None,None,2384900000,None,0,None,-3400000,None,125100000,GEF
