fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-12-31,USD,12501000,12728000,None,2219000,1970000,2806000,3166000,None,None,23822000,-3141000,-1499000,None,None,None,None,None,None,None,None,None,None,18037000,None,None,None,14855000,GSHD
2024-09-30,USD,28101000,1843000,None,2423000,-1307000,2762000,3363000,None,None,12607000,-3456000,-818000,None,None,None,None,2084000,2084000,None,None,None,None,4015000,None,None,None,7559000,GSHD
2024-06-30,USD,19082000,2732000,None,-1411000,-334000,2755000,2877000,None,None,10875000,-2940000,-42973000,None,None,None,None,2347000,2347000,None,None,None,None,-62810000,None,None,None,6198000,GSHD
2024-03-31,USD,11860000,1471000,None,-6804000,-1248000,2632000,2782000,None,None,1809000,-2882000,91000,None,None,None,None,42000,42000,None,None,0,None,2009000,None,None,None,1814000,GSHD
2023-12-31,USD,13531000,10957000,None,-2005000,-2123000,2483000,3557000,None,-4484000,5424000,-4573000,-1972000,None,None,None,None,-8481000,2458000,None,None,0,None,12261000,None,None,None,3621000,GSHD
2023-09-30,USD,21113000,1641000,None,-3609000,-2454000,2408000,2572000,None,2166000,11273000,-3323000,-1650000,None,None,None,None,3275000,3275000,None,None,0,None,3500000,None,None,None,6934000,GSHD
2023-06-30,USD,16753000,2139000,None,-4028000,-2601000,2428000,3488000,None,2318000,7180000,-8593000,-13417000,None,None,None,None,5206000,5206000,None,None,0,None,3664000,None,-5257000,None,3666000,GSHD
2023-03-31,USD,-639000,1677000,None,-9921000,9301000,2150000,2540000,None,None,-181000,-2693000,-877000,None,None,None,None,0,None,None,None,0,None,373000,None,-4209000,None,-81000,GSHD
2022-12-31,USD,2707000,7187000,None,-1829000,-2185000,1897000,-4251000,None,None,2584000,4262000,-24952000,None,None,None,None,0,None,None,None,0,None,7398000,None,None,None,501000,GSHD
2022-09-30,USD,22925000,1145000,None,3274000,-1435000,1865000,10042000,None,None,3040000,-10031000,1928000,None,None,None,None,0,None,None,None,0,None,3178000,None,14822000,None,1979000,GSHD
2022-06-30,USD,15246000,1446000,None,-193000,-3736000,1715000,4322000,None,None,2389000,-4311000,-66000,None,None,None,None,None,None,None,None,0,None,1184000,None,10869000,None,342000,GSHD
2022-03-31,USD,-5154000,1095000,None,-794000,7639000,1632000,2501000,None,None,-5383000,-2491000,-155000,None,None,None,None,None,None,None,None,0,None,470000,None,-7800000,None,-2257000,GSHD
