fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-12-31,USD,-72400000,None,None,None,None,24500000,5900000,None,None,23800000,-5900000,-97300000,None,72900000,72900000,None,13200000,13200000,None,None,0,None,-72900000,None,None,None,23500000,SPB
2024-09-30,USD,80700000,None,None,None,None,25500000,13000000,None,None,28800000,136200000,-14300000,None,0,0,None,11800000,11800000,None,None,0,None,0,None,None,None,28600000,SPB
2024-06-30,USD,82700000,None,None,None,None,25200000,10100000,None,None,6000000,340900000,-1010100000,None,142200000,142200000,None,12000000,12000000,None,None,0,None,-142200000,None,None,None,6100000,SPB
2024-03-31,USD,3500000,None,None,None,None,25400000,12500000,None,None,60900000,410500000,-114000000,None,97500000,97500000,None,12700000,12700000,None,None,0,None,-97500000,None,None,None,61100000,SPB
2023-12-31,USD,-4300000,None,None,None,None,25500000,8400000,None,328300000,29200000,133600000,-439800000,None,243000000,243000000,None,14100000,14100000,None,None,0,None,-243000000,None,None,None,29100000,SPB
2023-09-30,USD,-514000000,31600000,None,-152100000,None,23600000,14700000,None,328300000,16400000,-1101400000,-557000000,0,34700000,-465300000,None,14900000,14900000,None,None,0,0,465300000,None,None,None,16800000,SPB
2023-06-30,USD,-73300000,None,None,None,None,22600000,18400000,None,328300000,1859600000,4315300000,-1637500000,0,0,0,None,17200000,17200000,None,None,0,0,0,None,2604500000,None,1859200000,SPB
2023-03-31,USD,241800000,None,None,None,None,22400000,15900000,None,328300000,-53600000,-20200000,-126000000,None,0,0,None,17300000,17300000,None,None,None,None,None,None,95600000,None,-53700000,SPB
2022-12-31,USD,-64200000,None,None,None,None,22600000,10000000,None,328300000,-20500000,-13600000,56400000,None,0,0,None,17100000,17100000,None,None,90000000,None,-10500000,None,-21400000,None,-20900000,SPB
2022-09-30,USD,84600000,None,None,None,None,22800000,18700000,-12200000,-153700000,15200000,-24400000,-55400000,0,0,0,None,17100000,17100000,None,None,-35000000,0,0,None,4800000,None,14800000,SPB
2022-06-30,USD,68500000,None,None,None,None,25400000,21000000,None,-153700000,32900000,15600000,-23700000,None,0,0,None,17100000,17100000,None,None,0,None,0,None,60400000,None,32700000,SPB
2022-03-31,USD,64200000,None,None,None,None,25700000,10200000,None,-153700000,16000000,-332000000,257100000,None,24000000,24000000,None,17100000,17100000,None,None,310000000,None,-24000000,None,-10700000,None,15900000,SPB
2021-12-31,USD,-271100000,None,None,None,None,25400000,14100000,None,-153700000,8600000,-19000000,309600000,None,110000000,110000000,None,17300000,17300000,None,None,465000000,None,-110000000,None,8600000,None,8200000,SPB
2021-09-30,USD,279500000,None,None,None,None,4000000,17400000,65900000,-219600000,50300000,-23400000,-194700000,0,73300000,73300000,None,17900000,17900000,None,None,-98000000,0,-69900000,None,258200000,None,50200000,SPB
2021-06-30,USD,88700000,None,None,None,None,38600000,9600000,None,4000000,30700000,-315000000,64900000,None,10200000,10200000,None,17900000,17900000,None,None,98000000,None,-10200000,None,262600000,None,30700000,SPB
2021-03-31,USD,30300000,None,None,None,None,30200000,9000000,None,3000000,35700000,-4100000,41700000,None,0,0,None,17900000,17900000,None,None,898900000,None,0,None,35700000,None,36600000,SPB
2020-12-31,USD,-110100000,None,None,None,None,27100000,7600000,None,-219600000,72900000,-81000000,-121800000,None,42300000,42300000,None,17800000,17800000,None,None,100000,None,-42300000,None,73100000,None,72100000,SPB
2020-09-30,USD,254900000,46300000,None,128600000,None,1500000,16500000,-143300000,-5900000,45500000,64900000,-260000000,0,0,0,None,18000000,18000000,None,None,-228000000,0,0,None,423000000,None,45400000,SPB
2020-06-30,USD,220000000,None,None,None,None,35000000,12800000,None,None,145600000,60400000,-272800000,None,0,0,None,18100000,18100000,None,None,-252000000,None,0,None,184100000,None,145100000,SPB
2020-03-31,USD,12100000,None,None,None,None,36400000,13000000,None,None,-57800000,1700000,308700000,None,149200000,149200000,None,19200000,19200000,None,None,677000000,None,-149200000,None,-17200000,None,-56900000,SPB
2019-12-31,USD,-196700000,None,None,None,None,41700000,18700000,None,None,-34900000,-18700000,-273000000,None,90600000,90600000,None,19900000,19900000,None,None,103000000,None,-90600000,None,-488400000,None,-35800000,SPB
2019-09-30,USD,437600000,37700000,None,-145700000,None,8900000,18100000,None,26700000,-95700000,-11000000,44600000,0,0,0,None,20400000,20400000,None,None,246000000,0,0,None,334700000,None,-95700000,SPB
2019-06-30,USD,97200000,33600000,None,7100000,None,35900000,13200000,None,26700000,-25900000,-13500000,-107600000,0,0,0,None,20500000,20500000,None,None,-82300000,0,0,None,10000000,None,-25900000,SPB
2019-03-31,USD,-221800000,86200000,None,9000000,None,36600000,13600000,None,26700000,729600000,2840600000,-2694900000,0,250000000,250000000,None,22200000,22200000,None,None,12000000,0,-250000000,None,766200000,None,728600000,SPB
2018-12-31,USD,-311900000,None,None,None,None,66000000,13500000,None,26700000,-112300000,-18500000,33300000,None,18500000,18500000,None,22400000,22400000,None,None,124300000,None,-18500000,None,-297100000,None,-29500000,SPB
2018-09-30,USD,399700000,81600000,None,44800000,None,28700000,15500000,None,-9200000,872000000,-25500000,-638800000,0,0,0,None,22400000,22400000,None,None,-535700000,0,0,None,-262100000,-3900000,-115800000,SPB
2018-06-30,USD,129400000,78500000,None,None,None,27900000,15000000,None,-15400000,432700000,300000,-67600000,0,0,0,None,22400000,22400000,None,None,-17900000,0,0,None,93500000,-6300000,405600000,SPB
2018-03-31,USD,-125000000,112100000,None,None,0,30100000,16300000,None,0,-23400000,6700000,-774500000,0,0,0,None,None,None,None,None,347100000,0,0,None,-888800000,3400000,-28900000,SPB
2017-12-31,USD,-60800000,60100000,None,None,-800000,38500000,17900000,None,-800000,578800000,1291200000,185600000,0,0,0,None,3100000,3100000,None,None,226100000,0,0,None,1377500000,-200000,507400000,SPB
2017-09-30,USD,610000000,321100000,None,13900000,-2500000,53000000,36900000,None,25300000,24000000,-272200000,-230100000,0,0,0,None,22400000,22400000,None,None,-291900000,0,0,None,96600000,4600000,-26200000,SPB
2017-06-30,USD,121000000,None,None,None,-800000,32900000,41000000,None,-800000,39800000,-510900000,267600000,0,0,0,None,None,None,None,None,341400000,0,0,None,-102600000,2500000,2100000,SPB
2017-03-31,USD,28500000,None,None,None,0,31400000,16000000,None,0,-51400000,-198000000,394400000,0,0,0,None,None,None,None,None,88900000,0,0,None,-18800000,2400000,-82100000,SPB
2016-12-31,USD,80700000,None,None,None,0,30300000,21100000,None,0,260800000,-606100000,151100000,0,0,0,None,3100000,3100000,None,None,177200000,0,0,None,-151800000,-6400000,212200000,SPB
2016-09-30,USD,526500000,None,None,None,0,-46100000,35800000,None,-20900000,36200000,-292800000,-74600000,0,0,0,None,22400000,22400000,None,None,479600000,0,0,None,364500000,300000,-7300000,SPB
2016-06-30,USD,403300000,None,None,None,None,23500000,20800000,None,None,-93000000,-269800000,112800000,-11500000,0,0,None,None,None,None,None,-169600000,0,0,None,8400000,-1400000,-132900000,SPB
2016-03-31,USD,72400000,None,None,None,None,23400000,21400000,None,None,15900000,-374800000,117800000,-55000000,0,0,None,None,None,None,None,-55000000,0,0,None,-109000000,2800000,-24700000,SPB
2015-12-31,USD,-88900000,None,None,None,None,57800000,17400000,None,None,7000000,46000000,-7300000,63000000,0,0,None,8700000,8700000,None,None,230000000,0,0,None,-94700000,-3100000,-33900000,SPB
