fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-11-30,USD,-140000000,906000000,None,693000000,1282000000,625000000,284000000,414000000,904000000,-605000000,-76000000,-1685000000,12000000,36000000,36000000,None,216000000,216000000,None,None,3229000000,None,-36000000,None,None,None,-265000000,WBA
2024-08-31,USD,1332000000,1334000000,None,121000000,-436000000,622000000,246000000,-128000000,-284000000,-3078000000,772000000,374000000,-1000000,0,0,None,216000000,216000000,None,None,8291000000,None,0,None,None,None,-3005000000,WBA
2024-05-31,USD,604000000,1101000000,None,-279000000,-227000000,607000000,277000000,-258000000,36000000,230000000,204000000,-785000000,-427000000,0,0,None,216000000,216000000,None,None,8073000000,None,0,None,None,None,344000000,WBA
2024-02-29,USD,-637000000,1061000000,None,-849000000,-764000000,614000000,352000000,232000000,-901000000,-12322000000,817000000,-313000000,271000000,0,0,None,413000000,413000000,None,None,11175000000,None,0,None,None,None,-5908000000,WBA
2023-11-30,USD,-281000000,1114000000,None,1267000000,1840000000,616000000,506000000,618000000,1180000000,-278000000,85000000,186000000,155000000,69000000,69000000,None,415000000,415000000,None,None,3826000000,None,-69000000,None,None,None,-67000000,WBA
2023-08-31,USD,1039000000,1112000000,None,819000000,-440000000,605000000,484000000,-483000000,39000000,-208000000,155000000,-1460000000,-148000000,0,0,None,415000000,415000000,None,None,1036000000,None,11000000,None,None,None,-180000000,WBA
2023-05-31,USD,-20000000,1154000000,None,-486000000,-296000000,597000000,525000000,190000000,-563000000,-48000000,334000000,-1193000000,-981000000,0,0,None,415000000,415000000,None,None,3524000000,None,12000000,None,-879000000,None,118000000,WBA
2023-02-28,USD,746000000,1031000000,None,-131000000,-270000000,560000000,498000000,372000000,-681000000,544000000,-5441000000,2365000000,1106000000,0,0,None,414000000,414000000,None,None,1699000000,None,16000000,None,-2330000000,None,703000000,WBA
2022-11-30,USD,493000000,999000000,None,693000000,835000000,495000000,610000000,-151000000,918000000,-3816000000,1858000000,-599000000,22000000,150000000,150000000,None,415000000,415000000,None,None,17000000,None,-144000000,None,1752000000,None,-3721000000,WBA
2022-08-31,USD,86000000,1319000000,None,-615000000,-146000000,488000000,493000000,-83000000,-77000000,-501000000,198000000,-2252000000,-1000000,0,0,None,408000000,408000000,None,None,14000000,None,14000000,None,None,None,-415000000,WBA
2022-05-31,USD,1629000000,986000000,None,1230000000,-502000000,478000000,371000000,-230000000,-293000000,229000000,919000000,-16000000,-1299000000,0,0,None,418000000,418000000,None,None,2016000000,None,-19000000,None,None,None,289000000,WBA
2022-02-28,USD,1085000000,889000000,None,-1402000000,-1192000000,524000000,416000000,-622000000,-549000000,806000000,-223000000,-3108000000,352000000,33000000,33000000,None,420000000,420000000,None,None,1988000000,None,-20000000,None,1324000000,None,883000000,WBA
2021-11-30,USD,1099000000,1011000000,None,979000000,1537000000,500000000,454000000,127000000,1352000000,3531000000,-1958000000,3877000000,937000000,154000000,154000000,None,413000000,413000000,None,None,7940000000,None,-135000000,None,3018000000,None,3580000000,WBA
2021-08-31,USD,1245000000,1227000000,None,471000000,524000000,518000000,378000000,554000000,-94000000,613000000,5413000000,-7180000000,-2465000000,0,0,None,405000000,405000000,None,None,6000000,None,18000000,None,7503000000,None,627000000,WBA
