fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-12-31,USD,363000,1736000,None,2080000,-1565000,400000,146000,-1552000,None,-3761000,-146000,-216000,-105000,None,None,None,None,None,None,None,None,None,0,None,None,None,-3761000,XGN
2024-09-30,USD,-2176000,436000,None,-1453000,-2264000,400000,147000,-2316000,None,-5028000,-147000,-121000,-103000,None,None,None,None,None,None,None,None,None,94000,None,None,None,-5028000,XGN
2024-06-30,USD,-2426000,437000,None,589000,754000,400000,136000,802000,None,-2966000,-136000,-226000,-98000,None,None,None,None,None,None,None,None,None,0,None,None,None,-2966000,XGN
2024-03-31,USD,-9040000,434000,None,-1884000,4296000,500000,86000,4350000,None,-3003000,-86000,-100000,-65000,None,None,None,None,None,None,None,None,None,104000,None,None,None,-3360000,XGN
2023-12-31,USD,8349000,1934000,None,1246000,-10512000,500000,106000,-10493000,None,-6523000,-84000,-220000,-64000,None,None,None,None,None,None,None,None,None,0,None,None,None,-5573000,XGN
2023-09-30,USD,-2908000,438000,None,67000,828000,600000,2000,809000,None,-4858000,-2000,-108000,-63000,None,None,None,None,None,None,0,None,None,127000,None,None,None,-5415000,XGN
2023-06-30,USD,-10154000,449000,None,-686000,6954000,500000,324000,6932000,None,-4439000,-322000,-10242000,-62000,None,None,None,None,None,None,0,None,None,0,None,-20718000,None,-5013000,XGN
2023-03-31,USD,-9749000,449000,None,-1570000,3305000,600000,396000,3226000,None,-7706000,-396000,-62000,-52000,None,None,None,179000,179000,None,0,None,None,179000,None,-10207000,None,-7688000,XGN
2022-12-31,USD,-5734000,810000,None,2099000,-4615000,600000,406000,-4562000,None,-14558000,-406000,-173000,None,None,None,None,15000,15000,None,0,None,None,61000,None,None,None,-14354000,XGN
2022-09-30,USD,-6682000,807000,None,3700000,1823000,400000,879000,1924000,None,-7478000,-879000,-22000,None,None,None,None,154000,154000,None,0,None,None,154000,None,None,None,-8096000,XGN
2022-06-30,USD,-11154000,732000,None,1200000,-2268000,300000,1946000,-2196000,None,-14059000,-1946000,-264000,None,None,None,None,None,None,None,0,None,None,0,None,-13364000,None,-14665000,XGN
2022-03-31,USD,-8574000,725000,None,424000,1530000,300000,1087000,1257000,None,-9674000,-1087000,-30000,None,None,None,None,None,None,None,0,None,None,231000,None,-9691000,None,-10272000,XGN
2021-12-31,USD,-6047000,453000,None,430000,444000,200000,1064000,444000,None,-6414000,-1064000,-213000,None,None,None,None,None,None,None,0,None,None,9000,None,-7324000,None,-7053000,XGN
2021-09-30,USD,-5460000,470000,None,100000,584000,300000,475000,430000,None,-6501000,-475000,125000,None,None,None,None,None,None,None,0,None,None,248000,None,-6201000,None,-7179000,XGN
2021-06-30,USD,-4450000,453000,None,-100000,524000,200000,714000,559000,None,-5747000,-714000,-310000,None,None,None,None,None,None,None,0,None,None,35000,None,-5547000,None,-6410000,XGN
2021-03-31,USD,-4312000,439000,None,-792000,-641000,200000,167000,-689000,None,-5564000,-167000,65081000,None,None,None,None,44000,44000,None,69144000,None,None,69363000,None,60602000,None,-6209000,XGN
2020-12-31,USD,-3899000,446000,None,205000,-372000,100000,5000,-387000,-2240000,-2801000,-5000,-82000,None,None,None,None,145000,145000,None,0,None,None,1000,None,-3986000,None,-3453000,XGN
2020-09-30,USD,-2128000,437000,None,823000,2033000,100000,213000,2034000,None,-3661000,-213000,75000,None,None,None,None,None,None,None,0,None,None,142000,None,-3561000,None,-4308000,XGN
2020-06-30,USD,-4756000,443000,None,-1096000,1407000,200000,153000,1420000,None,-2728000,-153000,-39000,None,None,None,None,None,None,None,0,None,None,20000,None,-2528000,None,-3363000,XGN
2020-03-31,USD,-3301000,432000,None,1054000,142000,100000,84000,128000,714000,-4932000,-84000,-51000,None,None,None,None,None,None,None,0,None,None,10000,None,-3436000,None,-5563000,XGN
2019-12-31,USD,-3927000,627000,None,354000,-523000,100000,26000,-523000,-2219000,-2637000,-26000,-1791000,None,None,None,None,6741000,6741000,None,0,None,None,-1747000,None,-5744000,None,-3408000,XGN
2019-09-30,USD,-1666000,None,None,None,None,100000,2000,None,151000,-2032000,-2000,63259000,None,None,None,None,None,None,None,0,None,None,70619000,None,-1932000,None,-3141000,XGN
