fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-12-31,USD,-26093000,72958000,99051000,36613000,-42756000,50159000,18782000,170160000,None,1952000,None,None,71006000,None,None,8208000,-41126000,1528000,None,-44569000,-42729000,-42756000,-34548000,-42654000,AMWL
2024-09-30,USD,-27713000,63771000,91484000,38352000,-47370000,41954000,19797000,150370000,None,2725000,None,None,61046000,None,None,8313000,-43613000,-149000,None,-44041000,-38268000,-47370000,-39057000,-43464000,AMWL
2024-06-30,USD,-28274000,66086000,94360000,39294000,-52376000,46850000,20806000,162016000,None,3296000,None,None,62790000,None,None,8216000,-49823000,97000,None,-50579000,-54668000,-52376000,-44160000,-49920000,AMWL
2024-03-31,USD,-48352000,59522000,107874000,41153000,-75032000,58483000,26680000,193920000,None,3797000,None,None,59522000,None,None,8238000,-70830000,1275000,None,-73449000,-72668000,-75032000,-66794000,-72105000,AMWL
2023-12-31,USD,405871000,70677000,-335194000,46834000,-56955000,46186000,26347000,174787000,None,3251000,None,None,70677000,None,None,8265000,-48040000,547000,None,-50043000,-50685000,-56955000,-48690000,-48587000,AMWL
2023-09-30,USD,-115645000,61922000,177567000,40457000,-143360000,49950000,27715000,255232000,None,3590000,None,None,61922000,None,None,8266000,-135292000,1122000,None,-137104000,-141097000,-143360000,-135094000,-136414000,AMWL
2023-06-30,USD,-68664000,62447000,131111000,38244000,-94506000,57873000,25842000,214826000,None,1518000,None,None,62447000,None,None,7718000,-91759000,716000,None,-93515000,-90756000,-94506000,-86788000,-92475000,AMWL
2023-03-31,USD,-370411000,64989000,435400000,38752000,-397322000,59096000,25923000,520618000,None,947000,None,None,64001000,None,None,7243000,-396213000,1475000,None,-398509000,-391307000,-397322000,-390079000,-397688000,AMWL
2022-12-31,USD,-35720000,80671000,116391000,45653000,-64843000,64304000,27685000,209123000,None,None,None,None,79233000,None,None,6434000,-61323000,-160000,None,-60669000,-47505000,-64843000,-58409000,-61163000,AMWL
2022-09-30,USD,-34141000,69938000,104079000,41507000,-71124000,56175000,36254000,196508000,None,None,None,None,69209000,None,None,6397000,-69989000,95000,None,-69982000,-80786000,-71124000,-64727000,-70084000,AMWL
2022-06-30,USD,-31174000,65679000,96853000,36497000,-69404000,53632000,37067000,187552000,None,None,None,None,64516000,None,None,6724000,-68684000,461000,None,-69101000,-79942000,-69404000,-62680000,-69145000,AMWL
2022-03-31,USD,-33504000,65447000,98951000,36765000,-70482000,53870000,37481000,188384000,None,None,None,None,64232000,None,None,6598000,-70369000,-332000,None,-70042000,-74455000,-70482000,-63884000,-70037000,AMWL
2021-12-31,USD,-12606000,73790000,86396000,43696000,-47423000,35941000,33777000,156427000,None,None,None,None,72750000,None,None,6759000,-48127000,-334000,None,-173982000,-52025000,-47423000,-40664000,-47793000,AMWL
2021-09-30,USD,-27353000,62921000,90274000,35184000,-55450000,50750000,27399000,168423000,None,None,None,None,62223000,None,None,4340000,-56948000,-5454000,None,-562000,-53309000,-55450000,-51110000,-51494000,AMWL
2021-06-30,USD,-13695000,61679000,75374000,33889000,-37535000,39001000,22378000,136753000,None,None,None,None,60217000,None,None,2484000,-37756000,103000,None,277000,-38275000,-37535000,-35051000,-37859000,AMWL
2021-03-31,USD,-6853000,66444000,73297000,35705000,-38738000,35086000,23040000,131683000,None,None,None,None,57599000,None,None,2506000,-38879000,309000,None,617000,-39823000,-38738000,-36232000,-39188000,AMWL
2020-12-31,USD,37842000,121271000,83429000,37821000,-49561000,42826000,26564000,153229000,None,None,None,None,60432000,None,None,2782000,-50003000,309000,None,274000,-50339000,-49561000,-46779000,-50312000,AMWL
2020-09-30,USD,-39012000,62551000,101563000,42116000,-64287000,56871000,25275000,183709000,None,None,None,None,62551000,None,None,2576000,-63003000,78000,None,1515000,-64694000,-64287000,-61711000,-63081000,AMWL
2020-06-30,USD,None,None,None,None,-87832000,None,17637000,None,None,None,None,None,None,None,None,2509000,-86406000,252000,None,None,-88194000,-87832000,-85323000,-86658000,AMWL
2020-03-31,USD,None,None,None,None,-25751000,None,14936000,None,None,None,None,None,None,None,None,2286000,-24381000,0,None,None,-25352000,-25751000,-23465000,-24381000,AMWL
2019-12-31,USD,None,None,None,None,-24492000,None,14772000,None,None,None,None,None,None,None,None,2093000,-23212000,-781000,None,None,-22698000,-24492000,-22399000,-22431000,AMWL
2019-09-30,USD,None,None,None,None,-25749000,None,13602000,None,None,None,None,None,None,None,None,1868000,-24407000,-392000,None,None,-24356000,-25749000,-23881000,-24015000,AMWL
