fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-09-30,USD,521177000,734307000,213130000,193041000,496960000,20089000,None,31444000,None,None,None,55769000,1716000,-1573000,212122000,None,373301000,782000,0,372519000,372715000,496960000,None,372519000,AVB
2024-06-30,USD,526860000,726041000,199181000,179595000,496432000,19586000,None,31705000,None,None,None,57078000,1830000,-1417000,206923000,None,253872000,-62000,None,254007000,258364000,496432000,None,253934000,AVB
2024-03-31,USD,513677000,712859000,199182000,175916000,491941000,20331000,None,34677000,None,-54766000,None,54766000,1795000,-4245000,212269000,None,173427000,-22000,54766000,173557000,180934000,491941000,None,173449000,AVB
2023-12-31,USD,514561000,704705000,190144000,171467000,485332000,18109000,None,33449000,None,-49471000,None,49471000,2010000,-10267000,210694000,None,244407000,2438000,49471000,242066000,231611000,485332000,None,241969000,AVB
2023-09-30,USD,498506000,697635000,199129000,175191000,467062000,20439000,None,37064000,None,-48115000,None,48115000,1784000,-18959000,200982000,None,176403000,4372000,48265000,171790000,187887000,472377000,None,172031000,AVB
2023-06-30,USD,503239000,690860000,187621000,169848000,465673000,17773000,None,30765000,None,-51585000,None,51585000,2712000,-1261000,200546000,None,367706000,-217000,51585000,367807000,377103000,471020000,None,367923000,AVB
2023-03-31,USD,484223000,674708000,190485000,164832000,462367000,20602000,None,42495000,None,-56821000,None,56821000,1066000,-2992000,204743000,None,150462000,3560000,56821000,146775000,146916000,465039000,None,146902000,AVB
2022-12-31,USD,491572000,669671000,178099000,156873000,483451000,21226000,None,34162000,None,-57461000,None,57461000,3279000,-6700000,207232000,None,247976000,6683000,57461000,241164000,239682000,483451000,None,241293000,AVB
2022-09-30,USD,484757000,665288000,180531000,165580000,442997000,14951000,None,25543000,None,-57290000,None,57290000,-247000,-6514000,206658000,None,500398000,5651000,58936000,494632000,503948000,442997000,None,494747000,AVB
2022-06-30,USD,466341000,644559000,178218000,156389000,435685000,21829000,None,28847000,None,-58797000,None,58797000,904000,-2364000,199302000,None,138532000,-159000,58797000,138566000,147463000,435685000,None,138691000,AVB
2022-03-31,USD,444428000,613927000,169499000,151312000,409713000,18187000,None,31750000,None,-56526000,None,56526000,752000,-987000,201786000,None,264515000,2471000,56526000,262076000,273212000,409713000,None,262044000,AVB
2021-12-31,USD,443604000,601197000,157593000,140476000,402513000,17115000,None,26802000,None,-55711000,None,55711000,685000,-1331000,197036000,None,339508000,4299000,55730000,335298000,336027000,402513000,None,335209000,AVB
2021-09-30,USD,411630000,580774000,169144000,148704000,371913000,18500000,None,27483000,None,-55987000,None,55987000,-17195000,-417000,193791000,None,81093000,2179000,73877000,78847000,88329000,371913000,None,78914000,AVB
2021-06-30,USD,399257000,561743000,162486000,141622000,359770000,19687000,None,35897000,None,-56104000,None,56104000,808000,-1653000,184472000,None,447963000,10000,56104000,447977000,449497000,359770000,None,447953000,AVB
2021-03-31,USD,392689000,551135000,158446000,140050000,354898000,18396000,None,36614000,None,-52613000,None,52613000,999000,170000,183297000,None,141468000,-755000,52491000,142234000,144590000,354898000,None,142223000,AVB
2020-12-31,USD,397765000,555802000,158037000,142922000,314681000,15115000,None,38732000,None,-51589000,None,51589000,869000,-8110000,177823000,None,338950000,-2178000,51589000,341114000,343495000,314681000,None,341128000,AVB
2020-09-30,USD,408137000,567404000,159267000,143909000,363712000,15358000,None,33984000,None,-53249000,None,53249000,1122000,-567000,175348000,None,147676000,-27000,53144000,147717000,151403000,363712000,None,147703000,AVB
2020-06-30,USD,428546000,576405000,147859000,131090000,388128000,16769000,None,36712000,None,-53399000,None,53399000,658000,-388000,176249000,None,169695000,-1133000,53667000,170869000,171668000,388128000,None,170828000,AVB
2020-03-31,USD,450895000,602267000,150756000,131993000,415513000,18763000,None,18720000,None,-55914000,None,55914000,-8163000,-3334000,177911000,None,168062000,91000,65084000,168006000,152317000,415513000,None,167971000,AVB
2019-12-31,USD,593566000,593566000,137767000,125320000,351772000,13888000,None,430977000,None,-54190000,None,54190000,23224000,-2429000,171365000,None,169496000,1825000,54190000,593566000,181229000,351772000,None,167671000,AVB
2019-09-30,USD,440291000,587613000,147322000,133445000,406585000,13877000,None,427812000,None,-51493000,None,51493000,1138000,-175000,165463000,None,290861000,11184000,51586000,279709000,267779000,406585000,None,279677000,AVB
2019-06-30,USD,425374000,577263000,151889000,132924000,400095000,18965000,None,429719000,None,-50010000,None,50010000,885000,-2711000,162693000,None,168281000,0,50239000,168305000,167004000,400095000,None,168281000,AVB
2019-03-31,USD,551401000,566184000,14783000,123455000,394917000,13688000,None,409796000,None,-47892000,None,47892000,565904000,-622000,162057000,None,170360000,-6000,48172000,170418000,164603000,394917000,None,170366000,AVB
2018-12-31,USD,578522000,578522000,16753000,-394332000,357815000,14352000,None,437837000,-2811000,-55179000,None,55179000,590102000,-1053000,158914000,None,385487000,-247000,69954000,578522000,380831000,357815000,None,385734000,AVB
2018-09-30,USD,561611000,575982000,14371000,132237000,384381000,13905000,None,420493000,-1726000,-54097000,None,54097000,603989000,-523000,156538000,None,192515000,29000,55775000,192407000,193952000,384381000,None,192486000,AVB
2018-06-30,USD,553906000,569239000,15333000,130836000,378406000,14444000,None,420998000,-1529000,-56585000,None,56585000,567643000,-1047000,156685000,None,254720000,58000,57227000,254543000,256117000,378406000,None,254662000,AVB
2018-03-31,USD,412719000,560792000,148073000,133667000,369286000,13664000,None,420895000,-1643000,-55113000,None,55113000,559509000,-800000,159059000,None,141643000,0,55510000,141590000,154900000,369286000,None,141643000,AVB
2017-12-31,USD,555292000,555292000,129864000,126286000,321568000,11865000,None,399816000,-1659000,-52523000,None,52523000,552943000,None,157100000,None,237612000,39000,53833000,555292000,241017000,321568000,None,237573000,AVB
2017-09-30,USD,406965000,550500000,143535000,131091000,370125000,11655000,None,392463000,-1501000,-47741000,None,47741000,656574000,None,144990000,None,238272000,24000,47741000,238199000,240374000,370125000,None,238248000,AVB
2017-06-30,USD,387853000,530512000,142659000,128142000,358410000,13947000,None,410473000,-1455000,-50102000,None,50102000,505252000,None,141439000,None,165283000,58000,74264000,165194000,150848000,358410000,None,165225000,AVB
2017-03-31,USD,372339000,522326000,149987000,124365000,355869000,13206000,None,391512000,-1321000,-49295000,None,49295000,550573000,None,140621000,None,235895000,20000,49295000,235781000,237772000,355869000,None,235875000,AVB
2016-12-31,USD,518240000,518240000,110480000,119396000,283472000,10428000,None,375374000,None,-49648000,None,49648000,528830000,None,140020000,None,242445000,210000,54262000,518240000,312256000,283472000,None,242235000,AVB
2016-09-30,USD,374485000,516211000,141726000,125994000,345196000,11928000,None,372459000,None,-47871000,None,47871000,514891000,None,131729000,None,356414000,22000,47871000,356329000,358859000,345196000,None,356392000,AVB
2016-06-30,USD,370495000,502307000,131812000,120097000,339623000,12011000,None,363236000,None,-46581000,None,46581000,575313000,None,132469000,None,197480000,36000,49042000,197319000,172217000,339623000,None,197444000,AVB
2016-03-31,USD,378063000,508498000,130435000,117771000,350881000,11404000,None,349983000,None,-43410000,None,43410000,610295000,None,127216000,None,237968000,37000,43410000,237877000,191548000,350881000,None,237931000,AVB
2015-12-31,USD,480840000,480840000,124563000,109342000,305893000,9782000,None,335921000,None,-42217000,None,42217000,478608000,None,122259000,None,155563000,135000,42217000,155352000,162222000,305893000,None,155428000,AVB
