fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-07-31,USD,5713000,40173000,34460000,34460000,-2456000,8169000,None,8169000,None,-2454000,None,2454000,40173000,-624000,None,2800000,-5534000,0,442000,-5534000,-5534000,-3080000,-280000,-5534000,CDMO
2024-04-30,USD,5500000,43456000,47069000,37475000,-1294000,6794000,None,6794000,None,-1810000,None,1810000,40929000,-2126000,None,2800000,-5230000,117874000,1183000,-123104000,-123104000,-3420000,-620000,-123104000,CDMO
2024-01-31,USD,2383000,32940000,40614000,31432000,-3999000,6382000,None,6382000,None,-875000,None,875000,33815000,-2184000,None,2800000,-7058000,-1052000,875000,-6006000,-6006000,-6183000,-3383000,-6006000,CDMO
2023-10-31,USD,-4665000,24590000,39417000,30060000,-11222000,6557000,None,6557000,None,-805000,None,827000,25395000,140000,None,2800000,-11887000,-2388000,805000,-9509000,-9509000,-11082000,-8282000,-9509000,CDMO
2023-07-31,USD,4100000,37726000,33626000,33626000,-2163000,6263000,None,6263000,None,-775000,359000,825000,37680000,258000,None,2600000,-2680000,-608000,775000,-2093000,-2122000,-1905000,695000,-2122000,CDMO
2023-04-30,USD,8391000,38983000,40967000,31408000,832000,7559000,None,7559000,None,-759000,-513000,759000,39742000,375000,None,1900000,448000,757000,759000,-309000,-309000,1207000,3107000,-309000,CDMO
2023-01-31,USD,9825000,37398000,37200000,28193000,2718000,7107000,None,7107000,None,-620000,16000,636000,38018000,432000,None,1900000,2530000,2761000,620000,461000,-247000,3150000,5050000,-247000,CDMO
2022-10-31,USD,4147000,34054000,39241000,30610000,-2684000,6831000,None,6831000,None,-703000,174000,877000,34757000,145000,None,1800000,-3242000,-2896000,703000,-1156000,-520000,-2539000,-739000,-1156000,CDMO
2022-07-31,USD,9117000,36140000,35557000,27575000,2735000,6382000,None,6382000,None,-518000,None,518000,36658000,50000,None,1600000,2267000,703000,518000,1564000,1564000,2785000,4385000,1564000,CDMO
2022-04-30,USD,6984000,30675000,27057000,24242000,1069000,5915000,None,6296000,None,-555000,None,555000,31230000,149000,None,1400000,587000,-115011000,555000,113319000,115598000,1142000,2542000,115598000,CDMO
2022-01-31,USD,9087000,30790000,29239000,22421000,3269000,5818000,None,5818000,None,-718000,None,718000,31508000,-303000,None,1000000,2248000,0,718000,3269000,2248000,2966000,3966000,2248000,CDMO
2021-10-31,USD,9186000,25405000,22956000,16923000,4153000,5033000,None,5033000,None,-704000,73000,704000,26109000,73000,None,1000,3522000,0,704000,4153000,3522000,4226000,4227000,3522000,CDMO
2021-07-31,USD,11391000,30051000,24823000,19363000,6931000,4460000,None,4460000,None,-703000,76000,703000,30754000,None,None,1000000,6304000,0,703000,6931000,6304000,7007000,8007000,6304000,CDMO
2021-04-30,USD,8143000,27606000,22018000,19463000,3088000,5055000,None,5055000,None,-1160000,67000,1160000,27606000,67000,None,1000000,1991000,7894000,1160000,1991000,1991000,3088000,4088000,1991000,CDMO
2021-01-31,USD,6202000,21806000,20522000,15604000,2184000,4018000,None,4018000,None,0,23000,0,21806000,23000,None,900000,2207000,-2207000,0,2184000,2207000,2184000,3084000,2207000,CDMO
2020-10-31,USD,6418000,21064000,19712000,14646000,2252000,4166000,None,4166000,None,0,32000,0,21064000,32000,None,900000,2284000,-2284000,0,2252000,2284000,2252000,3152000,2284000,CDMO
2020-07-31,USD,8544000,25392000,20673000,16848000,4719000,3825000,None,3825000,None,-4000,None,4000,25392000,11000,None,800000,4730000,None,4000,4719000,4730000,4719000,5519000,4730000,CDMO
2020-04-30,USD,-1299000,12550000,28366000,13849000,-4827000,3528000,None,3528000,None,59000,59000,8000,12550000,59000,None,815000,-4768000,0,None,-4768000,-4768000,-4827000,-4827000,-4768000,CDMO
2020-01-31,USD,785000,13585000,12800000,12800000,-2211000,2996000,None,2996000,None,107000,107000,0,13585000,107000,None,800000,-2104000,0,None,-2104000,-2104000,-2211000,-1304000,-2104000,CDMO
2019-10-31,USD,3360000,18313000,14953000,14953000,-529000,3534000,None,3889000,None,99000,99000,None,18313000,99000,None,700000,-430000,0,None,-430000,-430000,-529000,171000,-430000,CDMO
2019-07-31,USD,1086000,15254000,14168000,14168000,-3373000,4459000,None,4459000,None,209000,209000,None,15254000,209000,None,600000,-3164000,0,None,-3164000,-3164000,-3373000,-2773000,-3164000,CDMO
2019-04-30,USD,3648000,17055000,13407000,13407000,75000,3573000,None,2573000,None,92000,92000,11000,17055000,81000,None,740000,269000,-67000,None,234000,336000,75000,75000,336000,CDMO
2019-01-31,USD,2050000,13781000,11731000,11731000,-1192000,3242000,None,3242000,None,None,None,None,13781000,9000,None,681000,-1183000,-44000,None,-1139000,-1139000,-1192000,-511000,-1139000,CDMO
2018-10-31,USD,334000,10178000,9844000,9844000,-2482000,2816000,None,2816000,None,None,None,None,10178000,119000,None,683000,-1624000,-173000,None,-2190000,-1451000,-2482000,-1799000,-1451000,CDMO
2018-07-31,USD,1192000,12589000,11397000,11397000,-2023000,3215000,None,3215000,None,None,None,11000,12589000,73000,None,642000,-1961000,0,None,-1961000,-1961000,-2023000,-1950000,-1961000,CDMO
2018-04-30,USD,-1961000,6943000,8904000,8904000,-6144000,4183000,7367000,-5075000,None,None,None,9000,6943000,19000,None,617000,3020000,0,None,-6134000,3020000,-6144000,-6125000,3020000,CDMO
2018-01-31,USD,-4132000,6819000,10951000,10951000,-8956000,4824000,5475000,4824000,None,None,None,14000,6819000,42000,None,645000,-11004000,0,None,-8928000,-11004000,-8956000,-8914000,-11004000,CDMO
2017-10-31,USD,-3460000,12782000,16242000,16242000,-8314000,3596000,3722000,4854000,None,None,None,1000,12782000,14000,None,658000,-12624000,0,None,-8301000,-12624000,-8314000,-10377000,-12624000,CDMO
2017-07-31,USD,6629000,27077000,20448000,20448000,2776000,3853000,3645000,3853000,None,None,None,3000,27077000,27000,None,642000,-1205000,27000,None,2800000,-1205000,2776000,-560000,-1205000,CDMO
2017-04-30,USD,6122000,17904000,11782000,11782000,1645000,4477000,6717000,11427000,None,None,None,5000,17904000,39000,None,613000,-5272000,-576000,None,1677000,-5272000,1645000,-5267000,-5272000,CDMO
2017-01-31,USD,2773000,10747000,7974000,7974000,-1592000,4365000,5989000,10570000,None,-2000,None,2000,10747000,23000,None,631000,-7774000,-606000,2000,-1569000,-7774000,-1592000,-7772000,-7774000,CDMO
2016-10-31,USD,7929000,23370000,15441000,15441000,-4077000,4984000,7022000,12006000,None,None,None,None,23370000,21000,None,606000,-4056000,None,None,3303000,-4056000,-4077000,-3471000,-4056000,CDMO
2016-07-31,USD,2547000,5609000,3062000,3062000,-11082000,5060000,8569000,13629000,None,None,None,None,5609000,25000,None,613000,-11057000,None,None,-2018000,-11057000,-11082000,-10469000,-11057000,CDMO
2016-04-30,USD,9062000,18783000,9721000,9721000,47932000,4065000,16265000,20977000,None,None,None,28000,0,None,None,614000,-11884000,31000,None,-11915000,-11884000,47932000,-11270000,-11884000,CDMO
2016-01-31,USD,2776000,6709000,3933000,3896000,-16867000,4524000,15156000,19680000,None,-14000,None,14000,None,None,None,464000,-16847000,34000,14000,-16867000,-16847000,-16867000,-16369000,-16847000,CDMO
2015-10-31,USD,4782000,9523000,4741000,4741000,-13824000,4416000,14190000,18606000,None,None,None,None,None,626000,None,223000,-13198000,None,None,-13824000,-13198000,-13824000,-13601000,-13198000,CDMO
2015-07-31,USD,4771000,9671000,4900000,4608000,-13754000,4899000,13918000,18817000,None,None,None,None,None,31000,None,234000,-13723000,None,None,-13754000,-13723000,-13754000,-13520000,-13723000,CDMO
2015-04-30,USD,4550000,9308000,4758000,4758000,-12169000,5188000,11531000,16720000,None,0,None,0,-1000,34000,None,238000,-12135000,34000,0,-12169000,-12135000,-12169000,-11897000,-12135000,CDMO
2015-01-31,USD,2564000,5677000,3113000,3113000,-13022000,4325000,11261000,15586000,None,-1000,None,1000,None,29000,None,261000,-12994000,-232000,1000,-13022000,-12994000,-13022000,-12993000,-12994000,CDMO
2014-10-31,USD,2124000,6300000,4176000,4139000,-12137000,4295000,10003000,14298000,None,0,None,0,None,37000,None,265000,-12100000,37000,0,-12137000,-12100000,-12137000,-11835000,-12100000,CDMO
2014-07-31,USD,1913000,5496000,3583000,3583000,-13171000,4883000,10201000,15084000,None,0,None,0,None,42000,None,277000,-13129000,42000,0,-13171000,-13129000,-13171000,-12852000,-13129000,CDMO
2014-04-30,USD,2645000,6474000,3829000,3829000,-10529000,4361000,8813000,13169000,None,0,None,0,0,281000,None,249000,-10248000,281000,0,-10529000,-10248000,-10529000,-9999000,-10248000,CDMO
2014-01-31,USD,1469000,3885000,2416000,2416000,-9743000,4563000,6649000,11216000,None,-4000,None,4000,0,23000,None,244000,-9724000,23000,4000,-9743000,-9724000,-9743000,-9476000,-9724000,CDMO
2013-10-31,USD,3159000,7354000,4195000,4195000,-7814000,4016000,6957000,10973000,None,0,None,0,0,24000,None,236000,-7790000,24000,0,-7814000,-7790000,-7814000,-7554000,-7790000,CDMO
2013-07-31,USD,1911000,4688000,2777000,2670000,-7620000,4334000,5304000,9639000,None,-1000,None,1000,0,21000,None,257000,-7600000,-236000,1000,-7620000,-7600000,-7620000,-7599000,-7600000,CDMO
2013-04-30,USD,959000,4254000,3295000,3217000,-8463000,3665000,5835000,10439000,None,-1000,None,1000,0,None,None,281000,-8449000,-16417000,1000,-8463000,-8449000,-8463000,-8448000,-8449000,CDMO
2013-01-31,USD,3310000,7039000,3729000,3651000,-5161000,3112000,5437000,8557000,None,-8000,None,8000,0,255000,None,280000,-4914000,255000,8000,-5161000,-4914000,-5161000,-4626000,-4914000,CDMO
2012-10-31,USD,2358000,6139000,3781000,3703000,-7057000,3440000,6053000,11233000,None,-44000,None,44000,-1696000,None,None,266000,-8753000,1696000,1740000,-7057000,-8753000,-7057000,-5095000,-8753000,CDMO
2012-07-31,USD,2111000,4251000,2140000,2024000,-7671000,2917000,6981000,9899000,None,-1000,None,1000,0,None,None,260000,-7664000,None,1000,-7671000,-7664000,-7671000,-7411000,-7664000,CDMO
2012-04-30,USD,1053000,2065000,1012000,934000,-10890000,3091000,8930000,11357000,None,-2000,None,2000,0,None,None,244000,-34151000000000,-31237000,2000,-10890000,-10882000,-10890000,-10890000,-10882000,CDMO
2012-01-31,USD,719000,3281000,2562000,2484000,-11093000,2710000,9180000,11896000,None,-6000,None,6000,0,None,None,238000,-11090000,None,6000,-11093000,-11090000,-11093000,-10855000,-11090000,CDMO
2011-10-31,USD,436000,4242000,3806000,3718000,-12036000,2732000,9818000,12578000,None,-28000,None,28000,0,9000,None,223000,-12055000,None,28000,-12036000,-12055000,-12036000,-11813000,-12055000,CDMO
2011-07-31,USD,2422000,5655000,3233000,3017000,-8051000,2929000,7760000,10946000,None,-54000,None,54000,None,13000,None,203000,-8092000,None,54000,-8051000,-8092000,-8051000,-7848000,-8092000,CDMO
2011-04-30,USD,1318000,2729000,1411000,1411000,-9954000,3274000,7998000,11272000,None,None,None,78000,None,None,None,183000,-34151000000000,-24137000,None,None,None,-9954000,-9954000,-10014000,CDMO
2011-01-31,USD,1157000,2883000,1726000,1726000,-8843000,2947000,7053000,10000000,None,None,None,106000,None,None,None,174000,-8929000,None,None,None,None,-8843000,-8669000,-8929000,CDMO
2010-10-31,USD,1668000,4671000,3003000,3003000,-8378000,2702000,7344000,10046000,None,None,None,131000,None,None,None,157000,-7513000,None,None,None,None,-8378000,-8221000,-7513000,CDMO
2010-07-31,USD,2053000,3209000,1156000,1156000,-7512000,2498000,7067000,9565000,None,None,None,201000,None,None,None,138000,-7695000,None,None,None,None,-7512000,-7374000,-7695000,CDMO
