fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-12-31,ARS,68911000000,115054000000,46143000000,46143000000,52860000000,16303000000,None,16051000000,None,30953000000,835000000,12646000000,None,None,None,2455000000,102186000000,25368000000,None,76818000000,None,114832000000,117287000000,74355000000,IRS
2024-09-30,ARS,57415000000,89873000000,32458000000,32458000000,-187584000000,9758000000,None,244999000000,None,-10683000000,961000000,10904000000,None,None,None,1982000000,-164408000000,-55373000000,None,-109035000000,None,-153504000000,-151522000000,-105646000000,IRS
2024-06-30,ARS,74881000000,114981000000,40100000000,40100000000,38499000000,29839000000,None,76482000000,None,1040000000,16574000000,11604000000,None,None,None,None,95611000000,None,None,77925000000,None,None,None,75800000000,IRS
2024-03-31,ARS,75678000000,115778000000,40100000000,40100000000,71458000000,28717000000,None,36382000000,None,112252000000,10561000000,11103000000,None,None,None,2450000000,112148000000,23474000000,None,-333995000000,None,53236000000,55686000000,75800000000,IRS
2023-12-31,ARS,40956000000,61044000000,20088000000,20088000000,25860000000,9991000000,None,15096000000,None,-34860000000,4189000000,11103000000,None,None,None,2297000000,-479707000000,-147350000000,None,22309000000,None,-470242000000,-467945000000,-319500000000,IRS
2023-09-30,ARS,36971000000,54722000000,17751000000,17751000000,26160000000,7449000000,None,10811000000,None,-2073000000,4862000000,8792000000,None,None,None,1226000000,-5099000000,-10880000000,None,81080000000,None,20221000000,21447000000,23422000000,IRS
2023-06-30,ARS,23061000000,35409000000,12348000000,12348000000,-11531000000,17723000000,None,26229000000,None,10776000000,4751000000,14236000000,None,None,None,None,-4310000000,-29078000000,None,29218000000,None,10076000000,None,26583000000,IRS
2023-03-31,ARS,23061000000,35409000000,12348000000,12348000000,-7081000000,11172000000,None,13881000000,None,1484000000,3769000000,3061000000,None,None,None,717000000,140000000,-29078000000,None,12978000000,None,24259000000,24976000000,29475000000,IRS
2022-12-31,ARS,11727000000,17205000000,5478000000,5478000000,8260000000,2156000000,None,6156000000,None,-513000000,2610000000,3006000000,None,None,None,477000000,-13151000000,-27066000000,None,13915000000,None,8260000000,8737000000,13727000000,IRS
2022-09-30,ARS,7967000000,12624000000,4657000000,4657000000,4281000000,1946000000,None,3000000000,None,2747000000,345000000,2509000000,None,None,None,54880,32180000000,8790000000,None,1297000000,None,4632945120,4633000000,22082000000,IRS
2022-06-30,ARS,7967000000,12624000000,4657000000,4657000000,4281000000,1946000000,None,3000000000,None,-2010000000,1097000000,2509000000,None,None,None,352000000,32180000000,8790000000,None,23390000000,None,4281000000,4633000000,22082000000,IRS
