fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-12-31,USD,60826000,223125000,162299000,162299000,-12415000,40501000,21368000,73241000,406000,-8024000,406000,8430000,0,-3865000,None,11154000,-24304000,-6725000,0,-17579000,-13245000,-15874000,-4720000,-17579000,MRCY
2024-09-30,USD,51790000,204431000,152641000,152641000,-13418000,33153000,18383000,65208000,544000,-8362000,544000,8906000,-714000,-1339000,None,11235000,-23119000,-5594000,714000,-17525000,-23784000,-14213000,-2978000,-17525000,MRCY
2024-06-30,USD,73212000,248563000,175351000,186662000,-7968000,43365000,19417000,81180000,525000,-9159000,525000,9159000,None,-1999000,None,11311000,-18601000,-7824000,9159000,-10777000,-11756000,-9442000,1869000,-10777000,MRCY
2024-03-31,USD,40642000,208258000,167616000,167616000,-45656000,43157000,21563000,86298000,542000,-9319000,542000,9319000,0,-2784000,None,11533000,-57217000,-12643000,9319000,-44574000,-42025000,-47898000,-36365000,-44574000,MRCY
2023-12-31,USD,31520000,197463000,165943000,165943000,-53929000,44470000,28476000,85449000,29000,-8674000,29000,8674000,0,-1148000,None,12270000,-63722000,-18141000,8674000,-45581000,-51093000,-55048000,-42778000,-45581000,MRCY
2023-09-30,USD,50527000,180991000,130464000,130464000,-40201000,35794000,31872000,90728000,103000,-7863000,103000,7863000,-7403000,-1774000,None,12547000,-49735000,-13027000,7863000,-36708000,-34602000,-41872000,-29325000,-36708000,MRCY
2023-06-30,USD,67384000,253236000,185852000,185852000,-8898000,32011000,27611000,76282000,724000,-7311000,724000,7311000,None,661000,None,12633000,-14824000,-6588000,7311000,-8236000,-3729000,-7513000,5120000,-8236000,MRCY
2023-03-31,USD,90289000,263479000,173190000,173190000,1954000,44626000,26516000,88335000,80000,-6711000,80000,6711000,0,-613000,None,12809000,-5290000,-10446000,6711000,5156000,2495000,1421000,14230000,5156000,MRCY
2022-12-31,USD,80960000,229588000,148628000,148628000,-7547000,45057000,26906000,88507000,220000,-6590000,220000,6590000,0,846000,None,13536000,-13071000,-2151000,6590000,-10920000,-11365000,-6481000,7055000,-10920000,MRCY
2022-09-30,USD,78095000,227579000,149484000,149484000,-7194000,38943000,27766000,85289000,29000,-4547000,29000,4547000,-5995000,-3645000,None,14574000,-15357000,-1022000,4547000,-14335000,-9438000,-10810000,3764000,-14335000,MRCY
