fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-09-30,USD,-157096000,1588449000,157096000,1198910000,-314192000,157096000,None,157096000,None,None,None,0,0,10682000,None,6546000,249932000,53966000,0,195966000,195966000,249932000,256478000,195966000,MTH
2024-06-30,USD,-158480000,1702049000,157849000,1252347000,-316329000,157849000,None,157849000,None,None,None,0,-631000,11498000,None,6774000,297361000,65806000,631000,231555000,231555000,297361000,292818000,231555000,MTH
2024-03-31,USD,-152282000,1474754000,152282000,1088606000,-304564000,152282000,None,152282000,None,0,None,0,0,9022000,None,6038000,234015000,47999000,0,186016000,186016000,234015000,235071000,186016000,MTH
2023-12-31,USD,-176117000,1662823000,176117000,1240748000,-352234000,176117000,None,176117000,None,0,None,0,0,12911000,None,7758000,258869000,60018000,0,198851000,198851000,258869000,266627000,198851000,MTH
2023-09-30,USD,-163120000,1621671000,162213000,1186148000,-325333000,162213000,None,162213000,None,0,None,0,-907000,13331000,None,6380000,285734000,63974000,907000,221760000,221760000,285734000,293021000,221760000,MTH
2023-06-30,USD,-147938000,1567815000,147938000,1193215000,-295876000,147938000,None,147938000,None,0,None,0,0,12862000,None,5988000,239524000,52688000,0,186836000,186836000,239524000,245512000,186836000,MTH
2023-03-31,USD,-130365000,1285298000,130365000,998474000,-260730000,130365000,None,130365000,None,0,None,0,0,8844000,None,5208000,165303000,34002000,0,131301000,131301000,165303000,170511000,131301000,MTH
2022-12-31,USD,-167273000,2000666000,167273000,1494907000,-334546000,167073000,None,167273000,None,0,None,0,0,3563000,None,7203000,342249000,79884000,0,262365000,262365000,342249000,349452000,262365000,MTH
2022-09-30,USD,-126327000,1585667000,126327000,1129775000,-252654000,126327000,None,126327000,None,0,None,0,0,-74000,None,5822000,329491000,67002000,0,262489000,262489000,329491000,335313000,262489000,MTH
2022-06-30,USD,445389000,1412381000,1084307000,966992000,328074000,117315000,None,117315000,None,0,None,0,1412381000,-458000,None,5964000,331695000,81611000,0,250084000,250084000,331695000,337659000,250084000,MTH
2022-03-31,USD,388442000,1286893000,105535000,898492000,-211111000,105535000,None,105535000,None,-41000,None,41000,1286934000,-317000,None,5759000,285883000,68629000,41000,217254000,217254000,285924000,291683000,217254000,MTH
2021-12-31,USD,-130142000,1506596000,130070000,1068478000,-260212000,127970000,None,130070000,None,-72000,None,72000,0,1421000,None,6353000,311497000,74037000,72000,237460000,237460000,311569000,317922000,237460000,MTH
2021-09-30,USD,-116223000,1266437000,116144000,889773000,-232367000,116144000,None,116144000,None,-79000,None,79000,0,1268000,None,6478000,261709000,60957000,79000,200752000,200752000,261788000,268266000,200752000,MTH
2021-06-30,USD,344969000,1259322000,117045000,932630000,-252355000,117045000,None,117045000,None,-77000,None,77000,-18188000,1377000,None,6879000,215651000,48262000,18265000,167389000,167389000,215728000,240795000,167389000,MTH
2021-03-31,USD,267202000,1083691000,105693000,816579000,-211476000,105693000,None,105693000,None,-90000,None,90000,0,798000,None,6535000,165977000,34134000,90000,131843000,131843000,166067000,172602000,131843000,MTH
2020-12-31,USD,-155876000,1417661000,155875000,1094669000,-316551000,130975000,None,160675000,None,-1000,None,1000,0,3349000,None,8556000,195365000,42838000,1000,195365000,195365000,195366000,203922000,152527000,MTH
2020-09-30,USD,-114074000,1144432000,114019000,896040000,-228093000,114019000,None,114019000,None,-55000,None,55000,0,1188000,None,7945000,135506000,26388000,55000,109118000,109118000,135561000,143506000,109118000,MTH
2020-06-30,USD,-108689000,1038626000,106584000,815589000,-215273000,106584000,None,106584000,None,-2105000,None,2105000,0,1514000,None,7540000,115862000,25184000,2105000,90678000,90678000,117967000,125507000,90678000,MTH
2020-03-31,USD,-95359000,905586000,95343000,724005000,-190702000,95343000,None,95343000,None,-16000,None,16000,0,611000,None,7011000,86833000,15681000,16000,71152000,71152000,86849000,93860000,71152000,MTH
2019-12-31,USD,-116810000,1142944000,111155000,919360000,-227965000,111155000,None,111155000,None,-20000,None,20000,None,3761000,None,8370000,110535000,6921000,5655000,110535000,110535000,110555000,124560000,103614000,MTH
2019-09-30,USD,-101709000,948187000,100641000,756514000,-202350000,100641000,None,100641000,None,-1068000,None,1068000,None,2402000,None,7172000,92366000,22557000,1068000,69809000,69809000,93434000,100606000,69809000,MTH
2019-06-30,USD,-98101000,872361000,94904000,708954000,-193005000,94904000,None,94904000,None,-3197000,None,3197000,None,2368000,None,6549000,67674000,16846000,3197000,50828000,50828000,70871000,77420000,50828000,MTH
2019-03-31,USD,-90206000,714351000,86121000,592821000,-181127000,86121000,None,90921000,None,-4085000,None,4085000,None,1046000,None,5832000,32370000,6958000,4085000,25412000,25412000,36455000,42287000,25412000,MTH
2018-12-31,USD,-105466000,48000,105514000,821709000,-210980000,105514000,None,105514000,None,-552000,None,552000,None,1302000,None,7508000,91776000,16291000,552000,91776000,91776000,92328000,99836000,75485000,MTH
2018-09-30,USD,-96241000,892561000,96188000,727723000,-192429000,96188000,None,96188000,None,-53000,None,53000,None,2812000,None,6850000,71409000,17274000,53000,54135000,54135000,71462000,78312000,54135000,MTH
2018-06-30,USD,158828000,881365000,815388000,718667000,63800000,95028000,None,95028000,None,-44000,None,44000,None,1778000,None,6742000,71185000,17347000,44000,53838000,53838000,71229000,77971000,53838000,MTH
2018-03-31,USD,123120000,745612000,704573000,619444000,34675000,83645000,None,88445000,None,-136000,None,136000,None,5325000,None,5866000,48884000,5010000,136000,43874000,43874000,49020000,54886000,43874000,MTH
2017-12-31,USD,171225000,946717000,872725000,775200000,171225000,95973000,None,95973000,None,-292000,None,292000,None,3566000,None,4633000,84090000,48537000,292000,84090000,84090000,84382000,89015000,35553000,MTH
2017-09-30,USD,144601000,809146000,750001000,660996000,57120000,87481000,None,87481000,None,-1116000,None,1116000,None,2028000,None,4199000,63455000,20905000,1116000,42550000,42550000,64571000,68770000,42550000,MTH
2017-06-30,USD,140910000,805627000,746911000,661068000,56618000,84292000,None,84292000,None,-1620000,None,1620000,None,2080000,None,4202000,63205000,21625000,1620000,41580000,41580000,64825000,69027000,41580000,MTH
2017-03-31,USD,109763000,675716000,642330000,563009000,31821000,77942000,None,77942000,None,-825000,None,825000,None,1110000,None,3670000,36769000,13197000,825000,23572000,23572000,37594000,41264000,23572000,MTH
2016-12-31,USD,157438000,880753000,816792000,723270000,157438000,92087000,None,92087000,None,-45000,None,45000,None,1690000,None,4508000,76337000,24530000,45000,76337000,76337000,76382000,76382000,51807000,MTH
2016-09-30,USD,131874000,755996000,708117000,620983000,46138000,85736000,None,85736000,None,-167000,None,167000,None,1435000,None,3870000,53802000,16915000,167000,36887000,36887000,53969000,57839000,36887000,MTH
2016-06-30,USD,138104000,801372000,746577000,659792000,52827000,85277000,None,85277000,None,-1672000,None,1672000,None,1545000,None,4198000,59036000,19158000,1672000,39878000,39878000,60708000,64906000,39878000,MTH
2016-03-31,USD,103796000,600266000,571011000,493970000,28001000,75795000,None,75795000,None,-3288000,None,3288000,None,283000,None,3402000,28885000,7916000,3288000,20969000,20969000,32173000,35575000,20969000,MTH
2015-12-31,USD,152075000,785616000,711144000,629538000,152075000,80317000,None,80317000,None,-4003000,None,4003000,None,2499000,None,3947000,76085000,23188000,4003000,76085000,76085000,80088000,84035000,52897000,MTH
2015-09-30,USD,126244000,672956000,621836000,543712000,49373000,76871000,None,76871000,None,-4187000,None,4187000,None,-3996000,None,3565000,46668000,16360000,4187000,30308000,30308000,50855000,54420000,30308000,MTH
2015-06-30,USD,114749000,600542000,557231000,483052000,41932000,72817000,None,72817000,None,-4621000,None,4621000,None,136000,None,3518000,41414000,12281000,4621000,29133000,29133000,46035000,49553000,29133000,MTH
2015-03-31,USD,95641000,521247000,495632000,423071000,24379000,71262000,None,71262000,None,-3154000,None,3154000,None,415000,None,3211000,25297000,8897000,3154000,16400000,16400000,28451000,31662000,16400000,MTH
2014-12-31,USD,140281000,699512000,642095000,558637000,72073000,78630000,None,82090000,None,-594000,None,594000,600000,177000,None,3460000,66393000,17185000,594000,66393000,66393000,66987000,70447000,49208000,MTH
2014-09-30,USD,110761000,559525000,516682000,446015000,50822000,69429000,None,69429000,None,-460000,None,460000,0,1998000,None,2972000,47030000,14453000,460000,32577000,32577000,47490000,50462000,32577000,MTH
2014-06-30,USD,110003000,508055000,457408000,395601000,56684000,60676000,None,62072000,None,-1396000,None,1396000,0,3749000,None,2669000,55236000,20157000,1396000,35079000,35079000,56632000,59301000,35079000,MTH
2014-03-31,USD,91572000,410244000,372966000,316773000,44943000,52605000,None,57831000,None,-2713000,None,2713000,0,648000,None,2513000,39758000,14381000,2713000,25377000,25377000,42471000,44984000,25377000,MTH
2013-12-31,USD,123649000,538173000,477810000,412545000,71741000,61113000,None,66207000,None,-1979000,None,1979000,1600000,1032000,None,2765000,65879000,19790000,1979000,65879000,46089000,67858000,70623000,46089000,MTH
2013-09-30,USD,113182000,493764000,437678000,378898000,63965000,57879000,None,61341000,None,-3462000,None,3462000,0,605000,None,2511000,56786000,18595000,3462000,38191000,38191000,60248000,62759000,38191000,MTH
2013-06-30,USD,95052000,448288000,409284000,354898000,48923000,53631000,None,61250000,None,-4523000,None,4523000,-3096000,685000,None,2500000,38532000,10389000,7619000,28143000,28143000,43055000,45555000,28143000,MTH
2013-03-31,USD,64535000,336577000,320234000,271900000,24779000,45603000,None,53589000,None,-5128000,None,5128000,-700000,470000,None,2158000,16475000,4434000,5828000,12041000,12041000,21603000,23761000,12041000,MTH
2012-12-31,USD,68973000,370112000,342954000,295613000,29737000,44622000,None,52867000,None,-5526000,None,5526000,2000000,1139000,None,2283000,103528000,8400000,5526000,15200000,95128000,109054000,111337000,95128000,MTH
2012-09-30,USD,62424000,342643000,325700000,280219000,24683000,45064000,None,50490000,None,-5009000,None,5009000,0,-8276000,None,2299000,6986000,202000,5009000,6784000,6784000,11995000,14294000,6784000,MTH
2012-06-30,USD,51566000,276323000,270357000,230529000,17017000,39634000,None,51938000,None,-6338000,None,6338000,-5772000,934000,None,1921000,2842000,-5163000,12110000,8005000,8005000,9180000,11101000,8005000,MTH
2012-03-31,USD,35236000,204350000,204798000,169114000,6363000,33698000,None,43055000,None,-7371000,None,7371000,0,-139000,None,1693000,-4574000,180000,7371000,-4754000,-4754000,2797000,4490000,-4754000,MTH
2011-12-31,USD,33189000,253353000,260894000,212801000,-144000,38638000,None,55456000,None,-7363000,None,7363000,0,-710000,None,1911000,-11604000,170000,7363000,-11604000,-11774000,-4241000,-2330000,-11774000,MTH
2011-09-30,USD,37943000,217534000,216685000,179591000,7212000,36174000,None,44611000,None,-7517000,None,7517000,0,876000,None,1694000,-3075000,160000,7517000,-3235000,-3235000,4442000,6136000,-3235000,MTH
2011-06-30,USD,39587000,220131000,214977000,180544000,10390000,33843000,None,41929000,None,-7496000,None,7496000,0,1273000,None,1817000,747000,185000,7496000,562000,562000,8243000,10060000,562000,MTH
2011-03-31,USD,30389000,177589000,147200000,147200000,-52000,15126000,None,30441000,None,None,None,8023000,None,723000,None,1756000,-6444000,215000,None,None,None,1579000,3335000,-6659000,MTH
2010-12-31,USD,33983000,214644000,180661000,180661000,2953000,12684000,None,31030000,None,None,None,8449000,None,-1334000,None,1835000,-5419000,-4524000,None,None,None,3030000,4865000,-895000,MTH
2010-09-30,USD,42561000,233803000,191242000,191242000,7259000,15678000,None,35302000,None,None,None,8425000,None,654000,None,2111000,731000,-488000,None,None,None,9156000,11267000,1219000,MTH
2010-06-30,USD,52896000,291405000,238509000,238509000,14561000,16729000,None,38335000,None,None,None,8553000,None,51000,None,2081000,4391000,225000,None,None,None,12944000,14561000,4166000,MTH
