fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-12-31,EUR,5984000000,5984000000,None,None,917000000,789000000,1136000000,5067000000,None,None,None,None,None,None,None,419000000,1126000000,380000000,None,746000000,None,917000000,1336000000,806000000,NOK
2024-09-30,EUR,4326000000,4326000000,None,None,246000000,692000000,1116000000,4080000000,None,None,None,None,None,None,None,None,145000000,-30000000,None,145000000,None,None,246000000,175000000,NOK
2024-06-30,EUR,1925000000,4466000000,2541000000,2541000000,375000000,715000000,1073000000,1550000000,None,27000000,None,None,None,None,None,268000000,459000000,92000000,None,370000000,None,375000000,643000000,-145000000,NOK
2024-03-31,EUR,2186000000,4667000000,2481000000,2481000000,576000000,708000000,1094000000,1610000000,None,51000000,None,3000000,None,None,None,261000000,450000000,12000000,None,439000000,None,399000000,660000000,434000000,NOK
2023-12-31,EUR,2385000000,5707000000,3322000000,3322000000,547000000,787000000,1092000000,1833000000,None,152000000,None,39000000,None,None,None,282000000,513000000,552000000,None,-40000000,None,547000000,829000000,-50000000,NOK
2023-09-30,EUR,1954000000,4982000000,3028000000,3028000000,333000000,710000000,1081000000,1731000000,None,-37000000,62000000,37000000,None,None,None,267000000,179000000,46000000,None,133000000,None,333000000,600000000,139000000,NOK
2023-06-30,EUR,2217000000,5710000000,3493000000,3493000000,521000000,703000000,1045000000,1759000000,None,-54000000,67000000,54000000,None,None,None,122085,407000000,116000000,None,290000000,None,792877915,793000000,290000000,NOK
2023-03-31,EUR,2206000000,5859000000,3653000000,3653000000,392000000,729000000,1108000000,1796000000,None,-19000000,25000000,19000000,None,None,None,41584,401000000,111000000,None,290000000,None,657958416,658000000,279000000,NOK
2022-12-31,EUR,3187000000,7449000000,4262000000,4262000000,882000000,838000000,1222000000,2304000000,None,-30000000,4000000,30000000,None,None,None,54880,878000000,-2272000000,None,3150000000,None,1179945120,1180000000,3154000000,NOK
2022-09-30,EUR,2505000000,6241000000,3736000000,3736000000,518000000,771000000,1165000000,1988000000,None,12000000,8000000,12000000,None,None,None,27081,509000000,93000000,None,417000000,None,803972919,804000000,427000000,NOK
