fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-09-30,USD,223735000,774129000,550394000,83612000,-76715000,146129000,None,300450000,-2106000,-6093000,15908000,6093000,271907000,None,None,4595000,224214000,59841000,None,194737000,-19737000,230307000,234902000,164373000,PRI
2024-06-30,USD,15134000,803375000,788241000,15724000,-542330000,145207000,None,557464000,-2072000,-6099000,15659000,6099000,279777000,None,None,7318000,7797000,6626000,6099000,1171000,100134000,13896000,21214000,1171000,PRI
2024-03-31,USD,173689000,742830000,569141000,13533000,-150955000,143752000,None,324644000,-2137000,-6771000,15785000,6771000,255028000,None,None,7165000,179236000,41332000,6771000,137904000,248858000,186007000,193172000,137904000,PRI
2023-12-31,USD,196112000,726338000,530226000,15079000,-62202000,100125000,None,258314000,-2166000,-6586000,16126000,6586000,1907161000,None,None,7166000,197041000,45106000,6586000,151935000,-156158000,203627000,210793000,151935000,PRI
2023-09-30,USD,186600000,697496000,524332000,12568000,-76720000,118235000,None,263320000,-2123000,-6632000,16306000,6632000,238910000,None,None,7357000,198801000,48930000,6632000,157454000,423944000,205433000,212790000,152063000,PRI
2023-06-30,USD,193765000,688385000,494620000,12602000,-73745000,116086000,None,267510000,-2167000,-6686000,6686000,6686000,233135000,None,None,8894000,188896000,44392000,6686000,144504000,200769000,195582000,204476000,144504000,PRI
2023-03-31,USD,138744000,690036000,551292000,14984000,-151601000,122999000,None,290345000,-2227000,-6690000,16435000,6690000,231551000,None,None,8547000,163137000,38843000,6690000,125106000,15841000,169827000,178374000,128099000,PRI
2022-12-31,USD,174314000,686939000,512625000,14952000,-67928000,87094000,None,242242000,-2233000,-6768000,6768000,6768000,1826957000,None,None,8543000,60338000,12673000,6768000,131840000,-1368844000,67106000,75649000,47665000,PRI
2022-09-30,USD,59357000,673289000,613932000,13446000,-246627000,106975000,None,305984000,-1733000,-6802000,6802000,6802000,225473000,None,None,8278000,121130000,41569000,6802000,51807000,283042000,127932000,136210000,79561000,PRI
2022-06-30,USD,134816000,668682000,533866000,19384000,-134558000,122589000,None,269374000,-1288000,-6814000,15815000,6814000,240689000,None,None,8665000,165221000,37265000,6814000,105563000,497970000,172035000,180700000,127956000,PRI
2022-03-31,USD,55583000,691226000,635643000,20649000,-252875000,146105000,None,308458000,-1088000,-6853000,15515000,6853000,251778000,None,None,8688000,148551000,33512000,6853000,78764000,634253000,155404000,164092000,115039000,PRI
2021-12-31,USD,42444000,724094000,681650000,29264000,-306176000,123282000,None,348620000,-1115000,-8804000,8804000,8804000,1784959000,None,None,10145000,66656000,31788000,17731000,34508000,14487000,75460000,85605000,34868000,PRI
2021-09-30,USD,109014000,693239000,584225000,23524000,-162800000,131637000,None,271814000,-1004000,-7529000,7529000,7529000,269796000,None,None,8925000,148119000,35663000,7529000,111439000,94275000,155648000,164573000,112456000,PRI
