fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-10-31,USD,39681000,174877000,135196000,135196000,31255000,8426000,None,8426000,927000,4629000,4629000,None,33000,None,None,1039000,39505000,9402000,None,24500000,30103000,31255000,32294000,30103000,REX
2024-07-31,USD,19773000,148155000,128382000,128382000,13333000,6440000,None,6440000,1476000,4416000,4416000,None,-142000,None,None,1675000,19507000,4500000,None,12378000,15007000,13333000,15008000,15007000,REX
2024-04-30,USD,14451000,161231000,146780000,146780000,6862000,6111000,None,7589000,1816000,5905000,5905000,None,64000,None,None,1478000,15963000,3690000,None,10191000,12273000,6862000,8340000,12273000,REX
2024-01-31,USD,30410000,187614000,157204000,157204000,17782000,7383000,None,12666000,3058000,4789000,4789000,7849000,-38000,None,None,1479000,17473000,7164000,None,20568000,25298000,17782000,19261000,10309000,REX
2023-10-31,USD,39290000,221079000,181789000,181789000,31681000,7609000,None,7609000,2983000,4863000,4863000,None,10600000,None,None,1095000,41282000,9640000,None,26076000,72924000,31681000,32776000,31642000,REX
2023-07-31,USD,18352000,211977000,193625000,193625000,9734000,8618000,None,8618000,1915000,3271000,3271000,None,0,6318000,None,1337000,12823000,3800000,None,9055000,12284000,9734000,11071000,9055000,REX
2023-04-30,USD,10166000,212714000,202548000,202548000,4397000,5769000,None,10642000,2052000,2801000,2801000,7849000,5796000,4291000,None,1334000,7224000,1988000,None,5236000,6700000,4397000,5731000,5236000,REX
2023-01-31,USD,14899000,200167000,185268000,180720000,14899000,11267000,None,12104000,1741000,2621000,2621000,2149000,-12727000,None,None,5696000,3096000,2168000,None,8161000,26067000,14899000,13876000,928000,REX
2022-10-31,USD,9273000,220277000,211004000,211004000,3450000,5823000,None,7886000,None,1983000,661000,1983000,9000,2644000,None,5789000,6094000,1196000,None,3184000,4898000,3450000,9239000,4898000,REX
2022-07-31,USD,14103000,240328000,226225000,226225000,7436000,6667000,None,9148000,None,8181000,8181000,8181000,1152000,11779000,None,5930000,15500000,4330000,None,11170000,14885000,7436000,13366000,11170000,REX
