fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2024-09-30,USD,29467000,57698000,28231000,1495000,-24863000,25359000,26489000,54330000,None,None,None,None,57698000,168000,4000000,3900000,-19196000,119000,None,-19315000,-19315000,-24863000,-20963000,-19315000,SITM
2024-06-30,USD,21523000,43866000,22343000,1160000,-32320000,25190000,25490000,53843000,None,None,None,None,43866000,-203000,3800000,4100000,-26787000,-18000,None,-26769000,-26769000,-32320000,-28220000,-26769000,SITM
2024-03-31,USD,17661000,33022000,15361000,826000,-35038000,23913000,25544000,52699000,None,None,None,None,33022000,-213000,3600000,2000000,-28691000,13000,None,-28704000,-28704000,-35038000,-33038000,-28704000,SITM
2023-12-31,USD,23693000,42403000,18710000,217000,-27468000,20515000,22918000,51161000,None,None,None,None,42403000,151000,3500000,1000000,-19988000,10000,None,-19998000,-19998000,-27468000,-26468000,-19998000,SITM
2023-09-30,USD,19917000,35520000,15603000,509000,-25177000,21447000,23647000,45094000,None,None,None,None,35520000,-232000,3300000,700000,-18076000,49000,None,-18125000,-18125000,-25177000,-24477000,-18125000,SITM
2023-06-30,USD,15438000,27728000,12290000,500000,-32405000,21276000,26567000,47843000,None,None,None,None,27728000,-161000,3300000,700000,-25899000,23000,None,-25922000,-25922000,-32405000,-31705000,-25922000,SITM
2023-03-31,USD,23041000,38343000,15302000,771000,-22149000,20733000,24457000,45190000,None,None,None,None,38343000,100000,3200000,600000,-16420000,70000,None,-16490000,-16490000,-22149000,-21549000,-16490000,SITM
2022-12-31,USD,37759000,60839000,23080000,None,-5732000,19693000,23798000,43491000,None,None,None,None,60839000,167000,2900000,400000,-1569000,-41000,None,-1551000,-1528000,-5732000,-5332000,-1528000,SITM
2022-09-30,USD,47296000,73095000,25799000,None,3532000,19886000,23878000,43764000,None,None,None,None,73095000,-238000,2700000,500000,5786000,3000,None,5783000,5783000,3532000,4032000,5783000,SITM
2022-06-30,USD,52674000,79418000,26744000,None,12281000,18376000,22017000,40393000,None,None,None,None,79418000,-173000,2400000,400000,12911000,52000,None,12859000,12859000,12281000,12681000,12859000,SITM
2022-03-31,USD,45233000,70253000,25020000,None,6060000,18578000,20595000,39173000,None,None,None,None,70253000,148000,2100000,300000,6208000,68000,None,6140000,6140000,6060000,6360000,6140000,SITM
2021-12-31,USD,52122000,75741000,23619000,None,20180000,16090000,15852000,31942000,None,None,None,None,75741000,-310000,3800000,1900000,19837000,-22000,None,19859000,19859000,20180000,22080000,19859000,SITM
2021-09-30,USD,41695000,63029000,21334000,None,14074000,14616000,13005000,27621000,None,None,None,None,63029000,-110000,700000,500000,13964000,4000,None,13960000,13960000,14074000,14574000,13960000,SITM
2021-06-30,USD,26827000,44496000,17669000,None,2074000,12686000,12067000,24753000,None,None,None,None,44496000,-28000,1400000,500000,2046000,23000,None,2023000,2023000,2074000,2574000,2023000,SITM
2021-03-31,USD,18817000,35542000,16725000,None,-3486000,11123000,11180000,22303000,None,None,None,None,35542000,-39000,1100000,500000,-3525000,40000,None,-3565000,-3565000,-3486000,-2986000,-3565000,SITM
2020-12-31,USD,21071000,40274000,19203000,None,2074000,10251000,8746000,18997000,None,0,None,0,40274000,-809000,1000000,1500000,1991000,0,0,1991000,1991000,1991000,3491000,1991000,SITM
2020-09-30,USD,16902000,32667000,15765000,None,-560000,8978000,8484000,17462000,None,-110000,None,110000,32667000,3000,1900000,300000,-667000,0,110000,-667000,-667000,-557000,-257000,-667000,SITM
2020-06-30,USD,9983000,21473000,11490000,None,-5271000,7856000,7398000,15254000,None,-313000,None,313000,21473000,-20000,2500000,900000,-5604000,-1000,313000,-5603000,-5603000,-5291000,-4391000,-5603000,SITM
2020-03-31,USD,9976000,21742000,11766000,None,-4856000,7808000,7024000,14832000,None,-303000,None,303000,21742000,68000,900000,1100000,-5091000,2000,303000,-5093000,-5093000,-4788000,-3688000,-5093000,SITM
2019-12-31,USD,13448000,28089000,14641000,None,1030000,6469000,5949000,12418000,None,None,None,394000,28089000,-12000,900000,None,624000,-9000,None,1030000,1030000,1018000,None,633000,SITM
2019-09-30,USD,12147000,25325000,13178000,None,1500000,4869000,5778000,10647000,None,None,None,426000,None,5000,2700000,None,1079000,0,None,None,None,1505000,None,1079000,SITM
2019-06-30,USD,6374000,15843000,9469000,None,-4981000,5106000,6249000,11355000,None,None,None,456000,None,-11000,1700000,None,-5448000,1000,None,None,None,-4992000,None,-5449000,SITM
2019-03-31,USD,7589000,14817000,7228000,None,-2422000,4191000,5820000,10011000,None,None,None,438000,None,-10000,600000,None,None,None,None,None,None,-2422000,None,-2870000,SITM
2018-12-31,USD,13751000,None,None,None,2090000,None,None,11661000,None,None,None,None,None,None,None,None,None,None,None,None,None,2090000,None,1650000,SITM
2018-09-30,USD,10662000,None,None,None,747000,None,None,9915000,None,None,None,None,None,None,None,None,None,None,None,None,None,747000,None,296000,SITM
2018-06-30,USD,6995000,None,None,None,-3979000,None,None,10974000,None,None,None,None,None,None,None,None,None,None,None,None,None,-3979000,None,-4319000,SITM
2018-03-31,USD,4797000,None,None,None,-6648000,None,None,11445000,None,None,None,None,None,None,None,None,None,None,None,None,None,-6648000,None,-6969000,SITM
