Date,Open,High,Low,Close,Volume
2020-12-10,146.0,165.0,141.25,144.7,58517731
2020-12-11,142.55,151.5,135.1,137.6,21794842
2020-12-14,138.4,138.4,125.1601,126.9,13589949
2020-12-15,127.1,128.6,121.5,124.49,8996792
2020-12-16,124.6,142.0,124.01,139.5,17893550
2020-12-17,139.55,152.4499,139.55,148.05,12799586
2020-12-18,149.0,159.9,148.1,159.83,13371335
2020-12-21,158.0,172.0,145.11,163.45,14908161
2020-12-22,165.0,174.97,161.0,161.23,8237345
2020-12-23,161.23,168.25,155.5,158.6,4872895
2020-12-24,159.0,162.79,154.1124,155.9899,3002563
2020-12-28,160.1,163.64,147.52,149.45,5117859
2020-12-29,151.0,153.7,143.12,149.0,4494734
2020-12-30,150.15,152.813,145.6,149.0,2647520
2020-12-31,148.9,148.9,144.51,146.15,2170829
2021-01-04,148.0,152.39,137.0,140.0,4955746
2021-01-05,139.15,149.0,136.55,146.74,4784549
2021-01-06,146.0,148.35,141.11,142.99,3382469
2021-01-07,144.0,154.42,144.0,151.2,3514705
2021-01-08,151.3,155.54,147.2501,149.4,3626809
2021-01-11,147.65,150.5,144.02,148.08,2208715
2021-01-12,148.33,163.8801,143.61,161.7,6798333
2021-01-13,161.17,178.6199,158.0,170.0,10276663
2021-01-14,171.08,187.42,170.4,183.0,8107025
2021-01-15,184.0,185.995,164.8601,169.5,6706068
2021-01-19,176.0,178.6,166.6001,174.5,3754081
2021-01-20,176.14,177.0,161.0,163.0,6605632
2021-01-21,164.18,183.47,155.33,179.6,14598255
2021-01-22,177.0,185.3066,173.9998,181.7,5449016
2021-01-25,182.0,192.47,170.03,178.24,5676266
2021-01-26,178.0,193.35,177.3,191.0,4933915
2021-01-27,188.5,216.0,181.2,196.38,8583435
2021-01-28,196.0,212.84,187.0101,188.02,4896882
2021-01-29,186.8,193.4999,179.31,183.25,3289079
2021-02-01,183.63,188.82,179.74,181.92,2892108
2021-02-02,185.7,186.4794,177.11,180.9,3192905
2021-02-03,181.58,190.9,180.0,185.26,3260065
2021-02-04,187.9,195.99,186.19,194.5,2702046
2021-02-05,197.58,197.8,190.2501,195.29,2128499
2021-02-08,197.98,201.96,191.5001,200.01,2601942
2021-02-09,200.89,209.22,196.16,202.3,3511455
2021-02-10,203.98,214.7163,202.097,211.66,3990048
2021-02-11,213.0,219.94,207.0,215.62,2671640
2021-02-12,217.0,217.0,209.0,212.5,2221338
2021-02-16,215.1,218.78,209.01,209.7,2494898
2021-02-17,209.11,211.9003,196.02,203.0,2772201
2021-02-18,202.3,202.3,192.17,197.6,1926729
2021-02-19,199.78,205.55,199.62,202.0,1780441
2021-02-22,198.6,205.0,193.5,196.04,2681682
2021-02-23,195.28,195.5,175.0,187.0,4299300
2021-02-24,187.8,208.145,187.8,203.0001,4509367
2021-02-25,200.22,202.0,180.0,182.6,8451608
2021-02-26,186.85,214.1,181.0,201.85,15409547
2021-03-01,207.0,209.51,192.62,198.0,13178022
2021-03-02,196.0,200.0,185.0,189.5,7241546
2021-03-03,191.8,192.0,178.25,180.01,7691854
2021-03-04,181.0,183.8999,170.87,173.85,7114830
2021-03-05,174.13,183.65,161.9,180.01,6349017
2021-03-08,175.0,186.4,171.4,182.0,3670205
2021-03-09,187.5,190.0,180.72,184.0,4350128
2021-03-10,184.5,191.0,181.55,184.0001,4725729
2021-03-11,189.4,201.0,187.0,200.84,4431374
2021-03-12,195.77,208.7,191.21,206.38,4028774
2021-03-15,206.63,213.7399,203.8101,209.11,2766482
2021-03-16,211.0,215.49,198.18,199.51,3320194
2021-03-17,198.02,203.46,193.3,203.0,2707171
2021-03-18,200.86,201.14,190.68,192.05,2607734
2021-03-19,193.75,196.49,187.81,194.0,3335008
2021-03-22,202.14,203.3,194.45,194.45,2699656
2021-03-23,194.04,196.7496,185.7401,187.0,2284891
2021-03-24,187.98,191.4,178.51,180.0,2458144
2021-03-25,181.0,181.0,170.5,177.7,3352810
2021-03-26,179.66,181.0,168.0,174.5,2377467
2021-03-29,174.21,185.46,172.3301,182.6,3239639
2021-03-30,182.75,185.23,178.38,183.2,2258550
2021-03-31,184.0,192.275,184.0,187.9,2061715
2021-04-01,190.0,193.99,185.37,188.41,1913610
2021-04-05,191.0,192.1,185.81,187.5,1885135
2021-04-06,186.77,194.48,186.77,190.5,2670381
2021-04-07,190.8,191.4,179.47,181.19,4512266
2021-04-08,182.3,183.9,179.3,181.0,1818705
2021-04-09,180.97,182.46,177.25,178.64,2130964
2021-04-12,179.31,181.49,175.25,176.0,1751942
2021-04-13,176.75,178.79,172.14,178.25,2571413
2021-04-14,176.0,181.4665,175.31,176.19,1865620
2021-04-15,178.11,179.0,174.25,175.35,1878425
2021-04-16,175.99,179.51,172.94,177.5,2261562
2021-04-19,178.78,179.2,171.5,174.64,2164090
2021-04-20,174.58,175.0,165.52,170.5,3200376
2021-04-21,170.3,170.6999,164.12,167.05,2738065
2021-04-22,167.51,176.92,167.26,171.0,2788748
2021-04-23,172.0,178.25,172.0,174.79,2329020
2021-04-26,175.37,176.0305,171.07,175.1,1766164
2021-04-27,175.5,179.61,174.8,177.2,1939397
2021-04-28,177.45,181.67,173.351,180.35,1665600
2021-04-29,181.2,183.22,173.35,177.0,2156781
2021-04-30,176.92,176.92,172.01,173.07,2509882
2021-05-03,174.0,174.19,167.8,168.01,2146659
2021-05-04,169.0,169.4871,161.96,168.52,3172331
2021-05-05,169.2,171.0,162.12,163.5,2474115
2021-05-06,163.25,163.7399,150.7,156.2,5899687
2021-05-07,156.0,158.8,148.78,152.0,5041670
2021-05-10,151.04,152.8,144.52,146.69,4177078
2021-05-11,146.6,146.6,136.01,143.7,6009731
2021-05-12,142.75,144.77,138.75,140.35,3621276
2021-05-13,140.03,143.0,127.0,133.3,9493872
2021-05-14,137.0,142.35,131.67,142.32,15516247
2021-05-17,141.28,143.0,130.2532,133.55,31583452
2021-05-18,134.55,138.4,131.49,134.9,15011363
2021-05-19,134.5,138.5,129.71,137.6,12050095
2021-05-20,138.0,140.4,135.65,136.4799,6552113
2021-05-21,136.93,137.8,132.88,134.68,7600487
2021-05-24,135.81,137.98,134.39,136.25,6451318
2021-05-25,137.94,138.8,133.56,134.7,8043148
2021-05-26,135.77,135.8,133.7208,135.0999,6314798
2021-05-27,134.71,144.11,134.1,143.5,16957963
2021-05-28,144.98,145.94,140.25,142.15,9245307
2021-06-01,142.5,146.0889,141.59,144.6,12777110
2021-06-02,144.52,152.7,144.31,151.0,12792186
2021-06-03,150.96,152.4,143.8,144.75,7990171
2021-06-04,145.69,151.57,144.7035,150.7,6532640
