Date,Open,High,Low,Close,Volume
2019-01-24,0.35,0.35,0.35,0.35,10000
2019-01-28,0.35,0.35,0.35,0.35,5000
2019-01-29,0.32,0.32,0.32,0.32,5000
2019-02-01,0.33,0.33,0.33,0.33,45100
2019-02-04,0.32,0.32,0.32,0.32,5000
2019-02-05,0.3208,0.3208,0.26,0.27,47600
2019-02-06,0.3199,0.3199,0.265,0.29,1119200
2019-02-07,0.29,0.29,0.29,0.29,3100
2019-02-25,0.29,0.29,0.29,0.29,1300
2019-03-01,0.29,0.29,0.29,0.29,180900
2019-03-07,0.29,0.301,0.29,0.3,580100
2019-03-11,0.3,0.3,0.3,0.3,15000
2019-03-12,0.32,0.32,0.29,0.29,93700
2019-03-14,0.29,0.29,0.29,0.29,18700
2019-03-18,0.27,0.3,0.27,0.3,68200
2019-03-19,0.3,0.3,0.28,0.28,67500
2019-03-20,0.28,0.28,0.28,0.28,3200
2019-03-22,0.28,0.28,0.28,0.28,90500
2019-03-25,0.28,0.2801,0.28,0.28,131900
2019-03-26,0.28,0.28,0.28,0.28,4950
2019-04-04,0.3,0.31,0.3,0.3001,123400
2019-04-08,0.3,0.3,0.3,0.3,1000
2019-04-16,0.3285,0.3285,0.32,0.32,6700
2019-04-22,0.33,0.35,0.33,0.35,600
2019-05-01,0.33,0.33,0.33,0.33,200
2019-05-08,0.3301,0.3301,0.33,0.33,50000
2019-05-09,0.36,0.36,0.35,0.35,2000
2019-05-10,0.35,0.35,0.35,0.35,48000
2019-05-17,0.35,0.35,0.35,0.35,11400
2019-05-20,0.36,0.36,0.35,0.35,20064
2019-05-24,0.35,0.36,0.33,0.36,500
2019-05-28,0.35,0.35,0.35,0.35,400
2019-05-29,0.34,0.34,0.34,0.34,400
2019-05-30,0.34,0.35,0.34,0.35,400
2019-06-03,0.33,0.33,0.33,0.33,100
2019-06-07,0.32,0.32,0.32,0.32,10195
2019-06-18,0.32,0.32,0.32,0.32,1000
2019-06-19,0.32,0.32,0.32,0.32,1000
2019-06-20,0.33,0.33,0.32,0.32,3400
