Date,Open,High,Low,Close,Volume
2020-01-21,26.0167,26.0924,25.7358,25.7843,12499
2020-01-22,25.8736,26.0075,25.8668,26.0075,22419
2020-01-23,26.0075,26.0148,25.6485,25.7261,62292
2020-01-24,25.5903,25.6824,25.5029,25.5417,13080
2020-01-27,25.6388,25.6582,25.5343,25.5343,3338
2020-01-28,25.619,25.619,25.5514,25.5514,5916
2020-01-29,25.6,25.7067,25.6,25.697,13679
2020-01-30,25.697,25.697,25.6776,25.697,4620
2020-01-31,25.697,25.7164,25.5514,25.5514,34915
2020-02-03,25.5514,25.6285,25.4738,25.4738,10660
2020-02-04,25.6986,25.7164,25.6485,25.6679,21492
2020-02-05,25.7067,25.7067,25.6873,25.697,14406
2020-02-06,25.697,25.7407,25.6485,25.6485,9080
2020-02-07,25.697,25.7164,25.6388,25.6388,80376
2020-02-10,25.6551,25.6873,25.6551,25.6679,4197
2020-02-11,25.7067,25.8426,25.6873,25.7455,44715
2020-02-12,25.8329,25.8329,25.6194,25.7067,15360
2020-02-13,25.6194,25.697,25.6194,25.697,2214
2020-02-14,25.697,25.697,25.6582,25.6873,4024
2020-02-18,25.6824,25.7067,25.6485,25.7067,10608
2020-02-19,25.697,25.697,25.5223,25.5223,106278
2020-02-20,25.5708,25.7455,25.5708,25.7455,13426
2020-02-21,25.6873,25.7455,25.6582,25.7067,42591
2020-02-24,25.4641,25.632,25.3962,25.4156,16141
2020-02-25,25.4664,25.6097,25.1827,25.3379,48979
2020-02-26,25.4443,25.4443,25.0274,25.2409,19163
2020-02-27,24.746,24.746,24.5034,24.6295,31432
2020-02-28,24.6489,24.6489,24.2316,24.319,46885
2020-03-02,24.4548,24.6878,24.3578,24.6198,29631
2020-03-03,24.7169,24.9886,24.6489,24.6878,32229
2020-03-04,24.843,25.1439,24.843,24.9886,33238
2020-03-05,24.9789,25.167,24.8915,24.8915,27125
2020-03-06,24.7945,24.7945,24.5131,24.6198,19565
2020-03-09,24.2608,24.3966,23.5912,23.7755,71818
2020-03-10,24.0977,24.2608,24.0182,24.2122,35680
2020-03-11,24.2122,24.2122,23.795,23.9793,54628
2020-03-12,23.9793,23.9793,21.2233,21.9414,57713
2020-03-13,22.8087,22.8925,22.0773,22.3102,25922
