Date,Open,High,Low,Close,Volume
2024-01-22,10.15,10.16,10.15,10.15,386815
2024-01-23,10.16,10.17,10.15,10.16,725796
2024-01-24,10.16,10.18,10.16,10.16,939799
2024-01-25,10.16,10.17,10.16,10.17,48700
2024-01-26,10.17,10.17,10.16,10.17,37518
2024-01-29,10.17,10.18,10.17,10.18,342498
2024-01-30,10.17,10.17,10.17,10.17,177750
2024-01-31,10.17,10.18,10.17,10.18,329744
2024-02-01,10.175,10.175,10.17,10.17,30960
2024-02-02,10.17,10.18,10.17,10.17,202851
2024-02-05,10.175,10.175,10.165,10.165,314365
2024-02-06,10.17,10.18,10.17,10.17,133571
2024-02-07,10.18,10.18,10.17,10.18,19118
2024-02-08,10.175,10.175,10.17,10.17,8400
2024-02-09,10.175,10.18,10.17,10.17,52100
2024-02-12,10.1779,10.2,10.175,10.18,554096
2024-02-13,10.18,10.2,10.18,10.18,27954
2024-02-14,10.2,10.2049,10.19,10.19,2539
2024-02-15,10.19,10.19,10.19,10.19,3540
2024-02-16,10.18,10.18,10.1552,10.18,36436
2024-02-20,10.18,10.18,10.18,10.18,3200
2024-02-21,10.18,10.18,10.18,10.18,2350
2024-02-23,10.17,10.18,10.17,10.175,124960
2024-02-26,10.1796,10.18,10.1796,10.18,460
2024-02-27,10.1739,10.1739,10.1739,10.1739,1080
2024-02-28,10.1718,10.18,10.17,10.18,2144
2024-02-29,10.1501,10.174,10.1501,10.154,3178
2024-03-01,10.17,10.175,10.17,10.175,700
2024-03-04,10.18,10.19,10.17,10.19,220405
2024-03-05,10.18,10.18,10.18,10.18,1000
2024-03-06,10.19,10.19,10.1837,10.1837,45399
2024-03-07,10.185,10.185,10.18,10.18,1335
2024-03-11,10.19,10.19,10.185,10.19,3324
2024-03-12,10.19,10.195,10.18,10.18,7800
2024-03-13,10.1803,10.19,10.1803,10.19,50697
2024-03-14,10.19,10.1999,10.18,10.18,175544
2024-03-15,10.19,10.21,10.19,10.2,148637
2024-03-18,10.2,10.205,10.19,10.19,71082
2024-03-19,10.2,10.205,10.2,10.205,46085
2024-03-20,10.19,10.1904,10.19,10.1904,1110
2024-03-21,10.19,10.19,10.19,10.19,1910
2024-03-26,10.205,10.22,10.2,10.22,44470
2024-03-27,10.2,10.26,10.2,10.26,109600
2024-04-01,10.26,10.26,10.26,10.26,132
2024-04-02,10.22,10.3,10.22,10.3,11806
2024-04-04,10.2401,10.2401,10.2401,10.2401,972
2024-04-05,10.2477,10.249,10.2477,10.249,1256
2024-04-08,10.24,10.24,10.24,10.24,100
2024-04-10,10.2421,10.2421,10.2421,10.2421,3905
2024-04-11,10.27,10.27,10.25,10.25,500
2024-04-12,10.25,10.25,10.25,10.25,2401
2024-04-16,10.27,10.27,10.27,10.27,925
2024-04-18,10.27,10.27,10.27,10.27,349
2024-04-22,10.2701,10.2701,10.2701,10.2701,5770
2024-04-24,10.275,10.275,10.27,10.2701,10367
2024-04-26,10.275,10.275,10.275,10.275,808
2024-04-30,10.27,10.27,10.26,10.26,9273
2024-05-01,10.2747,10.2747,10.2747,10.2747,556
2024-05-07,10.27,10.285,10.27,10.28,14482
2024-05-08,10.2862,10.3,10.2862,10.3,51270
2024-05-16,10.3,10.3,10.3,10.3,100
2024-05-17,10.306,10.31,10.306,10.31,585
2024-05-21,10.31,10.31,10.31,10.31,5100
2024-05-22,10.3063,10.315,10.3063,10.315,2714
2024-05-23,10.3056,10.3056,10.3056,10.3056,649
2024-05-24,10.3064,10.3064,10.3064,10.3064,1108
2024-05-28,10.32,10.32,10.32,10.32,100
2024-05-29,10.34,10.34,10.33,10.33,6800
2024-05-31,10.32,10.32,10.32,10.32,100
2024-06-03,10.32,10.32,10.32,10.32,100
2024-06-04,10.32,10.33,10.32,10.33,5728
2024-06-05,10.32,10.35,10.32,10.33,8359
2024-06-07,10.33,10.33,10.31,10.32,10576
2024-06-12,10.4677,10.4677,10.4677,10.4677,700
2024-06-20,10.59,10.59,10.33,10.33,584263
2024-06-21,10.3456,10.3456,10.3456,10.3456,640
2024-06-24,10.35,10.35,10.35,10.35,2100
2024-06-25,10.3499,10.35,10.345,10.35,40598
2024-06-26,10.335,10.335,10.335,10.335,100
2024-06-27,10.33,10.346,10.33,10.346,1840
2024-06-28,10.3507,10.3507,10.35,10.35,1931
2024-07-01,10.35,10.35,10.35,10.35,200
2024-07-02,10.39,10.39,10.36,10.3633,23995
2024-07-08,10.3745,10.3745,10.3745,10.3745,1680
2024-07-12,10.36,10.38,10.36,10.38,5780
2024-07-15,10.36,10.36,10.36,10.36,100
2024-07-17,10.36,10.36,10.36,10.36,100
2024-07-18,10.37,10.38,10.36,10.38,1359
2024-07-19,10.38,10.3801,10.38,10.3801,10748
2024-07-22,10.38,10.38,10.38,10.38,1213
2024-07-26,10.44,10.44,10.36,10.4,14739
2024-07-29,10.4,10.4,10.4,10.4,402
2024-07-30,10.3896,10.3896,10.3896,10.3896,100
2024-08-01,10.39,10.4,10.39,10.4,25872
2024-08-02,10.38,10.38,10.38,10.38,250
2024-08-05,10.4,10.4,10.39,10.4,700
2024-08-09,10.4,10.4,10.4,10.4,100
2024-08-12,10.3974,10.4,10.39,10.39,4063
2024-08-13,10.4,10.4,10.3808,10.3808,1046
2024-08-14,10.415,10.415,10.4,10.4,2470
2024-08-15,10.4,10.41,10.4,10.4,1470
2024-08-19,10.43,10.43,10.4153,10.43,105720
2024-08-20,10.43,10.43,10.43,10.43,220
2024-08-21,10.431,10.431,10.431,10.431,514
2024-08-22,10.4399,10.445,10.4399,10.44,35032
2024-08-23,10.445,10.445,10.44,10.44,6179
2024-08-28,10.4456,10.4456,10.44,10.4401,2452
2024-09-03,10.431,10.45,10.43,10.45,70284
2024-09-09,10.47,10.51,10.47,10.47,100100
2024-09-10,10.465,10.475,10.465,10.4733,12390
2024-09-11,10.47,10.47,10.465,10.465,21969
2024-09-12,10.47,10.48,10.47,10.48,105931
2024-09-13,10.48,10.49,10.48,10.48,15947
2024-09-16,10.48,10.4801,10.48,10.48,8820
2024-09-17,10.48,10.48,10.48,10.48,6781
2024-09-18,10.48,10.55,10.48,10.48,20101
2024-09-19,10.48,10.48,10.48,10.48,6100
2024-09-20,10.48,10.48,10.48,10.48,17100
2024-09-23,10.48,10.48,10.48,10.48,5539
2024-09-24,10.48,10.4984,10.48,10.48,140695
2024-09-25,10.48,10.49,10.48,10.49,9395
2024-09-26,10.515,10.515,10.48,10.48,18835
2024-09-27,10.48,10.5,10.48,10.48,15632
2024-09-30,10.48,10.48,10.48,10.48,13381
2024-10-01,10.49,10.49,10.48,10.49,120256
2024-10-02,10.49,10.49,10.49,10.49,9254
2024-10-03,10.51,10.51,10.49,10.49,8284
2024-10-04,10.5,10.5,10.49,10.49,7656
2024-10-07,10.5,10.5,10.48,10.5,7075
2024-10-08,10.5,10.5,10.48,10.5,8109
2024-10-09,10.5,10.5,10.48,10.5,7430
2024-10-10,10.5,10.5081,10.49,10.5081,11096
2024-10-11,10.5,10.5,10.49,10.5,6932
2024-10-14,10.54,10.54,10.49,10.5,6298
2024-10-15,10.499,10.5,10.49,10.49,3078
2024-10-16,10.5,10.5,10.5,10.5,1658
2024-10-17,10.495,10.605,10.495,10.605,22576
2024-10-21,10.51,10.51,10.51,10.51,400
2024-10-23,10.53,10.53,10.52,10.52,1111
2024-10-28,10.55,10.55,10.55,10.55,9100
2024-10-30,10.54,10.54,10.54,10.54,470
2024-10-31,10.54,10.58,10.54,10.58,900
