Date,Open,High,Low,Close,Volume
2011-02-24,7.3489,7.3526,7.3305,7.3489,2072957
2011-02-25,7.3489,7.3526,7.3489,7.3489,72702
2011-02-28,7.3526,7.3526,7.3489,7.3526,266730
2011-03-01,7.3489,7.3526,7.3489,7.3526,173790
2011-03-02,7.3489,7.3526,7.3489,7.3489,158729
2011-03-03,7.3526,7.3526,7.3489,7.3526,77384
2011-03-04,7.3526,7.3526,7.3489,7.3526,31552
2011-03-07,7.3526,7.3526,7.3489,7.3526,105722
2011-03-08,7.3526,7.3563,7.3489,7.3563,75415
2011-03-09,7.3563,7.371,7.3526,7.3636,74799
2011-03-10,7.3599,7.3636,7.3526,7.3526,67967
2011-03-11,7.3563,7.3673,7.3526,7.3526,37284
2011-03-14,7.3599,7.3599,7.3489,7.3489,51626
2011-03-15,7.2901,7.3599,7.2901,7.3489,278805
2011-03-16,7.35,7.3526,7.3489,7.3489,66950
2011-03-17,7.3489,7.3525,7.3489,7.3524,3959
2011-03-18,7.3489,7.3526,7.3489,7.3489,32955
2011-03-21,7.3489,7.3525,7.3489,7.3489,58919
2011-03-22,7.3563,7.371,7.3489,7.3489,68240
2011-03-23,7.3489,7.3526,7.3489,7.3489,42181
2011-03-24,7.3489,7.3526,7.3489,7.3526,20071
2011-03-25,7.3526,7.3636,7.3526,7.3599,58075
2011-03-28,7.3636,7.3636,7.3489,7.3489,38238
2011-03-29,7.3563,7.3563,7.3489,7.3489,93617
2011-03-30,7.3489,7.3636,7.3489,7.3563,40414
2011-03-31,7.3489,7.371,7.3489,7.3673,83987
2011-04-01,7.382,7.382,7.3746,7.3766,6878
2011-04-04,7.3673,7.382,7.3636,7.3746,61082
2011-04-05,7.382,7.382,7.3783,7.382,10575
2011-04-06,7.3489,7.3599,7.2938,7.3379,1361706
2011-04-07,7.3342,7.3342,7.3305,7.3305,137709
2011-04-08,7.3305,7.3489,7.2644,7.2644,105829
2011-04-11,7.2607,7.2644,7.2019,7.2203,72701
2011-04-12,7.2203,7.2203,7.1101,7.1101,138370
2011-04-13,7.1101,7.1836,7.0366,7.1249,212280
2011-04-14,7.1248,7.1762,7.1248,7.1689,130259
2011-04-15,7.1725,7.2754,7.1711,7.2093,134351
2011-04-18,7.2203,7.2277,7.2019,7.2093,105593
2011-04-19,7.2093,7.2765,7.2056,7.257,94204
2011-04-20,7.224,7.2387,7.1946,7.2313,161322
2011-04-21,7.2423,7.2681,7.2423,7.2497,44482
2011-04-25,7.257,7.3048,7.257,7.3011,140217
2011-04-26,7.2901,7.2975,7.2423,7.2644,115030
2011-04-27,7.3011,7.3085,7.2644,7.2717,62065
2011-04-28,7.2717,7.2754,7.2166,7.2717,81532
2011-04-29,7.2754,7.2754,7.2556,7.2607,31928
2011-05-02,7.2754,7.2754,7.246,7.2681,51930
2011-05-03,7.2754,7.3048,7.2754,7.2864,38642
2011-05-04,7.2975,7.3011,7.2203,7.2277,98915
2011-05-05,6.1988,7.2754,6.1988,7.2313,76408
2011-05-06,7.2423,7.2959,7.2277,7.2956,68699
2011-05-09,7.2938,7.3489,7.2019,7.2864,119732
2011-05-10,7.3011,7.3011,7.2644,7.2754,81505
2011-05-11,7.2497,7.2644,7.2019,7.2203,134339
2011-05-12,7.2277,7.2497,7.1615,7.2019,155379
2011-05-13,7.2056,7.3195,7.2019,7.2509,141479
2011-05-16,7.2501,7.3489,7.1762,7.3158,306397
2011-05-17,7.314,7.3305,7.3011,7.3158,205740
2011-05-18,7.3273,7.3827,7.3162,7.3162,178381
2011-05-19,7.2793,7.3162,7.2571,7.3051,159360
2011-05-20,7.3384,7.3679,7.2867,7.3605,110510
2011-05-23,7.3531,7.3531,7.2571,7.3022,50907
2011-05-24,7.2867,7.3273,7.2645,7.2719,49960
2011-05-25,7.2571,7.2571,7.1685,7.1685,202954
2011-05-26,7.1833,7.1943,7.1574,7.1574,201358
2011-05-27,7.1648,7.1906,7.1205,7.1906,100421
2011-05-31,7.2202,7.2214,7.1648,7.1648,80746
2011-06-01,7.1906,7.2128,7.1463,7.1796,67701
2011-06-02,7.1943,7.2423,7.15,7.2423,101461
2011-06-03,7.2534,7.2534,7.1168,7.1648,185326
2011-06-06,7.1574,7.2128,7.1537,7.1576,73349
2011-06-07,7.1833,7.1833,7.1389,7.1537,113639
2011-06-08,7.1352,7.139,7.0872,7.102,123945
2011-06-09,7.0872,7.0909,7.0171,7.0244,175290
2011-06-10,7.0244,7.0798,6.9727,7.0244,117706
2011-06-13,6.7511,7.0762,6.7511,7.0503,72408
2011-06-14,7.0762,7.0762,7.0466,7.054,75775
2011-06-15,7.0614,7.0762,6.9543,6.9543,192564
2011-06-16,6.9509,6.9992,6.877,6.9435,152629
2011-06-17,6.9361,6.9881,6.8061,6.9621,203342
2011-06-20,6.9621,7.0029,6.8321,6.9324,151528
2011-06-21,6.9398,6.9546,6.9101,6.9435,130841
2011-06-22,6.9027,6.9584,6.8767,6.9101,121977
2011-06-23,6.873,6.9249,6.795,6.8767,104102
2011-06-24,6.8804,6.9287,6.8804,6.9212,60155
2011-06-27,6.9212,6.9287,6.8752,6.8804,166275
2011-06-28,6.8841,6.9064,6.847,6.9064,112502
2011-06-29,6.8915,6.9324,6.8878,6.9138,102174
2011-06-30,6.9287,7.0141,6.9138,7.0103,149958
2011-07-01,7.0085,7.1292,7.0076,7.1254,149866
2011-07-05,7.1217,7.1217,7.059,7.1069,100071
2011-07-06,7.0735,7.1329,7.0215,7.0363,140663
2011-07-07,7.0252,7.1811,7.0252,7.1811,247022
2011-07-08,7.1737,7.2665,7.1254,7.2109,227515
2011-07-11,7.2257,7.2257,7.0957,7.0957,116399
2011-07-12,7.0846,7.1095,7.0586,7.0846,74756
2011-07-13,7.0883,7.0883,6.9955,7.0178,157171
2011-07-14,7.0141,7.066,6.9881,7.0029,83418
2011-07-15,6.9996,7.007,6.9473,7.0033,192463
2011-07-18,7.0108,7.0369,6.9701,7.022,103824
2011-07-19,7.0257,7.0948,6.9996,7.0033,223793
2011-07-20,6.9772,7.0332,6.9361,6.9473,258133
2011-07-21,7.022,7.0294,6.9062,6.9398,290727
2011-07-22,6.951,7.022,6.9286,7.022,166912
2011-07-25,7.0182,7.0182,6.9361,6.9548,285955
2011-07-26,6.9697,6.9697,6.8577,6.9212,245553
2011-07-27,6.91,6.9585,6.6524,6.7121,511704
2011-07-28,7.1825,7.4363,6.5964,6.63,599014
2011-07-29,6.6561,6.6934,6.5329,6.63,377806
2011-08-01,6.7046,6.7942,6.6188,6.7569,182961
2011-08-02,6.671,6.7382,6.5404,6.6412,286411
2011-08-03,6.6636,6.6748,6.518,6.6225,177468
2011-08-04,6.4956,6.571,6.3575,6.4359,788764
2011-08-05,6.3463,6.4956,6.1671,6.3201,502324
2011-08-08,6.126,6.2093,5.693,5.9655,524517
2011-08-09,5.9319,6.0327,5.7452,6.0252,596061
2011-08-10,5.9991,6.0775,5.8796,6.0364,448297
2011-08-11,6.0103,6.0775,5.9431,6.0625,279467
2011-08-12,6.0252,6.1596,6.0252,6.1596,224160
2011-08-15,6.1558,6.3463,6.1558,6.2828,196938
2011-08-16,6.2604,6.2977,6.2343,6.2604,158671
2011-08-17,6.242,6.3096,6.2382,6.2833,236926
2011-08-18,6.1444,6.2044,6.1256,6.1857,295112
2011-08-19,6.1706,6.1782,5.9682,5.9866,206475
2011-08-22,6.0167,6.0242,5.735,5.8439,619554
2011-08-23,5.8401,5.9829,5.8326,5.9566,186717
2011-08-24,5.9566,6.0091,5.8514,5.9904,280702
2011-08-25,5.9866,6.1143,5.904,6.0955,284627
2011-08-26,6.0767,6.0767,5.9716,6.0279,331649
2011-08-29,6.0317,6.0542,6.0129,6.0392,307366
2011-08-30,6.028,6.0392,5.9491,6.0317,197279
2011-08-31,6.0392,6.1256,6.0279,6.088,499454
2011-09-01,6.088,6.1594,6.088,6.1483,169340
2011-09-02,6.1293,6.1406,6.0959,6.1181,93158
2011-09-06,6.0054,6.0655,5.9115,6.0505,104467
2011-09-07,6.0655,6.1894,6.058,6.1181,333936
2011-09-08,6.0805,6.1092,6.0388,6.0805,285444
2011-09-09,6.0993,6.0993,5.9904,5.9904,144149
2011-09-12,5.9153,6.0167,5.9115,6.0091,153946
2011-09-13,6.0167,6.0655,5.9904,6.0655,54433
2011-09-14,6.0467,6.1106,6.0016,6.0654,232186
2011-09-15,6.0655,6.1444,5.962,6.1256,398237
2011-09-16,6.1331,6.2007,6.1106,6.1812,179080
2011-09-19,6.1556,6.2082,6.1218,6.1631,164966
2011-09-20,6.1669,6.2048,6.1669,6.1932,157395
2011-09-21,6.1822,6.2427,6.1633,6.1671,233648
2011-09-22,6.1293,6.1293,5.9328,6.05,252288
2011-09-23,6.0386,6.0386,5.963,6.0348,157173
2011-09-26,6.0008,6.0726,5.9479,6.0122,237616
2011-09-27,6.0273,6.1293,5.9101,5.9517,583725
2011-09-28,5.9517,5.9819,5.8837,5.9026,363968
2011-09-29,6.0084,6.0159,5.9328,5.9895,203048
2011-09-30,5.9895,6.0008,5.9177,5.9555,210502
2011-10-03,5.9517,5.98,5.7628,5.7892,301076
2011-10-04,5.7854,5.8043,5.6343,5.6721,262642
2011-10-05,5.6456,5.7288,5.6456,5.6985,175154
2011-10-06,5.6985,5.8535,5.6532,5.7817,155835
2011-10-07,5.7817,5.8081,5.7325,5.7703,41711
2011-10-10,5.7628,5.963,5.759,5.8988,271128
2011-10-11,5.8648,5.895,5.7325,5.8346,112071
2011-10-12,5.8383,5.9328,5.8383,5.9253,164591
2011-10-13,5.9139,5.9668,5.7968,5.9593,134450
2011-10-14,5.9668,6.0462,5.9479,5.9782,130537
2011-10-17,5.9857,6.0046,5.9517,5.9517,53225
2011-10-18,5.9517,6.0122,5.9517,6.0121,89465
2011-10-19,6.0087,6.0506,5.9973,6.0392,136696
2011-10-20,6.043,6.081,5.9973,6.062,266134
2011-10-21,6.0696,6.1076,6.0391,6.0886,180970
2011-10-24,6.1,6.1533,6.1,6.1457,208398
2011-10-25,6.1457,6.1457,5.9897,5.9935,182691
2011-10-26,6.0164,6.138,5.9973,6.138,480203
2011-10-27,6.1913,6.3092,6.1913,6.3054,199022
2011-10-28,6.3624,6.5222,6.332,6.4309,301144
2011-10-31,6.4347,6.4347,6.3358,6.3928,129814
2011-11-01,6.3586,6.3852,6.294,6.3852,186202
2011-11-02,6.3738,6.3777,6.3358,6.3586,128244
2011-11-03,6.351,6.3852,6.3206,6.3738,109996
2011-11-04,6.389,6.389,6.3134,6.3624,56012
2011-11-07,6.3511,6.3511,6.1609,6.2597,233301
2011-11-08,6.2597,6.3358,6.2369,6.2369,205059
2011-11-09,6.2179,6.2217,6.1723,6.1799,225757
2011-11-10,6.1799,6.2369,6.1533,6.2027,111302
2011-11-11,6.1989,6.2978,6.1989,6.294,38897
2011-11-14,6.3168,6.332,6.2597,6.2712,154870
2011-11-15,6.2501,6.3343,6.2501,6.2807,157225
2011-11-16,6.2922,6.319,6.2654,6.2692,55493
2011-11-17,6.2157,6.2654,6.2157,6.2233,173554
2011-11-18,6.2118,6.2616,6.1816,6.2539,167087
