Date,Open,High,Low,Close,Volume
2013-01-23,25.0382,25.4801,24.5964,25.4801,17316
2013-01-24,24.4982,26.6918,24.4,26.462,28922
2013-01-25,24.5964,25.2641,22.937,22.937,15940
2013-01-28,24.4,25.5783,24.0564,24.2527,14667
2013-01-29,24.4383,24.891,24.1349,24.2331,49567
2013-01-30,24.3313,24.4491,24.2527,24.3509,27871
2013-01-31,24.4,24.4,24.3313,24.3313,4073
2013-02-01,24.4393,24.4393,24.2331,24.2331,15904
2013-02-04,24.4294,26.3795,24.184,24.4,18698
2013-02-05,27.9446,27.9446,24.2429,24.3902,35120
2013-02-06,24.4,27.5224,24.2527,24.4,16923
2013-02-07,24.4,26.8057,24.3804,24.4,5276
2013-02-08,24.4295,24.4589,24.3951,24.4589,21647
2013-02-11,24.4295,28.7498,24.2626,27.7384,34846
2013-02-12,24.2822,27.2887,24.2822,24.3509,20778
2013-02-13,24.4,24.4295,24.3745,24.3745,11387
2013-02-14,24.3509,28.9658,24.3018,24.4589,24005
2013-02-15,24.4589,24.4982,24.4589,24.4982,10081
2013-02-19,24.4982,28.4749,24.3999,24.5375,19250
2013-02-20,24.5277,24.5473,24.3509,24.5178,30807
2013-02-21,27.493,27.493,24.4982,24.4982,8046
2013-02-22,24.5768,25.7059,24.4982,24.508,17586
2013-02-25,24.4982,25.3328,24.3215,24.4197,21898
2013-02-26,24.4491,24.4491,24.3411,24.3411,12623
2013-02-27,24.3509,24.3958,24.3018,24.3313,12294
2013-02-28,24.3509,24.3607,24.2626,24.3607,17345
2013-03-01,24.3216,24.5365,24.3216,24.5242,18459
2013-03-04,24.5375,24.6848,24.495,24.6848,8807
2013-03-05,24.6749,26.7271,24.5227,26.2656,19466
2013-03-06,24.5473,26.5641,24.5113,24.5866,13371
2013-03-07,24.5964,24.5964,24.3607,24.3607,13839
2013-03-08,24.4982,24.6259,24.4982,24.5866,10323
2013-03-11,24.6259,24.6259,24.5178,24.5473,5015
2013-03-12,24.5964,24.6259,24.5277,24.5473,11913
2013-03-13,24.5856,24.5964,24.3018,24.5964,10391
2013-03-14,24.6259,24.6455,24.3018,24.6454,8966
2013-03-15,24.5768,24.5964,24.5768,24.5964,5362
2013-03-18,24.5669,24.5964,23.7225,24.5473,12120
2013-03-19,24.5964,24.6357,24.5277,24.5277,11738
2013-03-20,24.5473,24.6259,24.508,24.5669,14899
2013-03-21,24.5964,24.5964,24.5669,24.5669,8965
2013-03-22,24.605,24.6259,24.5768,24.5768,12885
2013-03-25,24.5473,24.5866,24.5375,24.5571,14042
2013-03-26,24.5768,24.5964,24.2331,24.5669,6957
2013-03-27,24.3509,24.6357,24.3509,24.6357,15156
2013-03-28,24.5473,24.5473,23.6439,24.4344,7563
2013-04-01,24.4197,24.4491,24.4,24.4197,15049
2013-04-02,24.3509,24.4294,22.9566,24.4294,10465
2013-04-03,24.3509,24.4295,24.3116,24.4,6652
2013-04-04,24.4,24.4295,24.4,24.4295,1019
2013-04-05,24.415,24.4491,22.5835,24.4491,4177
2013-04-08,24.4491,24.4491,24.3116,24.3313,11204
2013-04-09,22.4735,24.4491,22.4735,24.3018,14243
2013-04-10,24.3509,24.4491,22.5835,24.4491,8519
2013-04-11,23.6832,25.5881,23.6832,25.5881,3871
2013-04-12,24.4687,24.4687,24.3902,24.3902,9664
2013-04-15,24.4,24.4,24.2626,24.3794,10011
2013-04-16,24.3706,24.4,24.3267,24.3953,9424
2013-04-17,24.4687,24.4687,24.1348,24.4491,5094
2013-04-18,24.4491,24.4706,24.4339,24.4491,6528
2013-04-19,26.3285,26.3285,24.3116,24.4786,9766
2013-04-22,22.3577,25.5292,22.3577,24.4295,19054
2013-04-23,24.4786,25.5293,24.4589,24.4589,3155
2013-04-24,25.2346,25.5782,24.4001,24.4098,3841
2013-04-25,24.4491,25.4408,24.3706,25.3132,2853
2013-04-26,24.4,24.4,24.3509,24.3509,5193
2013-04-29,24.4,24.4481,24.3018,24.3602,6263
2013-04-30,24.4,25.9897,24.3313,24.3313,14157
2013-05-01,26.4914,26.5111,24.3804,24.4197,8809
2013-05-02,24.4586,24.4884,24.4586,24.4884,2893
2013-05-03,24.4982,24.4982,24.4492,24.4903,11433
2013-05-06,24.4492,25.9121,24.3607,25.9121,10983
2013-05-07,25.0265,26.7958,24.5365,26.7958,7041
2013-05-08,24.5473,24.6062,24.508,24.5178,7262
2013-05-09,24.5768,26.9628,24.5473,24.6357,4718
2013-05-10,24.6259,24.6259,24.5375,24.5473,6213
2013-05-13,24.616,26.4129,24.5944,24.6357,10822
2013-05-14,24.6357,24.6455,24.5866,24.5866,39509
2013-05-15,24.5866,24.5866,24.5669,24.5865,6583
2013-05-16,24.6259,27.3162,24.5866,24.616,9144
2013-05-17,24.6245,24.6357,24.6245,24.6357,3262
2013-05-20,24.6259,26.2852,24.5434,24.5434,14439
2013-05-21,24.5473,26.2646,24.5178,24.5964,9407
2013-05-22,24.6259,26.4128,24.5277,26.1575,22216
2013-05-23,24.5178,25.5292,24.5178,24.5277,18767
2013-05-24,24.5473,26.3638,24.508,24.5669,12682
