Date,Open,High,Low,Close,Volume
2021-07-08,23750.0,26800.0,18250.0,26750.0,725.716
2021-07-09,28750.0,69900.0,24500.0,27300.0,3544.285
2021-07-12,28000.0,29800.0,22300.0,22500.0,541.669
2021-07-13,22500.0,23000.0,19000.0,20250.0,650.596
2021-07-14,19850.0,26350.0,18650.0,19400.0,451.972
2021-07-15,19350.0,19700.0,16600.0,18050.0,343.653
2021-07-16,17600.0,18650.0,16250.0,16250.0,105.322
2021-07-19,15950.0,16500.0,14550.0,14950.0,150.933
2021-07-20,14750.0,16450.0,14600.5,15100.0,155.319
2021-07-21,15400.0,15900.0,14650.0,15450.0,123.552
2021-07-22,15250.0,17550.0,15150.0,17100.0,271.651
2021-07-23,17450.0,19250.0,16300.0,16750.0,346.789
2021-07-26,15650.0,17249.0,14750.0,15500.0,130.825
2021-07-27,15100.0,15562.0,14250.0,14750.0,47.719
2021-07-28,14350.0,15900.0,14250.0,15500.0,92.562
2021-07-29,15200.0,16995.0,15200.0,15350.0,119.479
2021-07-30,15650.0,21250.0,15400.0,18200.0,1038.775
2021-08-02,19500.0,22150.0,17100.0,17500.0,1941.055
2021-08-03,17500.0,18200.0,15750.0,16350.0,510.9
2021-08-04,16650.0,17000.0,14750.0,15050.0,140.856
2021-08-05,15400.0,16450.0,14850.0,15400.0,138.618
2021-08-06,15800.0,16000.0,14850.5,15350.0,71.619
2021-08-09,15500.0,15800.0,14800.0,15000.0,71.883
2021-08-10,15050.0,15950.0,14500.0,14750.0,184.381
2021-08-11,14800.0,15250.0,14000.0,14750.0,53.384
2021-08-12,14650.0,15250.0,14463.0,14550.0,38.239
2021-08-13,14600.0,14950.0,14250.0,14400.0,61.747
2021-08-16,14250.0,14650.0,13150.0,13500.0,57.769
2021-08-17,13150.0,13250.0,12125.0,12150.0,48.889
2021-08-18,12200.0,13150.0,12050.0,13000.0,85.011
2021-08-19,12300.0,13050.0,11450.0,12400.0,129.65
2021-08-20,11700.0,11950.0,11450.0,11500.0,46.039
2021-08-23,11400.0,11550.0,10950.0,11350.5,62.31
2021-08-24,11450.0,11650.0,10900.0,11200.0,45.987
2021-08-25,11150.0,12200.0,11150.0,11900.0,54.972
2021-08-26,11800.0,11950.0,11550.0,11600.0,26.123
2021-08-27,11950.0,11950.0,11450.0,11650.0,49.913
2021-08-30,11850.0,12382.5,11500.0,11750.0,41.426
2021-08-31,11550.0,11942.5,11415.0,11500.0,40.282000000000004
