Date,Open,High,Low,Close,Volume
2000-01-03,1046.2275,1049.2795,1005.9411,1015.0971,226943.4
2000-01-04,991.2914,997.3954,960.161,963.213,491361.8
2000-01-05,963.213,976.0314,943.6801,965.3494,362175.0
2000-01-06,966.8754,1012.0451,961.9922,994.9538,379752.6
2000-01-07,1012.0451,1073.6956,1008.3827,1069.4228,445571.5
2000-01-10,1069.4228,1071.254,1045.6171,1050.5003,221328.9
2000-01-11,1052.3315,1063.9292,1015.7075,1033.4091,260602.8
2000-01-12,1035.2403,1080.41,1035.2403,1064.5396,333047.2
2000-01-13,1064.5396,1104.2156,1064.5396,1093.8388,313208.3
2000-01-14,1096.8908,1118.2549,1090.1764,1113.9821,384873.7
2000-01-18,1096.2804,1096.8908,1053.5523,1058.4355,337778.3
2000-01-19,1060.8772,1073.6956,1033.4091,1037.6819,319490.2
2000-01-20,1045.0067,1046.8379,1005.9411,1028.5259,298497.5
2000-01-21,1027.9155,1027.9155,996.785,1015.0971,305503.6
2000-01-24,1015.0971,1023.0323,980.3042,991.9018,229878.9
2000-01-25,990.681,1012.6555,987.629,1005.3307,228652.4
2000-01-26,1007.7723,1032.1883,1003.4994,1030.3571,286921.1
2000-01-27,1031.5779,1034.6299,1008.3827,1027.9155,277108.8
2000-01-28,1021.8115,1021.8115,986.4082,996.1746,309382.6
2000-01-31,1001.0578,1019.3699,977.8626,1019.3699,284017.3
2000-02-01,1012.0451,1015.0971,986.4082,999.837,283175.9
2000-02-02,1004.7202,1010.2139,988.8498,999.2266,207267.7
2000-02-03,991.2914,998.6162,958.3298,989.4602,508797.2
2000-02-04,995.5642,999.837,974.8106,983.9666,188414.0
2000-02-07,975.421,976.0314,950.3945,953.4466,342878.8
2000-02-08,941.2385,955.2778,908.8873,936.9657,762342.4
2000-02-09,944.9009,953.4466,932.6929,950.3945,477825.4
2000-02-10,961.9922,963.213,910.7185,921.0953,436937.6
2000-02-11,930.8617,935.1345,916.2121,925.9785,319222.4
2000-02-14,931.4721,939.4073,911.9393,914.9913,244054.7
2000-02-15,918.0433,949.7841,913.1601,941.8489,417345.4
2000-02-16,927.8097,932.6929,908.2769,918.0433,335778.2
2000-02-17,931.4721,932.0825,897.2897,904.6145,306777.3
2000-02-18,896.0688,900.9521,864.328,873.484,563944.3
2000-02-22,867.38,871.6528,835.0287,847.2368,581866.9
2000-02-23,837.4703,845.4056,825.8727,835.0287,642986.5
2000-02-24,832.5871,833.8079,808.1711,811.8335,536709.6
2000-02-25,814.2751,831.9767,811.8335,816.7167,389666.4
2000-02-28,830.1455,867.9904,830.1455,851.5096,500250.1
2000-02-29,859.4448,878.3672,838.0807,863.7176,507437.0
2000-03-01,871.6528,880.1984,855.7824,874.7048,330829.4
2000-03-02,872.2632,875.3152,846.016,849.6784,279919.4
2000-03-03,867.9904,868.6008,836.2495,853.3408,315338.4
2000-03-06,850.8992,850.8992,818.5479,827.7039,385217.4
2000-03-07,830.1455,830.7559,776.4302,795.3527,521131.9
