Date,Open,High,Low,Close,Volume
2019-10-29,10.9564,10.9947,10.9564,10.9564,3471793
2019-10-30,10.9564,10.9947,10.9564,10.9564,741238
2019-10-31,10.9838,10.9838,10.9564,10.9564,793604
2019-11-01,10.9673,11.0495,10.9673,11.0112,348499
2019-11-04,11.0714,11.1388,11.0386,11.0659,156268
2019-11-05,11.0659,11.1043,11.0396,11.055,68751
2019-11-06,11.0879,11.1755,11.0659,11.17,152621
2019-11-07,11.1919,11.1919,11.0988,11.1323,166790
2019-11-08,11.1207,11.1207,11.0112,11.0879,75507
2019-11-11,11.0879,11.1152,11.0659,11.0933,53676
2019-11-12,11.1207,11.1372,11.055,11.0714,56747
2019-11-13,11.0769,11.0824,11.0221,11.0659,62788
2019-11-14,11.0769,11.0933,11.0112,11.055,97533
2019-11-15,11.0879,11.0933,11.044,11.09,65586
2019-11-18,11.0933,11.0933,11.0112,11.0769,113412
2019-11-19,11.0933,11.0933,11.044,11.0659,50091
2019-11-20,11.0659,11.0659,11.0166,11.0386,94975
2019-11-21,11.044,11.0659,11.044,11.044,52196
2019-11-22,11.0605,11.1152,11.055,11.1152,115444
2019-11-25,11.0879,11.0988,11.044,11.0605,94533
2019-11-26,11.0769,11.1098,11.055,11.1042,111789
2019-11-27,11.1043,11.1098,11.0824,11.1098,114745
2019-11-29,11.1043,11.1152,11.044,11.0714,51259
2019-12-02,10.9564,11.0386,10.7099,10.8194,290978
2019-12-03,10.7373,10.8057,10.5729,10.6879,158642
2019-12-04,10.7208,10.792,10.6606,10.7373,145720
2019-12-05,10.7373,10.7373,10.5126,10.5291,141869
2019-12-06,10.5674,10.6167,10.4633,10.5893,110304
2019-12-09,10.5729,10.6825,10.5559,10.6441,71203
2019-12-10,10.6715,10.8687,10.6269,10.7707,134356
2019-12-11,10.8578,10.8956,10.6222,10.7537,190514
2019-12-12,10.9016,10.9016,10.8014,10.8468,139260
2019-12-13,10.8523,10.9564,10.8386,10.9454,110111
2019-12-16,10.9673,10.9673,10.8632,10.8852,166330
2019-12-17,10.929,10.9783,10.8752,10.9399,149305
2019-12-18,11.0272,11.0272,10.8289,10.906,174826
2019-12-19,10.9445,11.0216,10.8729,10.895,134453
2019-12-20,10.928,11.0123,10.9005,11.0051,128453
2019-12-23,11.0161,11.0272,11.0051,11.0106,63788
2019-12-24,10.939,11.0216,10.9335,11.0216,45050
2019-12-26,11.0161,11.0161,10.9335,11.0161,93870
2019-12-27,11.0161,11.0712,11.0051,11.0492,105931
2019-12-30,11.0327,11.0712,10.9666,11.0161,135131
2019-12-31,11.0437,11.0988,10.9225,11.0712,76424
2020-01-02,11.0988,11.0988,10.9997,11.0703,99408
2020-01-03,11.0216,11.0712,11.0161,11.0216,110428
2020-01-06,11.0161,11.0216,10.939,11.0161,72302
2020-01-07,10.9611,11.0272,10.9611,11.0272,73108
2020-01-08,11.0382,11.0712,10.9834,11.0161,133784
2020-01-09,10.9996,11.0988,10.9996,11.0492,129822
2020-01-10,11.1092,11.1147,11.0424,11.0649,89168
2020-01-13,11.0538,11.1313,11.0538,11.1036,148121
2020-01-14,11.1313,11.159,11.0815,11.087,264163
2020-01-15,11.1313,11.1646,11.1119,11.1646,213330
2020-01-16,11.1646,11.2803,11.1646,11.231,181715
2020-01-17,11.231,11.4525,11.1977,11.3528,131156
2020-01-21,11.3307,11.4032,11.2946,11.3418,126721
2020-01-22,11.3528,11.4691,11.3085,11.3252,161070
2020-01-23,11.3972,11.3972,11.2828,11.3252,157097
2020-01-24,11.3418,11.3916,11.2144,11.348,122831
2020-01-27,11.2255,11.2255,11.0483,11.1036,344261
2020-01-28,11.1036,11.1313,11.0483,11.0815,219297
2020-01-29,11.1756,11.1978,11.076,11.087,119820
2020-01-30,11.076,11.1812,11.0206,11.0815,67513
2020-01-31,11.1258,11.1378,10.9153,10.9153,131586
2020-02-03,11.1147,11.1252,11.0206,11.0538,156613
2020-02-04,10.8821,11.2753,10.8821,11.2393,201640
2020-02-05,11.2698,11.3324,11.2089,11.2975,111452
2020-02-06,11.3473,11.3473,11.1313,11.2199,117357
2020-02-07,11.2255,11.3141,11.1867,11.2781,137475
2020-02-10,11.2642,11.3695,11.1867,11.3085,90905
2020-02-11,11.2587,11.4369,11.2587,11.303,142800
2020-02-12,11.3355,11.5081,11.2742,11.4858,124902
2020-02-13,11.4301,11.5136,11.3411,11.355,250241
2020-02-14,11.3689,11.417,11.2909,11.3188,118122
2020-02-18,11.3466,11.3578,11.2687,11.3299,117606
2020-02-19,11.3578,11.38,11.3127,11.3299,163694
2020-02-20,11.3633,11.419,11.2687,11.3466,99517
2020-02-21,11.2464,11.4079,11.213,11.2441,122138
2020-02-24,11.1351,11.1351,10.9346,11.0293,191211
2020-02-25,10.9792,11.1178,10.8734,10.9124,207716
2020-02-26,10.8789,10.968,10.7732,10.8248,175268
2020-02-27,10.6117,10.634,10.222,10.2331,359401
