Date,Open,High,Low,Close,Volume
2023-11-09,10.1,10.17,10.1,10.16,5174104
2023-11-10,10.12,10.17,10.11,10.1585,422351
2023-11-13,10.1599,10.18,10.15,10.15,13822
2023-11-14,10.17,10.17,10.16,10.16,71208
2023-11-15,10.17,10.17,10.16,10.16,10542
2023-11-16,10.16,10.19,10.16,10.175,102907
2023-11-17,10.1701,10.1701,10.1701,10.1701,270
2023-11-20,10.18,10.19,10.18,10.19,30616
2023-11-21,10.17,10.19,10.16,10.19,26018
2023-11-22,10.19,10.1999,10.19,10.1999,479
2023-11-28,10.17,10.17,10.17,10.17,884
2023-12-01,10.17,10.17,10.17,10.17,41605
2023-12-04,10.19,10.19,10.17,10.17,11396
2023-12-06,10.1699,10.17,10.13,10.17,14400
2023-12-07,10.18,10.21,10.18,10.21,1095
2023-12-11,10.17,10.21,10.17,10.21,9299
2023-12-12,10.2,10.21,10.2,10.21,208800
2023-12-13,10.2097,10.2097,10.2097,10.2097,200
2023-12-14,10.205,10.21,10.2,10.21,628
2023-12-15,10.2,10.2,10.19,10.2,835
2023-12-18,10.19,10.21,10.19,10.19,4986
2023-12-19,10.19,10.195,9.99,10.19,17555
2023-12-20,10.19,10.19,10.19,10.19,9747
2023-12-21,10.19,10.19,10.19,10.19,13416
2023-12-22,10.19,10.19,10.18,10.18,15236
2023-12-26,10.19,10.2,10.18,10.2,182056
2023-12-27,10.22,10.22,10.21,10.21,213970
2023-12-28,10.21,10.21,10.21,10.21,25318
2024-01-02,10.25,10.28,10.23,10.27,353987
2024-01-03,10.28,10.29,10.275,10.29,25380
2024-01-04,10.32,10.32,10.32,10.32,300
2024-01-09,10.3,10.3,10.295,10.3,22094
2024-01-12,10.53,10.53,10.53,10.53,303
2024-01-17,10.53,10.53,10.53,10.53,156
2024-01-18,10.34,10.34,10.32,10.32,1600
2024-01-23,10.32,10.32,10.32,10.32,5000
2024-01-26,10.34,10.94,10.34,10.71,1598
2024-01-30,10.4,10.4,10.35,10.35,1300
2024-01-31,10.32,10.32,10.32,10.32,502
2024-02-05,10.32,10.32,10.32,10.32,100
2024-02-13,10.33,10.33,10.33,10.33,100
2024-02-14,10.34,10.34,10.34,10.34,1100
2024-02-15,10.3411,10.35,10.3411,10.35,1300
2024-02-26,10.3899,10.3899,10.37,10.37,1001
2024-02-28,10.37,10.3701,10.37,10.37,2000
2024-03-05,10.4,10.41,10.39,10.41,600
2024-03-07,10.44,10.44,10.4,10.44,8679
2024-03-08,10.45,10.5,10.45,10.5,899
2024-03-11,10.44,10.44,10.0,10.0,400
2024-03-20,10.43,10.43,10.42,10.42,5706
2024-04-01,10.18,10.18,10.18,10.18,100
2024-04-02,10.43,10.43,10.43,10.43,100
2024-04-03,10.44,10.44,10.44,10.44,100
2024-04-05,10.43,10.43,10.43,10.43,100
2024-04-08,10.43,10.43,10.43,10.43,100
2024-04-09,10.43,10.43,10.43,10.43,100
2024-04-10,10.44,10.44,10.44,10.44,100
2024-04-11,10.44,10.44,10.44,10.44,100
2024-04-12,10.43,10.43,10.43,10.43,100
2024-04-15,10.44,10.44,10.44,10.44,100
2024-04-16,10.44,10.44,10.44,10.44,100
2024-04-17,10.43,10.43,10.43,10.43,100
2024-04-18,10.45,10.45,10.45,10.45,100
2024-04-19,10.43,10.43,10.43,10.43,100
2024-04-22,10.44,10.44,10.44,10.44,100
2024-04-24,10.43,10.43,10.43,10.43,198
2024-05-20,10.58,11.11,10.47,10.47,1743
2024-05-21,10.48,10.48,10.46,10.47,801
2024-05-23,10.47,10.47,10.47,10.47,400
2024-05-28,10.5,10.5,10.5,10.5,200
2024-05-29,10.54,11.49,10.52,10.75,3570
2024-06-03,10.75,10.75,10.55,10.55,733
2024-06-13,10.5,10.5,10.5,10.5,100
2024-06-14,10.5,10.5,10.5,10.5,100
2024-06-17,10.5,10.5,10.5,10.5,100
2024-07-26,10.55,10.55,10.55,10.55,795
2024-07-29,10.56,10.56,10.56,10.56,100
2024-08-02,10.58,10.58,10.58,10.58,9946
2024-08-06,10.57,10.57,10.57,10.57,75000
2024-08-22,10.58,10.58,10.58,10.58,300000
2024-08-30,10.59,10.59,10.59,10.59,386
2024-10-04,10.663,10.663,10.663,10.663,103
2024-10-11,10.66,10.66,10.66,10.66,200
2024-10-17,10.65,10.65,10.65,10.65,100
2024-10-21,10.722,10.722,10.722,10.722,1000
2024-10-30,10.75,10.99,10.75,10.75,1448
2024-11-04,10.7,10.72,10.7,10.7,900
2024-11-05,10.7,10.72,10.7,10.7,900
2024-11-13,10.845,10.845,10.845,10.845,500
2024-12-10,10.77,10.77,10.77,10.77,500
2024-12-26,10.78,10.78,10.77,10.78,500
2024-12-30,10.9,10.99,10.85,10.86,1500
2025-01-13,10.78,10.9,10.78,10.9,883
2025-01-27,11.2,11.36,10.9,11.07,700
2025-01-28,10.9,10.9,10.89,10.89,200
2025-01-30,10.93,10.93,10.93,10.93,200
2025-02-05,11.2,11.2,10.92,10.92,200
2025-02-10,11.2,11.2,11.2,11.2,100
2025-02-19,10.91,11.3,10.7,10.8,600
