Date,Open,High,Low,Close,Volume
2018-09-11,2058.0,2058.0,1972.0,2000.0,17.15
2018-09-12,2004.0,2004.0,1966.0,2000.0,10.75
2018-09-13,1954.0,2000.0,1954.0,2000.0,1.5
2018-09-14,2200.0,2200.0,2100.0,2100.0,1.5
2018-09-17,2302.0,2302.0,2080.0,2155.0,71.0
2018-09-18,2122.0,2122.0,2120.0,2120.0,1.5
2018-09-19,2188.0,2350.0,2080.0,2260.02,101.6
2018-09-20,2353.84,2400.0,2056.0,2168.0,142.51
2018-09-21,2070.0,2189.44,2060.0,2189.44,13.51
2018-09-24,2170.0,2170.0,2155.5,2155.5,3.0
2018-09-25,2226.38,2226.38,2184.0,2184.0,1.0
2018-09-26,2184.0,2184.0,1903.0,2068.0,6.5
2018-09-27,2040.0,2040.0,2040.0,2040.0,0.5
2018-10-01,1990.0,2148.0,1990.0,2148.0,2.0
2018-10-02,2008.0,2064.0,1932.0,2064.0,14.0
2018-10-03,2064.0,2064.0,1972.0,2000.0,27.97
2018-10-04,2070.0,2070.0,1940.4,1940.4,22.5
2018-10-05,2021.4,2070.0,1990.6,2070.0,6.0
2018-10-08,1950.0,1950.0,1950.0,1950.0,1.0
2018-10-09,1800.0,1800.0,1800.0,1800.0,0.5
2018-10-10,1680.0,1740.0,1680.0,1740.0,6.1
2018-10-11,1590.0,1800.0,1580.0,1660.02,23.3
2018-10-12,1522.0,1600.0,1404.0,1598.0,42.0
2018-10-16,1640.0,1640.0,1606.0,1606.0,13.0
2018-10-17,1578.84,1600.0,1562.0,1600.0,7.5
2018-10-18,1754.0,1754.0,1656.0,1656.0,1.5
2018-10-22,1688.0,1688.0,1640.0,1650.0,19.1
2018-10-23,1646.0,1646.0,1550.0,1550.0,4.0
2018-10-24,1554.0,1710.0,1554.0,1600.0,3.0
2018-11-05,1648.0,1648.0,1400.0,1434.0,26.57
2018-11-07,1452.0,1568.0,1452.0,1500.0,2.0
2018-11-08,1460.0,1500.0,1460.0,1500.0,13.0
2018-11-13,1400.0,1400.0,1400.0,1400.0,6.26
2018-11-14,1300.0,1300.0,1299.98,1300.0,10.0
2018-11-15,1144.0,1144.0,1144.0,1144.0,0.5
2018-11-16,1204.38,1222.0,1200.0,1222.0,3.5
2018-11-19,1400.0,1400.0,1323.4,1323.4,4.0
2018-11-20,1108.0,1150.0,1108.0,1136.0,3.5
2018-11-21,968.0,968.0,730.0,840.0,136.96
2018-11-23,897.7,902.0,881.2,900.0,19.0
2018-11-26,916.0,1579.8,900.0,1250.0,1297.8
2018-11-27,1250.0,1398.0,1000.0,1060.0,456.03000000000003
2018-11-28,1150.0,1261.9,1000.0,1164.9,327.22
2018-11-29,1090.0,1200.0,1084.0,1120.0,239.89000000000001
2018-11-30,1067.32,1140.0,1067.32,1120.0,16.5
2018-12-03,1118.0,1136.0,1044.0,1090.0,31.15
2018-12-04,1200.0,1826.0,1012.0,1040.0,10326.76
2018-12-06,1146.0,1420.0,1012.0,1150.0,2161.08
2018-12-07,1210.0,1272.8,1070.0,1200.0,398.96
2018-12-10,1176.0,1188.0,1030.0,1086.0,261.51
2018-12-11,1064.0,1100.0,920.0,920.0,247.15
2018-12-12,940.0,952.0,830.2,864.0,173.02
2018-12-13,900.0,919.3,836.0,863.0,156.04
2018-12-14,840.0,890.0,822.0,846.0,86.88
2018-12-17,882.0,888.0,779.88,862.0,41.25
2018-12-18,882.0,882.0,741.0,789.98,307.9
2018-12-19,790.0,820.0,700.0,700.0,537.61
2018-12-20,730.0,760.0,600.0,670.0,153.15
2018-12-21,630.0,698.0,630.0,678.0,89.59
2018-12-24,668.0,668.0,566.0,566.0,20.62
2018-12-26,718.0,930.0,600.0,618.0,11243.07
2018-12-27,630.0,630.0,480.0,502.0,1140.85
2018-12-28,500.0,562.9,500.0,552.0,452.68
2018-12-31,660.0,844.0,544.0,544.0,18708.36
2019-01-02,692.0,736.0,582.02,612.0,2085.91
2019-01-03,660.0,662.0,530.0,574.0,1237.43
2019-01-04,570.0,583.24,536.0,552.0,658.4
2019-01-07,570.0,620.0,566.0,584.0,693.03
2019-01-08,640.0,640.0,574.0,586.0,374.08
2019-01-09,606.0,620.0,562.0,580.0,1072.01
2019-01-10,600.0,690.0,580.0,657.98,1879.52
2019-01-11,620.0,658.0,604.0,628.0,496.7
2019-01-14,616.02,616.34,580.02,580.02,216.24
2019-01-15,628.0,740.0,572.0,630.0,4466.17
2019-01-16,612.0,630.0,570.0,590.0,606.4200000000001
2019-01-17,588.0,601.26,580.0,588.0,153.09
2019-01-18,588.0,598.0,576.0,595.0,144.75
2019-01-22,594.0,596.0,578.0,596.0,197.67
2019-01-23,584.0,600.0,560.0,592.0,85.51
2019-01-24,592.0,592.0,562.0,590.0,69.16
2019-01-25,584.0,590.0,572.0,590.0,54.93
2019-01-28,580.0,589.98,562.0,589.98,113.34
2019-01-29,638.0,674.0,536.0,582.0,1744.53
2019-01-30,570.0,627.98,550.0,627.98,210.84
2019-01-31,628.0,628.0,542.0,558.0,214.19
2019-02-01,540.4,620.0,536.0,594.0,1090.39
2019-02-04,594.0,610.0,556.78,599.98,231.21
2019-02-05,540.0,563.2,536.0,542.0,227.85
2019-02-06,532.0,532.0,462.0,476.0,391.44
2019-02-07,468.0,496.16,464.0,489.98,168.32
2019-02-08,480.0,488.0,464.0,468.0,78.3
2019-02-11,474.0,485.88,450.0,466.0,148.17
2019-02-12,464.0,477.98,444.0,467.98,193.85
2019-02-13,446.0,562.0,446.0,474.0,391.44
2019-02-14,491.98,517.06,462.3,486.0,266.76
2019-02-15,496.76,497.68,460.0,478.0,31.66
2019-02-19,460.0,487.7,460.0,476.0,24.52
2019-02-20,478.76,494.0,478.0,488.0,35.93
2019-02-21,488.0,490.32,468.44,472.0,143.96
2019-02-22,468.0,468.0,446.0,452.0,39.91
2019-02-25,456.0,464.0,452.0,464.0,18.63
2019-02-26,478.0,478.0,452.0,452.0,33.08
2019-02-27,400.0,458.6,400.0,440.0,94.08
2019-02-28,416.08,455.88,404.0,404.0,414.95
2019-03-01,457.98,457.98,412.0,434.0,85.52
2019-03-04,448.0,456.0,406.02,440.0,56.2
2019-03-05,440.0,450.0,362.0,390.0,318.49
2019-03-06,394.0,400.0,370.0,390.0,101.35
2019-03-07,390.0,440.0,382.0,426.02,767.83
2019-03-08,426.0,426.0,390.02,396.0,154.13
2019-03-11,432.0,460.0,400.0,412.0,323.68
2019-03-12,411.4,414.0,404.0,410.0,32.0
2019-03-13,424.0,634.0,410.0,500.0,1363.15
2019-03-14,474.0,696.0,470.0,486.0,22317.65
2019-03-15,470.0,500.0,402.0,404.0,1403.03
2019-03-18,404.0,458.0,382.0,414.0,589.29
2019-03-19,434.0,440.0,410.0,414.0,189.18
2019-03-20,432.0,540.0,416.0,508.0,1314.88
2019-03-21,530.0,538.0,428.0,428.0,715.53
2019-03-22,504.0,504.0,472.0,474.0,90.6
2019-03-25,466.0,470.0,432.18,440.0,226.76999999999998
2019-03-26,440.0,464.0,400.0,432.0,112.17
2019-03-27,442.0,475.98,429.92,468.0,400.06
2019-03-28,470.0,942.8,400.0,630.0,20415.81
2019-03-29,572.0,632.0,490.0,518.0,4407.07
2019-04-01,502.0,544.0,464.02,490.0,1025.67
2019-04-02,588.0,668.0,520.0,548.0,7096.88
2019-04-03,516.0,568.0,500.02,510.0,851.92
2019-04-04,510.0,537.26,510.0,520.0,305.62
2019-04-05,516.0,520.0,478.12,500.0,230.84
2019-04-08,560.0,592.0,498.0,509.98,1201.8799999999999
2019-04-09,510.0,550.0,508.0,524.0,392.44
2019-04-10,566.0,780.0,548.16,574.0,20375.62
2019-04-11,578.0,600.0,510.0,530.0,1535.47
2019-04-12,530.0,539.0,500.0,510.0,531.24
2019-04-15,554.0,600.0,510.2,536.0,732.01
2019-04-16,494.0,556.0,480.0,520.0,408.44
2019-04-17,542.0,542.0,525.62,526.0,152.6
2019-04-18,524.0,526.0,504.0,516.0,289.51
2019-04-22,510.0,520.0,504.0,510.0,76.13
2019-04-23,512.0,528.0,488.0,494.0,478.73
2019-04-24,496.8,530.0,496.8,508.0,198.12
2019-04-25,508.0,538.0,502.0,502.0,144.51
2019-04-26,502.0,545.9,502.0,520.0,189.5
2019-04-29,508.0,546.0,496.0,546.0,271.84
2019-04-30,526.0,526.0,504.0,508.0,35.68
2019-05-01,518.0,518.0,492.0,518.0,90.9
2019-05-02,496.0,510.0,480.0,480.0,238.17000000000002
2019-05-03,482.0,503.6,440.88,460.0,161.05
2019-05-06,458.0,482.0,450.0,456.0,79.05
2019-05-07,458.0,470.0,450.0,451.82,83.4
2019-05-08,458.0,478.0,446.1,464.8,129.45
2019-05-09,446.0,451.1,381.14,420.0,518.87
2019-05-10,424.0,440.0,406.0,431.0,54.06
2019-05-13,450.0,466.6,436.0,440.0,170.05
2019-05-14,442.0,452.0,436.0,450.0,48.2
2019-05-15,444.0,448.0,440.0,447.8,32.14
2019-05-16,451.16,484.0,442.34,446.0,169.12
2019-05-17,460.0,474.0,442.0,442.0,13.41
2019-05-20,442.0,458.0,442.0,456.0,23.0
2019-05-21,472.0,472.0,440.0,440.0,27.5
2019-05-22,436.02,442.0,412.0,440.0,88.3
2019-05-23,450.0,450.0,400.0,400.0,217.37
2019-05-24,404.0,425.98,404.0,414.0,87.23
2019-05-28,484.0,633.16,440.0,446.0,6050.41
2019-05-29,450.0,458.0,391.96,402.0,1035.29
2019-05-30,416.0,428.0,390.06,400.0,242.97
2019-05-31,394.0,407.0,380.0,392.0,231.04
2019-06-03,398.0,406.0,382.0,394.0,111.54
2019-06-04,414.0,414.04,384.0,406.0,143.12
2019-06-05,404.0,410.0,393.96,400.0,182.63
2019-06-06,406.0,409.38,382.0,384.0,93.12
2019-06-07,380.5,396.0,378.0,393.5,155.28
2019-06-10,394.0,440.0,382.0,416.0,277.76
2019-06-11,410.0,410.0,380.0,400.0,309.69
2019-06-12,384.0,400.0,344.0,366.0,430.47
2019-06-13,380.0,394.0,320.0,348.0,513.9
2019-06-14,380.0,380.0,338.0,350.0,203.9
2019-06-17,340.0,350.0,340.0,346.0,11.5
2019-06-18,343.66,343.66,330.0,340.0,109.46000000000001
2019-06-19,342.0,350.0,330.0,334.0,25.25
2019-06-20,376.0,398.0,324.0,324.0,799.62
2019-06-21,330.0,358.0,316.0,340.0,461.64
2019-06-24,334.0,348.0,320.64,336.0,63.25
2019-06-25,346.0,378.0,320.0,328.0,248.15
2019-06-26,352.0,354.02,330.0,332.0,251.35
2019-06-27,340.0,340.0,320.0,320.0,166.63
2019-06-28,326.0,337.14,324.0,334.0,50.1
2019-07-01,342.0,360.0,324.0,344.0,135.45
2019-07-02,360.0,369.4,318.54,345.2,495.58000000000004
2019-07-03,354.0,358.0,326.0,340.0,125.32
2019-07-05,338.0,344.3,334.0,338.0,16.0
2019-07-08,352.0,358.0,332.0,342.86,122.19
2019-07-09,340.0,344.0,332.0,344.0,118.47999999999999
2019-07-10,338.32,340.0,326.0,328.0,67.33
2019-07-11,334.0,334.0,322.0,322.02,65.7
2019-07-12,318.0,328.0,318.0,324.0,44.44
2019-07-15,330.0,330.0,313.62,314.0,94.5
2019-07-16,314.0,330.0,306.0,330.0,42.22
2019-07-17,318.36,329.46,316.0,329.46,8.0
2019-07-18,330.0,460.0,274.0,310.0,14531.12
2019-07-19,304.0,304.0,270.0,276.0,546.21
2019-07-22,310.0,310.0,266.0,276.0,388.28
2019-07-23,272.02,280.0,256.0,270.02,354.96000000000004
2019-07-24,280.0,290.0,250.0,274.0,668.41
2019-07-25,274.0,274.0,218.82,264.0,872.37
2019-07-26,262.0,262.0,238.0,248.0,191.64
2019-07-29,282.0,338.0,230.0,246.02,3891.92
2019-07-30,250.0,264.0,232.36,250.0,706.54
2019-07-31,238.0,252.0,234.0,240.0,162.18
2019-08-01,250.0,276.0,226.0,228.16,1101.26
2019-08-02,228.0,245.0,228.0,238.0,295.85
2019-08-05,238.0,246.0,210.0,216.0,154.01
2019-08-06,224.0,237.64,212.0,226.0,85.66
2019-08-07,226.0,226.0,202.0,207.36,167.54000000000002
2019-08-08,206.0,214.0,202.0,214.0,38.93
2019-08-09,200.0,220.0,200.0,210.0,77.75
2019-08-12,202.0,214.0,202.0,213.96,38.53
2019-08-13,214.0,214.0,204.58,206.0,21.85
2019-08-14,208.2,216.0,204.0,216.0,78.0
2019-08-15,210.46,216.0,204.0,210.0,62.96
2019-08-16,212.0,252.0,204.0,208.0,1482.02
2019-08-19,208.0,242.0,200.0,216.0,1428.3
2019-08-20,216.0,219.22,202.0,205.86,237.44
2019-08-21,208.0,228.0,204.0,210.0,428.63
2019-08-22,212.0,244.0,210.0,227.0,441.99
2019-08-23,230.0,234.68,210.0,210.0,146.09
2019-08-26,210.0,218.98,200.0,200.02,247.77
2019-08-27,198.6,212.0,196.0,206.0,173.08
2019-08-28,212.0,218.0,202.0,204.0,148.32999999999998
2019-08-29,222.0,330.0,182.02,192.0,18102.93
2019-08-30,192.0,197.72,170.0,186.02,2244.55
2019-09-03,189.0,200.0,144.0,173.82,2327.66
2019-09-04,173.96,180.0,164.02,169.72,587.94
2019-09-05,162.0,172.0,152.08,158.0,354.71
2019-09-06,153.16,163.76,153.16,156.0,335.13
2019-09-09,164.0,170.0,146.0,156.92,729.4499999999999
2019-09-10,158.0,173.8,150.0,163.82,453.69
2019-09-11,162.0,162.0,150.0,156.52,157.95
2019-09-12,150.0,160.0,148.0,150.0,128.82
2019-09-13,150.34,156.52,146.6,152.0,191.28
2019-09-16,149.4,156.52,148.02,153.8,85.93
2019-09-17,151.66,156.0,146.0,156.0,78.52
2019-09-18,149.62,156.0,144.0,150.0,186.5
2019-09-19,150.0,156.0,145.42,156.0,29.0
2019-09-20,155.98,155.98,142.04,144.44,63.28
2019-09-23,144.44,151.0,142.6,144.4,23.830000000000002
2019-09-24,142.1,150.0,126.0,142.4,123.21
2019-09-25,139.66,141.02,132.04,135.8,58.36
2019-09-26,140.0,140.0,130.8,136.6,48.6
2019-09-27,136.6,137.26,124.0,124.9,208.16
2019-09-30,124.0,132.86,104.94,110.42,212.19
2019-10-01,122.22,122.22,106.02,106.02,188.0
2019-10-02,122.42,134.0,98.0,134.0,1142.03
2019-10-03,139.7,164.0,110.02,110.02,16325.69
2019-10-04,110.02,120.0,104.0,110.0,1266.42
2019-10-07,118.0,130.0,111.4,124.0,891.48
2019-10-08,120.0,134.0,108.6,133.0,1381.31
2019-10-09,136.0,156.0,122.5,140.5,833.52
2019-10-10,145.0,156.0,140.02,146.0,389.46
2019-10-11,144.0,144.0,132.26,132.32,121.87
2019-10-14,132.32,134.54,118.22,129.0,114.87
2019-10-15,132.0,140.0,122.52,134.0,206.41
2019-10-16,130.0,136.0,124.0,125.02,153.81
2019-10-17,125.02,145.5,125.02,138.0,396.11
2019-10-18,138.0,138.0,127.0,135.0,464.08
2019-10-21,120.912,158.0,118.5,143.157,773.8
2019-10-22,120.0,126.9,105.6,119.997,1070.9
2019-10-23,123.6,131.0,119.6,120.298,590.4
2019-10-24,128.5,128.8,121.8,128.8,302.0
2019-10-25,121.5,124.421,120.334,121.2,209.5
2019-10-28,121.6,121.6,103.6,104.1,635.8
2019-10-29,107.7,107.7,78.0,78.0,2488.1
2019-10-30,84.1,93.993,70.9,71.0,4245.3
2019-10-31,70.9,86.5,70.9,76.0,1616.6
2019-11-01,69.5,84.01,60.0,65.0,8530.4
2019-11-04,66.9,70.0,63.0,64.5,3716.5
2019-11-05,64.5,73.0,62.2,68.5,25315.4
2019-11-06,62.2,70.5,62.2,68.5,11183.5
2019-11-07,69.0,70.5,56.5,58.1,9334.0
2019-11-08,58.1,59.5,56.4,58.5,3667.1
2019-11-11,56.3,60.002,55.5,60.0,3857.7
2019-11-12,60.0,71.8,57.5,63.9,44734.4
2019-11-13,62.0,62.0,56.1,60.6,7886.7
2019-11-14,60.6,62.044,57.1,58.8,2966.4
2019-11-15,58.6,60.5,57.208,59.5,2657.3
2019-11-18,57.9,63.995,57.5,62.0,5779.9
2019-11-19,61.5,62.2,58.8,61.1,851.7
2019-11-20,62.2,63.499,59.505,61.1,2824.4
2019-11-21,60.5,69.6,60.5,62.2,5448.2
2019-11-22,62.2,69.5,62.2,67.0,7017.1
2019-11-25,67.0,69.55,65.0,68.3,6778.6
2019-11-26,69.999,69.999,66.183,68.0,2797.8
2019-11-27,81.5,128.2,57.7,61.5,569917.9
2019-11-29,60.5,66.5,54.5,63.0,42323.6
2019-12-02,72.4,74.9,56.2,58.5,26903.1
2019-12-03,59.0,60.0,50.645,54.0,19488.0
2019-12-04,54.1,55.0,49.5,51.0,9852.1
2019-12-05,51.0,51.7,37.7,43.2,9935.4
2019-12-06,44.2,51.8,40.4,48.4,13373.7
2019-12-09,50.0,50.0,43.0,45.0,6416.4
2019-12-10,45.5,47.9,42.402,43.5,7282.0
2019-12-11,48.0,55.399,37.1,39.1,105056.1
2019-12-12,42.1,42.7,35.2,37.3,23124.6
2019-12-13,37.6,40.776,35.4,40.1,20130.2
2019-12-16,39.001,39.875,37.58,38.5,5927.8
2019-12-17,40.3,40.3,36.5,38.9,4452.6
2019-12-18,38.6,39.3,36.1,39.0,4820.400000000001
2019-12-19,38.7,40.6,38.2,40.6,6437.5
2019-12-20,40.4,41.2,38.1,41.0,7197.8
2019-12-23,40.1,40.7,29.463,32.7,42129.8
2019-12-24,31.5,31.9,30.401,30.8,6951.2
2019-12-26,31.2,31.2,29.5,30.7,7329.2
2019-12-27,30.2,31.1,30.199,30.3,5425.1
2019-12-30,30.1,30.6,29.4,29.5,7836.5
2019-12-31,29.5,30.5,29.4,30.4,4024.7
2020-01-02,30.2,30.5,29.4,30.5,2767.7
2020-01-03,30.0,30.0,29.5,29.6,1815.4
2020-01-06,29.5,31.1,28.0,28.4,13744.4
2020-01-07,28.8,29.8,28.4,28.9,3708.2
2020-01-08,28.5,29.5,28.2,28.6,3102.7
2020-01-09,29.0,32.0,29.0,30.6,25470.3
2020-01-10,30.6,31.3,30.4,31.0,6440.6
2020-01-13,32.9,37.0,29.5,29.6,22218.4
2020-01-14,28.9,31.5,28.5,31.5,11415.4
2020-01-15,31.0,31.5,29.5,30.4,8939.6
2020-01-16,30.0,30.7,29.5,29.7,4603.9
2020-01-17,30.5,33.5,28.3,32.0,44199.2
2020-01-21,32.0,32.001,29.8,29.8,9830.8
2020-01-22,30.4,32.5,29.7,31.4,18085.2
2020-01-23,31.4,31.909,25.6,26.9,30181.0
2020-01-24,26.0,27.0,22.6,25.8,17785.7
2020-01-27,25.9,25.9,23.2,23.9,2751.9
2020-01-28,24.8,24.8,23.6,24.5,1328.0
2020-01-29,24.6,25.4,23.2,23.5,2267.4
2020-01-30,23.7,23.934,20.9,21.0,4208.9
2020-01-31,21.0,21.301,20.0,21.3,4381.5
2020-02-03,20.7,22.2,20.0,21.1,3684.0
2020-02-04,20.5,21.5,20.2,21.5,2291.8
2020-02-05,20.861,24.8,20.8,24.1,12483.0
2020-02-06,24.0,25.3,21.518,24.2,10364.7
2020-02-07,24.9,27.9,24.0,26.2,16582.0
2020-02-10,26.3,27.2,24.087,24.2,7347.0
2020-02-11,24.5,24.777,20.5,23.1,7096.3
2020-02-12,23.6,24.3,22.316,23.0,2142.6
2020-02-13,22.2,23.725,22.2,22.4,748.2
2020-02-14,22.2,22.6,22.2,22.4,519.1
2020-02-18,22.1,23.4,21.5,21.5,947.4
2020-02-19,21.6,22.8,21.6,22.0,724.8
2020-02-20,22.391,22.391,21.3,21.8,556.8
