Date,Open,High,Low,Close,Volume
2024-12-13,9.95,9.95,9.9,9.9,265
2024-12-16,9.9,9.9,9.9,9.9,412600
2024-12-17,9.95,9.95,9.9165,9.9165,246
2024-12-18,9.91,9.93,9.9,9.9,2301
2024-12-19,9.92,9.92,9.92,9.92,100000
2024-12-20,9.92,9.92,9.92,9.92,500000
2024-12-23,9.93,9.93,9.93,9.93,300
2024-12-24,9.93,9.93,9.93,9.93,200429
2024-12-26,9.93,9.93,9.93,9.93,1500
2024-12-27,9.91,9.91,9.91,9.91,125
2024-12-30,9.95,10.05,9.92,9.93,16950
2025-01-02,9.93,9.93,9.92,9.92,150791
2025-01-03,9.92,9.92,9.915,9.92,60100
2025-01-06,9.93,9.94,9.93,9.93,400191
2025-01-13,9.95,9.95,9.945,9.95,189222
2025-01-16,9.95,9.95,9.95,9.95,678
2025-01-21,9.95,9.9601,9.95,9.96,1737
2025-01-22,10.6872,10.6872,9.95,9.9699,4722
2025-01-23,9.96,9.98,9.96,9.98,2772
2025-01-24,10.3003,10.6088,9.94,9.9813,5390
2025-01-27,10.14,10.14,9.95,9.97,56050
2025-01-28,10.1652,10.1652,9.95,9.9951,5700
2025-01-29,10.0,10.04,9.97,10.0,16248
2025-01-30,10.0,10.0,9.96,9.99,1116
2025-01-31,9.96,9.96,9.96,9.96,247
2025-02-03,10.133,10.133,9.96,9.96,43368
2025-02-04,10.1367,10.1367,9.97,9.99,6614
2025-02-05,9.99,9.99,9.97,9.99,12869
2025-02-07,9.99,10.0,9.98,9.9899,207266
2025-02-10,9.99,10.01,9.99,10.01,588656
2025-02-11,9.99,10.0,9.99,10.0,6372
2025-02-12,10.0,10.0001,9.99,10.0,253176
2025-02-14,10.01,10.01,10.0,10.0,674
2025-02-18,10.01,10.02,10.01,10.0149,102219
2025-02-19,10.0217,10.0217,10.01,10.015,513108
2025-02-20,10.01,10.01,10.01,10.01,1383
2025-02-21,10.0185,10.03,10.0185,10.025,37952
2025-02-24,10.0282,10.0282,10.02,10.02,3547
2025-02-25,10.02,10.03,10.02,10.0289,508020
2025-02-26,10.0212,10.025,10.02,10.025,31774
2025-02-27,10.02,10.02,10.02,10.02,66590
2025-02-28,10.02,10.03,10.015,10.03,48500
