Date,Open,High,Low,Close,Volume
2007-04-25,1586.55,1592.85,1581.3,1585.5,2071.72
2007-04-26,1580.25,1581.3,1533.0,1575.0,8698.11
2007-04-27,1558.2,1592.85,1556.1,1576.05,4733.49
2007-04-30,1573.95,1575.0,1548.75,1554.0,7878.38
2007-05-01,1548.75,1548.75,1473.15,1516.2,10545.4
2007-05-02,1518.3,1562.4,1509.9,1551.9,6505.83
2007-05-03,1543.5,1563.45,1533.0,1544.55,4741.01
2007-05-04,1552.95,1552.95,1524.6,1531.95,4216.5
2007-05-07,1533.0,1541.4,1487.85,1501.5,6839.17
2007-05-08,1488.9,1491.0,1459.5,1466.85,9444.43
2007-05-09,1454.25,1478.4,1435.35,1452.15,7869.45
2007-05-10,1660.05,1669.5,1560.3,1584.45,39908.11
2007-05-11,1594.572,1621.2,1587.6,1615.95,9501.43
2007-05-14,1614.9,1680.0,1597.05,1607.55,20049.07
2007-05-15,1623.3,1641.15,1567.65,1579.2,6787.2300000000005
2007-05-16,1584.45,1584.45,1506.75,1552.95,9477.43
2007-05-17,1544.55,1552.95,1522.5,1539.3,5162.18
2007-05-18,1543.5,1546.65,1493.1,1509.9,9719.97
2007-05-21,1506.75,1509.9,1480.5,1491.0,6647.77
2007-05-22,1491.0,1525.65,1491.0,1514.1,6985.61
2007-05-23,1514.1,1546.65,1506.75,1507.8,6062.07
2007-05-24,1504.65,1530.9,1468.95,1487.85,7370.9
2007-05-25,1492.05,1507.8,1480.5,1481.55,2982.76
2007-05-29,1475.25,1504.65,1475.25,1497.3,4094.2
2007-05-30,1495.2,1496.25,1478.4,1487.85,3696.34
2007-05-31,1453.2,1461.6,1377.6,1413.3,17982.0
2007-06-04,1388.1,1425.9,1381.8,1386.0,6390.71
2007-06-05,1398.6,1400.7,1352.4,1382.85,7992.91
2007-06-06,1379.7,1380.75,1334.613,1361.85,7108.49
2007-06-07,1367.1,1375.5,1325.1,1337.7,6803.33
2007-06-08,1329.3,1351.3395,1315.65,1333.5,4730.05
2007-06-11,1327.2,1338.75,1314.6,1331.4,5814.93
2007-06-12,1330.35,1357.65,1296.75,1313.55,7359.66
2007-06-13,1303.05,1330.35,1302.0,1312.5,5415.55
2007-06-14,1312.5,1338.75,1311.45,1318.8,5189.14
2007-06-15,1337.7,1342.95,1314.6,1337.7,6077.28
2007-06-18,1359.75,1360.8,1326.15,1339.8,7862.68
2007-06-19,1344.0,1347.15,1315.65,1327.2,5728.15
2007-06-20,1324.05,1325.1105,1260.0,1296.75,16104.82
2007-06-21,1309.35,1317.75,1270.5,1286.25,8767.31
2007-06-22,1298.85,1400.7,1298.85,1347.15,27132.75
2007-06-25,1362.9,1365.0,1312.5,1334.55,6679.31
2007-06-26,1335.6,1346.1,1294.65,1326.15,4933.27
2007-06-27,1304.1,1337.7,1300.95,1323.0,4168.67
2007-06-28,1323.0,1362.9,1323.0,1353.45,7982.87
2007-06-29,1365.0,1417.5,1355.55,1386.0,11043.21
2007-07-02,1382.85,1428.0,1382.85,1419.6,8812.03
2007-07-03,1426.95,1441.65,1409.1,1430.1,5072.75
2007-07-05,1454.25,1572.9,1435.35,1527.75,21024.82
2007-07-06,1528.8,1538.25,1503.6,1515.15,5660.44
2007-07-09,1545.6,1585.5,1533.0,1560.2895,10599.66
2007-07-10,1555.05,1568.7,1491.0,1533.0,7089.19
2007-07-11,1542.45,1542.45,1503.6,1528.8,3495.29
2007-07-12,1531.95,1538.25,1491.0,1516.2,5641.71
2007-07-13,1509.9,1514.058,1470.0,1485.75,6005.97
2007-07-16,1470.0,1491.0,1464.75,1470.0,3678.56
2007-07-17,1475.25,1476.3,1451.1,1461.6,3852.05
2007-07-18,1459.5,1476.3,1407.0,1432.2,7762.5
2007-07-19,1417.5,1441.65,1382.85,1410.15,5544.57
2007-07-20,1423.8,1438.5,1365.0,1404.9,7898.8
2007-07-23,1394.4,1399.65,1354.5,1399.65,8103.79
2007-07-24,1391.25,1396.29,1344.0,1375.5,5747.95
2007-07-25,1376.55,1376.55,1344.0,1353.45,4536.14
2007-07-26,1344.0,1351.35,1292.34,1339.8,8048.2699999999995
2007-07-27,1330.35,1345.05,1286.25,1293.6,4907.92
2007-07-30,1290.45,1330.35,1290.45,1313.55,5202.14
2007-07-31,1323.0,1342.068,1299.9,1319.85,4470.53
2007-08-01,1292.55,1319.85,1281.0,1311.45,5868.3
2007-08-02,1312.5,1315.65,1270.5,1311.45,5607.61
2007-08-03,1307.25,1310.274,1244.25,1262.1,5571.4
2007-08-06,1263.15,1355.55,1188.6,1214.85,14161.31
2007-08-07,1204.35,1296.75,1192.8,1262.1,9678.63
2007-08-08,1311.45,1390.2,1286.25,1340.85,14529.98
2007-08-09,1338.75,1392.3,1314.6,1365.0,13439.42
2007-08-10,1312.5,1391.25,1304.1,1346.1,7574.75
2007-08-13,1365.0,1365.0,1312.5,1325.1,4223.7
2007-08-14,1323.0,1344.0,1276.8,1314.6,5875.51
2007-08-15,1306.2,1317.75,1261.05,1289.4,3677.31
2007-08-16,1260.0,1289.4,1207.5,1220.1,10167.880000000001
2007-08-17,1286.25,1286.25,1213.8,1241.1,9732.869999999999
2007-08-20,1247.4,1281.0,1221.15,1247.4,4086.81
2007-08-21,1236.9,1262.1,1232.7,1243.2,3022.8
2007-08-22,1248.45,1267.35,1212.75,1257.9,6006.2
2007-08-23,1249.5,1258.95,1223.25,1229.55,3379.45
2007-08-24,1223.25,1239.0,1218.0,1229.55,2562.35
2007-08-27,1223.25,1236.9,1214.85,1219.05,3712.07
2007-08-28,1215.9,1223.25,1186.5,1199.1,3801.25
2007-08-29,1195.95,1212.75,1180.2,1195.95,2934.2799999999997
2007-08-30,1233.75,1260.0,1204.35,1208.55,5102.6
2007-08-31,1223.25,1228.5,1208.55,1213.8,2686.56
2007-09-04,1213.8,1250.55,1205.4,1245.3,6957.639999999999
2007-09-05,1241.1,1254.75,1213.8,1219.722,4166.05
2007-09-06,1218.0,1253.7,1208.676,1250.55,4050.12
2007-09-07,1237.95,1239.0,1201.935,1203.3,4728.73
2007-09-10,1203.3,1217.9055,1177.05,1191.75,2200.22
2007-09-11,1191.75,1197.0,1170.75,1191.75,4330.61
2007-09-12,1185.45,1186.5,1146.705,1165.5,6237.13
2007-09-13,1156.05,1165.5,1138.2,1161.3,3217.65
2007-09-14,1156.05,1156.05,1123.5,1130.85,4554.6
2007-09-17,1114.05,1120.35,1085.7,1093.05,5734.18
2007-09-18,1090.95,1134.0,1080.45,1130.85,5108.6
2007-09-19,1135.05,1180.2,1127.7,1172.85,8005.07
2007-09-20,1120.35,1120.35,1072.05,1074.15,12347.15
2007-09-21,1069.95,1069.95,1021.65,1043.7,14497.41
2007-09-24,1039.5,1039.5,938.7,976.122,19688.66
2007-09-25,948.15,956.55,896.7,913.5,11801.33
2007-09-26,909.3,934.5,887.25,924.0,15801.03
2007-09-27,933.45,997.5,887.25,976.5,22895.7
2007-09-28,987.0,1017.45,927.15,976.5,21202.25
2007-10-01,997.5,997.5,948.15,961.359,8328.93
2007-10-02,966.0,976.4895,924.0,939.75,8472.82
2007-10-03,936.6,940.8,906.15,908.25,7488.02
2007-10-04,918.75,981.75,908.25,976.5,11737.49
2007-10-05,988.05,989.1,945.0,953.4,6339.72
2007-10-08,950.25,956.55,930.3,943.824,3513.38
2007-10-09,941.85,996.45,939.7395,985.95,6111.18
2007-10-10,990.15,1018.5,971.25,993.489,7436.49
2007-10-11,979.65,1013.25,956.55,967.05,6920.84
2007-10-12,985.95,997.5,945.0,954.45,6057.63
2007-10-15,945.0,969.15,931.35,950.3655,4816.44
2007-10-16,945.0,954.3555,933.45,943.488,4845.54
2007-10-17,955.5,955.5,918.75,951.3,4557.83
2007-10-18,930.3,945.0,922.95,924.525,6036.68
2007-10-19,924.0,938.7,861.0,886.2,10685.65
2007-10-22,856.8,876.75,837.9,842.1,6574.31
2007-10-23,854.7,854.7,827.4,839.706,6099.67
2007-10-24,829.5,829.5,805.35,808.5,4556.6
2007-10-25,819.0,838.95,772.8,792.75,6658.72
2007-10-26,802.2,819.0,787.5,798.0,8780.66
2007-10-29,819.0,829.5,799.05,824.25,6817.55
2007-10-30,810.6,828.45,804.3,813.75,4829.45
2007-10-31,824.25,843.15,798.0,842.1,7202.3
2007-11-01,838.95,847.35,787.5,843.15,5854.5
2007-11-02,796.95,845.25,777.0,789.873,7635.59
2007-11-05,833.7,849.45,801.15,824.1135,4684.34
2007-11-06,845.25,852.6,813.75,836.85,6275.2
2007-11-07,846.3,846.3,813.75,833.6265,4990.2300000000005
2007-11-08,829.5,840.0,782.25,813.75,8618.32
2007-11-09,838.95,838.95,703.5,724.5,11306.25
2007-11-12,724.5,766.5,682.5,693.0,7697.9
2007-11-13,697.2,702.45,666.75,666.75,7772.15
2007-11-14,672.0,690.9,644.7,655.767,8094.87
2007-11-15,645.75,661.5,610.05,626.7975,10038.12
2007-11-16,617.4,624.75,598.5,609.0,8369.39
2007-11-19,582.75,584.85,462.0,487.2,20687.86
2007-11-20,469.35,508.2,469.35,487.2,13773.81
2007-11-21,492.45,493.5,443.1,470.4,7629.87
2007-11-23,458.85,471.45,441.0,447.3,3083.08
2007-11-26,453.6,499.8,453.6,473.55,10071.22
2007-11-27,494.55,517.65,472.5,489.3,11395.83
2007-11-28,493.5,495.6,472.5,489.3,6042.64
2007-11-29,498.75,721.35,480.9,661.5,16234.36
2007-11-30,661.5,706.65,604.8,631.05,22752.75
2007-12-03,639.45,652.05,578.55,600.6,10715.67
2007-12-04,601.65,617.4,576.45,601.65,5445.48
2007-12-05,617.4,619.5,565.95,585.2175,7464.09
2007-12-06,598.5,656.25,567.0,642.6,9550.35
2007-12-07,630.0,653.1,623.7,635.2815,8409.53
2007-12-10,630.0,640.5,600.6,627.2385,6231.24
2007-12-11,637.35,701.4,630.0,653.1,11726.54
2007-12-12,674.1,724.5,644.7,679.371,7414.72
2007-12-13,679.35,679.35,628.95,642.6,5547.6
2007-12-14,645.75,712.95,645.75,701.61,11013.9
2007-12-17,708.75,807.555,691.425,750.75,16902.99
2007-12-18,753.9,845.25,745.5,840.0,16904.73
2007-12-19,819.0,1014.3,819.0,945.0,48098.39
2007-12-20,960.75,1037.3895,910.35,936.6,30826.72
2007-12-21,936.6,991.2,886.2,934.5,19976.27
2007-12-24,932.4,960.75,861.0,951.3,7523.42
2007-12-26,945.0,954.45,908.25,908.25,7863.0
2007-12-27,901.95,931.3395,869.4,913.5,14054.53
2007-12-28,913.5,963.9,903.0,903.0,11284.39
2007-12-31,947.1,947.1,788.55,865.2,13561.37
2008-01-02,865.2,896.7,841.05,869.4,6935.24
2008-01-03,862.05,943.95,843.15,934.5,13631.13
2008-01-04,934.5,966.0,866.25,945.0,11416.46
2008-01-07,945.0,955.5,850.5,885.7065,8475.41
2008-01-08,861.0,873.6,779.1,814.8,8724.41
2008-01-09,820.05,840.0,761.25,792.372,7710.24
2008-01-10,787.5,803.25,736.05,766.5,6461.87
