Date,Open,High,Low,Close,Volume
2021-02-01,10.25,10.49,10.1,10.49,2099
2021-02-02,10.49,10.8699,10.22,10.6,24978
2021-02-03,10.6,10.6,10.35,10.41,19864
2021-02-04,10.56,10.675,10.33,10.34,28820
2021-02-05,10.49,10.49,10.21,10.46,33219
2021-02-08,10.34,10.79,10.34,10.67,116518
2021-02-09,10.56,10.96,10.56,10.7,32701
2021-02-10,10.85,10.85,10.6,10.7,25630
2021-02-11,10.81,10.9175,10.56,10.56,5961
2021-02-12,10.66,11.0,10.51,10.57,78241
2021-02-16,10.62,10.65,10.51,10.6,16539
2021-02-17,10.65,10.65,10.52,10.64,6580
2021-02-18,10.64,10.79,10.57,10.67,20238
2021-02-19,10.75,10.8,10.63,10.64,56769
2021-02-22,10.7,10.72,10.43,10.55,66876
2021-02-23,10.51,10.68,10.19,10.4,60127
2021-02-24,10.53,10.63,10.3,10.62,60773
2021-02-25,10.58,10.65,10.46,10.51,55069
2021-02-26,10.45,10.462,10.05,10.05,128038
2021-03-01,10.21,10.4,10.13,10.13,81594
2021-03-02,10.1,10.2,9.74,9.995,50673
2021-03-03,9.97,10.22,9.96,10.0,80613
2021-03-04,9.96,9.98,9.84,9.91,136188
2021-03-05,9.89,10.19,9.72,9.93,1466942
2021-03-08,9.95,10.01,9.93,10.0,235638
2021-03-09,9.99,10.06,9.9728,10.015,38849
2021-03-10,10.0,10.065,10.0,10.02,4796
2021-03-11,10.11,10.18,10.0,10.18,54963
2021-03-12,10.2107,10.225,9.95,9.99,22047
2021-03-15,9.9913,10.0,9.99,9.99,1120
2021-03-16,10.0199,10.0199,9.96,10.0,9962
2021-03-17,9.97,9.99,9.905,9.95,5794
2021-03-18,10.01,10.01,9.9,9.9,2726
2021-03-19,9.93,10.0,9.9,9.99,5017
2021-03-22,10.1,10.1,9.9,9.98,27434
2021-03-23,9.99,9.99,9.71,9.71,63882
2021-03-24,9.85,9.85,9.65,9.65,61786
2021-03-25,9.38,9.82,9.32,9.8,182175
2021-03-26,9.81,10.06,9.73,9.99,238406
2021-03-29,9.9587,9.9587,9.66,9.68,45249
2021-03-30,9.74,9.88,9.7,9.7,476666
2021-03-31,9.77,9.83,9.71,9.75,60042
2021-04-01,9.77,9.97,9.77,9.9,21395
2021-04-05,9.9599,10.0,9.855,10.0,155522
2021-04-06,9.9,9.99,9.89,9.91,20569
2021-04-07,9.99,10.01,9.91,10.0,29200
2021-04-08,10.0,10.02,9.95,9.99,509591
2021-04-09,9.973,10.13,9.97,10.0408,9813
2021-04-12,10.04,10.1,9.95,10.1,96911
2021-04-13,10.04,10.04,9.95,9.97,170671
2021-04-14,10.01,10.05,10.0,10.006,28320
2021-04-15,10.0,10.0,9.98,9.98,1138
2021-04-16,9.97,10.0,9.91,9.98,29111
2021-04-19,9.97,10.0,9.93,9.93,107345
2021-04-20,9.93,9.96,9.92,9.96,14408
2021-04-21,10.0,10.0,9.92,9.95,9880
2021-04-22,9.9751,9.9751,9.87,9.97,19077
2021-04-23,9.99,10.0,9.9,9.95,520716
2021-04-26,9.99,9.99,9.91,9.91,32342
2021-04-27,9.92,9.97,9.92,9.97,5740
2021-04-28,10.06,10.06,9.92,9.94,302679
2021-04-29,9.96,9.96,9.94,9.94,5376
2021-04-30,9.94,9.95,9.93,9.95,21761
2021-05-03,9.98,9.98,9.94,9.95,15146
2021-05-04,9.945,9.95,9.94,9.95,97574
2021-05-05,9.94,9.95,9.93,9.93,42571
2021-05-06,9.9401,9.95,9.93,9.94,13733
2021-05-07,10.04,10.04,9.93,9.93,2112
2021-05-10,9.93,9.95,9.9,9.93,88336
2021-05-11,9.82,9.82,9.82,9.82,100
2021-05-12,9.85,9.89,9.79,9.83,23476
2021-05-13,9.8241,9.83,9.78,9.8,192954
2021-05-14,9.8,9.81,9.76,9.76,16159
2021-05-17,9.7,9.78,9.7,9.77,952350
2021-05-18,9.74,9.8,9.74,9.8,30151
2021-05-19,9.8,9.8,9.77,9.79,2951
2021-05-20,9.81,9.87,9.77,9.78,4700
2021-05-21,9.84,9.84,9.78,9.79,2400
2021-05-24,9.82,9.9,9.74,9.9,68500
2021-05-25,9.75,9.9,9.75,9.84,837
2021-05-26,9.8809,9.89,9.79,9.79,1000
2021-05-27,9.79,9.79,9.7,9.72,36735
2021-05-28,9.72,9.82,9.72,9.75,15644
2021-06-01,9.79,9.86,9.75,9.81,7073
2021-06-02,9.85,9.85,9.8464,9.8464,100190
2021-06-03,9.8167,9.86,9.81,9.81,1043
2021-06-04,9.835,9.835,9.78,9.78,126424
2021-06-07,9.83,9.85,9.8,9.8,1191
2021-06-08,9.86,9.87,9.79,9.83,15364
2021-06-09,9.79,9.814,9.79,9.81,2084
2021-06-10,9.7673,9.79,9.73,9.75,36469
2021-06-11,9.7662,9.7839,9.75,9.778,55748
2021-06-14,9.7206,9.78,9.7,9.78,4282
2021-06-16,9.69,9.69,9.69,9.69,300
2021-06-17,9.77,9.77,9.72,9.77,1084
2021-06-18,9.79,9.79,9.74,9.74,302
2021-06-22,9.75,9.8,9.7497,9.8,1198
2021-06-23,9.71,9.8,9.71,9.77,2800
2021-06-24,9.72,9.79,9.72,9.79,10021
2021-06-25,9.8,9.8,9.8,9.8,108
2021-06-28,9.75,9.89,9.75,9.88,68815
2021-06-29,9.88,9.88,9.77,9.79,246105
2021-06-30,9.75,9.8,9.71,9.71,11004
2021-07-01,9.71,9.78,9.7,9.78,10118
2021-07-02,9.704,9.8,9.704,9.78,12576
2021-07-06,9.73,9.77,9.7,9.77,4128
2021-07-07,9.7,9.7299,9.7,9.71,345
2021-07-08,9.72,9.75,9.72,9.75,1264
2021-07-09,9.76,9.81,9.73,9.78,7646
2021-07-12,9.74,9.9,9.74,9.85,14350
2021-07-13,9.93,10.05,9.93,9.96,16630955
2021-07-14,10.0,10.25,9.93,9.94,1564861
2021-07-15,9.92,10.0,9.92,9.93,229621
2021-07-16,9.99,10.03,9.91,9.93,305677
2021-07-19,10.05,10.05,9.91,9.95,319477
2021-07-20,9.95,9.9815,9.91,9.95,58676
2021-07-21,9.98,10.0,9.95,9.95,389769
2021-07-22,10.0,10.0,9.9,9.91,235323
2021-07-23,9.95,9.965,9.91,9.95,38692
2021-07-26,9.95,9.95,9.9,9.92,52204
2021-07-27,9.9,9.95,9.9,9.92,47634
2021-07-28,9.93,9.95,9.9,9.92,55771
2021-07-29,9.91,9.9344,9.9,9.9,59045
2021-07-30,9.95,9.95,9.88,9.88,149850
2021-08-02,9.91,9.9223,9.88,9.9,68632
2021-08-03,9.9,9.92,9.85,9.89,18768
2021-08-04,9.85,9.9,9.8327,9.9,457093
2021-08-05,9.89,9.92,9.85,9.87,452884
2021-08-06,9.8001,9.9,9.8,9.9,12177
2021-08-09,9.88,9.93,9.86,9.93,13233
2021-08-10,9.97,9.97,9.91,9.93,25363
2021-08-11,9.91,9.93,9.88,9.93,21019
2021-08-12,9.95,9.95,9.89,9.91,69584
2021-08-13,9.9,9.92,9.9,9.92,27969
2021-08-16,9.9,9.92,9.87,9.88,1214216
2021-08-17,9.9,9.93,9.87,9.93,382611
2021-08-18,9.93,9.93,9.88,9.9,208601
2021-08-19,9.87,9.91,9.87,9.9,16014
2021-08-20,9.88,9.9,9.88,9.89,29774
2021-08-23,9.86,9.89,9.84,9.87,1136274
2021-08-24,9.87,9.9,9.85,9.87,79537
2021-08-25,9.85,9.87,9.85,9.86,2946
2021-08-26,9.9199,9.9199,9.86,9.865,4671
2021-08-27,9.88,9.9,9.86,9.9,166349
2021-08-30,9.9,9.9,9.88,9.9,34714
2021-08-31,9.93,9.94,9.91,9.94,67481
2021-09-01,9.93,9.93,9.87,9.9,566056
2021-09-02,9.89,9.93,9.89,9.93,41778
2021-09-03,9.95,9.95,9.9,9.924,4487
2021-09-07,9.9,9.95,9.9,9.95,16712
2021-09-08,9.955,9.955,9.92,9.93,17542
2021-09-09,9.95,9.95,9.91,9.95,13482
2021-09-10,9.93,9.95,9.92,9.92,767742
2021-09-13,9.93,9.93,9.8957,9.905,20018
2021-09-14,9.9,9.945,9.9,9.91,26668
2021-09-15,9.94,9.94,9.91,9.92,27512
2021-09-16,9.9,9.95,9.89,9.945,31107
2021-09-17,9.94,10.0,9.9,9.97,216874
2021-09-20,9.97,9.97,9.9,9.95,103996
2021-09-21,9.97,9.97,9.94,9.96,22980
2021-09-22,10.0,10.0,9.96,9.98,156962
2021-09-23,9.95,9.96,9.9101,9.96,2570
2021-09-24,9.8701,9.97,9.8701,9.95,900429
2021-09-27,9.92,9.97,9.92,9.95,35954
2021-09-28,9.91,9.97,9.91,9.95,313708
2021-09-29,9.97,9.985,9.92,9.975,496379
2021-09-30,9.97,9.97,9.91,9.93,51979
2021-10-01,9.94,9.98,9.94,9.96,22926
2021-10-04,9.98,9.98,9.95,9.9501,11094
2021-10-05,9.95,9.9799,9.95,9.96,24475
2021-10-06,9.98,10.05,9.95,10.05,494413
2021-10-07,9.98,9.99,9.97,9.99,43315
2021-10-08,9.96,9.98,9.9442,9.97,6748
2021-10-11,9.96,9.99,9.96,9.9799,206680
2021-10-12,9.97,9.97,9.9676,9.9676,48654
2021-10-13,9.99,9.99,9.96,9.98,438189
2021-10-14,9.97,10.0,9.97,9.99,526982
2021-10-15,10.01,10.01,9.98,10.0,406113
2021-10-18,9.99,10.0,9.9815,9.99,253779
2021-10-19,10.01,10.01,9.99,9.99,232671
2021-10-20,9.98,10.0,9.98,9.99,258353
2021-10-21,9.97,10.0,9.95,9.99,220386
2021-10-22,10.0,10.0,9.99,10.0,725343
2021-10-25,10.0,10.02,9.99,10.01,954892
2021-10-26,10.05,10.05,10.01,10.04,1001395
2021-10-27,10.1,10.16,10.03,10.09,1053246
2021-10-28,10.1,10.19,10.09,10.12,327178
2021-10-29,10.12,10.29,10.08,10.29,621572
2021-11-01,10.3,10.41,10.29,10.4,882298
2021-11-02,10.39,10.4,10.295,10.35,497121
2021-11-03,10.34,10.38,10.12,10.18,429894
2021-11-04,10.2,10.24,10.15,10.19,190963
2021-11-05,10.11,10.27,10.07,10.245,646484
2021-11-08,10.3,10.37,10.24,10.33,908505
2021-11-09,10.35,10.47,10.33,10.33,645165
2021-11-10,10.35,10.39,10.17,10.18,259739
