Date,Open,High,Low,Close,Volume
2007-04-23,6.1855,6.2115,6.1249,6.1537,2971188.0
2007-04-24,6.1393,6.1769,6.1191,6.1595,2458905.0
2007-04-25,6.1971,6.2404,6.1653,6.2289,2426027.0
2007-04-26,6.2144,6.2462,6.1971,6.2115,2134584.0
2007-04-27,6.2115,6.2375,6.1942,6.226,1897141.0
2007-04-30,6.2462,6.2722,6.2231,6.2346,2293806.0
2007-05-01,6.2375,6.2751,6.2289,6.2751,1958067.0
2007-05-02,6.2751,6.3126,6.2693,6.2924,2105523.0
2007-05-03,6.304,6.3098,6.2838,6.2982,1781539.0
2007-05-04,6.356,6.356,6.2549,6.2722,1781541.0
2007-05-07,6.2722,6.3069,6.2115,6.2693,1864951.0
2007-05-08,6.2924,6.3011,6.2144,6.2924,2216272.0
2007-05-09,6.2895,6.304,6.2751,6.2953,1769432.0
2007-05-10,6.2838,6.2924,6.2115,6.2749,2721285.0
2007-05-11,6.2838,6.3011,6.2606,6.3011,1701591.0
2007-05-14,6.2982,6.304,6.2809,6.2982,1976065.0
2007-05-15,6.2953,6.2982,6.2433,6.2664,2160543.0
2007-05-16,6.2664,6.2895,6.2433,6.2895,1876033.0
2007-05-17,6.3187,6.3187,6.2138,6.2371,2584128.0
2007-05-18,6.2313,6.2342,6.1701,6.2254,2317406.0
2007-05-21,6.2109,6.2313,6.1468,6.2138,2340410.0
2007-05-22,6.205,6.2225,6.138,6.1817,2319468.0
2007-05-23,6.1555,6.1847,6.1031,6.1177,2702558.0
2007-05-24,6.1118,6.1468,5.9574,6.0157,2885852.0
2007-05-25,6.074,6.1118,6.0303,6.1002,1846107.0
2007-05-29,6.1147,6.1672,6.0943,6.1643,1753757.0
2007-05-30,6.1555,6.2342,6.1468,6.2284,1556373.0
2007-05-31,6.2313,6.2633,6.208,6.2429,1522044.0
2007-06-04,6.3274,6.3361,6.2721,6.2954,1840953.0
2007-06-05,6.2779,6.2924,6.2429,6.2721,1829631.0
2007-06-06,6.2721,6.2721,6.1555,6.2284,2157456.0
2007-06-07,6.205,6.2254,6.1497,6.205,2079522.0
2007-06-08,6.2021,6.2109,6.173,6.208,1478115.0
2007-06-11,6.2109,6.2254,6.1788,6.2167,1578012.0
2007-06-12,6.205,6.205,6.0769,6.0914,2601626.0
2007-06-13,6.0973,6.1643,6.0973,6.1614,2773271.0
2007-06-14,6.1702,6.1937,6.1261,6.1907,1748697.0
2007-06-15,6.1937,6.2172,6.1408,6.1584,1411744.0
2007-06-18,6.1731,6.1995,6.1496,6.1937,1189163.0
2007-06-19,6.2054,6.2054,6.176,6.1937,1388609.0
2007-06-20,6.1937,6.1966,6.1555,6.1614,1518198.0
2007-06-21,6.1672,6.1702,6.1143,6.1378,1733721.0
2007-06-22,6.1349,6.1349,6.0468,6.085,1614602.0
2007-06-25,6.082,6.082,5.9439,6.0233,2466148.0
2007-06-26,5.9939,6.0086,5.9204,5.9351,2522305.0
2007-06-27,5.9028,5.9145,5.7236,5.9087,4206115.0
2007-06-28,5.9145,6.0967,5.8763,6.0644,2588000.0
2007-06-29,6.0673,6.1114,6.0321,6.0938,2189352.0
2007-07-02,6.0879,6.1555,6.0615,6.1555,1700029.0
2007-07-03,6.1702,6.2377,6.1555,6.2377,947856.0
2007-07-05,6.2289,6.2436,6.1907,6.2436,1768440.0
2007-07-06,6.2407,6.3024,6.2142,6.2994,1760948.0
2007-07-09,6.2994,6.2994,6.2436,6.2583,1461096.0
2007-07-10,6.2495,6.2583,6.2025,6.2407,985645.0
2007-07-11,6.2142,6.2583,6.1966,6.2348,1570358.0
2007-07-12,6.2377,6.2936,6.2377,6.2583,1698321.0
2007-07-13,6.2818,6.3024,6.2583,6.2906,1388953.0
2007-07-16,6.273,6.3024,6.2436,6.2848,1758561.0
2007-07-17,6.2759,6.2994,6.2201,6.2524,1778308.0
2007-07-18,6.2289,6.2377,6.1085,6.176,2238794.0
2007-07-19,6.179,6.2086,6.0871,6.1583,1729333.0
2007-07-20,6.1523,6.1642,6.0753,6.1494,1282907.0
2007-07-23,6.1523,6.1849,6.0042,6.0308,1844055.0
2007-07-24,5.9893,6.0012,5.9123,5.933,2955558.0
2007-07-25,5.9538,6.0071,5.8975,5.9449,2560773.0
2007-07-26,5.9152,5.9271,5.7789,5.9271,3747179.0
2007-07-27,5.9271,5.9597,5.8915,5.8975,1339923.0
2007-07-30,5.9271,5.9923,5.8678,5.9123,1681415.0
2007-07-31,5.9419,5.9834,5.9182,5.9271,2214565.0
2007-08-01,5.9093,5.9123,5.8589,5.8886,1453654.0
2007-08-02,5.8827,5.9241,5.8827,5.9241,1271764.0
2007-08-03,5.9093,5.9271,5.8767,5.8856,1131404.0
2007-08-06,5.8856,5.9271,5.7641,5.8915,1937769.0
2007-08-07,5.8827,5.9064,5.8086,5.8589,1122620.0
2007-08-08,5.9241,5.9271,5.8767,5.9212,1501219.0
2007-08-09,5.8856,5.9123,5.8293,5.8678,1283582.0
2007-08-10,5.7997,5.8886,5.7256,5.8441,2186543.0
2007-08-13,5.8708,5.9241,5.8708,5.8945,2037411.0
2007-08-14,5.8975,5.9182,5.7256,5.7256,1966883.0
2007-08-15,5.3759,5.6159,5.2603,5.3788,5026059.0
2007-08-16,5.1843,5.3399,4.9538,5.3339,6398090.0
2007-08-17,5.5375,5.6153,5.4387,5.6033,3293077.0
2007-08-20,5.6722,5.6991,5.6123,5.6872,2174554.0
2007-08-21,5.6572,5.747,5.6512,5.744,2384042.0
2007-08-22,5.7769,5.8218,5.768,5.8069,2068654.0
2007-08-23,5.8368,5.8697,5.8039,5.8218,1533114.0
2007-08-24,5.8877,5.9206,5.8368,5.9116,1396131.0
2007-08-27,5.9206,5.9206,5.8398,5.8638,1460622.0
2007-08-28,5.8518,5.8638,5.7291,5.762,1892248.0
2007-08-29,5.768,5.8368,5.762,5.8308,1241456.0
2007-08-30,5.8159,5.8608,5.7919,5.8308,1074737.0
2007-08-31,5.8548,5.9027,5.8368,5.8757,1382441.0
2007-09-04,5.9027,5.9416,5.8817,5.9206,1321638.0
2007-09-05,5.8967,5.9087,5.8608,5.8757,1069740.0
2007-09-06,5.8907,5.9356,5.8727,5.9027,1235105.0
2007-09-07,5.8368,5.8608,5.7919,5.8428,1438903.0
2007-09-10,5.8578,5.8817,5.774,5.8069,1580631.0
2007-09-11,5.8069,5.8368,5.8069,5.8368,1445581.0
2007-09-12,5.8248,5.8548,5.8099,5.8338,1408499.0
2007-09-13,5.8368,5.8578,5.8278,5.8458,1017945.0
2007-09-14,5.8189,5.8757,5.8129,5.8667,1217069.0
2007-09-17,5.8578,5.8578,5.8009,5.8039,1391501.0
2007-09-18,5.8458,5.9206,5.8218,5.8967,1725213.0
2007-09-19,5.9416,5.9685,5.9027,5.9326,1907626.0
2007-09-20,5.9266,5.9326,5.8722,5.8933,1420809.0
2007-09-21,5.8722,5.9205,5.8722,5.8994,1209287.0
2007-09-24,5.9809,5.9809,5.8782,5.9054,1340090.0
2007-09-25,5.9024,5.9205,5.8541,5.9084,1623142.0
2007-09-26,5.9115,5.9568,5.9115,5.9447,1368565.0
2007-09-27,5.9447,5.9688,5.9356,5.9537,1047776.0
2007-09-28,5.9839,5.9839,5.9356,5.9356,1427716.0
2007-10-01,5.9386,6.0081,5.9386,5.996,1249815.0
2007-10-02,5.993,6.1018,5.9205,5.9205,1456626.0
2007-10-03,6.0323,6.0534,6.0081,6.0383,1590037.0
2007-10-04,6.0383,6.0444,6.0142,6.0383,1203363.0
