Date,Open,High,Low,Close,Volume
2022-02-11,9.8,9.85,9.8,9.85,20000
2022-02-14,9.85,9.89,9.84,9.89,107991
2022-02-15,9.9,9.9,9.88,9.9,1765839
2022-02-16,9.89,9.9,9.89,9.89,223093
2022-02-17,9.88,9.9,9.85,9.85,25500
2022-02-18,9.89,9.9,9.89,9.9,20710
2022-02-22,9.9,9.9,9.9,9.9,13884
2022-02-23,9.89,9.9,9.88,9.88,105920
2022-02-24,9.9,9.91,9.895,9.91,16108
2022-02-25,9.9,9.9001,9.875,9.875,7789
2022-02-28,9.91,9.91,9.91,9.91,1000
2022-03-01,9.9,9.9,9.85,9.9,7144
2022-03-02,9.89,9.91,9.85,9.89,141736
2022-03-03,9.92,9.92,9.89,9.9,82866
2022-03-04,9.92,9.94,9.9,9.94,83858
2022-03-09,9.94,9.94,9.92,9.92,301440
2022-03-10,9.92,9.92,9.92,9.92,78605
2022-03-11,9.92,9.92,9.92,9.92,251100
2022-03-15,9.92,9.92,9.87,9.89,13459
2022-03-17,9.9,9.92,9.9,9.9,73712
2022-03-21,9.93,9.94,9.93,9.94,4541
2022-03-24,9.93,9.93,9.91,9.91,55576
2022-03-25,9.92,9.94,9.92,9.94,20250
2022-03-29,9.96,9.96,9.96,9.96,5000
2022-03-31,9.94,9.94,9.94,9.94,3841
2022-04-07,9.95,9.95,9.95,9.95,4800
2022-04-11,9.95,9.95,9.94,9.95,51500
2022-04-12,9.96,9.96,9.96,9.96,779
2022-04-18,9.95,9.97,9.95,9.97,15201
2022-04-19,9.98,9.98,9.97,9.97,16200
2022-04-20,9.97,9.97,9.97,9.97,3600
2022-04-25,9.97,9.97,9.97,9.97,203600
2022-04-26,10.09,10.1,9.921,9.99,422610
2022-04-27,9.97,9.99,9.97,9.97,222898
2022-04-28,9.97,9.97,9.96,9.97,84582
2022-04-29,9.97,9.99,9.96,9.99,93245
2022-05-02,9.99,9.99,9.98,9.98,5108
2022-05-03,9.98,9.98,9.98,9.98,18020
2022-05-04,9.98,9.98,9.97,9.98,5400
2022-05-12,9.9,9.9,9.9,9.9,1800
2022-05-13,9.92,9.92,9.92,9.92,2099
2022-05-23,9.93,9.95,9.93,9.95,8660
2022-05-25,9.95,9.97,9.94,9.97,110384
2022-05-26,9.95,9.97,9.95,9.96,6300
2022-05-27,9.96,9.98,9.96,9.98,35200
2022-06-07,9.98,9.98,9.98,9.98,241
2022-06-08,9.98,9.98,9.98,9.98,299
2022-06-16,9.945,9.945,9.945,9.945,300
2022-06-22,9.94,9.95,9.935,9.945,16400
2022-06-24,9.92,9.945,9.92,9.94,3662
2022-06-27,9.94,9.95,9.94,9.95,3400
2022-06-28,9.95,9.95,9.95,9.95,300
2022-06-29,9.95,9.975,9.95,9.95,175000
2022-07-01,9.99,9.99,9.95,9.99,1200
2022-07-05,9.99,9.99,9.99,9.99,101
2022-07-06,9.94,9.99,9.94,9.99,5900
2022-07-08,9.95,9.95,9.9497,9.95,14600
2022-07-12,9.97,9.99,9.97,9.99,1100
2022-07-15,9.97,9.97,9.97,9.97,1200
2022-07-18,9.97,9.97,9.97,9.97,200
2022-07-25,9.98,9.98,9.98,9.98,100
2022-07-28,9.9807,9.9807,9.96,9.98,10400
2022-07-29,9.98,9.98,9.98,9.98,16100
2022-08-02,9.97,9.97,9.94,9.94,34100
2022-08-04,9.97,9.99,9.97,9.99,972
2022-08-05,10.0,10.0,10.0,10.0,3000
2022-08-09,9.99,9.99,9.95,9.95,2700
2022-08-10,9.98,9.98,9.98,9.98,300
2022-08-12,9.95,9.97,9.95,9.97,23491
2022-08-16,9.975,9.975,9.975,9.975,100
2022-08-17,9.96,9.97,9.95,9.96,131273
2022-08-23,9.95,9.97,9.95,9.97,451
2022-08-26,9.97,9.97,9.97,9.97,100
2022-08-29,9.96,9.96,9.96,9.96,18834
2022-08-30,9.96,9.96,9.96,9.96,800
2022-09-02,9.97,9.97,9.94,9.96,19300
2022-09-08,9.95,9.95,9.92,9.93,64855
2022-09-09,9.97,9.97,9.97,9.97,100
2022-09-13,9.945,9.95,9.945,9.95,3721
2022-09-15,9.97,9.97,9.97,9.97,3000
2022-09-19,9.95,9.95,9.91,9.91,3300
2022-09-20,9.92,9.92,9.915,9.92,200310
2022-09-21,9.93,9.93,9.93,9.93,2501
2022-09-27,9.93,9.93,9.93,9.93,76100
2022-09-28,9.93,9.93,9.93,9.93,23959
2022-09-30,9.95,9.95,9.95,9.95,4300
2022-10-03,9.93,9.93,9.93,9.93,16140
2022-10-05,9.95,9.95,9.95,9.95,400
2022-10-06,9.97,9.97,9.97,9.97,5000
2022-10-07,9.95,9.95,9.95,9.95,200
2022-10-10,9.96,9.96,9.96,9.96,100
2022-10-11,9.98,9.98,9.98,9.98,5415
2022-10-17,9.98,9.99,9.98,9.99,300
2022-10-18,9.99,10.0,9.99,10.0,9652
2022-10-19,9.98,9.98,9.98,9.98,300
2022-10-20,9.98,9.98,9.98,9.98,1701
2022-10-24,9.98,9.98,9.98,9.98,101
2022-10-25,9.99,10.01,9.97,9.97,24034
2022-10-27,9.98,9.99,9.9798,9.99,8600
2022-10-28,10.0,10.05,10.0,10.01,2588
2022-11-01,10.0,10.0,10.0,10.0,200
2022-11-03,10.0,10.01,10.0,10.01,6284
2022-11-07,9.99,9.99,9.99,9.99,372
2022-11-08,9.99,9.99,9.985,9.99,16567
2022-11-09,9.98,10.0,9.98,9.99,2789
2022-11-10,10.0,10.0,9.99,9.99,1710
2022-11-11,10.0,10.0,9.99,9.99,7100
2022-11-14,9.99,9.99,9.99,9.99,7000
2022-11-15,9.9801,10.0,9.98,9.99,8032
2022-11-16,9.98,9.99,9.98,9.99,8138
2022-11-17,9.98,9.98,9.98,9.98,7208
2022-11-21,10.0,10.0,10.0,10.0,100
2022-11-22,10.01,10.01,10.01,10.01,400
2022-11-23,10.02,10.02,10.02,10.02,1000
2022-11-25,10.01,10.01,10.01,10.01,100
2022-12-01,9.99,9.99,9.99,9.99,2257
2022-12-06,10.05,10.05,10.04,10.05,15595
2022-12-07,10.0,10.0,10.0,10.0,301
2022-12-08,10.0,10.01,10.0,10.0,1443
2022-12-09,9.99,10.0,9.99,9.99,11256
2022-12-13,10.0,10.0,10.0,10.0,3997
2022-12-15,10.05,10.05,10.01,10.025,1401
2022-12-16,10.03,10.04,10.03,10.04,617
2022-12-27,10.06,10.06,10.03,10.03,400
2022-12-29,10.11,10.15,10.1,10.14,4526
2022-12-30,10.15,10.15,10.13,10.13,88793
2023-01-03,10.13,10.1901,10.13,10.19,460171
2023-01-05,10.16,10.1826,10.16,10.1826,171076
2023-01-09,10.18,10.2,10.18,10.2,13333
2023-01-11,10.2,10.2,10.2,10.2,100
2023-01-12,10.2,10.21,10.2,10.2,5726
2023-01-13,10.15,10.21,10.15,10.19,1707
2023-01-18,10.2007,10.2007,10.2,10.2,175474
2023-01-19,10.2,10.21,10.2,10.2,54181
2023-01-20,10.21,10.21,10.21,10.21,103300
2023-01-23,10.21,10.21,10.21,10.21,334084
2023-01-24,10.22,10.22,10.21,10.21,7061
2023-01-25,10.21,10.21,10.2,10.2,12801
2023-01-27,10.22,10.22,10.22,10.22,250000
2023-02-01,10.19,10.19,10.19,10.19,14900
2023-02-02,10.65,10.65,10.25,10.25,1598
2023-02-08,10.22,10.22,10.22,10.22,200
2023-02-15,10.22,10.225,10.22,10.225,12840
2023-02-17,10.225,10.225,10.22,10.22,3717
2023-02-22,10.225,10.23,10.225,10.23,13340
2023-02-23,10.26,10.265,10.26,10.265,6800
2023-02-27,10.27,10.275,10.26,10.27,21134
2023-03-01,10.28,10.28,10.28,10.28,100
2023-03-02,10.29,10.35,10.28,10.29,22198
2023-03-03,10.27,10.27,10.27,10.27,100
2023-03-10,10.29,10.29,10.28,10.29,13106
2023-03-13,10.3199,10.35,10.31,10.35,86182
2023-03-14,10.32,10.345,10.31,10.34,304259
2023-03-15,10.33,10.34,10.29,10.325,352354
2023-03-16,10.3398,10.3398,10.3,10.31,7635
2023-03-17,10.31,10.31,10.31,10.31,100
2023-03-20,10.31,10.33,10.31,10.33,10039
2023-03-21,10.36,10.38,10.35,10.35,1003924
2023-03-22,10.6,10.6,10.35,10.3701,19156
2023-03-23,10.38,10.415,10.38,10.3801,600
2023-03-24,10.45,10.61,10.36,10.36,28248
2023-03-27,10.42,10.43,10.37,10.37,5753
2023-03-28,10.37,10.4399,10.37,10.43,35506
2023-03-30,10.41,10.44,10.41,10.44,7983
2023-04-03,10.44,10.465,10.44,10.465,2638
2023-04-05,10.4516,10.4602,10.4501,10.4501,300
2023-04-06,10.46,10.46,10.46,10.46,32359
2023-04-10,10.46,10.47,10.46,10.47,200
2023-04-11,10.46,10.46,10.45,10.46,672367
2023-04-12,10.46,10.465,10.46,10.46,60381
