Date,Open,High,Low,Close,Volume
2013-03-07,14.7594,16.5624,14.7343,16.2438,19206050
2013-03-08,16.3109,17.5646,15.4345,16.1347,2724893
2013-03-11,16.2815,16.2815,15.2752,15.3884,1383434
2013-03-12,15.5142,15.9251,15.1158,15.6777,727910
2013-03-13,15.5645,15.7029,15.5142,15.7029,129547
2013-03-14,15.6316,15.9503,15.6316,15.7867,195039
2013-03-15,16.5708,16.5708,15.5351,15.5603,577772
2013-03-18,15.5142,15.6358,15.3716,15.4681,348542
2013-03-19,15.4639,15.6316,15.3045,15.4639,249384
2013-03-20,15.5184,15.5477,15.3255,15.4429,708368
2013-03-21,15.4723,15.8664,15.3171,15.8287,534302
2013-03-22,15.9335,16.0467,15.7741,15.879,398402
2013-03-25,15.9796,15.9922,15.7658,15.9503,289308
2013-03-26,15.9377,15.9964,15.8203,15.9209,552623
2013-03-27,15.9209,16.076,15.8832,15.9754,292126
2013-03-28,16.0635,16.7092,15.9167,16.5415,353317
2013-04-01,16.5624,16.8518,16.3612,16.5163,350295
2013-04-02,16.6211,16.7092,16.2731,16.6337,214969
2013-04-03,16.7721,16.7721,16.6589,16.7092,358020
2013-04-04,16.7679,16.7679,16.3947,16.4157,67604
2013-04-05,16.2689,16.3318,15.6693,15.9293,268704
2013-04-08,15.8287,15.8412,15.6236,15.8412,162504
2013-04-09,15.7574,15.8496,15.6567,15.7993,338725
2013-04-10,15.728,16.3486,15.7238,16.3192,915852
2013-04-11,16.1557,16.4115,16.1557,16.3444,121598
2013-04-12,16.248,16.315,15.9968,16.1683,45148
2013-04-15,16.0425,16.1641,15.884,16.0299,186632
2013-04-16,16.0173,16.3612,15.7196,16.3192,430795
2013-04-17,16.1557,16.2605,15.8433,15.9754,397352
2013-04-18,15.9754,15.9838,15.8203,15.9251,361137
2013-04-19,15.9251,15.9335,15.8471,15.8832,13787
2013-04-22,15.9083,15.9293,15.837,15.8957,79648
2013-04-23,15.9628,16.009,15.8706,15.9167,197963
2013-04-24,15.9209,15.9209,15.6693,15.77,147804
2013-04-25,15.7658,15.9544,15.5771,15.8748,315663
2013-04-26,15.7238,15.7993,15.6861,15.7616,268366
2013-04-29,15.7532,15.8999,15.6274,15.7029,187163
2013-04-30,15.705,15.7658,15.4597,15.64,630270
2013-05-01,16.3528,16.6547,15.9419,16.554,274331
2013-05-02,16.5499,16.7721,16.5457,16.7721,239053
2013-05-03,17.1075,17.2711,16.8308,17.0782,282755
2013-05-06,17.0866,17.1914,16.9314,17.0824,244664
