Date,Open,High,Low,Close,Volume
2017-05-08,0.05,0.05,0.05,0.05,200
2017-05-11,0.09,0.09,0.05,0.05,29000
2017-05-22,0.145,0.145,0.145,0.145,100
2017-05-23,0.05,0.05,0.05,0.05,188
2017-05-24,0.05,0.145,0.05,0.05,650
2017-05-25,0.05,0.05,0.05,0.05,150
2017-06-12,0.145,0.145,0.145,0.145,5000
2017-06-13,0.143,0.143,0.143,0.143,1000
2017-06-14,0.087,0.087,0.0788,0.0788,8700
2017-06-16,0.15,0.2,0.15,0.2,8242
2017-06-27,0.14,0.99,0.14,0.4,3075
2017-06-28,0.371,0.371,0.371,0.371,1000
2017-06-29,0.4,0.4,0.4,0.4,4700
2017-07-06,0.1,0.25,0.1,0.25,15204
2017-07-11,0.2385,0.25,0.2385,0.25,2000
2017-07-12,0.205,0.25,0.2,0.25,5674
2017-07-13,0.3,0.3,0.223,0.223,5100
2017-07-14,0.2999,0.2999,0.2999,0.2999,5000
2017-07-17,0.27,0.28,0.27,0.28,565
2017-07-24,0.33,0.33,0.307,0.307,334
2017-07-25,0.33,0.33,0.3254,0.3254,6000
2017-07-26,0.32,0.3269,0.32,0.3269,2600
2017-07-27,0.35,0.45,0.35,0.45,4700
2017-07-28,0.51,0.65,0.5,0.65,8686
2017-07-31,0.65,0.65,0.3,0.33,13155
2017-08-01,0.35,0.35,0.3,0.33,1593
2017-08-02,0.3,0.46,0.3,0.46,11710
2017-08-03,0.454,0.454,0.454,0.454,200
2017-08-04,0.408,0.408,0.408,0.408,14700
2017-08-07,0.3,0.3,0.3,0.3,1150
2017-08-08,0.49,0.494,0.49,0.494,3461
2017-08-09,0.5,0.5,0.49,0.49,9004
2017-08-10,0.49,0.491,0.49,0.49,17764
2017-08-11,0.69,0.69,0.69,0.69,200
2017-08-14,0.53,0.53,0.53,0.53,507
2017-08-18,0.73,0.73,0.5,0.6,10552
2017-08-21,0.29,0.6,0.29,0.498,4350
2017-08-24,0.51,0.51,0.51,0.51,1000
2017-09-05,0.48,0.48,0.48,0.48,2500
2017-09-06,0.48,0.48,0.48,0.48,500
2017-09-11,0.45,0.45,0.45,0.45,1000
2017-09-14,0.4385,0.4385,0.4385,0.4385,400
2017-09-20,0.4385,0.4385,0.4385,0.4385,600
2017-09-21,0.4,0.4,0.4,0.4,400
2017-09-25,0.425,0.425,0.425,0.425,130
2017-09-29,0.4,0.4,0.4,0.4,270
2017-10-03,0.42,0.42,0.42,0.42,100
2017-10-05,0.4115,0.4115,0.4115,0.4115,400
2017-10-11,0.34,0.34,0.3,0.3,4026
2017-10-20,0.2908,0.2908,0.2908,0.2908,1000
2017-10-24,0.29,0.29,0.29,0.29,32000
2017-10-27,0.29,0.34,0.2854,0.3078,13200
2017-10-30,0.2,0.2,0.2,0.2,100
2017-11-03,0.23,0.23,0.23,0.23,313
2017-11-07,0.34,0.34,0.3308,0.3308,6236
2017-11-09,0.3308,0.3308,0.3308,0.3308,200
2017-11-10,0.34,0.51,0.3,0.51,10769
2017-11-13,0.31,0.31,0.31,0.31,200
2017-11-14,0.34,0.34,0.339,0.339,5250
