Date,Open,High,Low,Close,Volume
2017-05-25,15.0,16.75,14.6,15.15,4834650
2017-05-26,13.3,18.11,13.3,17.69,1662794
2017-05-30,17.69,18.98,17.3,18.1,1170909
2017-05-31,18.1,18.48,17.31,17.51,637456
2017-06-01,17.44,18.3,16.782,18.25,396362
2017-06-02,17.8,18.19,17.54,17.85,274535
2017-06-05,17.81,19.76,17.5,19.76,708161
2017-06-06,19.78,20.719,18.6,18.67,710333
2017-06-07,18.7,19.5,18.18,19.42,320488
2017-06-08,19.22,20.0,18.91,19.03,288429
2017-06-09,19.04,19.455,18.5,18.65,251438
2017-06-12,18.0,18.6,17.75,18.37,309668
2017-06-13,18.5,19.34,18.5,18.9,209342
2017-06-14,18.8,19.323,18.29,18.42,253878
2017-06-15,18.35,18.6,17.81,18.13,164055
2017-06-16,18.16,18.89,18.05,18.22,383466
2017-06-19,17.5,18.05,17.05,17.97,338400
2017-06-20,17.84,18.07,17.41,17.61,107784
2017-06-21,17.5,17.71,16.92,17.19,286979
2017-06-22,17.21,17.44,16.93,17.02,298143
2017-06-23,17.09,18.59,17.0,18.3,787262
2017-06-26,18.3,18.65,18.1,18.25,457401
2017-06-27,18.12,18.446,17.65,18.02,412920
2017-06-28,18.02,18.25,17.73,18.11,370716
2017-06-29,17.93,18.9,17.93,18.35,295364
2017-06-30,18.2,18.499,18.03,18.15,209721
2017-07-03,18.2,18.34,17.525,17.584,159631
2017-07-05,17.67,17.85,17.02,17.81,195908
2017-07-06,17.77,17.79,17.25,17.63,146114
2017-07-07,17.57,19.27,17.47,18.86,406457
2017-07-10,18.8,19.65,18.64,18.78,316630
2017-07-11,18.71,19.38,18.34,19.09,226149
2017-07-12,19.24,20.5,18.91,20.15,528923
2017-07-13,20.21,20.21,19.52,19.78,200919
2017-07-14,19.86,20.868,19.72,20.33,259145
2017-07-17,20.5,21.45,20.0,20.24,187541
2017-07-18,20.38,21.249,20.051,20.95,197088
2017-07-19,21.16,21.35,20.72,20.97,144821
2017-07-20,21.1,21.4,21.093,21.22,58701
2017-07-21,21.25,21.492,20.15,20.53,85993
2017-07-24,20.5,20.74,19.51,19.98,116238
2017-07-25,20.06,20.5,20.05,20.25,66367
2017-07-26,20.2,20.63,19.76,20.5,90575
2017-07-27,20.56,20.56,19.5,19.79,99408
2017-07-28,19.68,19.74,19.02,19.51,323710
2017-07-31,19.51,19.83,19.09,19.56,183031
2017-08-01,19.63,20.9,19.455,20.88,120262
2017-08-02,20.81,20.81,19.27,19.61,226824
2017-08-03,19.78,20.85,18.29,19.5,293699
2017-08-04,19.0,20.02,18.45,19.71,388751
2017-08-07,19.76,22.428,19.61,22.17,270066
2017-08-08,21.9,23.28,21.448,22.3,215221
2017-08-09,22.4,22.88,21.36,21.46,147837
2017-08-10,21.46,21.596,19.71,19.89,162180
2017-08-11,19.91,20.6,19.87,20.6,110437
2017-08-14,20.72,21.096,20.106,20.5,57728
2017-08-15,20.65,21.015,20.18,20.56,65390
2017-08-16,20.69,20.97,20.161,20.61,54123
2017-08-17,20.61,20.64,20.15,20.25,87850
2017-08-18,20.15,20.54,20.11,20.52,45429
2017-08-21,20.47,20.627,20.25,20.42,38184
2017-08-22,20.59,21.0,20.14,20.68,87570
2017-08-23,20.51,21.85,20.51,21.26,206641
2017-08-24,21.41,21.861,20.9,21.42,113530
2017-08-25,21.59,21.9,21.149,21.57,158582
2017-08-28,21.9,22.86,21.618,22.2,226756
2017-08-29,23.5,23.5,22.1,22.45,111175
2017-08-30,22.69,22.89,22.35,22.81,69224
2017-08-31,23.04,23.276,22.506,22.89,118463
2017-09-01,23.17,23.17,22.08,22.24,68498
2017-09-05,22.02,23.8,22.02,23.64,211582
2017-09-06,23.79,25.26,22.75,24.83,177838
2017-09-07,24.75,26.99,24.03,25.82,143393
2017-09-08,25.97,26.39,25.27,26.15,151393
2017-09-11,26.48,27.364,25.86,27.09,120689
2017-09-12,27.09,27.894,26.451,27.03,89088
2017-09-13,27.06,27.595,25.815,26.256,100964
2017-09-14,26.0,26.86,25.511,26.43,105252
2017-09-15,26.47,26.7,25.74,25.787,224679
2017-09-18,25.79,26.56,24.809,25.07,120729
2017-09-19,25.3,25.52,25.05,25.05,85336
2017-09-20,25.13,25.26,23.47,23.7,148685
2017-09-21,23.62,23.763,22.43,23.15,115094
2017-09-22,23.12,23.415,22.78,22.88,49870
2017-09-25,23.0,23.29,21.83,22.33,112099
2017-09-26,22.31,23.7,22.02,22.95,57461
2017-09-27,23.0,23.44,23.0,23.35,54249
2017-09-28,23.27,26.5,23.04,26.5,189451
2017-09-29,26.11,28.65,25.3,28.2,303079
2017-10-02,28.0,28.0,23.17,24.01,607059
2017-10-03,24.88,24.93,23.56,24.5,222923
