Date,Open,High,Low,Close,Volume
2012-11-28,6.7907,6.8766,6.7907,6.8766,3096157
2012-11-29,6.8595,6.8766,6.8457,6.8766,591218
2012-11-30,6.8766,6.8801,6.8595,6.8766,307131
2012-12-03,6.8801,6.8801,6.8766,6.8766,71416
2012-12-04,6.8766,6.8801,6.8595,6.8766,394443
2012-12-05,6.8698,6.8766,6.8698,6.8766,283878
2012-12-06,6.997,7.0142,6.8766,6.8766,69088
2012-12-07,6.8766,6.911,6.8766,6.887,96922
2012-12-10,6.8766,6.9626,6.8766,6.942,174766
2012-12-11,6.8766,6.9282,6.8766,6.8983,43480
2012-12-12,6.9103,6.911,6.887,6.9062,33039
2012-12-13,6.887,6.911,6.8766,6.8766,123071
2012-12-14,6.8766,6.887,6.8595,6.8766,112905
2012-12-17,6.911,6.911,6.8938,6.911,12886
2012-12-18,6.9764,6.9764,6.715,6.8766,28351
2012-12-19,6.8766,6.8801,6.8629,6.8766,68348
2012-12-20,6.9282,6.9282,6.8766,6.8801,40717
2012-12-21,6.8766,6.8801,6.8766,6.8766,68057
2012-12-24,6.8894,6.8894,6.8766,6.8766,3780
2012-12-26,6.8835,6.8938,6.8835,6.8938,7996
2012-12-27,6.8938,6.8938,6.8595,6.8766,62241
2012-12-28,6.8801,6.9007,6.8801,6.8801,25411
2012-12-31,6.8766,6.9169,6.8766,6.8801,27339
2013-01-02,6.8766,6.9007,6.8766,6.8801,77363
2013-01-03,6.8801,6.9042,6.8766,6.8797,37273
2013-01-04,6.8766,6.877,6.8766,6.8766,51770
2013-01-07,6.8766,6.9764,6.8629,6.9317,138118
2013-01-08,6.8423,6.8423,6.801,6.8423,732893
2013-01-09,6.8079,6.8835,6.8079,6.8835,210859
2013-01-10,6.8766,6.8938,6.8251,6.8595,381304
2013-01-11,6.8423,6.8732,6.7735,6.8732,197527
2013-01-14,6.8423,6.8629,6.7666,6.7907,116022
2013-01-15,6.8388,6.8388,6.6703,6.6772,221272
2013-01-16,6.7872,6.7907,6.6153,6.7328,256339
2013-01-17,6.6511,6.7341,6.6511,6.6703,56633
2013-01-18,6.6772,6.7391,6.6772,6.7391,54457
2013-01-22,6.7563,6.7563,6.636,6.7288,150029
2013-01-23,6.769,6.7796,6.7001,6.7105,59109
2013-01-24,6.6932,6.7451,6.6863,6.6932,182113
2013-01-25,6.6897,6.752,6.624,6.6413,217201
2013-01-28,6.7312,6.7312,6.5998,6.624,300386
2013-01-29,6.6136,6.6655,6.6032,6.6586,235655
2013-01-30,6.6517,6.7796,6.6344,6.7139,138259
2013-01-31,6.7451,6.7451,6.6067,6.6482,278428
2013-02-01,6.6724,6.6793,6.6102,6.6759,67435
2013-02-04,6.9561,6.9561,6.5998,6.6482,153297
2013-02-05,6.6586,6.6586,6.6102,6.6413,139625
2013-02-06,6.6309,6.6548,6.6205,6.6517,157741
2013-02-07,6.6205,6.6586,6.6102,6.6586,156646
2013-02-08,6.6586,6.6793,6.6136,6.6447,166461
2013-02-11,6.6586,6.6655,6.6136,6.6655,61229
2013-02-12,6.6447,6.7139,6.6447,6.6828,59888
2013-02-13,6.6793,6.7416,6.6413,6.7139,86807
2013-02-14,6.7477,6.7616,6.6746,6.7616,67365
2013-02-15,6.7616,6.7686,6.7059,6.7198,51125
2013-02-19,6.7616,6.96,6.7581,6.779,123704
2013-02-20,6.8556,6.866,6.7785,6.8138,282991
2013-02-21,6.8486,6.8973,6.7894,6.859,172883
2013-02-22,6.8834,6.9078,6.779,6.8103,177508
2013-02-25,6.8138,6.8367,6.7686,6.786,285477
2013-02-26,6.7929,6.8034,6.7581,6.7686,90650
2013-02-27,6.779,6.8225,6.772,6.7964,83624
2013-02-28,6.873,6.873,6.7999,6.8451,86620
2013-03-01,6.8486,6.9043,6.8243,6.8904,98499
2013-03-04,6.8764,6.8973,6.8277,6.8347,98900
2013-03-05,6.8521,6.8869,6.8208,6.8413,120802
2013-03-06,6.8347,6.8556,6.7999,6.8208,80039
2013-03-07,6.8208,6.8486,6.786,6.8242,109474
2013-03-08,6.8173,6.873,6.7894,6.8068,145886
2013-03-11,6.8486,6.8486,6.7929,6.8159,84430
2013-03-12,6.7894,6.8173,6.7755,6.8173,196952
2013-03-13,6.8138,6.8138,6.7546,6.772,346599
2013-03-14,6.7894,6.8904,6.7894,6.866,104625
2013-03-15,6.866,6.9008,6.7616,6.779,100390
2013-03-18,6.779,6.8486,6.7686,6.8347,135009
2013-03-19,6.8546,6.8691,6.8266,6.8476,58116
2013-03-20,6.8266,6.8826,6.7951,6.8441,154191
2013-03-21,6.8091,6.8546,6.7986,6.8511,141744
2013-03-22,6.8896,6.8896,6.8091,6.8266,170015
2013-03-25,6.8266,6.8756,6.7916,6.8266,237509
2013-03-26,6.8091,6.8581,6.8056,6.8546,258854
2013-03-27,6.8616,6.9387,6.8249,6.9045,305624
2013-03-28,6.9247,7.0017,6.8686,7.0017,741642
2013-04-01,6.9947,7.0752,6.9562,6.9947,146843
2013-04-02,6.9912,7.0052,6.9562,7.0052,155687
2013-04-03,6.9807,7.0017,6.9492,6.9947,132124
2013-04-04,6.9842,6.9982,6.9282,6.9982,205151
2013-04-05,6.9667,6.9982,6.9071,6.9982,110961
2013-04-08,6.9912,7.0017,6.9141,7.0017,315375
2013-04-09,6.9877,6.9877,6.9071,6.9422,155918
2013-04-10,6.9317,6.9947,6.8862,6.9387,345388
2013-04-11,6.9632,6.9772,6.9036,6.9457,182169
2013-04-12,6.9212,6.9632,6.9002,6.9492,247772
2013-04-15,6.9247,6.9282,6.8861,6.9247,184943
2013-04-16,6.9282,6.9492,6.9137,6.9457,72373
2013-04-17,6.9141,6.9597,6.9141,6.9317,141078
2013-04-18,6.9799,6.9799,6.913,6.9658,184758
2013-04-19,6.9834,6.9834,6.8707,6.9341,249689
2013-04-22,6.9341,6.9552,6.8954,6.9447,198888
2013-04-23,6.913,6.9693,6.913,6.9693,350309
2013-04-24,6.9588,6.9693,6.9236,6.9588,134218
2013-04-25,6.9693,6.994,6.9482,6.9693,190186
2013-04-26,6.9623,7.001,6.9588,6.994,59090
2013-04-29,6.9306,7.0151,6.9306,7.0046,198838
2013-04-30,7.0222,7.0257,6.9975,7.0081,268761
2013-05-01,7.0186,7.0355,7.001,7.0151,146025
2013-05-02,7.0222,7.0468,7.0172,7.0398,80808
2013-05-03,7.0081,7.075,7.0081,7.0679,231633
2013-05-06,7.0327,7.0574,7.0081,7.0222,127031
2013-05-07,7.0398,7.0539,7.0081,7.0186,175181
2013-05-08,7.0257,7.0292,6.9764,7.0257,236011
2013-05-09,7.001,7.075,6.9975,7.0433,499051
2013-05-10,7.0433,7.1877,6.9834,7.082,612793
2013-05-13,7.1172,7.1172,7.0468,7.1067,310402
2013-05-14,7.1137,7.1137,7.0151,7.0715,231221
2013-05-15,7.1313,7.1313,7.0186,7.0715,320231
2013-05-16,7.0775,7.081,6.9787,7.0633,448511
2013-05-17,7.0669,7.0739,6.9854,7.0385,142858
2013-05-20,7.0633,7.0633,6.9925,7.0598,202989
2013-05-21,7.0633,7.0633,6.9327,6.996,189581
2013-05-22,7.0279,7.0598,6.9287,7.0314,189800
2013-05-23,7.0137,7.0385,6.9323,7.0385,151830
2013-05-24,7.0243,7.0739,6.9712,7.0598,207604
2013-05-28,7.0775,7.0775,6.911,7.0456,317473
2013-05-29,7.035,7.035,6.9216,6.9748,219539
2013-05-30,7.0066,7.0066,6.9237,6.9925,290757
2013-05-31,7.0137,7.0421,6.9783,7.0421,248534
2013-06-03,7.0279,7.0314,6.9464,7.0173,317879
2013-06-04,6.9854,7.0385,6.9429,6.9606,207799
2013-06-05,6.9783,6.9783,6.9216,6.9783,135995
2013-06-06,6.9889,6.9889,6.8827,6.9712,264758
2013-06-07,6.9712,6.9889,6.8933,6.9535,193124
2013-06-10,6.9748,6.9818,6.872,6.957,201157
2013-06-11,6.9429,6.9429,6.872,6.9216,185719
2013-06-12,6.9358,6.9358,6.8295,6.8295,218632
2013-06-13,6.8968,6.9429,6.8224,6.8437,131147
2013-06-14,6.872,6.872,6.787,6.7976,198807
2013-06-17,6.8295,6.8685,6.787,6.8083,203682
2013-06-18,6.7906,6.8189,6.5249,6.5816,848964
2013-06-19,6.6981,6.8265,6.6197,6.7516,479568
2013-06-20,6.8015,6.8906,6.6839,6.8086,342286
2013-06-21,6.8514,6.9117,6.7017,6.7908,262421
2013-06-24,6.8086,6.8728,6.666,6.7445,203670
2013-06-25,6.8692,6.8692,6.6233,6.6981,301761
2013-06-26,6.7124,6.8282,6.691,6.773,179231
2013-06-27,6.8193,6.8799,6.7413,6.8086,80837
2013-06-28,6.8478,6.8514,6.6614,6.6981,197554
2013-07-01,6.7587,6.8835,6.7587,6.773,107198
2013-07-02,6.8122,6.8122,6.6839,6.748,97754
2013-07-03,6.7694,6.8229,6.7338,6.7659,70641
2013-07-05,6.7659,6.7979,6.7053,6.7801,80390
2013-07-08,6.8122,6.8122,6.7552,6.7623,95693
2013-07-09,6.8051,6.8086,6.6839,6.7623,213715
2013-07-10,6.7801,6.8193,6.7409,6.8015,233150
2013-07-11,6.7908,6.8229,6.6946,6.8015,179027
2013-07-12,6.8051,6.8265,6.773,6.8122,161160
2013-07-15,6.8086,6.8514,6.7766,6.8265,122178
2013-07-16,6.8372,6.855,6.7053,6.7801,164818
2013-07-17,6.8336,6.876,6.7766,6.8692,131143
2013-07-18,6.8933,6.8933,6.8502,6.8933,181675
2013-07-19,6.8789,6.8789,6.7609,6.861,187841
2013-07-22,6.8682,6.8717,6.7785,6.8036,178720
2013-07-23,6.8036,6.8036,6.6888,6.7462,239376
2013-07-24,6.7821,6.8215,6.5274,6.6673,367998
2013-07-25,6.6673,6.7355,6.5561,6.7355,123729
2013-07-26,6.7642,6.8108,6.6924,6.8072,68831
2013-07-29,6.8359,6.8359,6.6458,6.7749,228451
2013-07-30,6.8215,6.8753,6.653,6.7785,167080
2013-07-31,6.7893,6.8215,6.7319,6.8144,92468
2013-08-01,6.7749,6.8459,6.7749,6.8108,125571
2013-08-02,6.8466,6.8466,6.7821,6.8323,100371
2013-08-05,6.8287,6.8323,6.7857,6.8215,114530
2013-08-06,6.8323,6.8323,6.6748,6.7749,142630
2013-08-07,6.7928,6.8072,6.6458,6.8072,191633
2013-08-08,6.8359,6.8359,6.7068,6.8144,124801
2013-08-09,6.8036,6.8574,6.7821,6.8215,132589
2013-08-12,6.8646,6.9004,6.757,6.861,76157
2013-08-13,6.8395,6.8574,6.739,6.8431,104958
2013-08-14,6.7821,6.8248,6.6996,6.7893,150609
2013-08-15,6.7629,6.8243,6.6009,6.6474,127729
2013-08-16,6.6294,6.6583,6.4706,6.651,156282
2013-08-19,6.698,6.7337,6.5861,6.6041,149156
2013-08-20,6.5536,6.6547,6.4995,6.6547,219999
2013-08-21,6.6871,6.7277,6.55,6.6438,137981
2013-08-22,6.6727,6.7088,6.55,6.6113,205344
2013-08-23,6.6366,6.6366,6.5283,6.5716,147893
2013-08-26,6.5716,6.6222,6.5356,6.5716,278081
2013-08-27,6.5933,6.651,6.55,6.6474,247722
2013-08-28,6.6835,6.6835,6.5608,6.6474,159658
2013-08-29,6.6258,6.7088,6.5973,6.698,108809
2013-08-30,6.6799,6.7701,6.6658,6.7593,96185
2013-09-03,6.781,6.781,6.6803,6.7701,87554
2013-09-04,6.7485,6.7737,6.6763,6.7629,85697
2013-09-05,6.7232,6.7665,6.7232,6.7449,57442
2013-09-06,6.7701,6.7954,6.6907,6.7377,83662
2013-09-09,6.7629,6.781,6.7485,6.7701,118631
2013-09-10,6.7665,6.7774,6.7232,6.7737,105924
2013-09-11,6.7774,6.7882,6.7449,6.781,125289
2013-09-12,6.7774,6.7846,6.7088,6.781,230368
2013-09-13,6.7557,6.799,6.7485,6.7882,70456
2013-09-16,6.817,6.817,6.7882,6.8062,77008
2013-09-17,6.8062,6.8062,6.6041,6.6943,226874
2013-09-18,6.7052,6.7485,6.6294,6.698,95086
2013-09-19,6.7368,6.7622,6.5952,6.6751,117618
2013-09-20,6.6497,6.6787,6.6097,6.6424,95656
2013-09-23,6.6533,6.6751,6.6097,6.6315,121325
2013-09-24,6.6242,6.6642,6.5915,6.6497,119094
2013-09-25,6.6642,6.6642,6.5552,6.5843,165874
2013-09-26,6.5407,6.5952,6.4753,6.5189,220978
2013-09-27,6.508,6.5879,6.4753,6.5879,160852
2013-09-30,6.5879,6.6242,6.5189,6.577,145609
2013-10-01,6.5879,6.6751,6.577,6.6751,112742
2013-10-02,6.6969,6.7078,6.5988,6.6714,84524
2013-10-03,6.6714,6.6714,6.4935,6.6061,100137
2013-10-04,6.577,6.6097,6.548,6.5807,72096
2013-10-07,6.5516,6.5988,6.548,6.5952,61383
2013-10-08,6.5661,6.5952,6.5371,6.5371,152420
2013-10-09,6.5661,6.5661,6.4717,6.5334,177816
2013-10-10,6.5334,6.5552,6.4935,6.5552,282960
2013-10-11,6.5589,6.5589,6.5154,6.5371,153283
2013-10-14,6.5189,6.5552,6.4899,6.5443,71857
2013-10-15,6.5153,6.5334,6.4499,6.4971,224178
2013-10-16,6.4971,6.5915,6.41,6.5879,222089
2013-10-17,6.5685,6.733,6.5685,6.627,168234
2013-10-18,6.6563,6.6709,6.5941,6.6416,125637
2013-10-21,6.6599,6.6599,6.6088,6.6124,141725
2013-10-22,6.6343,6.6416,6.5868,6.638,299140
2013-10-23,6.6051,6.6453,6.6051,6.627,146178
2013-10-24,6.649,6.649,6.6051,6.6234,102793
2013-10-25,6.627,6.649,6.5795,6.5795,256771
2013-10-28,6.5978,6.6088,6.5832,6.6014,78265
2013-10-29,6.6088,6.6343,6.5795,6.6051,109075
2013-10-30,6.6343,6.6343,6.5868,6.6088,146104
2013-10-31,6.6124,6.6197,6.5868,6.5978,117439
2013-11-01,6.5905,6.6014,6.5283,6.5649,236405
2013-11-04,6.5356,6.5941,6.5356,6.5868,60819
2013-11-05,6.5795,6.6234,6.5356,6.5832,108932
2013-11-06,6.6124,6.6709,6.5795,6.6014,146329
2013-11-07,6.6307,6.6416,6.4991,6.5503,199361
2013-11-08,6.543,6.5612,6.4772,6.5393,179292
2013-11-11,6.5174,6.6014,6.5174,6.5868,141883
2013-11-12,6.5576,6.5978,6.525,6.5649,104313
2013-11-13,6.5466,6.5612,6.5101,6.5612,94022
2013-11-14,6.5503,6.5868,6.543,6.5612,70696
2013-11-15,6.5503,6.5663,6.4954,6.5283,207929
2013-11-18,6.521,6.5506,6.4845,6.4845,228914
2013-11-19,6.4881,6.5064,6.4808,6.5064,137704
2013-11-20,6.5384,6.5495,6.4869,6.4943,193438
2013-11-21,6.5237,6.5384,6.4648,6.509,295548
2013-11-22,6.4795,6.4943,6.4427,6.4943,269831
2013-11-25,6.4722,6.4906,6.4575,6.4685,167083
2013-11-26,6.4722,6.5127,6.4612,6.5016,375368
2013-11-27,6.4832,6.5274,6.4832,6.5127,206228
2013-11-29,6.5384,6.5678,6.4759,6.5163,104198
2013-12-02,6.52,6.5384,6.4649,6.5163,237068
2013-12-03,6.4869,6.5458,6.4869,6.5311,99963
2013-12-04,6.5495,6.5605,6.4832,6.5605,174826
2013-12-05,6.5458,6.5862,6.5366,6.5862,259381
2013-12-06,6.6157,6.715,6.5991,6.6635,195686
2013-12-09,6.6635,6.7003,6.647,6.6966,194911
2013-12-10,6.6746,6.7481,6.6562,6.7297,136885
2013-12-11,6.7592,6.7813,6.7113,6.7629,192090
2013-12-12,6.7629,6.7629,6.6672,6.7518,257615
2013-12-13,6.7224,6.7513,6.5384,6.6451,384869
2013-12-16,6.6782,6.6856,6.623,6.6525,263767
2013-12-17,6.6525,6.6598,6.6083,6.623,641259
2013-12-18,6.6267,6.6782,6.6194,6.6562,299633
2013-12-19,6.6662,6.7328,6.6625,6.6884,386000
2013-12-20,6.6847,6.7699,6.5995,6.6773,390068
2013-12-23,6.7106,6.8036,6.6217,6.7254,361685
2013-12-24,6.6884,6.7291,6.6736,6.7254,143631
2013-12-26,6.7217,6.7402,6.6439,6.6921,314235
2013-12-27,6.7032,6.7032,6.6254,6.6625,499972
2013-12-30,6.6625,6.6847,6.6143,6.6365,439633
2013-12-31,6.6217,6.6587,6.6069,6.6587,635832
2014-01-02,6.6625,6.6958,6.655,6.681,91573
2014-01-03,6.6847,6.7217,6.6662,6.681,134058
2014-01-06,6.6773,6.7199,6.6773,6.681,78609
2014-01-07,6.681,6.755,6.681,6.7513,129066
2014-01-08,6.7402,6.7921,6.7217,6.7736,108388
2014-01-09,6.7921,6.8032,6.7476,6.7884,111061
2014-01-10,6.7699,6.7958,6.7476,6.7921,63879
2014-01-13,6.7736,6.8143,6.7736,6.8032,63715
2014-01-14,6.7995,6.8847,6.7976,6.8513,196147
2014-01-15,6.855,6.8624,6.8143,6.8587,87320
2014-01-16,6.8587,6.8847,6.8106,6.8847,103403
2014-01-17,6.8773,6.8958,6.8661,6.8907,59833
2014-01-21,6.8984,6.9692,6.8462,6.8984,141558
2014-01-22,6.8947,6.9282,6.8872,6.9282,195511
2014-01-23,6.9133,6.9394,6.8984,6.9357,165996
2014-01-24,6.8872,6.9446,6.8652,6.876,124560
2014-01-27,6.876,6.8798,6.8313,6.876,139681
2014-01-28,6.8798,6.8798,6.8462,6.8611,89862
2014-01-29,6.8611,6.8723,6.8388,6.85,118557
2014-01-30,6.8872,6.8872,6.8201,6.85,281089
2014-01-31,6.8462,6.8649,6.8201,6.8388,53845
2014-02-03,6.8388,6.8686,6.8239,6.8239,82751
2014-02-04,6.8239,6.8574,6.8201,6.85,90072
2014-02-05,6.85,6.85,6.8201,6.8351,104737
2014-02-06,6.8239,6.8537,6.8201,6.8388,48904
2014-02-07,6.8313,6.8537,6.8239,6.8537,91469
2014-02-10,6.85,6.8574,6.8127,6.8425,71750
2014-02-11,6.8462,6.8649,6.8052,6.8351,123667
2014-02-12,6.8276,6.891,6.8127,6.8649,229816
2014-02-13,6.85,6.85,6.8127,6.8127,169237
2014-02-14,6.8127,6.8425,6.7978,6.8015,142059
2014-02-18,6.8341,6.8566,6.8004,6.8304,108628
2014-02-19,6.8266,6.8454,6.7816,6.8004,241708
2014-02-20,6.7929,6.8154,6.7816,6.7929,97983
2014-02-21,6.7891,6.8229,6.7891,6.8079,166244
2014-02-24,6.7966,6.8304,6.7779,6.8266,160821
2014-02-25,6.8191,6.8252,6.7854,6.8041,157861
2014-02-26,6.7854,6.8304,6.7779,6.7966,163265
