Date,Open,High,Low,Close,Volume
2018-08-14,13.02,13.85,12.6052,13.0,502042
2018-08-15,13.0,13.0279,12.85,12.97,78245
2018-08-16,12.86,13.0,12.85,12.92,20323
2018-08-17,12.85,12.98,12.85,12.93,13747
2018-08-20,12.99,13.04,12.85,12.85,25904
2018-08-21,12.85,12.95,12.681,12.92,40960
2018-08-22,12.86,12.99,12.86,12.87,12042
2018-08-23,13.04,13.05,12.8999,13.01,19673
2018-08-24,12.99,13.3796,12.99,13.04,19756
2018-08-27,13.19,13.22,13.0381,13.11,18704
2018-08-28,13.13,13.22,13.13,13.2,13132
2018-08-29,13.2,13.6,13.13,13.5,127340
2018-08-30,13.85,13.85,13.52,13.65,17216
2018-08-31,13.59,13.59,13.241,13.45,36723
2018-09-04,13.38,13.7,13.2575,13.69,20770
2018-09-05,13.71,13.71,13.541,13.63,26690
2018-09-06,13.7,13.71,13.27,13.3,15029
2018-09-07,13.21,13.46,11.25,12.12,37125
2018-09-10,12.5,12.665,12.0166,12.19,15239
2018-09-11,12.33,12.53,12.3,12.37,7829
2018-09-12,12.5971,12.8133,12.42,12.74,17477
2018-09-13,12.57,12.88,12.501,12.7,6907
2018-09-14,12.7,12.8,11.91,11.915,11938
2018-09-17,12.18,12.7,12.01,12.69,8560
2018-09-18,12.967,13.0,12.57,12.57,2355
2018-09-19,12.57,13.0,12.5501,12.8,7561
2018-09-20,13.07,13.07,12.81,13.07,6073
2018-09-21,12.94,13.06,12.01,13.04,13369
2018-09-24,12.75,13.3,12.75,12.97,11842
2018-09-25,13.38,13.38,12.89,13.1,9324
2018-09-26,13.18,13.1999,12.89,13.18,3394
2018-09-27,13.15,13.15,12.93,12.93,8284
2018-09-28,12.99,13.12,12.99,13.055,2600
2018-10-01,13.06,13.06,12.45,12.45,4518
2018-10-02,12.7921,13.0299,12.66,12.66,3150
2018-10-03,12.65,12.98,12.65,12.98,2065
2018-10-04,12.965,13.03,12.825,13.03,1958
2018-10-05,12.9197,12.9585,12.81,12.8645,1952
2018-10-08,12.58,12.8254,12.58,12.8254,2597
2018-10-09,12.8104,12.9584,12.4,12.4,1108
2018-10-10,12.41,12.9999,12.41,12.62,2114
2018-10-11,12.73,12.75,12.5685,12.606,5680
2018-10-12,12.79,12.96,12.6973,12.6973,3735
2018-10-15,12.7,12.7,12.7,12.7,100
2018-10-16,12.7976,12.7976,12.6,12.6,3185
2018-10-17,12.798,12.798,12.6,12.6,1900
2018-10-18,12.663,12.663,12.64,12.64,500
2018-10-19,12.6,12.664,12.23,12.5,4469
2018-10-22,12.65,12.947,12.65,12.92,4997
2018-10-23,13.0,13.0,12.5,12.5988,5036
2018-10-24,12.54,12.54,12.22,12.32,7193
2018-10-25,12.3225,12.4036,12.32,12.35,1849
2018-10-26,12.35,12.4113,12.3,12.35,2519
2018-10-29,12.3615,12.5,12.3,12.48,1100
2018-10-31,12.3027,12.3027,12.3,12.3,300
2018-11-01,12.35,12.5,12.35,12.5,3160
2018-11-02,12.4,12.5,12.23,12.23,1153
2018-11-05,12.0408,12.2,11.81,12.2,378
2018-11-06,11.8001,11.96,11.8001,11.96,2106
2018-11-07,12.0,12.84,12.0,12.84,200
2018-11-08,11.95,12.5,11.95,12.17,1815
2018-11-09,12.07,12.2112,12.07,12.0727,400
2018-11-12,12.12,12.15,12.12,12.15,400
2018-11-13,12.12,12.2307,12.12,12.23,724
2018-11-14,12.2001,12.49,12.2,12.49,300
2018-11-15,12.6,12.6,12.48,12.48,200
2018-11-16,12.261,12.62,12.261,12.62,300
2018-11-19,12.11,12.11,12.11,12.11,100
2018-11-20,12.08,12.275,12.07,12.1,1116
2018-11-21,12.0098,12.45,11.95,12.0,4710
2018-11-23,11.96,12.0498,11.95,11.95,1300
2018-11-27,12.01,12.42,12.01,12.42,200
2018-11-28,12.42,12.42,11.95,12.4,2835
2018-11-30,11.95,12.0,10.51,10.6,11401
2018-12-03,10.6,10.6,9.5988,9.95,9682
2018-12-04,9.1,9.1,7.59,8.5,39730
2018-12-06,8.87,8.99,7.7021,8.7972,14881
2018-12-07,8.5101,8.6792,8.51,8.5358,2356
2018-12-10,8.8,8.9,7.62,7.95,14178
2018-12-11,7.96,7.96,7.818,7.819,645
2018-12-12,8.05,9.0,8.05,9.0,18085
2018-12-13,8.94,11.0,8.94,10.75,6082
2018-12-14,10.74,10.75,8.66,9.6,1807
2018-12-17,10.3866,10.3866,9.0,9.31,2624
2018-12-18,10.17,10.3,9.1,9.23,3345
2018-12-19,9.23,10.6,8.5,8.8,6343
2018-12-20,8.5,8.8277,8.0,8.0,12281
2018-12-21,8.0,8.06,7.8,7.96,6050
2018-12-24,8.59,9.86,8.59,9.86,400
2018-12-26,9.63,9.74,8.42,9.48,4400
2018-12-27,9.85,10.64,8.76,10.64,6950
2018-12-28,10.6,10.6,8.59,10.3,4583
2018-12-31,10.6,11.5,9.6279,11.5,18130
2019-01-02,9.8,10.5,9.8,10.5,1017
2019-01-03,9.7977,10.076,9.7977,10.076,1200
2019-01-04,9.72,10.79,9.58,10.0,4271
2019-01-07,9.57,10.71,9.0,9.99,4377
2019-01-08,9.99,9.99,9.47,9.5,2463
2019-01-09,9.59,9.94,8.63,9.7459,1901
2019-01-10,9.21,10.525,8.74,9.88,2329
2019-01-11,9.5568,9.6,8.8,9.6,840
2019-01-14,9.1,9.2725,9.0,9.2725,2568
2019-01-15,9.15,9.15,8.56,8.8,2949
2019-01-16,8.6679,8.6679,8.55,8.55,1776
2019-01-17,8.75,8.81,8.61,8.81,788
2019-01-18,8.85,9.011,8.85,9.011,771
2019-01-22,9.09,9.22,8.67,8.72,5814
2019-01-23,9.7099,9.7099,8.52,8.7134,1800
2019-01-24,8.71,8.71,8.71,8.71,200
2019-01-25,8.7,8.7,8.7,8.7,442
2019-01-28,8.77,9.1292,8.49,8.9389,1198
2019-01-29,8.89,8.89,8.45,8.45,1449
2019-01-30,9.25,9.25,8.49,9.1515,2202
2019-01-31,8.89,8.89,8.36,8.36,1923
2019-02-01,8.0527,8.1501,8.0501,8.1501,1340
2019-02-04,8.24,8.24,8.24,8.24,100
2019-02-05,8.34,9.0549,8.34,9.0549,5750
2019-02-06,9.12,9.12,8.28,8.62,1392
2019-02-07,8.7127,8.9467,8.6638,8.9467,500
2019-02-08,8.97,8.97,8.55,8.55,1375
2019-02-11,8.5,8.57,8.3838,8.57,1054
2019-02-12,8.9,8.9,8.8974,8.8974,309
2019-02-13,8.45,8.982,8.45,8.72,1468
2019-02-14,8.42,8.72,8.42,8.47,998
2019-02-15,8.46,8.46,8.46,8.46,125
2019-02-19,8.38,8.46,8.36,8.46,3849
2019-02-20,8.4592,8.4592,8.2,8.2,2994
2019-02-21,8.22,8.3114,8.22,8.3114,401
2019-02-22,8.3415,8.7,8.3415,8.7,400
2019-02-25,8.75,9.0,8.31,8.95,4034
2019-02-26,8.4893,8.75,8.43,8.74,1900
2019-02-27,8.4542,8.75,8.4038,8.75,400
2019-02-28,8.45,8.68,8.4,8.68,2603
2019-03-01,8.48,8.7,8.42,8.6308,2500
2019-03-04,8.75,8.935,8.41,8.85,7361
2019-03-05,8.46,8.95,8.34,8.725,12842
2019-03-06,8.47,8.92,8.47,8.7,3195
2019-03-07,8.4,9.17,8.4,8.71,1792
2019-03-08,8.44,8.93,8.44,8.88,1500
2019-03-11,8.56,10.3,8.4025,10.3,17728
2019-03-12,9.78,10.0,8.92,8.92,3000
2019-03-13,8.7459,10.05,8.74,9.01,19077
2019-03-14,8.79,9.93,8.79,9.18,8200
2019-03-15,9.875,9.875,8.71,9.35,23016
2019-03-18,9.5103,10.5,9.5103,10.1,12824
2019-03-19,10.251,10.56,10.251,10.56,5883
2019-03-20,10.75,11.7445,10.16,10.6,4600
2019-03-21,10.0001,11.81,9.81,10.1,11645
2019-03-22,10.12,11.59,9.76,11.59,4713
2019-03-25,11.49,11.6,9.9838,10.63,1855
2019-03-26,11.76,11.76,10.4033,10.4033,788
2019-03-27,10.64,11.59,10.64,11.59,1615
2019-03-28,9.7501,12.43,9.7501,12.43,900
2019-03-29,10.75,11.523,10.75,11.4,1038
2019-04-01,11.84,12.4,10.6511,10.6511,11585
2019-04-02,11.53,12.2,11.1,11.1,3798
2019-04-03,10.83,10.83,10.83,10.83,100
2019-04-04,10.5895,10.84,10.5895,10.84,349
2019-04-05,11.0,11.3,10.6,11.3,1622
2019-04-08,11.191,11.3262,11.191,11.3262,400
2019-04-09,11.0,11.0,10.015,10.23,2555
2019-04-10,10.36,10.45,10.15,10.15,5069
2019-04-11,10.2,10.4501,10.1,10.1,6774
2019-04-12,9.97,10.13,9.97,10.13,3451
2019-04-15,10.03,10.95,10.03,10.7005,1800
2019-04-16,10.5,10.5,9.8473,9.8473,6189
2019-04-17,9.86,9.9419,9.5501,9.78,1907
2019-04-18,9.65,9.65,9.65,9.65,600
2019-04-23,10.55,10.55,10.0855,10.0855,300
2019-04-24,10.054,10.45,10.054,10.45,200
2019-04-25,10.07,10.07,10.07,10.07,100
2019-04-26,10.32,10.38,9.7988,10.0,975
2019-04-29,9.9,10.0,9.9,9.9,1074
2019-04-30,9.76,9.77,8.8,8.81,15015
2019-05-01,9.5,9.5,9.5,9.5,113
2019-05-02,8.985,10.37,8.985,10.2904,990
2019-05-03,10.1037,10.1037,9.6607,9.6607,280
2019-05-06,8.8044,10.2,8.8044,9.6074,3270
2019-05-07,9.6349,9.78,9.6,9.78,727
2019-05-08,9.23,10.1,9.23,10.1,698
2019-05-09,9.59,9.59,9.2,9.2,632
2019-05-10,9.2341,9.2341,9.21,9.21,200
2019-05-13,9.5,9.9,9.5,9.57,561
2019-05-14,9.76,9.76,9.76,9.76,100
2019-05-15,10.17,10.17,9.4,9.4,305
2019-05-16,9.3,9.8,9.3,9.4,3809
2019-05-20,9.4,9.4,9.4,9.4,100
2019-05-21,9.28,9.28,8.8,9.04,1519
2019-05-23,9.2729,9.2729,9.2729,9.2729,100
2019-05-24,9.41,9.41,9.32,9.32,827
2019-05-28,9.7,9.7,9.2,9.2,400
2019-05-29,9.45,9.45,9.45,9.45,500
2019-05-31,8.7,8.7,8.7,8.7,100
2019-06-03,8.7,9.71,8.7,9.0035,1500
2019-06-04,9.03,9.03,9.03,9.03,355
2019-06-05,8.9,8.9,8.3706,8.3706,1631
2019-06-06,8.7,8.8,8.7,8.8,1400
2019-06-07,9.2,9.2,8.8776,9.1575,1534
2019-06-10,8.52,8.9554,8.52,8.57,2900
2019-06-11,8.4,8.9,8.4,8.5,3175
2019-06-12,8.82,8.82,7.43,7.43,1400
2019-06-13,7.91,8.1,7.5,7.78,8327
2019-06-14,7.65,7.66,6.915,7.155,13509
2019-06-17,6.94,7.1025,6.9325,7.1,1234
2019-06-18,6.94,7.55,6.94,7.24,860
2019-06-19,6.9427,7.33,6.93,7.33,4019
2019-06-20,7.4087,11.3269,7.0,9.89,15673
2019-06-21,10.0,11.34,9.3923,11.34,18584
2019-06-24,11.256,11.256,9.8,11.12,10173
2019-06-25,10.3,11.3,10.2812,11.1,9692
2019-06-26,10.75,11.1,10.75,11.09,5800
2019-06-27,11.09,11.09,10.66,10.7,12366
2019-06-28,10.69,10.7,10.17,10.17,2378
2019-07-01,10.23,10.64,10.0,10.57,1235
2019-07-02,10.2578,10.57,10.2071,10.57,2987
2019-07-03,10.05,10.67,10.05,10.62,1013
2019-07-05,10.235,10.7,10.235,10.3,32600
2019-07-08,10.1,10.28,10.1,10.28,364
2019-07-09,10.4,10.4,10.33,10.33,200
2019-07-10,10.4,10.5,10.3,10.3,2160
2019-07-11,9.28,10.005,9.28,10.005,800
2019-07-12,9.67,10.1,9.61,9.75,1354
2019-07-15,10.31,10.31,10.31,10.31,100
2019-07-18,10.1,10.1,9.81,9.81,200
2019-07-19,10.1211,10.1211,9.81,9.81,300
