Date,Open,High,Low,Close,Volume
2012-08-31,16.39,16.55,16.03,16.51,139471
2012-09-04,16.41,16.5,15.77,16.28,226933
2012-09-05,16.19,16.28,15.9,16.28,236763
2012-09-06,16.16,16.97,16.06,16.76,199015
2012-09-07,16.97,17.17,16.75,16.96,247528
2012-09-10,16.96,17.03,16.17,16.98,240309
2012-09-11,16.84,16.975,16.63,16.67,158997
2012-09-12,16.59,17.19,16.59,16.94,142375
2012-09-13,16.92,17.48,16.8,17.19,214021
2012-09-14,17.5,19.35,17.36,18.97,3164993
2012-09-17,18.9,19.62,18.65,19.59,564204
2012-09-18,19.48,19.5,18.85,19.37,485873
2012-09-19,19.29,20.06,19.11,19.93,655931
2012-09-20,19.8,20.48,19.64,20.35,527627
2012-09-21,19.51,20.9,19.51,20.59,756378
2012-09-24,20.61,20.93,20.38,20.5,482572
2012-09-25,20.57,20.78,20.14,20.26,546383
2012-09-26,20.27,20.34,19.75,19.98,293946
2012-09-27,20.0,20.12,19.61,20.05,366034
2012-09-28,19.88,20.1,19.74,19.92,307999
2012-10-01,20.02,20.44,19.81,19.94,274262
2012-10-02,20.07,20.2,19.73,19.95,144521
2012-10-03,20.0,20.29,19.8,19.99,166940
2012-10-04,20.1,20.2,19.62,20.15,246851
2012-10-05,20.31,20.57,20.11,20.27,319151
2012-10-08,20.16,20.16,19.79,20.1,334789
2012-10-09,20.04,20.12,19.5,19.67,162831
2012-10-10,19.75,19.83,19.12,19.54,244431
2012-10-11,19.82,20.05,19.55,19.68,218937
2012-10-12,19.62,19.8,18.93,19.13,294986
2012-10-15,19.12,19.81,19.11,19.55,145888
2012-10-16,19.84,20.0,19.6,19.98,347765
2012-10-17,19.97,20.2,19.74,20.17,219338
2012-10-18,20.05,20.45,19.76,19.77,189671
2012-10-19,19.8,19.82,19.0,19.19,213012
2012-10-22,19.18,19.364,19.05,19.28,105022
2012-10-23,19.0,19.37,18.64,19.17,239675
2012-10-24,19.33,19.6,19.12,19.57,252159
2012-10-25,19.84,19.85,19.36,19.48,276782
2012-10-26,16.78,19.89,16.78,19.09,547460
2012-10-31,19.16,19.22,18.83,19.08,327652
2012-11-01,19.17,19.78,19.04,19.72,483431
2012-11-02,19.88,20.22,19.56,19.7,245451
2012-11-05,19.76,20.24,19.575,20.2,307596
2012-11-06,20.16,20.74,20.12,20.63,379174
2012-11-07,20.31,20.45,19.31,19.5,418457
2012-11-08,19.47,19.48,18.87,19.02,173837
2012-11-09,19.02,19.24,18.78,19.09,205473
2012-11-12,19.15,19.43,18.801,19.01,166679
2012-11-13,18.85,18.94,18.56,18.7,302561
2012-11-14,18.82,18.97,18.07,18.17,329320
2012-11-15,18.19,18.696,18.0,18.5,210250
2012-11-16,18.48,18.58,18.0,18.29,154264
2012-11-19,18.56,18.76,18.33,18.76,551715
2012-11-20,18.7,19.04,18.7,18.98,152395
2012-11-21,19.04,19.33,19.0,19.29,134086
2012-11-23,19.29,19.49,19.24,19.47,85372
2012-11-26,19.47,19.56,19.35,19.56,166129
2012-11-27,19.56,19.72,19.37,19.37,194330
2012-11-28,19.24,19.71,19.135,19.68,215675
2012-11-29,19.85,20.17,19.77,19.98,272258
2012-11-30,20.05,20.07,19.75,19.93,334345
2012-12-03,20.08,20.24,19.63,19.71,414476
2012-12-04,19.71,20.0,19.424,19.8,349841
2012-12-05,19.89,19.97,19.54,19.57,294565
2012-12-06,19.38,19.71,19.35,19.55,295659
2012-12-07,19.73,19.82,19.33,19.41,269378
2012-12-10,19.4,19.77,19.33,19.53,307137
2012-12-11,19.53,19.73,19.3,19.69,388382
2012-12-12,19.8,19.8,19.235,19.29,180061
2012-12-13,19.32,19.44,18.78,18.85,207285
2012-12-14,18.85,19.13,18.76,19.09,133053
2012-12-17,19.0,19.73,18.87,19.7,352884
2012-12-18,19.84,20.04,19.652,19.88,358265
2012-12-19,19.84,19.98,19.61,19.64,253621
2012-12-20,19.6,19.78,19.5,19.78,275634
2012-12-21,19.36,19.89,19.36,19.8,901936
2012-12-24,19.9,20.03,19.53,19.82,149867
2012-12-26,19.82,19.95,19.4,19.52,134270
2012-12-27,19.51,19.7,19.25,19.63,188373
2012-12-28,19.44,19.78,19.37,19.56,162500
2012-12-31,19.55,20.37,19.49,20.28,280853
2013-01-02,20.4,22.05,20.4,22.02,1146575
2013-01-03,22.23,22.59,22.08,22.26,892616
