Date,Open,High,Low,Close,Volume
2023-10-02,24.8598,24.8598,24.8598,24.8598,1006
2023-10-11,25.168,25.3371,25.168,25.3371,473192
2023-10-13,24.9095,24.9095,24.9095,24.9095,151
2023-10-16,24.8995,24.9095,24.8598,24.9095,152333
2023-10-17,24.82,24.82,24.7753,24.8101,1610
2023-10-19,24.2631,24.2631,24.2631,24.2631,1006
2023-10-20,24.0245,24.0245,24.0245,24.0245,1006
2023-10-23,23.8654,24.0046,23.7162,23.9698,5222
2023-10-24,24.1538,24.3427,24.1538,24.283,6841
2023-10-25,23.935,23.935,23.925,23.925,2011
2023-10-26,23.7162,23.7162,23.7162,23.7162,101
2023-10-27,23.8853,23.8853,23.7162,23.7162,3251
2023-10-30,24.0145,24.1736,24.0046,24.1736,15016
2023-10-31,23.925,23.925,23.8853,23.8853,21725
2023-11-01,23.7063,23.8853,23.7063,23.8853,2509
2023-11-02,24.2929,24.293,24.2582,24.2929,4083
2023-11-07,24.9493,24.9493,24.9493,24.9493,101
2023-11-08,24.815,24.8697,24.7902,24.8299,11966
2023-11-09,24.6907,24.6907,24.5217,24.5615,6739
2023-11-10,24.5117,24.7305,24.5117,24.7305,705
2023-11-13,24.7703,24.82,24.7554,24.7554,23158
2023-11-14,25.2078,25.2874,25.2078,25.2659,9699
2023-11-15,25.4216,25.5409,25.4166,25.4697,4839
2023-11-16,25.1382,25.1382,25.0388,25.0388,6523
2023-11-17,25.1074,25.1074,25.0388,25.0388,18856
2023-11-20,25.3469,25.4465,25.3122,25.4265,5120
2023-11-21,25.3769,25.3769,25.2098,25.2277,2662
2023-11-22,25.1091,25.1879,25.1087,25.1879,1651
2023-11-24,25.168,25.1879,25.1183,25.1879,1178
2023-11-27,25.0483,25.0686,24.9791,25.0388,4096
2023-11-28,25.0189,25.1183,24.999,25.1183,8458
2023-11-29,24.9692,24.9791,24.877,24.877,1764
2023-11-30,24.8568,24.8568,24.8101,24.8399,3289
2023-12-01,25.357,25.357,24.635,24.8697,14505
2023-12-04,24.5505,24.5714,24.4918,24.5713,4777
2023-12-05,24.3327,24.3526,24.3326,24.348,3519
2023-12-06,24.3228,24.3228,24.2631,24.2631,5187
2023-12-07,24.3778,24.4024,24.3641,24.3676,4369
2023-12-08,24.3129,24.3427,24.3129,24.3148,1705
2023-12-11,24.3626,24.4521,24.3626,24.452,1683
2023-12-12,24.3576,24.4819,24.3576,24.462,24311
2023-12-13,24.2333,24.5679,24.2333,24.5679,880681
2023-12-14,24.81,24.8498,24.7796,24.8087,5558
2023-12-15,24.7703,24.8399,24.7355,24.7404,8077
2023-12-18,24.5416,24.641,24.5416,24.6245,17594
2023-12-19,24.8498,24.8498,24.8002,24.82,140424
2023-12-20,24.5913,24.6112,24.3924,24.3924,42147
2023-12-21,24.7305,24.8299,24.7305,24.8299,31744
2023-12-22,24.7106,24.7206,24.6311,24.7205,9833
2023-12-26,24.8778,24.8896,24.8081,24.8895,7596
2023-12-27,24.9493,24.989,24.9244,24.9344,15481
2023-12-28,25.3769,25.3868,25.3072,25.3371,6649
2023-12-29,25.2973,25.3271,25.2575,25.2973,4497
2024-01-02,24.8,24.8,24.6808,24.7603,2892
2024-01-03,24.6311,24.651,24.5963,24.6251,2113
2024-01-04,24.5018,24.5812,24.4918,24.5117,7527
2024-01-05,24.5316,24.5615,24.4421,24.452,39870
2024-01-08,24.4024,24.472,24.3725,24.4719,3913
2024-01-09,24.1426,24.1426,24.0543,24.114,5186
2024-01-10,24.104,24.114,24.084,24.084,11163
2024-01-11,24.0841,24.2333,24.0344,24.2133,12054
2024-01-12,24.4421,24.4421,24.1637,24.2737,6954
2024-01-16,23.8654,23.8753,23.676,23.7461,8313
2024-01-17,23.1842,23.3581,23.1594,23.3284,21774
2024-01-18,23.5769,23.7461,23.5769,23.6565,6075
2024-01-19,23.6864,23.9449,23.6864,23.9448,9349
2024-01-22,23.7841,23.7858,23.751,23.7857,5746
2024-01-23,23.8554,23.9443,23.8554,23.9443,4350
2024-01-24,24.2035,24.2234,24.2035,24.2234,2351
2024-01-25,24.1836,24.2134,24.1835,24.1835,8199
2024-01-26,24.1538,24.1935,24.1488,24.1935,1400
2024-01-29,24.114,24.2134,24.0841,24.2133,8938
2024-01-30,23.9947,23.9947,23.8654,23.9172,73218
2024-01-31,23.8654,23.9449,23.6963,23.7262,127778
2024-02-01,23.8157,23.9151,23.8058,23.9052,9398
2024-02-02,23.8206,23.915,23.8157,23.8853,2557
2024-02-05,23.9947,24.1339,23.9847,24.1338,31044
2024-02-06,24.5217,24.5615,24.5018,24.5267,3595
2024-02-07,24.5714,24.651,24.5714,24.6405,10407
2024-02-08,24.5913,24.6708,24.5913,24.6708,2012
2024-02-09,24.5316,24.7007,24.5316,24.6908,2446
2024-02-12,24.7206,24.8101,24.7206,24.7603,5339
2024-02-13,24.4024,24.4024,24.2731,24.3128,5761
2024-02-14,24.6012,24.7106,24.6012,24.6709,3235
2024-02-15,24.7703,24.7703,24.7007,24.746,4790
2024-02-16,24.8598,24.8598,24.7904,24.7904,1377
2024-02-20,24.7105,24.7106,24.6758,24.7057,4383
2024-02-21,24.6708,24.6774,24.641,24.6774,1174
2024-02-22,24.999,25.0388,24.9294,25.0093,1605
2024-02-23,25.0487,25.0487,25.0189,25.0387,1609
2024-02-26,24.8797,24.9493,24.8697,24.9492,4836
