Date,Open,High,Low,Close,Volume
2019-11-01,0.65,0.65,0.65,0.65,150000
2019-11-12,0.65,0.65,0.65,0.65,100000
2019-11-13,0.75,0.75,0.65,0.65,120100
2019-11-18,0.7,0.7,0.7,0.7,225000
2019-11-19,0.75,0.8,0.75,0.8,2200
2019-11-21,0.75,0.75,0.75,0.75,229600
2019-12-04,0.8,0.82,0.8,0.82,548100
2019-12-13,0.9,0.9,0.9,0.9,25000
2019-12-20,0.9,0.9,0.9,0.9,10000
2020-01-02,0.85,0.85,0.85,0.85,90000
2020-01-06,0.9,0.9,0.9,0.9,800
2020-01-10,0.9,0.9,0.9,0.9,1000
2020-01-13,0.85,0.85,0.85,0.85,50000
2020-01-16,0.9,0.942,0.9,0.942,40100
2020-01-21,0.88,0.88,0.88,0.88,150000
2020-01-22,0.88,0.89,0.88,0.89,325000
2020-01-24,0.88,0.88,0.88,0.88,900
2020-02-12,0.88,0.88,0.88,0.88,125000
2020-02-14,0.9,0.9,0.9,0.9,10000
2020-02-20,0.86,0.86,0.85,0.85,5000
2020-02-21,0.94,0.94,0.89,0.9,1000
2020-02-26,0.8,0.8,0.8,0.8,50000
2020-02-27,0.8,0.87,0.77,0.87,10500
2020-03-04,0.87,0.95,0.87,0.95,200
2020-03-05,0.85,0.85,0.85,0.85,8800
2020-03-10,0.8,0.8,0.8,0.8,27500
2020-03-27,0.61,0.61,0.51,0.51,600
2020-04-02,0.5,0.5,0.5,0.5,103939
2020-04-06,0.45,0.45,0.45,0.45,115100
2020-04-07,0.45,0.45,0.45,0.45,62800
2020-04-28,0.6,0.6,0.6,0.6,4000
2020-05-01,0.4,0.55,0.4,0.55,10483
2020-05-06,0.57,0.57,0.57,0.57,100
2020-05-19,0.47,0.47,0.45,0.45,800
2020-05-20,0.45,0.45,0.45,0.45,162500
2020-05-28,0.55,0.55,0.55,0.55,100
2020-05-29,0.5,0.5,0.5,0.5,31273
2020-06-01,0.5,0.5,0.5,0.5,1000
2020-06-02,0.55,0.55,0.55,0.55,796
2020-06-05,0.575,0.575,0.575,0.575,200
2020-06-09,0.5,0.6,0.5,0.575,51000
2020-06-11,0.8,0.8,0.675,0.675,300
2020-06-12,0.63,0.63,0.55,0.55,3400
2020-06-15,0.5,0.83,0.5,0.6755,106000
2020-06-16,0.8,0.8,0.68,0.68,2500
2020-06-17,0.7,0.789,0.6997,0.789,3479
2020-06-18,0.799,0.8,0.7801,0.7801,80450
2020-06-19,0.82,0.82,0.7899,0.7899,12100
2020-06-22,0.79,0.82,0.755,0.7775,23501
2020-06-23,0.75,0.8,0.7,0.7,141199
2020-06-24,0.8,0.85,0.6894,0.6895,21151
2020-06-25,0.69,0.69,0.65,0.6853,8550
2020-06-26,0.65,0.71,0.65,0.6765,9800
2020-06-29,0.8794,1.0,0.8754,1.0,2400
2020-06-30,1.0,1.5,1.0,1.5,35475
2020-07-01,0.95,1.07,0.85,1.06,20000
2020-07-02,1.075,1.5,1.075,1.28,21253
2020-07-06,1.3,1.3,1.185,1.185,6000
2020-07-07,1.0501,1.0902,1.03,1.0902,1834
2020-07-08,1.01,1.0226,1.0,1.0226,1200
2020-07-10,1.264,1.3,1.05,1.29,5449
2020-07-13,1.1,1.12,1.05,1.12,8209
2020-07-14,1.12,1.13,1.0,1.0,29883
2020-07-15,1.03,1.06,1.03,1.06,5700
2020-07-16,1.07,1.1,1.07,1.1,500
2020-07-17,1.15,1.15,1.15,1.15,10000
2020-07-20,1.15,1.15,0.9602,0.99,4519
2020-07-21,1.02,1.06,1.02,1.06,2500
2020-07-22,1.02,1.035,1.02,1.03,9015
2020-07-23,1.02,1.02,1.0003,1.01,1203
2020-07-24,1.01,1.01,1.0,1.01,12320
2020-07-28,0.95,0.9532,0.945,0.945,1498
2020-07-29,1.0,1.01,0.98,0.995,7650
2020-07-30,0.98,0.98,0.94,0.94,7050
2020-07-31,0.92,0.92,0.8475,0.86,6800
2020-08-03,0.8,0.85,0.8,0.85,300
2020-08-04,0.9,1.01,0.9,1.0,15112
2020-08-05,1.0,1.0,0.9,0.9,7563
2020-08-06,0.9,0.9,0.8585,0.8999,3875
2020-08-07,0.85,0.85,0.8,0.8,1000
2020-08-10,0.9,1.025,0.875,0.94,223019
2020-08-11,0.91,0.95,0.91,0.95,3300
2020-08-17,0.91,0.91,0.89,0.89,16600
2020-08-18,0.85,0.85,0.82,0.83,22545
2020-08-19,0.81,0.81,0.76,0.76,8458
2020-08-20,0.78,0.78,0.7425,0.7425,96000
2020-08-21,0.74,0.85,0.74,0.85,4415
2020-08-24,0.75,0.8,0.75,0.7999,29900
2020-08-25,0.85,0.85,0.72,0.72,149894
2020-08-26,0.77,0.795,0.74,0.795,78051
2020-08-27,0.78,0.85,0.78,0.815,42287
2020-08-28,0.81,0.8343,0.79,0.79,68595
2020-08-31,0.9,0.9,0.83,0.83,1000
2020-09-01,0.81,0.8293,0.785,0.7875,66442
2020-09-02,0.82,0.9,0.81,0.84,55025
2020-09-03,0.885,0.9,0.85,0.8999,30988
2020-09-04,0.87,1.1499,0.86,1.06,46545
2020-09-08,0.87,1.03,0.82,0.97,73744
2020-09-09,0.99,0.99,0.9653,0.9653,16200
2020-09-10,0.9999,1.0,0.9,0.9,17715
2020-09-11,0.88,0.905,0.841,0.88,70635
2020-09-14,0.9899,0.9899,0.925,0.9499,12820
2020-09-15,0.9,0.9125,0.8599,0.8599,126051
2020-09-16,0.95,1.0551,0.85,0.86,60938
2020-09-17,1.1399,1.14,1.01,1.01,80441
