Date,Open,High,Low,Close,Volume
2021-05-18,24.3861,24.3861,24.3668,24.3668,507
2021-05-19,24.7046,25.0906,24.7046,25.0906,3946
2021-05-20,24.8493,25.2064,24.8493,25.1967,14819
2021-05-21,25.0858,25.0858,25.0858,25.0858,202
2021-05-24,25.2739,25.3222,25.2739,25.3222,1432
2021-05-25,25.2064,25.3125,25.1871,25.3125,4409
2021-05-26,25.1884,25.7177,25.1884,25.7177,6748
2021-05-27,25.3994,25.6503,25.3994,25.438,1348
2021-06-01,25.5731,25.6213,25.4891,25.4891,1195
2021-06-02,25.4862,25.6212,25.4862,25.5731,2990
2021-06-03,25.5789,25.5789,25.3318,25.5731,783
2021-06-04,25.5924,25.6503,25.4525,25.6495,3389
2021-06-07,25.6213,25.6696,25.5731,25.5731,2254
2021-06-08,25.5827,25.6696,25.5731,25.6213,1039
2021-06-09,25.5827,25.5924,25.4766,25.4963,3477
2021-06-10,25.6599,25.6696,25.5731,25.5731,1309
2021-06-14,25.5924,25.6695,25.245,25.245,17829
2021-06-15,25.4766,25.6599,25.3511,25.6503,4837
2021-06-16,25.5731,25.6696,25.5731,25.6696,2072
2021-06-17,25.6696,25.6701,25.6696,25.6701,864
2021-06-18,25.7178,25.7178,25.7178,25.7178,752
2021-06-21,25.6792,25.7178,25.5731,25.7178,441
2021-06-22,25.5827,25.5827,25.2353,25.5731,8626
2021-06-23,25.6213,25.6648,25.3415,25.6648,6952
2021-06-24,25.5248,25.602,25.409,25.602,3834
2021-06-28,25.5731,25.6117,25.5731,25.602,726
2021-06-29,25.602,25.602,25.602,25.602,104
2021-06-30,25.7092,25.7092,25.7092,25.7092,104
2021-07-01,25.7564,25.7564,25.6956,25.7275,2996
2021-07-02,25.7406,25.7564,25.7371,25.7564,811
2021-07-06,25.6213,25.6937,25.5731,25.6937,621
2021-07-07,25.7661,25.7661,25.766,25.766,1019
2021-07-08,25.7236,25.7661,25.6744,25.7656,8806
2021-07-09,25.7661,25.7661,25.7658,25.7658,6786
2021-07-12,25.7082,25.7661,25.7082,25.7661,1710
2021-07-13,25.7437,25.7661,25.7082,25.7178,8071
2021-07-14,25.6599,25.7854,25.6503,25.7661,5269
2021-07-15,25.7661,25.7661,25.6213,25.7564,5492
2021-07-16,25.7853,25.7853,25.7121,25.73,2486
2021-07-19,25.7275,25.7275,25.5827,25.7274,2061
2021-07-20,25.7178,25.7275,25.6484,25.7121,2487
2021-07-21,25.5731,25.7178,25.5731,25.6696,1819
2021-07-22,25.6472,25.6472,25.52,25.5685,1140
2021-07-23,25.6696,25.7275,25.6696,25.7275,1512
2021-07-26,25.7082,25.7275,25.6213,25.7275,2599
2021-07-27,25.7275,25.7275,25.6696,25.6696,3601
2021-07-29,25.7178,25.7275,25.6406,25.7063,726
2021-07-30,25.7275,25.7275,25.5731,25.7275,7001
2021-08-02,25.4862,25.6696,25.0906,25.4766,6334
2021-08-03,25.5248,25.6695,25.5248,25.6695,828
2021-08-04,25.6696,25.6696,25.2353,25.6502,1683
2021-08-06,25.5248,25.6696,25.5248,25.6696,391
2021-08-09,25.6406,25.6696,25.4058,25.5731,1039
2021-08-10,25.5248,25.5248,25.4988,25.5248,5208
2021-08-11,25.5249,25.5249,25.3415,25.3415,3057
2021-08-13,25.3704,25.4959,25.3415,25.3463,5578
2021-08-16,25.3511,25.4959,25.3222,25.3801,4509
2021-08-17,25.4862,25.5634,25.4862,25.5441,1970
2021-08-18,25.3415,25.5441,25.3334,25.5441,1243
2021-08-19,25.3697,25.5731,25.3697,25.5731,933
2021-08-20,25.3801,25.3801,25.3608,25.3608,4413
2021-08-23,25.5055,25.5828,25.5055,25.5828,6848
2021-08-24,25.5827,25.7178,25.4187,25.5731,10057
2021-08-25,25.6213,25.6696,25.4476,25.4476,3824
2021-08-26,25.4573,25.52,25.3802,25.52,2686
2021-08-27,25.3994,25.4766,25.3897,25.4766,900
2021-08-30,25.4766,25.6213,25.4766,25.5575,3668
2021-08-31,25.4766,25.631,25.4766,25.5693,2669
2021-09-01,25.493,25.6213,25.493,25.6213,4335
2021-09-03,25.4862,25.6069,25.4766,25.5152,6928
2021-09-08,25.4766,25.4766,25.4573,25.4573,622
2021-09-09,25.5634,25.5731,25.4476,25.4476,7813
2021-09-10,25.5634,25.5731,25.4187,25.5248,7631
2021-09-13,25.7178,25.7178,25.7178,25.7178,968
2021-09-15,25.7178,25.7757,25.6985,25.7757,3112
2021-09-16,25.5779,25.5779,25.5779,25.5779,104
2021-09-17,25.6891,25.7661,25.6891,25.7661,1140
2021-09-20,25.7854,25.7854,25.7116,25.7116,280
2021-09-21,25.6176,25.6176,25.6176,25.6176,1554
2021-09-22,25.7178,25.824,25.7178,25.7178,5213
2021-09-23,26.0363,26.0749,25.6829,25.6829,24507
2021-09-24,25.5368,25.5368,25.5368,25.5368,114
2021-09-28,25.245,25.245,25.245,25.245,518
2021-09-29,25.5248,25.5248,25.3511,25.3511,1761
2021-09-30,25.4814,25.7275,25.3994,25.5779,2476
2021-10-01,25.6455,25.7661,25.6455,25.7661,554
2021-10-04,25.7661,25.7661,25.7661,25.7661,104
2021-10-05,25.6877,25.706,25.6792,25.706,2632
2021-10-06,25.7661,25.7661,25.7645,25.7645,1243
2021-10-07,25.6791,26.0363,25.6791,26.0363,2380
2021-10-08,26.0556,26.0556,26.0542,26.0542,2230
2021-10-11,25.9205,25.9205,25.8306,25.8306,824
2021-10-12,25.8626,25.8626,25.8625,25.8625,207
2021-10-13,25.8626,25.9855,25.8068,25.9855,1150
2021-10-14,25.7275,25.7275,25.4397,25.7275,1968
2021-10-15,25.4767,25.4862,25.4766,25.4766,2072
2021-10-18,25.4766,25.4766,25.4766,25.4766,218
2021-10-20,25.3994,25.4848,25.3704,25.3704,2176
2021-10-22,25.3704,25.3704,25.3511,25.3511,311
2021-10-25,25.3608,25.3608,25.3608,25.3608,104
2021-10-26,25.4235,25.4235,25.4235,25.4235,104
2021-10-27,25.5923,25.5923,25.3222,25.458,5963
2021-10-28,25.3801,25.5152,25.3801,25.5152,874
2021-10-29,25.4187,25.4417,25.2643,25.4139,4841
2021-11-01,25.4187,25.5055,25.3801,25.4626,965
2021-11-02,25.3318,25.3318,25.3318,25.3318,104
2021-11-03,25.3415,25.3415,25.2064,25.2884,3567
2021-11-04,25.2353,25.3994,25.2353,25.3994,829
2021-11-05,25.2836,25.3125,25.2353,25.2479,830
2021-11-08,25.3222,25.3874,25.3222,25.3629,3211
2021-11-09,25.3415,25.4766,25.3077,25.409,3165
2021-11-10,25.3318,25.3318,25.2353,25.2643,3336
2021-11-12,25.3221,25.3221,25.2932,25.2932,311
2021-11-15,25.3125,25.3125,25.1923,25.1923,414
2021-11-16,25.2836,25.2836,25.0906,25.0906,445
2021-11-17,25.1678,25.1678,24.9941,25.0609,1865
2021-11-18,25.1678,25.1678,25.1388,25.1678,415
2021-11-19,25.0906,25.1678,25.0906,25.1678,933
2021-11-22,25.1678,25.1678,24.9941,25.1267,841
2021-11-23,25.1291,25.4283,25.1258,25.4283,3792
2021-11-24,25.4187,25.4187,25.0423,25.0423,10737
2021-11-26,25.052,25.052,25.052,25.052,207
2021-11-29,25.2353,25.3318,25.2353,25.3318,2374
2021-11-30,25.2363,25.3308,25.0906,25.3308,3522
2021-12-01,25.2353,25.2353,25.2353,25.2353,104
2021-12-03,25.2836,25.3801,25.2064,25.2932,1497
2021-12-06,25.3608,25.3801,25.1871,25.3801,4814
2021-12-07,25.1002,25.1485,25.0616,25.1195,2798
2021-12-08,25.1195,25.2932,25.1195,25.2926,1345
2021-12-09,25.2836,25.2836,25.2836,25.2836,207
2021-12-13,25.245,25.245,25.2353,25.245,856
2021-12-14,25.3704,25.4283,25.2064,25.2102,2073
2021-12-15,25.2546,25.3177,25.2353,25.2984,1800
2021-12-16,25.3077,25.3608,25.3077,25.3171,1399
2021-12-17,25.3077,25.4283,25.2836,25.2836,1270
2021-12-20,25.2037,25.3608,25.0327,25.3608,3561
2021-12-21,25.3317,25.3318,25.3125,25.3318,1373
2021-12-22,25.2353,25.4283,25.1871,25.1871,2296
2021-12-23,25.2305,25.4283,25.1967,25.1967,1249
2021-12-27,25.356,25.6985,25.356,25.5248,2990
2021-12-28,25.4737,25.7468,25.4737,25.7178,6254
2021-12-29,25.5248,25.5248,25.4283,25.4737,594
2021-12-30,25.4091,25.6519,25.4091,25.6519,2014
2021-12-31,25.7275,25.7468,25.7275,25.7383,1191
2022-01-03,25.7661,25.7661,25.6696,25.7661,726
2022-01-04,25.7661,25.7661,25.7661,25.7661,104
2022-01-06,25.5731,25.6213,25.4766,25.6213,1341
2022-01-07,25.6213,25.6213,25.6213,25.6213,104
2022-01-10,25.6213,25.6213,25.438,25.438,761
