Date,Open,High,Low,Close,Volume
2022-01-28,9.55,9.55,9.55,9.55,100
2022-02-01,9.7,9.7,9.7,9.7,800000
2022-02-02,9.66,9.92,9.66,9.78,920
2022-02-04,9.97,9.97,9.97,9.97,100
2022-02-09,9.97,9.97,9.76,9.76,984
2022-02-11,9.76,9.76,9.76,9.76,100
2022-02-16,9.8,9.8,9.8,9.8,725
2022-02-17,9.76,9.76,9.76,9.76,102
2022-02-22,9.92,9.92,9.76,9.76,299
2022-02-25,9.76,9.76,9.76,9.76,1000
2022-02-28,9.78,9.78,9.76,9.76,1200
2022-03-03,9.75,9.75,9.75,9.75,298
2022-03-07,9.77,9.77,9.77,9.77,57066
2022-03-09,9.76,9.76,9.75,9.75,5800
2022-03-16,9.76,9.78,9.75,9.78,28360
2022-03-21,9.7,9.7,9.7,9.7,100
2022-03-25,9.82,9.82,9.76,9.79,517142
2022-03-28,9.84,9.84,9.78,9.78,1046
2022-03-29,9.78,9.78,9.78,9.78,61000
2022-03-30,9.785,9.785,9.77,9.78,49700
2022-04-01,9.78,9.79,9.77,9.79,183991
2022-04-04,9.83,9.83,9.78,9.8,123100
2022-04-05,9.83,9.83,9.77,9.77,31046
2022-04-06,9.78,9.83,9.78,9.83,152978
2022-04-07,9.79,9.79,9.79,9.79,100
2022-04-08,9.8,9.8,9.79,9.79,500
2022-04-11,9.79,9.83,9.79,9.83,400
2022-04-12,9.85,9.85,9.8,9.8,10500
2022-04-13,9.8,9.8,9.8,9.8,15000
2022-04-14,9.8,9.8,9.8,9.8,608607
2022-04-18,9.82,9.82,9.8,9.82,6292
2022-04-19,9.82,9.82,9.8,9.82,700
2022-04-20,9.82,9.82,9.81,9.82,296118
2022-04-28,9.88,9.88,9.88,9.88,100
2022-05-02,9.835,9.835,9.835,9.835,1700
2022-05-10,9.84,9.84,9.84,9.84,191
2022-05-11,9.79,9.79,9.79,9.79,786
2022-05-16,9.8166,9.8166,9.8166,9.8166,550
2022-05-20,9.7916,9.7916,9.7916,9.7916,1200
2022-05-31,9.76,9.9,9.76,9.77,126135
2022-06-01,9.7992,9.7992,9.7992,9.7992,545
2022-06-03,9.81,9.81,9.78,9.78,500
2022-06-07,9.78,9.79,9.78,9.79,200
2022-06-08,9.83,9.83,9.79,9.79,415
2022-06-10,9.8,9.8,9.79,9.79,204
2022-06-13,9.79,9.81,9.79,9.81,4620
2022-06-16,9.76,9.79,9.76,9.79,595
2022-06-17,9.81,9.81,9.79,9.79,940
2022-06-21,9.78,9.78,9.78,9.78,900000
2022-06-22,9.79,9.79,9.79,9.79,100
2022-06-24,9.9,9.9,9.85,9.85,200
2022-06-28,9.81,9.81,9.81,9.81,100
2022-06-30,9.8,9.85,9.8,9.8,800
2022-07-05,9.825,9.825,9.825,9.825,286915
2022-07-13,9.83,9.83,9.83,9.83,2000
2022-07-14,9.83,9.83,9.83,9.83,12830
2022-07-15,9.83,9.83,9.83,9.83,76700
2022-07-18,9.83,9.83,9.83,9.83,25000
2022-07-19,9.83,9.83,9.83,9.83,25000
2022-07-20,9.82,9.82,9.82,9.82,820
2022-07-21,9.82,9.82,9.82,9.82,10910
2022-07-22,9.83,9.84,9.83,9.83,1925000
2022-07-25,9.85,9.85,9.85,9.85,167962
2022-07-26,9.84,9.84,9.84,9.84,100
2022-07-27,9.86,9.88,9.83,9.83,2500
2022-07-29,9.83,9.83,9.83,9.83,100
2022-08-01,9.83,9.83,9.83,9.83,100
2022-08-03,9.93,9.93,9.86,9.865,62204
2022-08-04,9.875,9.89,9.87,9.89,39455
2022-08-05,9.89,9.89,9.89,9.89,18500
2022-08-08,9.9,9.9,9.89,9.89,145500
2022-08-09,9.88,9.89,9.88,9.89,5100
2022-08-10,9.92,9.92,9.88,9.895,151904
2022-08-11,9.92,9.92,9.88,9.89,950
2022-08-12,9.89,9.9,9.89,9.9,87100
2022-08-15,9.87,9.9,9.87,9.895,10100
2022-08-16,9.91,9.91,9.91,9.91,100
2022-08-17,9.88,9.89,9.87,9.88,536655
2022-08-18,9.87,9.87,9.87,9.87,200
2022-08-19,9.85,9.85,9.85,9.85,100
2022-08-23,9.88,9.88,9.88,9.88,100
2022-08-24,9.875,9.875,9.86,9.86,206800
2022-08-25,9.86,9.86,9.86,9.86,883
2022-08-26,9.86,9.86,9.86,9.86,2000
2022-08-29,9.86,9.86,9.86,9.86,8190
2022-08-30,9.85,9.85,9.85,9.85,400
2022-09-01,9.86,9.86,9.86,9.86,100
2022-09-02,9.86,9.86,9.85,9.85,39796
2022-09-07,9.86,9.86,9.86,9.86,177
2022-09-09,9.85,9.85,9.85,9.85,1320
2022-09-12,9.85,9.85,9.85,9.85,8567
2022-09-13,9.85,9.86,9.85,9.86,200
2022-09-16,9.85,9.855,9.845,9.855,19000
2022-09-19,9.85,9.87,9.84,9.84,52384
2022-09-20,9.86,9.87,9.85,9.855,12150
2022-09-22,9.87,9.88,9.87,9.88,779300
2022-09-23,9.87,9.87,9.86,9.86,7736
2022-09-26,9.87,9.88,9.87,9.88,265808
2022-09-27,9.88,9.89,9.88,9.88,195125
2022-09-28,9.87,9.87,9.87,9.87,135992
2022-09-30,9.87,9.87,9.87,9.87,43500
2022-10-03,9.89,9.89,9.88,9.88,9531
2022-10-04,9.87,9.87,9.87,9.87,100
2022-10-06,9.89,9.89,9.85,9.85,5332
2022-10-07,9.87,9.87,9.87,9.87,100
2022-10-10,9.86,9.86,9.86,9.86,200
2022-10-11,9.85,9.85,9.85,9.85,1175
2022-10-12,9.87,9.91,9.87,9.91,28892
2022-10-13,9.89,9.91,9.89,9.89,12230
2022-10-14,9.89,9.9,9.88,9.9,115000
2022-10-17,9.89,9.91,9.89,9.91,292489
2022-10-18,9.95,9.95,9.915,9.92,8629
2022-10-19,9.91,9.93,9.9,9.925,101115
2022-10-21,9.93,9.94,9.9291,9.94,67969
2022-10-24,9.95,9.95,9.95,9.95,100
2022-10-25,9.95,9.96,9.95,9.95,33227
2022-10-26,9.96,9.96,9.94,9.94,7400
2022-10-28,9.96,9.96,9.94,9.955,67981
2022-10-31,9.95,9.9502,9.94,9.95,373409
2022-11-01,9.96,9.97,9.951,9.965,76408
2022-11-02,9.97,9.98,9.97,9.98,10658
2022-11-03,9.9799,9.98,9.975,9.98,800
2022-11-04,9.97,9.98,9.97,9.975,51507
2022-11-07,9.97,9.99,9.97,9.97,4336
2022-11-08,9.97,9.975,9.96,9.97,551247
2022-11-09,9.96,9.96,9.96,9.96,100
2022-11-10,9.9601,9.9601,9.9601,9.9601,150
2022-11-11,9.955,9.955,9.945,9.945,35400
2022-11-14,9.94,9.94,9.94,9.94,275
2022-11-15,9.96,9.97,9.955,9.97,22372
2022-11-16,9.96,9.98,9.96,9.97,11699
2022-11-17,10.07,10.07,9.98,9.98,911523
2022-11-18,9.99,10.0,9.98,9.985,3542
2022-11-21,9.99,10.01,9.985,10.01,452952
2022-11-22,10.03,10.03,9.99,10.0,202381
2022-11-23,10.0,10.0013,10.0,10.0,150200
2022-11-25,9.99,10.01,9.99,10.01,46996
2022-11-28,10.0299,10.04,10.02,10.03,175557
2022-11-29,10.025,10.025,10.025,10.025,173
2022-12-02,10.03,10.05,10.03,10.04,1050202
2022-12-05,10.05,10.05,10.045,10.05,24300
2022-12-06,10.04,10.06,10.04,10.05,447209
2022-12-07,10.05,10.06,10.05,10.06,451041
2022-12-08,10.06,10.06,10.06,10.06,100
2022-12-09,10.05,10.09,10.05,10.09,112454
2022-12-12,10.04,10.06,10.04,10.05,5200
2022-12-13,10.0,10.05,10.0,10.05,900
2022-12-14,10.0,10.04,9.99,10.03,39612
2022-12-19,10.06,10.16,10.06,10.16,21060
2022-12-20,10.04,10.04,9.9,9.945,7487
2022-12-21,9.94,10.01,9.94,10.0,1700
2022-12-22,9.99,10.0,9.99,9.99,80510
2022-12-23,9.99,10.0,9.99,9.99,173603
2022-12-27,9.99,10.03,9.99,10.03,110695
2022-12-28,10.04,10.05,10.04,10.05,49872
2022-12-29,10.05,10.06,10.05,10.06,10480
2023-01-03,10.06,10.06,10.06,10.06,1276
2023-01-04,10.07,10.07,10.07,10.07,10200
2023-01-05,10.07,10.09,10.07,10.09,214195
2023-01-06,10.09,10.09,10.09,10.09,688
2023-01-09,10.08,10.1,10.08,10.1,1693
2023-01-10,10.09,10.11,10.09,10.11,77183
2023-01-13,10.11,10.11,10.1,10.1,1740
2023-01-18,10.115,10.12,10.11,10.12,54671
2023-01-20,10.15,10.15,10.15,10.15,505
2023-01-23,10.12,10.12,10.12,10.12,363
2023-01-24,10.13,10.14,10.11,10.11,35112
2023-01-25,10.14,10.14,10.14,10.14,1200
2023-01-26,10.14,10.14,10.13,10.13,2539
2023-01-27,10.13,10.15,10.13,10.14,76570
2023-01-30,10.14,10.1501,10.14,10.145,31931
2023-01-31,10.18,10.18,10.15,10.15,1300
2023-02-01,10.15,10.15,10.15,10.15,2400
2023-02-02,10.15,10.16,10.15,10.16,5604
2023-02-03,10.1581,10.19,10.15,10.19,2619
2023-02-06,10.17,10.17,10.15,10.15,2028
2023-02-07,10.15,10.15,10.15,10.15,18664
2023-02-08,10.1501,10.17,10.1501,10.17,1004100
2023-02-09,10.15,10.15,10.15,10.15,100
2023-02-10,10.16,10.16,10.16,10.16,300
2023-02-13,10.16,10.16,10.16,10.16,100
2023-02-14,10.175,10.175,10.16,10.175,8031
2023-02-15,10.18,10.2,10.18,10.2,15482
2023-02-16,10.18,10.18,10.18,10.18,16650
2023-02-17,10.18,10.18,10.175,10.18,184809
2023-02-21,10.18,10.19,10.18,10.19,36500
2023-02-22,10.185,10.185,10.1827,10.1827,800
2023-02-23,10.18,10.21,10.18,10.21,3005
2023-02-24,10.185,10.195,10.185,10.19,9170
2023-02-27,10.19,10.19,10.19,10.19,100
2023-02-28,10.19,10.19,10.19,10.19,35158
2023-03-01,10.19,10.19,10.19,10.19,100
2023-03-02,10.19,10.195,10.19,10.195,168000
2023-03-06,10.2,10.205,10.195,10.205,4120
2023-03-07,10.23,10.23,10.2,10.2,495878
2023-03-08,10.205,10.21,10.205,10.21,27610
2023-03-09,10.2206,10.2206,10.21,10.21,200
2023-03-10,10.24,10.24,10.2201,10.2201,1100
2023-03-13,10.21,10.21,10.21,10.21,100
2023-03-14,10.21,10.225,10.21,10.21,633853
2023-03-15,10.25,10.25,10.21,10.21,500619
2023-03-16,10.29,10.29,10.21,10.22,356
2023-03-17,10.23,10.23,10.22,10.22,400
2023-03-20,10.23,10.3,10.23,10.3,1700
2023-03-21,10.255,10.255,10.23,10.23,578324
2023-03-23,10.23,10.24,10.23,10.24,57553
2023-03-24,10.24,10.25,10.24,10.24,64072
2023-03-27,10.3,10.3,10.25,10.26,1819
2023-03-30,10.26,10.2602,10.25,10.25,3200
2023-04-03,10.3,10.3,10.27,10.27,200
2023-04-05,10.2588,10.27,10.2588,10.27,544
2023-04-06,10.25,10.255,10.25,10.255,250
2023-04-10,10.255,10.26,10.255,10.26,4810
2023-04-11,10.29,10.29,10.26,10.2627,63091
2023-04-14,10.27,10.2933,10.27,10.2933,277100
2023-04-17,10.28,10.28,10.28,10.28,1264008
2023-04-18,10.28,10.2827,10.28,10.2827,41870
2023-04-19,10.27,10.27,10.27,10.27,34750
2023-04-20,10.29,10.3,10.27,10.29,797320
2023-04-21,10.29,10.29,10.28,10.28,50200
2023-04-24,10.34,10.35,10.2818,10.29,103054
2023-04-25,10.3,10.3,10.29,10.29,117003
2023-04-26,10.2704,10.3,10.2704,10.29,425244
2023-04-27,10.29,10.3,10.29,10.3,319119
2023-04-28,10.3,10.3,10.3,10.3,100
2023-05-01,10.3,10.3,10.3,10.3,1820
2023-05-02,10.29,10.3,10.29,10.3,359996
2023-05-03,10.3,10.3,10.3,10.3,6400
2023-05-04,10.3,10.31,10.3,10.31,2800
2023-05-08,10.31,10.31,10.3,10.3,44999
2023-05-09,10.31,10.31,10.3,10.3,4700
2023-05-10,10.3001,10.305,10.3,10.3,131500
2023-05-11,10.3036,10.3099,10.3,10.3099,500
2023-05-12,10.31,10.31,10.3,10.305,10182
2023-05-15,10.32,10.32,10.3,10.31,31180
2023-05-16,10.3,10.35,10.3,10.35,3850
2023-05-17,10.34,10.34,10.33,10.34,1160647
2023-05-18,10.34,10.35,10.33,10.3497,1522556
2023-05-19,10.34,10.34,10.34,10.34,100
2023-05-22,10.34,10.36,10.34,10.35,400500
2023-05-23,10.34,10.35,10.34,10.35,500
2023-05-24,10.34,10.35,10.34,10.345,1900
2023-05-25,10.35,10.35,10.35,10.35,218
2023-05-30,10.37,10.37,10.35,10.355,26285
2023-05-31,10.37,10.37,10.35,10.35,1100
2023-06-01,10.35,10.36,10.35,10.35,85800
2023-06-02,10.35,10.36,10.35,10.35,600
2023-06-05,10.4,10.4,10.35,10.36,12462
2023-06-07,10.38,10.38,10.375,10.375,660590
2023-06-08,10.3653,10.3653,10.35,10.35,461
2023-06-09,10.24,10.39,10.24,10.36,1812
2023-06-12,10.35,10.39,10.35,10.3701,14648
2023-06-13,10.39,10.39,10.33,10.33,2835
2023-06-15,10.35,10.375,10.34,10.35,343000
2023-06-20,10.36,10.36,10.36,10.36,100
2023-06-21,10.39,10.39,10.39,10.39,100
2023-06-22,10.39,10.39,10.35,10.35,300
2023-06-23,10.36,10.3602,10.36,10.36,500
2023-06-26,10.39,10.39,10.3559,10.3559,700
2023-06-28,10.37,10.43,10.37,10.38,7462
2023-06-29,10.4,10.9,10.39,10.39,41640
2023-06-30,10.42,10.81,10.42,10.44,12301
2023-07-03,10.38,10.56,10.38,10.49,8484
2023-07-05,10.47,10.47,10.4,10.4,2200
2023-07-06,10.4,10.4338,10.39,10.4,13122
2023-07-10,10.41,10.41,10.41,10.41,100
2023-07-11,10.38,10.38,10.38,10.38,100
2023-07-13,10.38,10.38,10.38,10.38,45133
2023-07-14,10.38,10.49,10.38,10.39,3805
2023-07-18,10.67,10.67,10.67,10.67,100
2023-07-19,10.67,10.75,10.45,10.47,24914
2023-07-20,10.46,10.46,10.46,10.46,297
2023-07-21,10.53,10.53,10.53,10.53,100
2023-07-24,10.43,10.43,10.42,10.42,300
2023-07-25,10.42,10.42,10.42,10.42,400
2023-07-26,10.46,10.46,10.42,10.46,400
2023-07-27,10.5697,10.5697,10.41,10.46,3315
2023-07-31,10.8047,11.46,10.47,10.5,4289
2023-08-01,10.48,11.3196,10.47,10.52,3815
2023-08-02,10.5,10.515,10.5,10.515,7291
2023-08-03,10.4701,11.03,10.47,10.53,13093
