Date,Open,High,Low,Close,Volume
2024-03-15,24.2775,24.5284,24.2775,24.4512,1511143
2024-03-18,24.567,24.6539,24.4946,24.4946,1441577
2024-03-19,24.5188,24.596,24.4319,24.4705,641964
2024-03-20,24.6249,24.6249,24.4609,24.5091,573818
2024-03-21,24.596,24.6539,24.567,24.596,454358
2024-03-22,24.6153,24.6442,24.5381,24.5574,201505
2024-03-25,24.5574,24.596,24.4898,24.5188,501561
2024-03-26,24.5284,24.5574,24.4705,24.5091,280034
2024-03-27,24.5284,24.5767,24.4802,24.5188,433951
2024-03-28,24.567,24.7021,24.5477,24.596,3078024
2024-04-01,24.596,24.596,24.3933,24.4223,272312
2024-04-02,24.3161,24.3354,24.1907,24.2679,271803
2024-04-03,24.2003,24.4705,24.0749,24.4705,198359
2024-04-04,24.374,24.4226,24.1907,24.2486,256820
2024-04-05,24.21,24.3065,24.21,24.2582,421595
2024-04-08,24.2679,24.2968,24.2486,24.2582,75881
2024-04-09,24.3065,24.374,24.2968,24.3644,94921
2024-04-10,24.2775,24.3389,24.1135,24.2968,256964
2024-04-11,24.2679,24.3065,24.1714,24.2679,99635
2024-04-12,24.2486,24.2774,24.1231,24.1231,33895
2024-04-15,24.1714,24.1714,23.8433,23.9109,151368
2024-04-16,23.8337,24.0267,23.8047,23.8337,190248
2024-04-17,23.9495,24.0846,23.8626,23.9784,135180
2024-04-18,23.9302,24.017,23.8481,23.8626,182011
2024-04-19,23.8626,24.0556,23.8626,24.0074,73481
2024-04-22,24.0653,24.1328,24.0122,24.0653,104018
2024-04-23,24.0653,24.1714,24.0267,24.1521,50528
2024-04-24,24.1231,24.1231,23.9688,24.046,77641
2024-04-25,24.0267,24.0267,23.7951,23.9012,139892
2024-04-26,23.9688,24.0749,23.9495,23.9591,49500
2024-04-29,23.9688,24.0653,23.9591,24.0653,36796
2024-04-30,24.0653,24.1039,23.9302,24.046,45140
2024-05-01,24.0363,24.1521,23.9205,24.1231,85718
2024-05-02,24.1231,24.2582,24.0545,24.1907,280583
2024-05-03,24.2872,24.2872,24.1907,24.2196,166191
2024-05-06,24.2389,24.2389,24.1714,24.2196,165320
2024-05-07,24.2775,24.3644,24.1617,24.21,201521
2024-05-08,24.181,24.2486,24.0942,24.1521,160214
2024-05-09,24.1714,24.2388,24.1135,24.21,52522
2024-05-10,24.181,24.2389,24.1231,24.1617,65481
2024-05-13,24.21,24.2486,24.1714,24.21,32243
2024-05-14,24.2775,24.2775,24.1521,24.21,61264
2024-05-15,24.2582,24.3451,24.2486,24.3451,88937
2024-05-16,24.3644,24.4126,24.2775,24.3065,51488
2024-05-17,24.3065,24.3258,24.2486,24.3065,50344
2024-05-20,24.3451,24.4868,24.3258,24.4609,80348
2024-05-21,24.4898,24.5477,24.4319,24.4802,79584
2024-05-22,24.5188,24.5188,24.4126,24.4223,143320
2024-05-23,24.5284,24.5284,24.2968,24.3644,132307
2024-05-24,24.3354,24.5091,24.3354,24.5091,61428
2024-05-28,24.5477,24.5574,24.4126,24.4898,41659
2024-05-29,24.4319,24.4512,24.0942,24.0942,67177
