Date,Open,High,Low,Close,Volume
2024-03-22,9.51,10.32,9.3,9.93,7878710
2024-03-25,9.6,10.195,9.31,10.0,2149979
2024-03-26,10.11,10.7,10.0,10.54,1006872
2024-03-27,10.42,10.77,10.29,10.66,836697
2024-03-28,10.7,10.85,10.49,10.65,552165
2024-04-01,10.5,10.7,10.21,10.5,566564
2024-04-02,10.56,10.56,9.79,9.88,608388
2024-04-03,9.92,9.97,9.07,9.24,1087584
2024-04-04,9.43,9.52,9.18,9.4,990393
2024-04-05,9.26,9.63,9.099,9.1,679060
2024-04-08,9.05,9.17,7.85,8.0,1122459
2024-04-09,8.0,8.13,7.19,7.25,979153
2024-04-10,7.14,7.8,7.13,7.75,444380
2024-04-11,7.67,7.88,7.47,7.8,529861
2024-04-12,7.7,8.19,7.58,7.7,697916
2024-04-15,7.54,7.63,7.46,7.51,586597
2024-04-16,7.78,8.19,7.49,7.6,606327
2024-04-17,7.73,7.76,7.44,7.5,292894
2024-04-18,7.36,7.69,7.26,7.43,321756
2024-04-19,7.33,7.78,6.8,6.8,943308
2024-04-22,6.72,6.8059,6.17,6.3,481040
2024-04-23,6.36,6.91,6.36,6.9,370421
2024-04-24,6.9,7.8,6.85,7.8,380567
2024-04-25,7.63,7.63,7.16,7.19,200831
2024-04-26,7.15,7.32,7.02,7.06,205005
2024-04-29,7.05,7.15,6.89,6.93,112997
2024-04-30,6.73,6.95,6.69,6.8,62507
2024-05-01,6.82,7.23,6.8,7.0,97860
2024-05-02,7.0,7.0,6.75,6.76,18229
2024-05-03,6.75,6.78,6.49,6.49,81167
2024-05-06,6.57,6.83,6.44,6.72,148869
2024-05-07,6.67,7.08,6.66,6.67,60999
2024-05-08,7.0,7.84,6.98,7.62,580852
2024-05-09,8.0,9.02,7.82,9.02,885548
2024-05-10,8.76,9.85,8.75,9.72,868855
2024-05-13,9.72,9.8899,8.53,9.25,448976
2024-05-14,9.2,9.2,8.31,8.45,166993
2024-05-15,8.77,8.799,8.2,8.2,128050
2024-05-16,8.7,8.7699,8.5,8.55,230815
2024-05-17,8.72,8.8,8.4201,8.8,219536
2024-05-20,8.5,8.93,8.34,8.62,168000
2024-05-21,8.72,9.0,8.365,8.7,322218
2024-05-22,9.06,9.1499,8.7,9.05,172029
2024-05-23,8.6,8.84,7.7614,8.21,569334
2024-05-24,8.25,8.54,7.7,8.21,270260
2024-05-28,8.27,8.4,8.07,8.31,226837
2024-05-29,8.01,8.48,8.01,8.25,47556
2024-05-30,8.23,8.9128,8.15,8.73,134611
2024-05-31,8.69,9.0,8.69,8.8,55702
2024-06-03,8.85,8.98,8.65,8.67,58345
2024-06-04,8.57,8.61,8.2801,8.37,136175
2024-06-05,8.38,8.58,8.16,8.2,149414
2024-06-06,8.16,8.2588,7.85,8.05,152852
2024-06-07,7.97,8.21,7.87,8.03,89598
2024-06-10,7.91,7.965,7.7,7.83,220660
2024-06-11,7.81,7.97,7.57,7.73,133802
2024-06-12,8.0,8.04,7.36,7.73,167180
2024-06-13,7.69,7.83,7.56,7.73,211746
2024-06-14,7.72,8.12,7.55,8.12,91571
2024-06-17,8.13,8.344,7.95,8.2,96649
2024-06-18,8.05,8.16,7.9241,8.01,78198
2024-06-20,7.99,8.21,7.95,8.04,85713
2024-06-21,7.96,8.12,7.72,8.1,77039
2024-06-24,8.0,8.2,7.69,7.69,114415
2024-06-25,7.79,8.1125,7.52,8.1,352926
2024-06-26,8.05,8.075,7.86,8.03,165244
2024-06-27,8.05,8.07,7.72,7.72,120215
2024-06-28,8.11,8.145,7.79,8.0,143808
2024-07-01,7.96,8.08,7.79,7.92,37802
2024-07-02,7.9,8.04,7.805,8.04,96965
2024-07-03,8.0,8.09,7.95,8.0,47012
2024-07-05,7.91,8.0797,7.8,8.0,243139
2024-07-08,8.04,8.04,7.84,7.95,92483
2024-07-09,7.86,7.96,7.72,7.89,204760
2024-07-10,7.82,7.89,7.64,7.8,177204
2024-07-11,7.71,7.96,7.605,7.93,90599
2024-07-12,7.86,8.0,7.8,7.81,51451
2024-07-15,7.8,8.27,7.735,8.19,135387
2024-07-16,7.99,8.57,7.99,8.1,139564
2024-07-17,8.38,9.08,8.38,8.77,131793
2024-07-18,8.87,9.38,8.82,9.09,97993
2024-07-19,9.03,9.23,8.83,8.89,31443
2024-07-22,8.92,9.045,8.65,8.67,58144
2024-07-23,8.69,8.74,8.49,8.63,16875
2024-07-24,8.68,8.86,8.65,8.83,43348
