Date,Open,High,Low,Close,Volume
2021-02-17,100.0,102.2475,72.5,86.75,43980.8
2021-02-18,85.0,85.25,72.75,74.75,15396.78
2021-02-19,74.75,79.25,69.0,75.0,9611.78
2021-02-22,75.0,87.5,72.5,78.5,23386.9
2021-02-23,72.75,80.25,67.5,77.75,11486.32
2021-02-24,81.75,95.0,75.375,92.5,18136.04
2021-02-25,87.75,112.5,84.75,91.2525,25974.84
2021-02-26,92.0,114.0,81.25,83.75,251137.26
2021-03-01,75.0,89.4975,75.0,84.0,21810.14
2021-03-02,80.75,86.5,75.25,79.0,12833.16
2021-03-03,84.75,91.9975,81.25,82.75,15525.54
2021-03-04,79.5,81.0,67.875,71.75,10119.72
2021-03-05,71.5,75.0,62.5,74.0,11753.26
2021-03-08,74.0,75.7475,67.75,72.25,2839.8
2021-03-09,85.0,85.0,69.25,70.5025,4866.22
2021-03-10,70.0,79.75,68.75,78.0,5943.44
2021-03-11,81.0,81.0,74.75,77.5,2452.3
2021-03-12,75.5,79.75,73.0125,79.75,5083.28
2021-03-15,87.5,149.75,77.25,78.25,9652.18
2021-03-16,78.25,82.5,76.25,81.25,5163.36
2021-03-17,78.25,80.0,75.0,80.0,1588.42
2021-03-18,78.0,88.0,77.5,80.0,13700.24
2021-03-19,82.5,84.0,80.0,82.75,3830.56
2021-03-22,80.25,83.5,79.0,82.5,2052.88
2021-03-23,81.0,81.0,76.2525,76.75,1906.96
2021-03-24,77.0,85.75,75.6325,84.75,7049.82
2021-03-25,79.0,83.75,76.5025,79.0,2577.08
2021-03-26,78.25,81.0,77.2525,77.5,841.62
2021-03-29,77.25,78.75,70.0,78.75,2486.2599999999998
2021-03-30,79.0,79.0,72.14,72.5025,758.42
2021-03-31,72.75,82.5,71.625,82.0,6110.64
2021-04-01,78.5,80.5575,78.5,80.25,920.82
2021-04-05,81.0,81.0,75.5,80.5,1035.32
2021-04-06,80.5,80.5,76.25,77.0,889.78
2021-04-07,76.955,77.5,75.0,75.87,942.5
2021-04-08,74.25,77.25,73.5,76.25,1480.9
2021-04-09,75.75,79.9925,73.5025,73.5025,1316.34
2021-04-12,75.5,77.5,73.73,73.75,1357.46
2021-04-13,74.0,74.75,70.0,70.5,1680.78
2021-04-14,70.5,70.5,66.75,68.75,1724.18
2021-04-15,70.25,70.75,64.75,68.0,1784.92
2021-04-16,67.5,67.75,60.0,66.0,5030.6
2021-04-19,65.0,67.5,63.75,63.7525,670.1800000000001
2021-04-20,63.91,63.91,55.25,56.74,2066.4
2021-04-21,56.25,59.0,56.25,58.25,2426.04
2021-04-22,58.25,59.75,57.5,58.5,1820.64
2021-04-23,58.75,59.0,56.25,58.295,1634.9
2021-04-26,58.75,60.21,57.0,59.5,1774.26
2021-04-27,60.25,70.0,60.0,67.5,4402.68
2021-04-28,67.5,74.25,64.25,64.75,2641.2
2021-04-29,65.25,65.25,61.5,63.25,2050.98
2021-04-30,65.0,71.25,63.0025,66.5,2029.6200000000001
2021-05-03,69.5,69.75,64.25,65.25,1336.08
2021-05-04,65.25,65.75,61.5,64.75,1050.52
2021-05-05,64.75,66.0,63.75,66.0,750.7
2021-05-06,64.6525,68.9975,63.25,68.75,1803.06
2021-05-07,66.75,67.575,66.0,66.75,117.52
2021-05-10,66.25,67.75,63.85,65.0,1097.56
2021-05-11,63.565,64.75,61.5,62.5,911.28
2021-05-12,61.5,61.5,59.005,60.0,3293.32
2021-05-13,59.0,62.0,59.0,60.5,419.7
2021-05-14,61.8975,66.25,59.095,61.75,477.46
2021-05-17,60.0,60.0,56.25,57.5,939.58
2021-05-18,57.0,58.2,55.25,56.5,681.3
2021-05-19,55.5,57.5,55.4975,57.0,365.92
2021-05-20,56.625,63.75,56.5,61.75,1684.32
2021-05-21,62.75,62.75,56.25,57.5,848.14
2021-05-24,56.75,60.9975,55.75,59.5,1589.84
2021-05-25,58.2525,58.2525,56.0,56.0,1059.3600000000001
2021-05-26,57.15,57.5,55.25,56.25,975.1800000000001
2021-05-27,57.5,59.25,55.75,58.875,974.02
2021-05-28,58.25,59.5625,56.0025,56.75,561.1800000000001
2021-06-01,57.25,59.25,57.0,59.25,487.42
2021-06-02,58.9275,63.74,57.7525,62.0,2880.48
2021-06-03,60.25,61.5,58.25,59.0,612.36
2021-06-04,58.25,61.5,58.25,61.5,1456.5
2021-06-07,61.9325,64.25,58.75,62.5,1688.96
2021-06-08,64.75,67.0,60.4775,65.0,1471.82
2021-06-09,61.75,77.5,60.28,71.5,8354.22
2021-06-10,74.75,80.43,70.0,76.0,8289.68
2021-06-11,76.0,79.25,72.5,78.5,2092.88
2021-06-14,75.25,78.0,70.0,71.0,2907.2
2021-06-15,70.75,70.75,67.5,67.75,1561.74
2021-06-16,64.4975,68.25,63.75,66.25,2474.66
2021-06-17,65.25,69.75,64.5,69.5,3534.22
2021-06-18,69.5,69.9925,63.75,63.75,4264.02
2021-06-21,65.25,69.25,63.5,69.25,2768.2799999999997
2021-06-22,72.5,97.5,67.75,73.25,385814.34
2021-06-23,72.5,116.75,68.75,91.0,734909.96
2021-06-24,91.0,102.5,82.5,93.75,92719.18000000001
2021-06-25,97.5,126.5,90.0,103.75,360690.24
2021-06-28,105.0,180.75,103.75,163.25,1453422.06
2021-06-29,163.25,232.5,155.5,167.5,2397993.56
2021-06-30,167.75,171.75,130.0,132.5,215479.86
2021-07-01,140.0,203.75,134.0,182.5,409497.12
2021-07-02,185.0,194.75,162.5,184.0,237192.96
2021-07-06,187.0,210.0,156.0,175.0,394214.42
2021-07-07,170.25,178.0,140.77,143.75,111330.06
2021-07-08,139.75,152.5,125.75,131.25,64631.72
2021-07-09,150.0,150.25,130.25,134.25,44331.1
2021-07-12,140.25,149.75,121.75,122.75,121574.86
2021-07-13,122.0,144.75,117.75,130.25,211410.62
2021-07-14,136.0,136.5,97.25,100.25,175241.38
2021-07-15,102.5,103.75,89.49,97.5,28115.0
2021-07-16,95.5,100.8575,90.0,95.0,30866.88
2021-07-19,94.5,100.81,87.5,92.0,46865.66
2021-07-20,92.0,100.0,84.75,87.0,23554.48
2021-07-21,89.75,95.75,85.25,95.0,28775.760000000002
2021-07-22,95.75,95.75,76.25,80.0025,26180.22
2021-07-23,81.5,81.5,73.75,77.0,16932.8
2021-07-26,76.5,88.4975,76.25,81.5,22020.26
2021-07-27,81.5,82.0,72.0,76.0,11450.26
2021-07-28,74.5,88.5,74.25,86.5,20763.48
2021-07-29,87.5,89.5,80.5,80.75,8996.56
2021-07-30,78.7525,85.0,77.5,81.25,10797.72
2021-08-02,80.75,86.75,80.75,85.25,13881.78
2021-08-03,86.25,87.25,79.25,82.7475,6497.48
2021-08-04,82.5,82.5,75.25,81.25,9152.3
2021-08-05,77.75,78.5,74.25,76.4975,12382.18
2021-08-06,75.5,82.7375,74.5,81.75,12754.88
2021-08-09,79.5,82.5,77.5025,79.25,8932.24
2021-08-10,79.25,79.75,72.75,74.0,13332.5
2021-08-11,73.75,75.0,68.0,69.5,11677.78
2021-08-12,69.75,73.75,67.0,68.25,16357.02
