Date,Open,High,Low,Close,Volume
2000-01-03,6.6997,6.727,6.4262,6.4262,259416.0
2000-01-04,6.4262,6.5356,6.3989,6.4536,258727.0
2000-01-05,6.4809,6.8091,6.4536,6.8091,467636.0
2000-01-06,6.8091,7.1099,6.7544,6.9731,547398.0
2000-01-07,6.9184,6.9731,6.6997,6.7817,855492.0
2000-01-10,6.8364,7.0005,6.8364,6.8638,742586.0
2000-01-11,6.8638,7.0552,6.8364,7.0005,954230.0
2000-01-12,7.6568,8.3404,7.6568,8.0396,2451961.0
2000-01-13,8.6412,9.8444,8.5865,9.2428,3774144.0
2000-01-14,9.571,10.8836,9.3796,10.6101,2487616.0
2000-01-18,10.5007,11.1023,10.0632,10.3913,1777262.0
2000-01-19,10.2273,10.8836,10.2273,10.7742,1013661.0
2000-01-20,12.0321,15.2589,12.0321,14.0557,6462632.0
2000-01-21,15.4776,20.6459,15.4776,20.5639,9881146.0
2000-01-24,27.1269,29.752,22.6422,27.1269,14836002.0
2000-01-25,23.736,24.7204,19.1419,20.5639,7186934.0
2000-01-26,18.595,19.1419,14.001,14.876,8705227.0
2000-01-27,15.2862,15.7237,14.1103,14.8213,3418062.0
2000-01-28,14.4658,14.5752,12.5516,13.7822,2592519.0
2000-01-31,13.8642,13.8916,11.5945,12.8524,6564809.0
2000-02-01,12.661,13.7822,11.8407,13.5087,6114088.0
2000-02-02,13.2353,13.2353,11.5945,11.7586,2816739.0
2000-02-03,11.7586,12.7431,11.1844,12.579,5012691.0
2000-02-04,12.5243,14.3838,12.2508,13.1806,4356288.0
2000-02-07,13.3447,13.6455,12.1415,12.4696,1650412.0
2000-02-08,12.8524,13.29,12.579,13.0986,2215177.0
2000-02-09,13.0986,13.29,12.2782,12.3055,1279713.0
2000-02-10,12.6884,12.9071,12.0047,12.6337,1528831.0
2000-02-11,12.7978,13.3447,12.5243,12.661,1724243.0
2000-02-14,12.6337,13.3173,12.2508,13.0439,1892698.0
2000-02-15,12.8524,15.0401,12.6884,14.9307,4119488.0
2000-02-16,14.9307,15.5323,13.6728,14.6026,2496749.0
2000-02-17,14.9307,15.7511,13.8916,15.3136,2042615.0
2000-02-18,15.2042,15.2862,14.3838,14.6299,1224392.0
2000-02-22,14.5752,14.5752,13.4267,13.5634,1216613.0
2000-02-23,13.2353,13.9736,13.2353,13.6728,871960.0
2000-02-24,13.5634,13.7549,12.7431,12.7431,904410.0
2000-02-25,12.7431,12.9071,12.2235,12.4696,1639216.0
2000-02-28,12.6337,13.0439,12.0868,12.9071,1742982.0
2000-02-29,13.1532,13.6181,12.7978,13.1532,1428262.0
2000-03-01,12.9345,12.9892,12.579,12.9071,567083.0
2000-03-02,12.9618,13.1806,12.4149,12.497,526610.0
2000-03-03,12.4149,13.0439,12.2782,12.5243,768886.0
2000-03-06,12.6337,12.9071,12.4149,12.7704,1018458.0
2000-03-07,12.7704,13.0712,12.4696,12.9071,1186917.0
2000-03-08,13.0986,13.29,12.579,12.7978,1014807.0
2000-03-09,12.7978,12.7978,12.4149,12.661,646609.0
2000-03-10,12.661,14.2197,12.3055,13.9736,2182721.0
2000-03-13,13.5087,13.5087,12.8524,13.1259,895735.0
2000-03-14,13.9463,14.2197,12.8798,13.0986,1539110.0
2000-03-15,13.2079,13.454,12.6884,13.1259,1198791.0
2000-03-16,13.1259,13.7275,13.0712,13.3447,1020293.0
2000-03-17,13.5087,13.8916,13.1259,13.5634,665351.0
2000-03-20,13.8369,16.1886,13.8369,15.6417,4731560.0
2000-03-21,15.8605,16.4074,14.5479,15.2315,2863818.0
2000-03-22,15.3409,15.6964,15.0948,15.3956,1009328.0
2000-03-23,15.6417,16.9269,15.3409,16.6808,1849480.0
2000-03-24,16.6261,18.2395,16.6261,16.9543,1993932.0
2000-03-27,16.8449,17.2824,15.5323,15.8331,1234224.0
2000-03-28,15.8331,16.298,15.0948,15.7511,1315354.0
2000-03-29,15.8605,18.3489,15.8605,18.2395,2416302.0
2000-03-30,18.3763,19.4701,16.6261,17.2551,4441763.0
2000-03-31,17.4465,18.1302,16.9543,17.8293,1082237.0
2000-04-03,17.7747,17.8293,16.8449,17.1457,977557.0
2000-04-04,16.9269,17.2004,13.7002,16.1886,2550013.0
2000-04-05,16.1066,17.1184,15.505,17.1184,962243.0
2000-04-06,17.1731,17.2551,16.298,16.4894,506504.0
2000-04-07,16.5988,16.7355,16.0245,16.298,578272.0
2000-04-10,16.1886,16.4074,15.6417,16.0792,721337.0
2000-04-11,16.1339,16.8996,15.8058,16.6261,811843.0
2000-04-12,16.6261,17.9934,16.6261,17.091,2168775.0
2000-04-13,17.1184,17.2277,16.7902,17.091,614379.0
2000-04-14,16.7902,16.7902,14.0557,14.3565,1419580.0
2000-04-17,14.001,14.1924,12.9071,14.0557,1080861.0
2000-04-18,14.1103,14.5479,13.7822,14.4932,1063720.0
2000-04-19,14.3838,14.4385,13.3447,13.5634,772074.0
2000-04-20,13.6728,14.3291,13.6728,13.9463,606600.0
2000-04-24,13.7275,13.7822,13.372,13.3994,517926.0
2000-04-25,13.29,13.29,11.6492,12.7431,1764242.0
2000-04-26,12.8251,13.2353,12.3055,13.0986,761342.0
2000-04-27,12.8798,13.1259,12.497,13.1259,437247.0
2000-04-28,13.2353,13.3994,12.8524,12.9071,372566.0
2000-05-01,13.0439,13.7275,13.0439,13.4267,489363.0
2000-05-02,13.4267,13.8642,13.1532,13.1806,410051.0
2000-05-03,13.0712,13.0712,12.3876,12.7157,511977.0
2000-05-04,12.7978,12.7978,11.8953,12.1962,598826.0
2000-05-05,12.3602,12.3602,11.2117,11.3211,1020976.0
2000-05-08,11.8133,12.9071,11.6492,12.4696,1222788.0
2000-05-09,12.3602,12.6063,11.7313,11.7313,514728.0
2000-05-10,11.5125,11.5672,11.3758,11.5125,768191.0
2000-05-11,11.5399,11.8953,11.5399,11.8953,882702.0
2000-05-12,11.8133,11.868,11.4031,11.5672,635629.0
2000-05-15,11.5125,11.7586,11.1844,11.6766,703965.0
2000-05-16,11.6766,11.7313,10.9929,11.3484,933204.0
2000-05-17,11.3484,11.3484,10.6101,10.6101,518614.0
2000-05-18,10.7195,10.7195,9.5436,9.8991,1488137.0
2000-05-19,10.0085,10.4187,9.6804,10.3913,738937.0
2000-05-22,10.2273,10.446,9.5436,10.2546,904179.0
2000-05-23,10.1179,10.1452,9.7077,9.8444,359309.0
2000-05-24,9.735,9.7624,9.0787,9.4069,432900.0
2000-05-25,9.3796,9.5983,8.8326,9.2428,364331.0
2000-05-26,9.2155,9.6257,8.9694,9.6257,383759.0
2000-05-30,9.6257,10.5828,9.4616,10.5828,1040858.0
2000-05-31,10.4187,10.4187,9.4889,9.7897,1221651.0
2000-06-01,10.2273,10.2546,9.653,9.9265,730712.0
2000-06-02,10.0358,10.6921,10.0358,10.5007,955150.0
2000-06-05,10.3913,10.7742,9.5163,9.8444,467868.0
2000-06-06,10.0632,10.282,9.9538,10.0632,512667.0
2000-06-07,10.0632,10.3913,10.0358,10.2273,396102.0
2000-06-08,10.1726,10.1726,9.7624,9.8444,352898.0
2000-06-09,9.9538,10.5828,9.9538,10.282,420789.0
2000-06-12,10.4734,10.7195,9.8991,9.8991,581686.0
2000-06-13,10.0905,10.6101,9.9812,10.3913,423298.0
2000-06-14,10.3913,10.9929,9.9538,9.9812,506037.0
2000-06-15,10.0905,10.5554,10.0632,10.3913,444785.0
2000-06-16,10.4187,10.7195,10.1999,10.1999,452323.0
2000-06-19,9.4616,9.4889,8.0396,8.3131,5114632.0
2000-06-20,8.2857,8.5865,8.0943,8.4225,2253811.0
2000-06-21,8.4771,8.4771,6.8911,8.3131,4543699.0
2000-06-22,8.149,8.2037,7.9029,8.0123,930235.0
2000-06-23,7.9029,8.2857,7.7662,7.8208,677915.0
2000-06-26,7.8208,8.149,7.7662,7.9302,1130448.0
2000-06-27,7.9576,8.067,7.7115,7.8482,536895.0
2000-06-28,7.7935,7.9029,7.5474,7.9029,501927.0
2000-06-29,7.9029,8.0396,7.6568,7.6568,667163.0
2000-06-30,7.6568,8.0123,7.356,7.6294,540320.0
2000-07-03,7.4654,7.6841,7.438,7.5747,161596.0
2000-07-05,7.4654,7.52,7.3833,7.3833,288450.0
2000-07-06,7.4107,7.438,7.356,7.438,503981.0
2000-07-07,7.438,7.6568,7.4107,7.6021,421473.0
2000-07-10,7.6021,8.4225,7.5747,8.3131,1189640.0
2000-07-11,8.231,8.2584,7.9029,7.9576,443183.0
2000-07-12,7.8755,7.9302,7.7115,7.7388,278392.0
2000-07-13,7.7388,7.9029,7.6021,7.9029,440899.0
2000-07-14,7.9302,8.2857,7.9302,8.1763,902353.0
2000-07-17,8.1763,8.5318,8.0943,8.3678,697572.0
2000-07-18,8.2857,8.3678,8.231,8.231,276791.0
2000-07-19,8.1763,8.231,8.0943,8.1217,251186.0
2000-07-20,8.1763,8.231,8.0943,8.1217,238163.0
2000-07-21,8.7506,9.1334,8.6139,8.9147,1532706.0
2000-07-24,9.1334,9.1334,8.5045,8.5592,674483.0
2000-07-25,8.5865,8.7779,8.3678,8.6412,4047048.0
2000-07-26,8.6412,8.6412,8.3951,8.5865,735046.0
2000-07-27,8.3678,8.6139,8.2584,8.5045,899837.0
2000-07-28,8.4771,8.4771,8.0396,8.3131,369809.0
2000-07-31,8.2037,8.2584,8.0943,8.2037,683162.0
2000-08-01,8.0943,8.3951,8.0943,8.3404,413009.0
2000-08-02,8.2857,8.4225,8.231,8.3404,319763.0
2000-08-03,8.231,8.5592,8.1763,8.2857,361811.0
2000-08-04,8.3404,8.4225,8.2037,8.3678,511746.0
2000-08-07,8.3404,8.4225,8.2584,8.3951,331872.0
2000-08-08,8.3678,8.5045,8.149,8.3678,274732.0
2000-08-09,8.2584,8.2857,8.149,8.149,200688.0
2000-08-10,8.149,8.3404,8.1217,8.231,675851.0
2000-08-11,8.3404,8.7233,8.2037,8.5865,419415.0
2000-08-14,8.6139,8.6959,8.4498,8.5592,393584.0
2000-08-15,8.6139,8.6412,8.3131,8.4771,378277.0
2000-08-16,8.4498,8.5592,8.3404,8.3951,293255.0
2000-08-17,8.4225,8.5865,8.3404,8.5592,412787.0
2000-08-18,8.5592,8.5865,8.231,8.3131,257822.0
2000-08-21,8.3131,8.4225,8.2584,8.3131,165715.0
2000-08-22,8.4771,8.5318,8.2584,8.5045,533466.0
2000-08-23,8.3951,8.4225,8.149,8.2584,218055.0
2000-08-24,8.231,8.2584,8.1763,8.231,149492.0
2000-08-25,8.3404,8.3404,8.0123,8.149,261942.0
2000-08-28,8.149,8.2584,7.9849,8.0396,815041.0
2000-08-29,8.0123,8.067,7.9576,7.9849,350382.0
2000-08-30,7.9576,8.0396,7.9302,8.0123,682245.0
2000-08-31,8.067,8.2037,7.9849,8.067,258734.0
2000-09-01,8.0123,8.0943,7.9576,7.9576,173027.0
2000-09-05,7.8755,8.0943,7.8755,7.9302,243201.0
2000-09-06,7.8755,7.9849,7.8755,7.9849,717677.0
2000-09-07,7.9029,8.2037,7.9029,8.0123,571633.0
2000-09-08,8.0123,8.149,7.9576,8.149,623970.0
2000-09-11,8.149,8.7506,8.149,8.5865,757914.0
2000-09-12,8.7506,11.2664,8.7506,11.1023,3962702.0
2000-09-13,11.157,13.3173,9.8718,10.0632,7007985.0
2000-09-14,10.5007,10.6101,9.7897,9.9538,1859541.0
2000-09-15,9.9538,11.6492,9.9538,10.9383,2336073.0
2000-09-18,11.2664,11.5672,10.6101,10.6101,1088173.0
2000-09-19,10.6101,10.6101,9.9538,10.2546,741909.0
2000-09-20,10.2273,10.7195,9.8991,9.9538,875385.0
2000-09-21,9.9538,10.3913,9.7077,9.7077,746712.0
2000-09-22,9.4342,10.0358,9.3522,9.8718,450263.0
2000-09-25,10.0085,10.0905,9.4889,9.6804,369131.0
2000-09-26,9.6804,10.1452,9.5163,10.1452,538717.0
2000-09-27,10.1726,10.3366,9.5983,9.6804,460103.0
2000-09-28,9.6257,9.7897,9.4069,9.4069,234282.0
2000-09-29,9.653,10.0085,9.6257,9.8444,453235.0
2000-10-02,9.8444,9.8444,9.2155,9.2428,457344.0
2000-10-03,9.2975,9.4069,8.8873,8.9967,494380.0
2000-10-04,8.8873,8.9967,8.4498,8.4771,415300.0
2000-10-05,8.6959,8.8053,8.2584,8.3678,555404.0
2000-10-06,8.3951,8.5045,8.067,8.149,274056.0
2000-10-09,8.231,8.4771,8.231,8.3131,251193.0
2000-10-10,8.4498,8.5865,8.0943,8.3951,535970.0
2000-10-11,8.1763,8.3131,7.9576,8.0123,477232.0
2000-10-12,8.3131,8.3131,7.8208,8.0123,534376.0
2000-10-13,8.7233,9.2428,8.5592,9.1608,1563566.0
2000-10-16,9.1608,9.1608,8.7506,8.7779,386047.0
2000-10-17,8.7506,8.86,8.5865,8.7779,446605.0
2000-10-18,8.7233,8.7779,8.5865,8.6412,469691.0
2000-10-19,8.6412,8.8053,8.6139,8.7506,453693.0
2000-10-20,8.7506,8.8326,8.6412,8.6686,637682.0
2000-10-23,8.7233,8.942,8.6959,8.9147,378046.0
2000-10-24,8.8873,8.9967,8.7233,8.7779,339645.0
2000-10-25,8.7506,9.6257,8.6412,9.3522,492783.0
2000-10-26,8.8873,9.2155,8.2584,9.0787,1213178.0
2000-10-27,9.0514,9.1608,8.942,9.1061,548769.0
2000-10-30,9.0787,9.571,9.0787,9.4342,373011.0
2000-10-31,9.4889,9.8171,9.3249,9.8171,389018.0
2000-11-01,9.7077,9.7897,9.6257,9.7077,273135.0
2000-11-02,9.7624,9.7897,9.653,9.6804,404328.0
