Date,Open,High,Low,Close,Volume
2023-12-01,21.2001,22.8291,21.2001,21.52,8221
2023-12-04,21.61,22.0,21.0,21.45,81807
2023-12-05,21.32,21.5,21.25,21.25,70284
2023-12-06,21.18,21.53,21.18,21.44,35190
2023-12-07,21.44,21.55,21.32,21.42,33725
2023-12-08,21.3,21.4501,21.3,21.4199,54451
2023-12-11,21.4,21.5,21.3,21.38,69379
2023-12-12,21.35,21.48,21.25,21.25,42681
2023-12-13,21.25,21.8251,21.25,21.48,100018
2023-12-14,21.98,23.29,21.66,22.75,122738
2023-12-15,22.75,23.7108,22.4,23.31,108735
2023-12-18,23.24,23.45,23.13,23.44,58530
2023-12-19,23.31,24.25,23.29,24.25,104908
2023-12-20,23.8,24.49,23.8,24.28,165446
2023-12-21,24.33,24.35,23.95,24.1,73672
2023-12-22,24.0,24.275,23.87,24.23,56499
2023-12-26,24.11,24.35,24.0218,24.25,90177
2023-12-27,24.14,24.3,24.01,24.29,100560
2023-12-28,24.15,24.35,24.03,24.2,145778
2023-12-29,24.3,24.3,23.05,23.3,419691
2024-01-02,23.17,23.41,22.68,22.9,99704
2024-01-03,22.82,23.1799,22.62,22.75,28848
2024-01-04,22.93,23.01,22.71,22.75,40214
2024-01-05,22.72,22.97,22.4,22.81,55131
2024-01-08,22.84,22.9599,22.7,22.87,29212
2024-01-09,22.8,22.94,22.75,22.81,26630
2024-01-10,22.77,22.91,22.65,22.66,49146
2024-01-11,22.67,22.7921,22.4,22.4,17297
2024-01-12,22.65,22.78,22.65,22.75,23950
2024-01-16,22.65,22.6999,22.5301,22.6,33928
2024-01-17,22.5,22.7,22.45,22.57,12879
2024-01-18,22.6699,22.6699,22.46,22.5,15692
2024-01-19,22.605,22.67,22.45,22.55,12812
2024-01-22,22.56,22.98,22.56,22.96,25309
2024-01-23,22.93,23.16,22.85,23.01,35981
2024-01-24,23.12,23.12,22.85,23.035,43628
2024-01-25,23.0649,23.19,22.95,22.99,77588
2024-01-26,22.99,23.4199,22.93,23.0,137068
2024-01-29,23.0,23.19,22.9,22.94,104078
2024-01-30,22.98,23.1,22.9,23.0,142463
2024-01-31,22.61,22.9,22.35,22.5,90508
2024-02-01,22.75,22.85,21.4,22.73,101980
2024-02-02,22.55,22.89,22.3903,22.74,22001
2024-02-05,22.75,22.81,22.53,22.53,34779
2024-02-06,22.63,22.72,22.1201,22.22,44820
2024-02-07,22.06,22.49,21.61,22.32,56569
2024-02-08,22.37,22.58,22.1601,22.44,20695
2024-02-09,22.33,23.0,22.33,22.95,26825
2024-02-12,22.88,23.0999,22.855,22.96,98816
2024-02-13,22.8,23.075,22.7661,22.8202,44222
2024-02-14,22.81,23.38,22.71,23.17,53145
2024-02-15,23.02,23.02,22.52,22.81,315507
2024-02-16,22.44,22.4634,21.81,21.89,128654
2024-02-20,22.0,22.02,21.7,21.8,92739
2024-02-21,21.8,21.82,21.5,21.58,121480
2024-02-22,21.61,21.78,21.6,21.67,173153
2024-02-23,21.73,22.11,21.65,21.83,152748
2024-02-26,21.93,21.96,21.55,21.62,94291
2024-02-27,21.67,21.77,21.25,21.46,177422
2024-02-28,21.46,21.5499,21.31,21.4,116737
2024-02-29,21.04,21.97,21.04,21.74,779045
2024-03-01,21.65,22.34,21.55,22.3,103845
2024-03-04,22.35,22.5099,21.05,21.62,64480
2024-03-05,22.36,22.475,22.2,22.34,69137
2024-03-06,22.35,22.46,22.02,22.1,82543
2024-03-07,22.46,22.598,22.25,22.26,77360
2024-03-08,22.3,22.49,22.0901,22.23,78392
2024-03-11,22.43,22.43,22.0301,22.13,75446
