Date,Open,High,Low,Close,Volume
2013-11-07,9.4068,9.4782,9.3505,9.388,906111
2013-11-08,9.388,9.4068,9.3693,9.3843,156807
2013-11-11,9.726,10.3081,9.4031,9.4819,36614
2013-11-12,9.4819,9.5758,9.3918,9.3918,108333
2013-11-13,9.4294,9.5721,9.4294,9.4669,16873
2013-11-14,9.5721,9.5758,9.5195,9.557,67548
2013-11-15,9.557,9.6697,9.4819,9.5007,72824
2013-11-18,9.6584,10.7399,9.4068,9.5345,593083
2013-11-19,9.7561,9.7561,9.4369,9.6509,41467
2013-11-20,9.7561,9.7561,9.5796,9.6885,7873
2013-11-21,9.5195,9.6885,9.5007,9.6434,17971
2013-11-22,9.726,9.7448,9.5007,9.5007,27535
2013-11-25,9.4444,9.5341,9.4331,9.4632,28055
2013-11-26,9.4819,9.4819,9.0163,9.4068,80334
2013-11-27,9.4256,9.4256,9.3793,9.388,27161
2013-11-29,9.3543,9.4218,9.3543,9.4218,2130
2013-12-02,9.4782,9.5533,9.3993,9.5533,45425
2013-12-03,9.5195,9.5533,9.4068,9.5157,25162
2013-12-04,9.4782,9.5195,9.4106,9.5195,17893
2013-12-05,9.4256,9.5758,9.4256,9.5345,72896
2013-12-06,9.449,9.5383,9.4256,9.4669,30068
2013-12-09,9.4669,9.4669,9.388,9.4632,50594
2013-12-10,9.4669,9.4669,9.3918,9.4218,21729
2013-12-11,9.4443,9.4669,9.3317,9.3317,50144
2013-12-12,9.3505,9.4256,9.1102,9.388,146370
2013-12-13,9.4256,9.4256,9.1102,9.2754,32185
2013-12-16,9.4181,9.4256,9.3317,9.3317,29951
2013-12-17,9.2566,9.388,9.2566,9.3505,79568
2013-12-18,9.388,9.6134,9.2566,9.3956,60309
2013-12-19,9.5703,9.6458,9.4563,9.4563,30236
2013-12-20,9.5323,9.5323,9.2095,9.3044,54046
2013-12-23,9.2247,9.4943,9.2247,9.35,36968
2013-12-24,9.3424,9.4943,9.2247,9.4563,19484
2013-12-26,9.3158,9.4943,9.3158,9.4564,43461
2013-12-27,9.4563,9.5209,9.3087,9.4373,59060
2013-12-30,9.4753,9.4943,9.2702,9.3842,98314
2013-12-31,9.7108,9.7108,9.3082,9.3272,50975
2014-01-02,9.3994,9.5057,9.3386,9.3766,32022
2014-01-03,9.4183,9.4221,9.3994,9.3994,3950
2014-01-06,9.35,9.4766,9.2285,9.4107,53019
2014-01-07,9.2664,9.4373,9.2664,9.3804,132795
2014-01-08,9.4905,9.4943,9.3234,9.3424,20407
2014-01-09,9.4943,9.4943,9.3424,9.3614,58921
2014-01-10,9.4373,9.4525,9.3614,9.388,52065
2014-01-13,9.3842,9.4183,9.3614,9.3614,36158
2014-01-14,9.3994,9.4829,9.3804,9.4373,89754
2014-01-15,9.3804,9.4563,9.3804,9.4373,91406
2014-01-16,9.4943,9.5987,9.4373,9.4753,102695
2014-01-17,9.5057,9.5892,9.4753,9.4753,17246
2014-01-21,9.4753,9.6614,9.4183,9.5323,29320
2014-01-22,9.6614,9.6614,9.4563,9.5627,44895
2014-01-23,9.4943,9.4943,9.4229,9.4943,197514
2014-01-24,9.4563,9.5285,9.4183,9.4563,42431
2014-01-27,10.5083,10.5083,9.4221,9.4229,18352
2014-01-28,9.5513,9.5513,9.4183,9.4943,62141
2014-01-29,9.407,9.5323,9.407,9.4943,33007
2014-01-30,9.4943,9.5513,9.4221,9.5474,68330
2014-01-31,9.4601,9.5323,9.4183,9.5285,79775
2014-02-03,9.4943,9.4943,9.2898,9.4662,82288
2014-02-04,9.4525,9.4715,9.3804,9.4221,62366
2014-02-05,9.4145,9.4601,9.3614,9.4373,74926
2014-02-06,9.4806,9.4806,9.3234,9.3766,78184
2014-02-07,9.4943,9.5323,9.4032,9.5285,47986
2014-02-10,9.4373,9.4829,9.3614,9.3759,55440
2014-02-11,9.3918,9.4715,9.3917,9.4715,16064
2014-02-12,9.5323,9.5323,9.3196,9.4715,30018
2014-02-13,9.4411,9.4943,9.312,9.4905,33645
2014-02-14,9.4943,9.4943,9.4867,9.4943,10327
2014-02-18,9.4943,9.4943,9.4449,9.4525,52917
2014-02-19,9.4373,9.4943,9.3082,9.3621,25754
2014-02-20,9.3439,9.4715,9.3424,9.3614,79933
2014-02-21,9.3614,9.4563,9.3044,9.3804,12874
2014-02-24,9.4943,9.4943,9.3044,9.3044,37435
2014-02-25,9.2323,9.3044,9.0765,9.2361,229745
2014-02-26,9.3272,9.3424,9.1601,9.3424,54781
2014-02-27,9.3386,9.5323,9.3044,9.4943,99389
2014-02-28,9.4525,9.4943,9.3614,9.4905,66059
2014-03-03,9.3045,9.4943,9.3045,9.4905,40287
2014-03-04,9.4183,9.4943,9.2323,9.4525,60080
2014-03-05,9.3804,9.4867,9.255,9.2854,38496
2014-03-06,9.3614,9.4715,9.3614,9.4715,22251
2014-03-07,9.4221,9.4943,9.369,9.4905,48462
2014-03-10,9.3994,9.4563,9.2285,9.3234,30837
2014-03-11,9.3614,9.3994,9.2474,9.2512,50028
2014-03-12,9.35,9.4943,9.2512,9.2892,70617
2014-03-13,9.4598,9.673,9.3435,9.5025,24765
2014-03-14,9.4443,9.6538,9.4443,9.5105,44367
2014-03-17,9.4365,9.6924,9.425,9.5994,29481
2014-03-18,9.673,9.7514,9.6343,9.6924,212612
2014-03-19,9.6885,9.894,9.5296,9.6924,69063
2014-03-20,9.77,9.77,9.6071,9.6575,42022
2014-03-21,9.7118,9.77,9.6033,9.6963,30722
2014-03-24,9.7234,9.9134,9.6963,9.7312,79158
2014-03-25,9.8049,9.9134,9.6924,9.7545,83141
2014-03-26,9.77,9.9057,9.6963,9.7002,38002
2014-03-27,9.7506,9.7506,9.6575,9.6575,55782
2014-03-28,9.7118,9.7118,9.6188,9.6568,11024
2014-03-31,9.7987,9.7987,9.5025,9.5296,26570
2014-04-01,9.8087,9.8087,9.5412,9.6071,46430
2014-04-02,9.782,9.782,9.6381,9.6924,9431
2014-04-03,9.6924,9.8087,9.6381,9.77,33607
2014-04-04,9.77,9.77,9.642,9.6924,27089
2014-04-07,9.6343,9.801,9.5955,9.6343,23705
2014-04-08,9.6924,9.6924,9.4986,9.6924,40097
2014-04-09,9.6924,9.6924,9.5025,9.5102,36015
2014-04-10,9.5994,9.77,9.5529,9.5529,28074
2014-04-11,9.5955,9.7566,9.5951,9.7234,8124
2014-04-14,9.7312,9.7312,9.58,9.6459,15270
2014-04-15,9.58,9.7333,9.58,9.5877,27495
2014-04-16,9.58,9.77,9.58,9.7312,24867
2014-04-17,9.7622,9.7932,9.7118,9.7312,10422
2014-04-21,9.7312,9.8087,9.6963,9.6963,22164
2014-04-22,9.7506,9.8087,9.7506,9.8049,9544
2014-04-23,9.7622,9.7622,9.6381,9.6575,54694
2014-04-24,9.6343,9.7273,9.5955,9.6885,35403
2014-04-25,9.8049,9.8049,9.6537,9.7273,21822
2014-04-28,9.6924,9.702,9.6343,9.6924,9415
2014-04-29,9.739,9.739,9.6381,9.6924,15771
2014-04-30,9.6343,9.8475,9.5955,9.6924,172306
2014-05-01,9.5955,9.5955,9.5955,9.5955,2012
2014-05-02,9.611,9.8475,9.5955,9.77,21210
2014-05-05,9.77,9.8475,9.6343,9.8436,17498
2014-05-06,9.5955,9.8045,9.5955,9.7312,16205
2014-05-07,9.8471,9.8475,9.6924,9.6924,27285
2014-05-08,9.6924,9.8475,9.611,9.6537,52447
2014-05-09,9.5761,9.7506,9.5761,9.7312,36779
2014-05-12,9.8242,9.9599,9.7506,9.7506,46440
2014-05-13,9.9599,9.9599,9.5843,9.7467,34326
2014-05-14,9.6808,9.7312,9.673,9.6885,20020
2014-05-15,9.6746,9.8553,9.6746,9.7855,28303
2014-05-16,9.7855,9.8708,9.7506,9.8087,58493
2014-05-19,9.7622,9.8281,9.7344,9.7506,22054
2014-05-20,9.7932,9.7932,9.7312,9.7312,13476
2014-05-21,9.7312,9.77,9.7312,9.7351,25775
2014-05-22,9.7312,9.7894,9.7312,9.7661,30404
2014-05-23,9.7506,9.894,9.7506,9.7894,41008
2014-05-27,9.739,9.9599,9.7118,9.7971,27375
2014-05-28,9.9057,9.9405,9.7118,9.8902,61916
2014-05-29,9.8863,9.9522,9.7971,9.8863,47142
2014-05-30,9.8863,9.9832,9.8099,9.8099,64517
2014-06-02,9.9289,9.9832,9.8514,9.9793,24620
2014-06-03,9.9793,9.9832,9.7506,9.8475,42366
2014-06-04,9.7739,10.2778,9.7739,10.1383,27888
2014-06-05,10.0762,10.0801,9.8836,9.925,24454
2014-06-06,10.0646,10.1429,9.9095,10.1197,16071
2014-06-09,10.1732,10.2158,9.9794,9.9794,40594
2014-06-10,10.1228,10.177,9.9227,10.1577,34613
2014-06-11,10.0826,10.296,10.0826,10.1063,29044
2014-06-12,10.1774,10.1774,10.0984,10.0984,22811
2014-06-13,10.1656,10.2367,10.1142,10.2051,14305
2014-06-16,10.2683,10.3363,10.0984,10.1656,24673
2014-06-17,10.1181,10.2881,10.1181,10.1972,32556
2014-06-18,10.1972,10.462,10.0786,10.2841,70989
2014-06-19,10.2604,10.3158,10.0915,10.3079,27797
2014-06-20,10.3237,10.4936,10.0865,10.0984,152499
2014-06-23,10.1853,10.3324,10.0233,10.0233,55560
2014-06-24,10.0707,10.0707,9.8415,9.9838,11990
