Date,Open,High,Low,Close,Volume
2023-12-29,0.15,0.15,0.1,0.15,220015
2024-01-02,0.13,0.13,0.1051,0.13,5511
2024-01-03,0.13,0.13,0.11,0.12,365800
2024-01-04,0.1199,0.12,0.1199,0.12,2000
2024-01-05,0.12,0.13,0.11,0.13,1028643
2024-01-08,0.12,0.12,0.12,0.12,1000
2024-01-09,0.13,0.13,0.1298,0.13,127900
2024-01-10,0.1201,0.14,0.12,0.1398,196824
2024-01-11,0.14,0.14,0.14,0.14,100
2024-01-17,0.1398,0.1398,0.12,0.1398,312
2024-01-19,0.14,0.14,0.14,0.14,100
2024-01-23,0.14,0.14,0.14,0.14,100
2024-01-29,0.14,0.14,0.1201,0.14,500
2024-01-31,0.14,0.14,0.14,0.14,100
2024-02-01,0.13,0.13,0.13,0.13,19011
2024-02-02,0.14,0.14,0.14,0.14,100
2024-02-05,0.14,0.14,0.14,0.14,2000
2024-02-07,0.14,0.14,0.14,0.14,5000
2024-02-08,0.15,0.15,0.15,0.15,100
2024-02-14,0.14,0.15,0.14,0.145,150200
2024-02-15,0.1401,0.1401,0.14,0.14,5090
2024-02-16,0.1401,0.1401,0.1401,0.1401,2935
2024-02-20,0.15,0.15,0.15,0.15,105
2024-02-23,0.1201,0.15,0.1201,0.15,1400
2024-02-27,0.1201,0.14,0.12,0.14,6200
2024-03-04,0.14,0.14,0.14,0.14,20000
2024-03-15,0.1201,0.13,0.12,0.12,50000
2024-03-18,0.12,0.12,0.12,0.12,30500
2024-03-20,0.11,0.12,0.11,0.11,150000
2024-03-25,0.11,0.11,0.11,0.11,103000
2024-03-27,0.11,0.11,0.11,0.11,25000
2024-04-01,0.1494,0.1494,0.14,0.14,500
2024-04-10,0.14,0.15,0.1301,0.15,45900
2024-04-11,0.1691,0.23,0.1691,0.23,12005
2024-04-12,0.25,0.25,0.18,0.185,1000
2024-04-15,0.13,0.13,0.1201,0.13,1904
2024-04-16,0.1561,0.189,0.1561,0.189,1000
2024-05-02,0.189,0.189,0.189,0.189,400
2024-05-07,0.18,0.19,0.18,0.19,4964
2024-08-01,0.166,0.166,0.166,0.166,100
2024-09-04,0.2,0.21,0.1999,0.2,35718
2024-09-06,0.2,0.2,0.2,0.2,10000
2024-09-17,0.2,0.2,0.2,0.2,6891
2024-09-24,0.2,0.2,0.2,0.2,2539
2024-09-30,0.16,0.16,0.1501,0.1501,500
2024-10-07,0.1534,0.175,0.1534,0.175,3100
2024-10-14,0.2,0.2,0.2,0.2,1500
2024-10-15,0.2,0.2,0.2,0.2,2300
2024-10-21,0.19,0.22,0.1502,0.22,13740
2024-10-22,0.2,0.2026,0.1952,0.2026,500
2024-10-24,0.16,0.2,0.16,0.2,300
2024-10-28,0.2,0.2,0.19,0.19,400
2024-10-30,0.16,0.16,0.1502,0.1502,742
2024-11-01,0.1531,0.1594,0.1501,0.1502,2237
2024-11-04,0.1535,0.1595,0.1534,0.1595,300
2024-11-05,0.15,0.16,0.15,0.16,1567
2024-11-06,0.2,0.2,0.17,0.17,2705
2024-11-08,0.1751,0.1751,0.1751,0.1751,625
2024-11-13,0.196,0.1961,0.196,0.196,600
2024-11-22,0.175,0.175,0.1749,0.1749,900
2024-11-29,0.1749,0.1749,0.1748,0.1748,1100
2024-12-03,0.155,0.155,0.1501,0.1502,5274
2024-12-04,0.14,0.14,0.12,0.12,67100
2024-12-06,0.15,0.15,0.115,0.1241,187926
2024-12-09,0.13,0.13,0.13,0.13,500
2024-12-10,0.132,0.132,0.13,0.13,11869
2024-12-16,0.134,0.134,0.13,0.13,1900
2025-01-02,0.15,0.15,0.1402,0.15,2500
2025-01-03,0.145,0.145,0.14,0.14,3500
2025-01-06,0.14,0.14,0.14,0.14,3142
2025-01-07,0.17,0.17,0.17,0.17,1450
2025-01-08,0.175,0.175,0.175,0.175,900
2025-01-13,0.18,0.196,0.18,0.196,1006
2025-01-14,0.1922,0.2,0.1879,0.2,9295
2025-01-16,0.197,0.1971,0.197,0.1971,300
2025-01-21,0.2,0.2,0.199,0.199,4941
2025-01-24,0.1912,0.1912,0.1912,0.1912,100
2025-01-27,0.16,0.16,0.1384,0.1384,2000
2025-01-28,0.16,0.16,0.1359,0.136,1595
2025-01-29,0.16,0.16,0.16,0.16,800
2025-01-30,0.16,0.16,0.16,0.16,4000
2025-02-06,0.1359,0.1359,0.1358,0.1359,500
2025-02-21,0.1201,0.1359,0.1201,0.1358,554
2025-02-27,0.1876,0.2,0.14,0.1513,5300
2025-02-28,0.188,0.2711,0.152,0.1551,113732
