Date,Open,High,Low,Close,Volume
2024-03-28,0.19,0.25,0.0802,0.1102,320995
2024-04-01,0.0902,0.128,0.0902,0.128,211
2024-04-02,0.0975,0.115,0.0811,0.0815,5948
2024-04-03,0.0793,0.0811,0.0775,0.08,8533
2024-04-04,0.0786,0.0799,0.05,0.0799,22495
2024-04-05,0.0815,0.1059,0.0815,0.0995,4380
2024-04-08,0.0911,0.0975,0.0825,0.0825,4273
2024-04-09,0.1274,0.13,0.083,0.13,21000
2024-04-10,0.1499,0.15,0.1,0.12,188530
2024-04-11,0.1599,0.16,0.1425,0.1489,52410
2024-04-15,0.1499,0.1499,0.1325,0.1325,5112
2024-04-16,0.1399,0.14,0.1332,0.14,73800
2024-04-17,0.13,0.13,0.12,0.12,12224
2024-04-19,0.1225,0.1299,0.12,0.1294,20264
2024-04-22,0.12,0.12,0.1199,0.12,3300
2024-04-25,0.1199,0.12,0.1197,0.1199,2500
2024-04-26,0.1051,0.1199,0.1,0.1,41419
2024-04-30,0.0901,0.1,0.0876,0.1,24600
2024-05-03,0.099,0.099,0.099,0.099,197
2024-05-06,0.085,0.085,0.079,0.08,29935
2024-05-08,0.079,0.0869,0.0789,0.0869,480
2024-05-10,0.08,0.08,0.0796,0.0796,800
2024-05-13,0.078,0.078,0.076,0.076,1248
2024-05-14,0.0799,0.0799,0.0799,0.0799,100
2024-05-15,0.075,0.075,0.071,0.071,3806
2024-05-16,0.075,0.075,0.072,0.0749,5400
2024-05-17,0.0749,0.11,0.069,0.0901,87407
2024-05-20,0.1,0.1,0.0899,0.0899,660
2024-05-21,0.0802,0.0802,0.08,0.08,500
2024-05-22,0.08,0.084,0.07,0.08,106677
2024-05-23,0.1,0.1699,0.0975,0.15,400512
2024-05-24,0.0905,0.14,0.09,0.09,31664
2024-05-28,0.085,0.0913,0.0725,0.0725,27394
2024-05-29,0.07,0.0811,0.0575,0.078,7420
2024-05-30,0.0625,0.1167,0.0601,0.1167,17194
2024-05-31,0.1238,0.23,0.0867,0.125,164526
2024-06-03,0.1325,0.25,0.1325,0.22,145039
2024-06-04,0.1511,0.2699,0.1511,0.2675,75537
2024-06-05,0.2501,0.28,0.2071,0.22,13064
2024-06-06,0.202,0.2275,0.17,0.22,15924
2024-06-07,0.1701,0.1701,0.14,0.1601,108289
2024-06-10,0.17,0.1956,0.1601,0.1601,7346
2024-06-11,0.08,0.126,0.08,0.126,14600
2024-06-12,0.1063,0.1413,0.1063,0.1413,1554
2024-06-14,0.09,0.09,0.09,0.09,400
2024-06-18,0.13,0.13,0.1,0.1,1813
2024-06-24,0.101,0.101,0.1,0.1,200
2024-06-25,0.1001,0.1001,0.1001,0.1001,808
2024-07-05,0.1174,0.1174,0.1174,0.1174,100
2024-07-08,0.1,0.108,0.1,0.108,400
2024-07-09,0.1008,0.1009,0.1,0.1007,2314
2024-07-11,0.1069,0.1069,0.0909,0.0925,16600
2024-07-12,0.091,0.0959,0.091,0.0959,1079
2024-07-15,0.0903,0.094,0.0611,0.0611,27200
2024-07-16,0.065,0.08,0.065,0.08,2792
2024-07-17,0.08,0.08,0.051,0.06,37900
2024-07-18,0.0627,0.07,0.0622,0.0694,12500
2024-07-19,0.09,0.1159,0.088,0.091,14900
2024-07-23,0.0658,0.0658,0.0658,0.0658,5750
2024-07-29,0.066,0.0661,0.066,0.0661,5000
2024-07-31,0.0521,0.0522,0.0521,0.0522,2000
2024-08-01,0.0594,0.0619,0.0594,0.06,13000
2024-08-02,0.0583,0.06,0.0495,0.06,11600
2024-08-05,0.08,0.08,0.0351,0.0351,3335
